<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
REKR.US,5,20210922,153000,9.63,9.74,9.46,9.63,41835,0
REKR.US,5,20210922,153500,9.64,9.96,9.64,9.79,26124,0
REKR.US,5,20210922,154000,9.8366,10.02,9.7001,9.94,70328,0
REKR.US,5,20210922,154500,9.87,10.22,9.87,10.1,86974,0
REKR.US,5,20210922,155000,10.1,10.31,10,10.165,57515,0
REKR.US,5,20210922,155500,10.165,10.2,10.05,10.05,12007,0
REKR.US,5,20210922,160000,10.09,10.09,9.91,9.97,31522,0
REKR.US,5,20210922,160500,9.95,10.03,9.84,9.97,8496,0
REKR.US,5,20210922,161000,10.02,10.08,10,10.07,8348,0
REKR.US,5,20210922,161500,10.07,10.11,10,10.01,11016,0
REKR.US,5,20210922,162000,9.99,10.08,9.97,10.06,17486,0
REKR.US,5,20210922,162500,10.07,10.13,10.04,10.12,6900,0
REKR.US,5,20210922,163000,10.12,10.18,10.03,10.18,6230,0
REKR.US,5,20210922,163500,10.16,10.21,10.16,10.2,10666,0
REKR.US,5,20210922,164000,10.224,10.24,10.14,10.19,15452,0
REKR.US,5,20210922,164500,10.15,10.33,10.13,10.15,17696,0
REKR.US,5,20210922,165000,10.15,10.15,10.05,10.13,6921,0
REKR.US,5,20210922,165500,10.14,10.37,10.14,10.19,69034,0
REKR.US,5,20210922,170000,10.21,10.25,10.181,10.22,22912,0
REKR.US,5,20210922,170500,10.22,10.4396,10.22,10.33,127620,0
REKR.US,5,20210922,171000,10.34,10.35,10.26,10.29,37402,0
REKR.US,5,20210922,171500,10.27,10.28,10.24,10.27,27239,0
REKR.US,5,20210922,172000,10.26,10.3,10.25,10.26,8356,0
REKR.US,5,20210922,172500,10.25,10.25,10.23,10.23,5335,0
REKR.US,5,20210922,173000,10.22,10.23,10.19,10.225,6397,0
REKR.US,5,20210922,173500,10.21,10.23,10.21,10.23,620,0
REKR.US,5,20210922,174000,10.23,10.23,10.2,10.21,4414,0
REKR.US,5,20210922,174500,10.21,10.21,10.17,10.17,4154,0
REKR.US,5,20210922,175000,10.205,10.22,10.19,10.2,11799,0
REKR.US,5,20210922,175500,10.19,10.23,10.19,10.23,5614,0
REKR.US,5,20210922,180000,10.23,10.24,10.2,10.21,1782,0
REKR.US,5,20210922,180500,10.21,10.22,10.2,10.208,7847,0
REKR.US,5,20210922,181000,10.2,10.21,10.14,10.14,8356,0
REKR.US,5,20210922,181500,10.14,10.14,10.12,10.13,1409,0
REKR.US,5,20210922,182000,10.14,10.22,10.12,10.17,13832,0
REKR.US,5,20210922,182500,10.16,10.19,10.15,10.18,5880,0
REKR.US,5,20210922,183000,10.18,10.19,10.17,10.19,3542,0
REKR.US,5,20210922,183500,10.2,10.25,10.19,10.21,14895,0
REKR.US,5,20210922,184000,10.19,10.25,10.17,10.25,28746,0
REKR.US,5,20210922,184500,10.25,10.26,10.22,10.22,13812,0
REKR.US,5,20210922,185000,10.25,10.3,10.2,10.23,50480,0
REKR.US,5,20210922,185500,10.22,10.22,10.21,10.215,1527,0
REKR.US,5,20210922,190000,10.2,10.22,10.18,10.19,6245,0
REKR.US,5,20210922,190500,10.19,10.22,10.17,10.17,15575,0
REKR.US,5,20210922,191000,10.17,10.17,10.07,10.07,16869,0
REKR.US,5,20210922,191500,10.05,10.05,9.99,10,29560,0
REKR.US,5,20210922,192000,10,10.01,9.95,9.995,7795,0
REKR.US,5,20210922,192500,9.995,10.02,9.98,9.995,10213,0
REKR.US,5,20210922,193000,9.995,10.02,9.99,10,11164,0
REKR.US,5,20210922,193500,9.99,10.01,9.965,10.01,17773,0
REKR.US,5,20210922,194000,10.02,10.02,9.995,9.995,8392,0
REKR.US,5,20210922,194500,9.995,9.995,9.985,9.99,3069,0
REKR.US,5,20210922,195000,9.99,10.05,9.98,10.04,19230,0
REKR.US,5,20210922,195500,10.05,10.05,9.98,9.98,8497,0
REKR.US,5,20210922,200000,9.98,10.08,9.9537,10.04,19782,0
REKR.US,5,20210922,200500,10.09,10.1,10.06,10.095,17501,0
REKR.US,5,20210922,201000,10.11,10.35,10.08,10.235,88389,0
REKR.US,5,20210922,201500,10.25,10.25,10.13,10.13,4548,0
REKR.US,5,20210922,202000,10.16,10.22,10.15,10.22,22109,0
REKR.US,5,20210922,202500,10.23,10.24,10.22,10.2392,2744,0
REKR.US,5,20210922,203000,10.24,10.27,10.203,10.213,19168,0
REKR.US,5,20210922,203500,10.21,10.21,10.14,10.16,42372,0
REKR.US,5,20210922,204000,10.15,10.17,10.11,10.12,10322,0
REKR.US,5,20210922,204500,10.15,10.16,10.06,10.07,6003,0
REKR.US,5,20210922,205000,10.06,10.07,10,10.05,36635,0
REKR.US,5,20210922,205500,10.045,10.045,9.97,9.98,21393,0
REKR.US,5,20210922,210000,9.98,10,9.89,9.96,60541,0
REKR.US,5,20210922,210500,9.96,9.98,9.9,9.965,61024,0
REKR.US,5,20210922,211000,9.965,9.98,9.86,9.89,41737,0
REKR.US,5,20210922,211500,9.9,9.96,9.9,9.9,32703,0
REKR.US,5,20210922,212000,9.9,9.96,9.88,9.95,48229,0
REKR.US,5,20210922,212500,10,10.005,9.935,9.95,35752,0
REKR.US,5,20210922,213000,9.95,9.99,9.93,9.98,30708,0
REKR.US,5,20210922,213500,10,10.019,9.98,10,31157,0
REKR.US,5,20210922,214000,9.99,9.99,9.94,9.98,46278,0
REKR.US,5,20210922,214500,9.96,9.97,9.931,9.931,41649,0
REKR.US,5,20210922,215000,9.93,9.99,9.862,9.925,30691,0
REKR.US,5,20210922,215500,9.925,9.925,9.83,9.89,128071,0
REKR.US,5,20210923,153000,9.99,10.3,9.82,10.095,124024,0
REKR.US,5,20210923,153500,10.085,10.5,10,10.43,154964,0
REKR.US,5,20210923,154000,10.43,10.62,10.195,10.195,44825,0
REKR.US,5,20210923,154500,10.16,10.31,10.08,10.26,15814,0
REKR.US,5,20210923,155000,10.27,10.28,10.08,10.12,64051,0
REKR.US,5,20210923,155500,10.11,10.21,10.11,10.14,18339,0
REKR.US,5,20210923,160000,10.14,10.43,10.14,10.335,81057,0
REKR.US,5,20210923,160500,10.32,10.33,10.15,10.25,40214,0
REKR.US,5,20210923,161000,10.2,10.21,10.11,10.18,21178,0
REKR.US,5,20210923,161500,10.16,10.25,10.15,10.16,29335,0
REKR.US,5,20210923,162000,10.16,10.195,10.15,10.175,16628,0
REKR.US,5,20210923,162500,10.17,10.3,10.17,10.3,64151,0
REKR.US,5,20210923,163000,10.2999,10.3,10.11,10.11,34835,0
REKR.US,5,20210923,163500,10.12,10.22,10.11,10.2,26610,0
REKR.US,5,20210923,164000,10.21,10.21,10.17,10.2,28814,0
REKR.US,5,20210923,164500,10.2,10.2,10.15,10.2,42607,0
REKR.US,5,20210923,165000,10.2,10.28,10.19,10.24,61044,0
REKR.US,5,20210923,165500,10.23,10.26,10.16,10.26,29216,0
REKR.US,5,20210923,170000,10.255,10.3,10.2,10.21,32438,0
REKR.US,5,20210923,170500,10.21,10.34,10.21,10.2784,33270,0
REKR.US,5,20210923,171000,10.25,10.32,10.25,10.31,33062,0
REKR.US,5,20210923,171500,10.31,10.41,10.31,10.41,44292,0
REKR.US,5,20210923,172000,10.43,10.45,10.39,10.41,46807,0
REKR.US,5,20210923,172500,10.4,10.51,10.4,10.5,51532,0
REKR.US,5,20210923,173000,10.4979,10.4979,10.36,10.45,27305,0
REKR.US,5,20210923,173500,10.45,10.5,10.405,10.42,28213,0
REKR.US,5,20210923,174000,10.415,10.48,10.39,10.4,32501,0
REKR.US,5,20210923,174500,10.42,10.42,10.36,10.37,48565,0
REKR.US,5,20210923,175000,10.385,10.4,10.3,10.38,59919,0
REKR.US,5,20210923,175500,10.37,10.41,10.36,10.41,40955,0
REKR.US,5,20210923,180000,10.4087,10.62,10.36,10.5096,100401,0
REKR.US,5,20210923,180500,10.465,10.52,10.4,10.42,42767,0
REKR.US,5,20210923,181000,10.43,10.43,10.38,10.4,34334,0
REKR.US,5,20210923,181500,10.42,10.52,10.42,10.52,18527,0
REKR.US,5,20210923,182000,10.51,10.51,10.46,10.51,8113,0
REKR.US,5,20210923,182500,10.495,10.52,10.495,10.51,8603,0
REKR.US,5,20210923,183000,10.51,10.57,10.48,10.57,23542,0
REKR.US,5,20210923,183500,10.56,10.56,10.53,10.53,1200,0
REKR.US,5,20210923,184000,10.545,10.68,10.545,10.66,25683,0
REKR.US,5,20210923,184500,10.65,10.655,10.63,10.655,4506,0
REKR.US,5,20210923,185000,10.65,10.7,10.65,10.65,9033,0
REKR.US,5,20210923,185500,10.66,10.67,10.6,10.66,8262,0
REKR.US,5,20210923,190000,10.64,10.79,10.64,10.69,10735,0
REKR.US,5,20210923,190500,10.68,10.68,10.66,10.67,4100,0
REKR.US,5,20210923,191000,10.6796,10.725,10.67,10.725,3443,0
REKR.US,5,20210923,191500,10.74,10.85,10.72,10.8029,9089,0
REKR.US,5,20210923,192000,10.81,10.82,10.78,10.82,2904,0
REKR.US,5,20210923,192500,10.81,10.82,10.22,10.6896,62112,0
REKR.US,5,20210923,193000,10.68,10.78,10.68,10.69,12404,0
REKR.US,5,20210923,193500,10.67,10.77,10.67,10.74,22867,0
REKR.US,5,20210923,194000,10.78,10.78,10.75,10.76,2841,0
REKR.US,5,20210923,194500,10.76,10.8,10.76,10.76,4435,0
REKR.US,5,20210923,195000,10.76,10.87,10.76,10.86,12116,0
REKR.US,5,20210923,195500,10.85,10.91,10.84,10.8952,26021,0
REKR.US,5,20210923,200000,10.87,10.98,10.87,10.95,10025,0
REKR.US,5,20210923,200500,10.95,10.98,10.93,10.96,4443,0
REKR.US,5,20210923,201000,10.96,11.02,10.94,11.02,24767,0
REKR.US,5,20210923,201500,11.02,11.1334,11.02,11.11,19177,0
REKR.US,5,20210923,202000,11.14,11.15,11.09,11.1,19958,0
REKR.US,5,20210923,202500,11.11,11.18,11.095,11.16,10342,0
REKR.US,5,20210923,203000,11.16,11.18,11.06,11.08,15212,0
REKR.US,5,20210923,203500,11.1,11.18,11.09,11.15,10828,0
REKR.US,5,20210923,204000,11.145,11.145,11.07,11.12,8642,0
REKR.US,5,20210923,204500,11.105,11.22,11.105,11.14,25524,0
REKR.US,5,20210923,205000,11.16,11.19,11.1,11.12,8987,0
REKR.US,5,20210923,205500,11.1,11.205,11.1,11.2,8875,0
REKR.US,5,20210923,210000,11.19,11.23,11.13,11.14,25379,0
REKR.US,5,20210923,210500,11.14,11.24,11.14,11.22,10808,0
REKR.US,5,20210923,211000,11.233,11.34,11.21,11.28,15927,0
REKR.US,5,20210923,211500,11.285,11.34,11.23,11.265,15690,0
REKR.US,5,20210923,212000,11.26,11.31,11.25,11.28,27418,0
REKR.US,5,20210923,212500,11.28,11.32,11.28,11.3,4397,0
REKR.US,5,20210923,213000,11.32,11.46,11.305,11.4,21701,0
REKR.US,5,20210923,213500,11.39,11.44,11.37,11.44,6269,0
REKR.US,5,20210923,214000,11.425,11.45,11.39,11.39,8067,0
REKR.US,5,20210923,214500,11.39,11.45,11.36,11.39,51157,0
REKR.US,5,20210923,215000,11.41,11.41,11.1401,11.17,91105,0
REKR.US,5,20210923,215500,11.16,11.19,11.11,11.14,323610,0
REKR.US,5,20210924,153000,10.88,11.02,10.705,10.945,44849,0
REKR.US,5,20210924,153500,11.02,11.1,10.79,10.9,23273,0
REKR.US,5,20210924,154000,10.96,11,10.88,10.91,15299,0
REKR.US,5,20210924,154500,10.88,10.95,10.8,10.85,17497,0
REKR.US,5,20210924,155000,10.84,11,10.77,10.97,56415,0
REKR.US,5,20210924,155500,10.98,11,10.885,10.89,27690,0
REKR.US,5,20210924,160000,10.88,10.97,10.7853,10.88,44148,0
REKR.US,5,20210924,160500,10.91,10.99,10.88,10.98,12673,0
REKR.US,5,20210924,161000,10.99,11,10.86,10.88,37998,0
REKR.US,5,20210924,161500,10.86,11,10.85,10.88,18570,0
REKR.US,5,20210924,162000,10.9,10.9,10.87,10.87,14534,0
REKR.US,5,20210924,162500,10.85,11.12,10.85,11.03,36949,0
REKR.US,5,20210924,163000,11.01,11.18,10.97,10.97,23582,0
REKR.US,5,20210924,163500,11,11.12,10.96,11.12,34756,0
REKR.US,5,20210924,164000,11.13,11.17,11.06,11.11,35341,0
REKR.US,5,20210924,164500,11.11,11.23,11.11,11.15,24438,0
REKR.US,5,20210924,165000,11.18,11.34,11.165,11.21,12912,0
REKR.US,5,20210924,165500,11.19,11.2884,11.19,11.21,18031,0
REKR.US,5,20210924,170000,11.21,11.25,11.19,11.22,17509,0
REKR.US,5,20210924,170500,11.22,11.25,11.2,11.23,18249,0
REKR.US,5,20210924,171000,11.22,11.23,11.16,11.22,12873,0
REKR.US,5,20210924,171500,11.2,11.22,11.19,11.19,24286,0
REKR.US,5,20210924,172000,11.2,11.25,11.18,11.22,26925,0
REKR.US,5,20210924,172500,11.2,11.2,11.05,11.08,19423,0
REKR.US,5,20210924,173000,11.095,11.19,11.095,11.14,13104,0
REKR.US,5,20210924,173500,11.16,11.21,11.12,11.21,33911,0
REKR.US,5,20210924,174000,11.21,11.23,11.12,11.14,40100,0
REKR.US,5,20210924,174500,11.14,11.14,11.085,11.1202,18845,0
REKR.US,5,20210924,175000,11.11,11.1235,11.1,11.1235,6673,0
REKR.US,5,20210924,175500,11.1,11.1,10.97,10.97,8826,0
REKR.US,5,20210924,180000,11.01,11.04,10.98,10.98,3271,0
REKR.US,5,20210924,180500,11.01,11.01,10.97,10.97,2840,0
REKR.US,5,20210924,181000,10.95,11.05,10.95,11,8913,0
