<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ROLLP.US,5,20210928,153500,113.495,113.495,113.495,113.495,400,0
ROLLP.US,5,20210928,154000,113.825,113.825,113.825,113.825,400,0
ROLLP.US,5,20210928,155000,112.47,112.47,112.47,112.47,100,0
ROLLP.US,5,20210928,215000,110.31,110.66,110.31,110.66,2590,0
ROLLP.US,5,20210928,215500,110.78,126.88,110.76,126.88,7984,0
ROLLP.US,5,20210929,175500,110.273,110.273,110.273,110.273,4350,0
ROLLP.US,5,20210929,215000,111.59,111.72,110.75,110.75,3861,0
ROLLP.US,5,20210929,215500,110.77,111.69,110.72,111.69,3225,0
ROLLP.US,5,20210930,162000,111.44,111.44,111.44,111.44,300,0
ROLLP.US,5,20210930,185000,111.74,111.83,111.7,111.72,1300,0
ROLLP.US,5,20210930,212000,111.12,111.12,111.12,111.12,100,0
ROLLP.US,5,20210930,215000,110.77,110.77,110.59,110.68,2600,0
ROLLP.US,5,20210930,215500,110.68,111.47,110.6,111.47,8329,0
ROLLP.US,5,20211001,160500,111.51,111.89,111.51,111.54,6955,0
ROLLP.US,5,20211001,161500,111.06,111.07,111.04,111.04,1000,0
ROLLP.US,5,20211004,215500,112.21,112.21,112.21,112.21,200,0
ROLLP.US,5,20211005,160000,110.92,110.92,110.92,110.92,255,0
ROLLP.US,5,20211005,161000,111.45,111.45,111.41,111.41,500,0
ROLLP.US,5,20211005,161500,111.41,111.41,110.61,111.08,3174,0
ROLLP.US,5,20211005,163000,111.37,111.37,111.36,111.36,500,0
ROLLP.US,5,20211005,170500,111.33,111.33,111.32,111.33,1147,0
ROLLP.US,5,20211005,181500,111.05,111.05,111.05,111.05,475,0
ROLLP.US,5,20211005,185500,110.75,110.75,110.75,110.75,500,0
ROLLP.US,5,20211005,190500,111,111,111,111,500,0
ROLLP.US,5,20211005,200500,110.87,110.87,110.68,110.68,1499,0
ROLLP.US,5,20211005,202500,110.57,110.57,110.47,110.51,1300,0
ROLLP.US,5,20211005,210000,110.81,110.81,110.8,110.81,1062,0
ROLLP.US,5,20211005,211500,110.88,110.88,110.88,110.88,426,0
ROLLP.US,5,20211005,213500,110.94,110.94,110.92,110.92,500,0
ROLLP.US,5,20211006,163500,110.03,110.03,110,110,1100,0
ROLLP.US,5,20211006,201500,110.3,110.3,110.3,110.3,200,0
ROLLP.US,5,20211007,215500,113.62,113.62,113.62,113.62,100,0
ROLLP.US,5,20211008,200000,112.253,112.253,112.253,112.253,225,0
ROLLP.US,5,20211011,215500,112.03,112.03,111.88,111.88,200,0
ROLLP.US,5,20211012,215500,112.27,112.27,112.27,112.27,100,0
ROLLP.US,5,20211013,155500,111.72,111.72,111.71,111.71,1100,0
ROLLP.US,5,20211013,160000,111.78,111.78,111.78,111.78,100,0
ROLLP.US,5,20211013,160500,111.81,111.81,111.81,111.81,100,0
ROLLP.US,5,20211013,173500,112.65,112.65,112.65,112.65,100,0
ROLLP.US,5,20211013,191000,112.68,112.68,112.68,112.68,100,0
ROLLP.US,5,20211013,200500,112.24,112.24,112.24,112.24,100,0
ROLLP.US,5,20211013,213000,111.57,111.57,111.57,111.57,100,0
ROLLP.US,5,20211014,215500,113.6,113.839,113.56,113.64,12825,0
ROLLP.US,5,20211015,163500,114.41,114.41,114.41,114.41,200,0
ROLLP.US,5,20211015,165000,114.81,114.81,114.81,114.81,100,0
ROLLP.US,5,20211015,172500,114.42,114.42,114.42,114.42,100,0
ROLLP.US,5,20211015,180500,114.32,114.32,114.32,114.32,300,0
ROLLP.US,5,20211015,212000,114.61,114.61,114.61,114.61,100,0
ROLLP.US,5,20211015,213000,114.53,114.53,114.53,114.53,100,0
ROLLP.US,5,20211018,165500,114.31,114.31,114.31,114.31,100,0
ROLLP.US,5,20211018,191000,115.08,115.14,115.08,115.14,700,0
ROLLP.US,5,20211018,200500,115.07,115.07,115.07,115.07,100,0
ROLLP.US,5,20211018,202000,115.33,115.33,115.33,115.33,100,0
ROLLP.US,5,20211018,202500,115.5,115.5,115.5,115.5,200,0
ROLLP.US,5,20211018,212500,115.4,115.46,115.4,115.46,200,0
ROLLP.US,5,20211018,213000,115.46,115.56,115.46,115.51,600,0
ROLLP.US,5,20211018,213500,115.54,115.62,115.54,115.62,400,0
ROLLP.US,5,20211018,214000,115.7,115.76,115.7,115.74,400,0
ROLLP.US,5,20211019,164500,115.71,115.71,115.71,115.71,300,0
ROLLP.US,5,20211019,165000,115.71,115.71,115.71,115.71,700,0
ROLLP.US,5,20211019,165500,116.18,116.48,116.18,116.48,1700,0
ROLLP.US,5,20211019,170500,116.64,116.85,116.64,116.85,1300,0
ROLLP.US,5,20211019,171000,116.85,116.85,116.85,116.85,800,0
ROLLP.US,5,20211019,171500,116.95,116.95,116.95,116.95,200,0
ROLLP.US,5,20211019,173000,116.71,116.87,116.71,116.87,400,0
ROLLP.US,5,20211019,173500,116.9,117.16,116.9,117.16,500,0
ROLLP.US,5,20211019,174000,117.08,117.08,117.02,117.02,300,0
ROLLP.US,5,20211019,174500,117.02,117.02,117.01,117.01,300,0
ROLLP.US,5,20211019,175000,117.03,117.07,117.03,117.03,500,0
ROLLP.US,5,20211019,175500,117.01,117.01,117.01,117.01,700,0
ROLLP.US,5,20211019,180000,117.01,117.03,117.01,117.03,1803,0
ROLLP.US,5,20211019,181000,117.02,117.07,117.02,117.07,200,0
ROLLP.US,5,20211019,184500,117.32,117.32,117.32,117.32,100,0
ROLLP.US,5,20211019,192000,117.18,117.18,117.12,117.12,200,0
ROLLP.US,5,20211019,195500,117.08,117.08,117,117,2100,0
ROLLP.US,5,20211019,200000,117,117,117,117,1090,0
ROLLP.US,5,20211019,203000,116.56,116.56,116.56,116.56,298,0
