<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEIC.US,5,20210922,153000,58.43,58.43,57.9,57.9,3239,0
SEIC.US,5,20210922,154000,58.07,58.36,58.03,58.24,3684,0
SEIC.US,5,20210922,154500,58.215,58.23,58.17,58.17,321,0
SEIC.US,5,20210922,155000,58.16,58.26,58.135,58.26,1837,0
SEIC.US,5,20210922,155500,58.29,58.42,58.225,58.42,800,0
SEIC.US,5,20210922,160000,58.35,58.505,58.35,58.495,5246,0
SEIC.US,5,20210922,160500,58.64,58.64,58.54,58.54,500,0
SEIC.US,5,20210922,161000,58.55,58.55,58.46,58.46,1304,0
SEIC.US,5,20210922,161500,58.42,58.49,58.39,58.405,1908,0
SEIC.US,5,20210922,162000,58.44,58.44,58.3,58.3,905,0
SEIC.US,5,20210922,162500,58.265,58.39,58.265,58.34,2900,0
SEIC.US,5,20210922,163000,58.32,58.37,58.25,58.28,3307,0
SEIC.US,5,20210922,163500,58.27,58.27,58.155,58.16,862,0
SEIC.US,5,20210922,164000,58.17,58.22,58.17,58.21,2000,0
SEIC.US,5,20210922,164500,58.22,58.31,58.22,58.31,1900,0
SEIC.US,5,20210922,165000,58.31,58.33,58.29,58.33,617,0
SEIC.US,5,20210922,165500,58.33,58.42,58.33,58.42,900,0
SEIC.US,5,20210922,170000,58.4,58.42,58.36,58.36,2663,0
SEIC.US,5,20210922,170500,58.38,58.38,58.34,58.34,300,0
SEIC.US,5,20210922,171000,58.35,58.41,58.35,58.4,2357,0
SEIC.US,5,20210922,171500,58.42,58.4326,58.41,58.41,1000,0
SEIC.US,5,20210922,172000,58.39,58.39,58.36,58.38,1065,0
SEIC.US,5,20210922,172500,58.37,58.42,58.34,58.35,1202,0
SEIC.US,5,20210922,173000,58.34,58.43,58.34,58.43,3593,0
SEIC.US,5,20210922,173500,58.44,58.44,58.41,58.42,800,0
SEIC.US,5,20210922,174000,58.3875,58.3875,58.3875,58.3875,120,0
SEIC.US,5,20210922,174500,58.4,58.43,58.4,58.43,577,0
SEIC.US,5,20210922,175000,58.45,58.51,58.3,58.39,2200,0
SEIC.US,5,20210922,175500,58.39,58.42,58.39,58.42,400,0
SEIC.US,5,20210922,180000,58.44,58.48,58.44,58.46,850,0
SEIC.US,5,20210922,180500,58.47,58.48,58.45,58.48,688,0
SEIC.US,5,20210922,181000,58.46,58.49,58.46,58.49,200,0
SEIC.US,5,20210922,181500,58.49,58.49,58.45,58.45,1667,0
SEIC.US,5,20210922,182000,58.47,58.48,58.459,58.459,1300,0
SEIC.US,5,20210922,182500,58.43,58.44,58.42,58.42,500,0
SEIC.US,5,20210922,183000,58.41,58.42,58.41,58.42,200,0
SEIC.US,5,20210922,183500,58.43,58.43,58.42,58.42,600,0
SEIC.US,5,20210922,184000,58.39,58.39,58.38,58.38,700,0
SEIC.US,5,20210922,184500,58.375,58.38,58.335,58.335,723,0
SEIC.US,5,20210922,185000,58.335,58.36,58.335,58.34,1652,0
SEIC.US,5,20210922,190000,58.38,58.39,58.35,58.35,600,0
SEIC.US,5,20210922,190500,58.345,58.39,58.34,58.35,859,0
SEIC.US,5,20210922,191000,58.32,58.32,58.32,58.32,100,0
SEIC.US,5,20210922,191500,58.33,58.34,58.3,58.34,1600,0
SEIC.US,5,20210922,192000,58.34,58.35,58.33,58.33,311,0
SEIC.US,5,20210922,192500,58.32,58.335,58.32,58.335,315,0
SEIC.US,5,20210922,193000,58.32,58.335,58.32,58.335,3833,0
SEIC.US,5,20210922,193500,58.335,58.335,58.29,58.29,3610,0
SEIC.US,5,20210922,194000,58.28,58.335,58.28,58.335,1000,0
SEIC.US,5,20210922,194500,58.335,58.335,58.28,58.28,575,0
SEIC.US,5,20210922,195000,58.28,58.28,58.26,58.26,1157,0
SEIC.US,5,20210922,195500,58.289,58.33,58.289,58.33,942,0
SEIC.US,5,20210922,200000,58.28,58.44,58.23,58.44,1056,0
SEIC.US,5,20210922,200500,58.47,58.47,58.41,58.41,276,0
SEIC.US,5,20210922,201000,58.475,58.53,58.475,58.53,813,0
SEIC.US,5,20210922,201500,58.585,58.585,58.54,58.54,1545,0
SEIC.US,5,20210922,202000,58.54,58.5794,58.47,58.52,1635,0
