<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SLCRW.US,5,20210922,155000,0.6193,0.6193,0.6193,0.6193,200,0
SLCRW.US,5,20210922,161500,0.6194,0.6194,0.619288,0.6194,552,0
SLCRW.US,5,20210922,162500,0.6193,0.6193,0.6193,0.6193,900,0
SLCRW.US,5,20210922,164500,0.644899,0.645,0.6299,0.62995,2170,0
SLCRW.US,5,20210922,165000,0.629949,0.629949,0.6276,0.628964,500,0
SLCRW.US,5,20210922,165500,0.6276,0.6276,0.6276,0.6276,100,0
SLCRW.US,5,20210922,170500,0.63,0.63,0.63,0.63,100,0
SLCRW.US,5,20210922,171000,0.6302,0.6302,0.6302,0.6302,400,0
SLCRW.US,5,20210922,175000,0.633,0.633,0.633,0.633,1000,0
SLCRW.US,5,20210922,175500,0.6349,0.6349,0.6348,0.6348,1000,0
SLCRW.US,5,20210922,183500,0.6499,0.66,0.6399,0.66,11245,0
SLCRW.US,5,20210922,185000,0.66,0.66,0.66,0.66,100,0
SLCRW.US,5,20210922,193000,0.64,0.66,0.6345,0.6345,1713,0
SLCRW.US,5,20210922,194000,0.66,0.66,0.66,0.66,100,0
SLCRW.US,5,20210922,203000,0.65998,0.65998,0.65998,0.65998,500,0
SLCRW.US,5,20210922,204000,0.66,0.66,0.66,0.66,100,0
SLCRW.US,5,20210922,205000,0.6599,0.6599,0.6599,0.6599,100,0
SLCRW.US,5,20210922,205500,0.6599,0.6599,0.6599,0.6599,100,0
SLCRW.US,5,20210922,211000,0.6599,0.6599,0.64,0.64,2423,0
SLCRW.US,5,20210922,211500,0.645,0.645,0.645,0.645,102,0
SLCRW.US,5,20210922,215500,0.6488,0.66,0.6488,0.66,3000,0
SLCRW.US,5,20210923,153000,0.659,0.659,0.659,0.659,1000,0
SLCRW.US,5,20210923,155500,0.652,0.652,0.652,0.652,500,0
SLCRW.US,5,20210923,173000,0.6545,0.6545,0.6545,0.6545,100,0
SLCRW.US,5,20210923,174000,0.655,0.655,0.655,0.655,4914,0
SLCRW.US,5,20210923,174500,0.6547,0.655,0.6504,0.653,10020,0
SLCRW.US,5,20210923,175500,0.65245,0.654,0.65245,0.654,400,0
SLCRW.US,5,20210923,193000,0.655,0.655,0.655,0.655,600,0
SLCRW.US,5,20210923,194500,0.655,0.655,0.6543,0.6543,990,0
SLCRW.US,5,20210923,201500,0.6543,0.655,0.654,0.655,1121,0
SLCRW.US,5,20210923,202000,0.655,0.655,0.655,0.655,100,0
SLCRW.US,5,20210923,205500,0.655,0.655,0.655,0.655,200,0
SLCRW.US,5,20210923,210000,0.65495,0.655,0.65495,0.655,475,0
SLCRW.US,5,20210923,215500,0.66,0.6886,0.655,0.6886,3800,0
SLCRW.US,5,20210924,153000,0.67,0.67,0.67,0.67,1000,0
SLCRW.US,5,20210924,155500,0.67,0.67,0.67,0.67,400,0
SLCRW.US,5,20210924,171000,0.67,0.67,0.66495,0.66495,1100,0
