<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPNS.US,5,20210922,153000,28.45,28.48,28.24,28.24,2519,0
SPNS.US,5,20210922,153500,28.2,28.34,28.2,28.34,300,0
SPNS.US,5,20210922,154000,28.26,28.445,28.26,28.445,1571,0
SPNS.US,5,20210922,154500,28.48,28.48,28.44,28.47,700,0
SPNS.US,5,20210922,155000,28.64,28.65,28.58,28.65,800,0
SPNS.US,5,20210922,155500,28.67,28.9,28.67,28.9,1600,0
SPNS.US,5,20210922,160500,28.76,28.76,28.73,28.73,400,0
SPNS.US,5,20210922,161000,28.72,28.73,28.65,28.65,300,0
SPNS.US,5,20210922,162000,28.65,28.65,28.65,28.65,100,0
SPNS.US,5,20210922,162500,28.66,28.66,28.66,28.66,100,0
SPNS.US,5,20210922,163500,28.65,28.7,28.61,28.7,400,0
SPNS.US,5,20210922,164000,28.64,28.64,28.635,28.635,200,0
SPNS.US,5,20210922,165000,28.57,28.72,28.56,28.56,800,0
SPNS.US,5,20210922,170000,28.65,28.65,28.65,28.65,500,0
SPNS.US,5,20210922,170500,28.7,28.89,28.7,28.88,1539,0
SPNS.US,5,20210922,171000,28.845,28.88,28.845,28.88,600,0
SPNS.US,5,20210922,171500,28.9,28.91,28.9,28.9,600,0
SPNS.US,5,20210922,172000,28.93,28.94,28.93,28.94,300,0
SPNS.US,5,20210922,172500,28.92,28.94,28.88,28.88,300,0
SPNS.US,5,20210922,173000,28.9,29.08,28.9,29.08,1700,0
SPNS.US,5,20210922,174000,29.1,29.1,28.97,28.97,600,0
SPNS.US,5,20210922,174500,29.035,29.035,28.98,28.98,200,0
SPNS.US,5,20210922,175000,29.08,29.1,28.96,28.98,800,0
SPNS.US,5,20210922,175500,29.07,29.09,29.07,29.09,400,0
SPNS.US,5,20210922,180000,29,29.09,29,29.09,600,0
SPNS.US,5,20210922,180500,29,29.09,29,29.09,400,0
SPNS.US,5,20210922,181000,29.02,29.09,29.02,29.08,600,0
SPNS.US,5,20210922,182000,29.04,29.08,28.98,29.01,1399,0
SPNS.US,5,20210922,182500,29,29.04,29,29.04,650,0
SPNS.US,5,20210922,183000,29.04,29.04,29.02,29.02,1100,0
SPNS.US,5,20210922,183500,29.04,29.07,29.04,29.07,600,0
SPNS.US,5,20210922,184000,29.035,29.06,29.01,29.01,700,0
SPNS.US,5,20210922,184500,28.96,28.96,28.88,28.89,1000,0
SPNS.US,5,20210922,185000,28.96,28.96,28.96,28.96,100,0
SPNS.US,5,20210922,185500,28.96,28.96,28.95,28.95,300,0
SPNS.US,5,20210922,190000,28.9,28.9,28.89,28.89,420,0
SPNS.US,5,20210922,190500,28.92,28.92,28.89,28.89,200,0
SPNS.US,5,20210922,191000,28.92,28.92,28.85,28.85,300,0
SPNS.US,5,20210922,191500,28.89,28.89,28.89,28.89,500,0
SPNS.US,5,20210922,192000,28.93,28.93,28.93,28.93,100,0
SPNS.US,5,20210922,192500,28.93,28.94,28.93,28.94,800,0
SPNS.US,5,20210922,193000,28.94,28.94,28.93,28.93,200,0
SPNS.US,5,20210922,193500,28.95,28.96,28.95,28.96,300,0
SPNS.US,5,20210922,194000,28.88,29.01,28.88,29.01,700,0
SPNS.US,5,20210922,194500,29,29.05,28.96,29.02,700,0
SPNS.US,5,20210922,195000,29.01,29.01,29.01,29.01,100,0
SPNS.US,5,20210922,195500,28.96,29.02,28.95,29.02,1200,0
SPNS.US,5,20210922,200000,29.02,29.06,29.02,29.06,400,0
SPNS.US,5,20210922,201000,29.04,29.04,28.96,28.96,300,0
SPNS.US,5,20210922,201500,28.98,29.16,28.98,29.15,1805,0
SPNS.US,5,20210922,202000,29.08,29.08,29.08,29.08,100,0
SPNS.US,5,20210922,202500,29.01,29.01,28.99,28.99,200,0
SPNS.US,5,20210922,203000,29.025,29.18,29.025,29.11,2459,0
SPNS.US,5,20210922,203500,29.045,29.045,29.045,29.045,100,0
SPNS.US,5,20210922,204500,28.99,29,28.99,29,200,0
SPNS.US,5,20210922,205000,28.9,29.05,28.9,29.05,900,0
SPNS.US,5,20210922,205500,29.03,29.05,28.95,29.02,1600,0
SPNS.US,5,20210922,210500,28.84,28.91,28.84,28.91,1366,0
SPNS.US,5,20210922,211000,28.95,29,28.95,29,1000,0
SPNS.US,5,20210922,211500,28.99,29.02,28.99,29.01,1100,0
SPNS.US,5,20210922,212500,29,29.19,28.98,29.19,2500,0
SPNS.US,5,20210922,213000,29.135,29.135,29.06,29.1,800,0
SPNS.US,5,20210922,213500,29.085,29.13,29.04,29.1,1323,0
SPNS.US,5,20210922,214000,29.085,29.16,29.085,29.16,1400,0
SPNS.US,5,20210922,214500,29.176,29.19,29.08,29.17,2732,0
SPNS.US,5,20210922,215000,29.13,29.27,29.13,29.15,5366,0
SPNS.US,5,20210922,215500,29.19,29.23,29.11,29.11,16270,0
SPNS.US,5,20210923,153000,29.41,29.41,29.26,29.26,1295,0
SPNS.US,5,20210923,153500,29.24,29.42,29.24,29.42,650,0
SPNS.US,5,20210923,154000,29.33,29.33,29.33,29.33,100,0
SPNS.US,5,20210923,154500,29.32,29.32,29.32,29.32,500,0
SPNS.US,5,20210923,161500,29.305,29.305,29.305,29.305,200,0
SPNS.US,5,20210923,162000,29.35,29.37,29.3,29.37,1000,0
SPNS.US,5,20210923,163000,29.44,29.44,29.43,29.43,200,0
SPNS.US,5,20210923,164000,29.32,29.32,29.31,29.31,200,0
SPNS.US,5,20210923,165500,29.3,29.355,29.3,29.355,381,0
SPNS.US,5,20210923,170000,29.36,29.36,29.31,29.31,200,0
SPNS.US,5,20210923,170500,29.31,29.31,29.25,29.275,1758,0
SPNS.US,5,20210923,171000,29.27,29.29,29.25,29.29,1234,0
SPNS.US,5,20210923,172000,29.3,29.37,29.3,29.37,1900,0
SPNS.US,5,20210923,172500,29.39,29.39,29.39,29.39,100,0
SPNS.US,5,20210923,173500,29.355,29.355,29.35,29.35,600,0
SPNS.US,5,20210923,174500,29.36,29.36,29.36,29.36,100,0
SPNS.US,5,20210923,175000,29.39,29.39,29.39,29.39,200,0
SPNS.US,5,20210923,175500,29.47,29.47,29.47,29.47,100,0
SPNS.US,5,20210923,180000,29.36,29.4511,29.36,29.4511,545,0
SPNS.US,5,20210923,180500,29.37,29.49,29.37,29.49,1503,0
SPNS.US,5,20210923,181000,29.45,29.45,29.45,29.45,100,0
SPNS.US,5,20210923,182000,29.49,29.65,29.49,29.62,8172,0
SPNS.US,5,20210923,182500,29.51,29.62,29.51,29.62,400,0
SPNS.US,5,20210923,184500,29.51,29.55,29.51,29.55,438,0
SPNS.US,5,20210923,185500,29.51,29.51,29.51,29.51,300,0
SPNS.US,5,20210923,190500,29.55,29.55,29.545,29.55,500,0
SPNS.US,5,20210923,191500,29.51,29.545,29.51,29.545,539,0
SPNS.US,5,20210923,192000,29.59,29.62,29.59,29.62,700,0
SPNS.US,5,20210923,192500,29.68,29.69,29.63,29.63,500,0
SPNS.US,5,20210923,193000,29.69,29.74,29.69,29.72,900,0
SPNS.US,5,20210923,193500,29.73,29.73,29.73,29.73,100,0
SPNS.US,5,20210923,194000,29.71,29.74,29.71,29.74,600,0
SPNS.US,5,20210923,195000,29.77,29.82,29.77,29.82,700,0
SPNS.US,5,20210923,195500,29.75,29.75,29.75,29.75,100,0
SPNS.US,5,20210923,201000,29.8,29.8,29.8,29.8,100,0
SPNS.US,5,20210923,201500,29.76,29.76,29.76,29.76,100,0
SPNS.US,5,20210923,202000,29.8,29.8,29.8,29.8,100,0
SPNS.US,5,20210923,203000,29.74,29.75,29.74,29.74,300,0
SPNS.US,5,20210923,204000,29.71,29.74,29.7,29.74,1000,0
SPNS.US,5,20210923,205500,29.75,29.75,29.74,29.75,700,0
SPNS.US,5,20210923,210000,29.76,29.76,29.76,29.76,100,0
SPNS.US,5,20210923,210500,29.75,29.75,29.75,29.75,138,0
SPNS.US,5,20210923,211500,29.77,29.77,29.77,29.77,100,0
SPNS.US,5,20210923,212000,29.77,29.77,29.77,29.77,100,0
SPNS.US,5,20210923,212500,29.76,29.79,29.76,29.79,400,0
SPNS.US,5,20210923,213000,29.73,29.74,29.73,29.74,200,0
SPNS.US,5,20210923,213500,29.78,29.86,29.77,29.86,1697,0
SPNS.US,5,20210923,214000,29.8408,29.86,29.83,29.83,1300,0
SPNS.US,5,20210923,214500,29.79,29.805,29.745,29.805,1427,0
SPNS.US,5,20210923,215000,29.805,29.9,29.805,29.9,1905,0
SPNS.US,5,20210923,215500,29.84,29.89,29.84,29.87,15564,0
SPNS.US,5,20210924,153000,29.62,29.62,29.14,29.14,1793,0
SPNS.US,5,20210924,153500,29.465,29.465,29.465,29.465,100,0
SPNS.US,5,20210924,154000,29.33,29.33,29.33,29.33,100,0
SPNS.US,5,20210924,154500,29.23,29.23,29.23,29.23,100,0
SPNS.US,5,20210924,161000,29.48,29.48,29.48,29.48,100,0
SPNS.US,5,20210924,162000,29.32,29.32,29.32,29.32,100,0
SPNS.US,5,20210924,164000,29.49,29.55,29.48,29.55,1307,0
SPNS.US,5,20210924,164500,29.53,29.54,29.52,29.54,400,0
SPNS.US,5,20210924,165000,29.48,29.48,29.48,29.48,200,0
SPNS.US,5,20210924,165500,29.43,29.43,29.42,29.42,200,0
SPNS.US,5,20210924,170000,29.42,29.42,29.42,29.42,100,0
SPNS.US,5,20210924,170500,29.55,29.55,29.55,29.55,300,0
SPNS.US,5,20210924,171000,29.53,29.58,29.44,29.58,1220,0
SPNS.US,5,20210924,171500,29.55,29.55,29.44,29.44,500,0
SPNS.US,5,20210924,172000,29.5,29.5,29.5,29.5,100,0
SPNS.US,5,20210924,172500,29.44,29.44,29.37,29.37,300,0
SPNS.US,5,20210924,175000,29.5,29.55,29.43,29.43,740,0
SPNS.US,5,20210924,175500,29.54,29.54,29.54,29.54,100,0
SPNS.US,5,20210924,180000,29.55,29.575,29.52,29.52,900,0
SPNS.US,5,20210924,181000,29.63,29.64,29.63,29.64,400,0
SPNS.US,5,20210924,181500,29.64,29.66,29.55,29.55,300,0
