<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPOK.US,5,20210922,153000,10.29,10.29,10.29,10.29,329,0
SPOK.US,5,20210922,154000,10.28,10.3,10.28,10.3,1264,0
SPOK.US,5,20210922,155500,10.2874,10.2874,10.2874,10.2874,350,0
SPOK.US,5,20210922,160500,10.3499,10.3499,10.3,10.3,800,0
SPOK.US,5,20210922,161000,10.3,10.3,10.3,10.3,200,0
SPOK.US,5,20210922,161500,10.26,10.26,10.26,10.26,100,0
SPOK.US,5,20210922,162000,10.32,10.33,10.32,10.33,200,0
SPOK.US,5,20210922,162500,10.27,10.27,10.27,10.27,100,0
SPOK.US,5,20210922,163000,10.27,10.27,10.27,10.27,100,0
SPOK.US,5,20210922,164500,10.26,10.26,10.26,10.26,100,0
SPOK.US,5,20210922,170500,10.2655,10.2655,10.26,10.26,300,0
SPOK.US,5,20210922,171000,10.28,10.29,10.25,10.26,900,0
SPOK.US,5,20210922,171500,10.27,10.27,10.27,10.27,200,0
SPOK.US,5,20210922,172000,10.27,10.27,10.27,10.27,100,0
SPOK.US,5,20210922,172500,10.27,10.27,10.26,10.26,200,0
SPOK.US,5,20210922,173500,10.26,10.26,10.26,10.26,200,0
SPOK.US,5,20210922,174000,10.26,10.26,10.25,10.25,400,0
SPOK.US,5,20210922,174500,10.25,10.25,10.22,10.22,1176,0
SPOK.US,5,20210922,175000,10.22,10.22,10.18,10.18,1496,0
SPOK.US,5,20210922,175500,10.18,10.21,10.18,10.21,200,0
SPOK.US,5,20210922,180000,10.18,10.18,10.18,10.18,200,0
SPOK.US,5,20210922,180500,10.195,10.21,10.195,10.21,700,0
SPOK.US,5,20210922,181000,10.19,10.205,10.19,10.205,200,0
SPOK.US,5,20210922,181500,10.19,10.205,10.19,10.19,400,0
SPOK.US,5,20210922,182000,10.19,10.19,10.19,10.19,100,0
SPOK.US,5,20210922,182500,10.19,10.205,10.19,10.19,500,0
SPOK.US,5,20210922,183000,10.19,10.19,10.19,10.19,476,0
SPOK.US,5,20210922,183500,10.18,10.19,10.18,10.19,300,0
SPOK.US,5,20210922,184000,10.18,10.2,10.18,10.2,1200,0
SPOK.US,5,20210922,184500,10.18,10.25,10.18,10.23,500,0
SPOK.US,5,20210922,185000,10.24,10.24,10.24,10.24,100,0
SPOK.US,5,20210922,185500,10.23,10.24,10.21,10.24,500,0
SPOK.US,5,20210922,190500,10.26,10.26,10.25,10.25,200,0
SPOK.US,5,20210922,191000,10.25,10.25,10.25,10.25,100,0
SPOK.US,5,20210922,191500,10.25,10.25,10.25,10.25,100,0
SPOK.US,5,20210922,192000,10.25,10.25,10.25,10.25,100,0
SPOK.US,5,20210922,192500,10.275,10.29,10.275,10.29,603,0
SPOK.US,5,20210922,194000,10.27,10.27,10.27,10.27,200,0
SPOK.US,5,20210922,194500,10.27,10.29,10.27,10.29,200,0
SPOK.US,5,20210922,195000,10.27,10.27,10.27,10.27,207,0
SPOK.US,5,20210922,195500,10.31,10.31,10.28,10.28,769,0
SPOK.US,5,20210922,200000,10.305,10.32,10.305,10.32,400,0
SPOK.US,5,20210922,200500,10.33,10.33,10.33,10.33,100,0
SPOK.US,5,20210922,201000,10.35,10.36,10.35,10.36,1508,0
SPOK.US,5,20210922,201500,10.37,10.37,10.35,10.35,223,0
SPOK.US,5,20210922,202000,10.35,10.37,10.35,10.37,526,0
SPOK.US,5,20210922,202500,10.34,10.34,10.34,10.34,300,0
SPOK.US,5,20210922,203000,10.35,10.355,10.34,10.34,1696,0
