<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPPI.US,5,20210922,153000,2.36,2.37,2.31,2.33,60991,0
SPPI.US,5,20210922,153500,2.32,2.33,2.32,2.325,10504,0
SPPI.US,5,20210922,154000,2.33,2.33,2.32,2.33,21553,0
SPPI.US,5,20210922,154500,2.33,2.33,2.32,2.325,7702,0
SPPI.US,5,20210922,155000,2.325,2.3472,2.325,2.345,25319,0
SPPI.US,5,20210922,155500,2.3411,2.355,2.34,2.34,39018,0
SPPI.US,5,20210922,160000,2.34,2.35,2.33,2.335,13649,0
SPPI.US,5,20210922,160500,2.3306,2.34,2.3306,2.34,13600,0
SPPI.US,5,20210922,161000,2.34,2.34,2.3301,2.34,728,0
SPPI.US,5,20210922,161500,2.34,2.34,2.335,2.34,2100,0
SPPI.US,5,20210922,162000,2.34,2.35,2.34,2.345,18837,0
SPPI.US,5,20210922,162500,2.35,2.35,2.333,2.3337,35835,0
SPPI.US,5,20210922,163000,2.335,2.34,2.33,2.33,16576,0
SPPI.US,5,20210922,163500,2.335,2.34,2.33,2.335,6609,0
SPPI.US,5,20210922,164000,2.335,2.34,2.33,2.34,17813,0
SPPI.US,5,20210922,164500,2.335,2.34,2.33,2.335,13151,0
SPPI.US,5,20210922,165000,2.34,2.34,2.335,2.335,2741,0
SPPI.US,5,20210922,165500,2.335,2.34,2.33,2.33,12950,0
SPPI.US,5,20210922,170000,2.325,2.33,2.325,2.325,12010,0
SPPI.US,5,20210922,170500,2.325,2.33,2.32,2.325,6641,0
SPPI.US,5,20210922,171000,2.3275,2.33,2.32,2.325,1400,0
SPPI.US,5,20210922,171500,2.32,2.325,2.31,2.31,31138,0
SPPI.US,5,20210922,172000,2.315,2.3177,2.31,2.315,15316,0
SPPI.US,5,20210922,172500,2.32,2.32,2.31,2.315,3350,0
SPPI.US,5,20210922,173000,2.311,2.32,2.311,2.315,7172,0
SPPI.US,5,20210922,173500,2.315,2.32,2.31,2.3199,5173,0
SPPI.US,5,20210922,174000,2.32,2.32,2.315,2.32,7793,0
SPPI.US,5,20210922,174500,2.3122,2.32,2.3,2.3091,25032,0
SPPI.US,5,20210922,175000,2.305,2.3074,2.3,2.305,11450,0
SPPI.US,5,20210922,175500,2.305,2.3074,2.3,2.3,5112,0
SPPI.US,5,20210922,180000,2.305,2.31,2.302,2.305,2113,0
SPPI.US,5,20210922,180500,2.305,2.3071,2.3001,2.305,9530,0
SPPI.US,5,20210922,181000,2.305,2.305,2.305,2.305,2000,0
SPPI.US,5,20210922,181500,2.305,2.3099,2.3,2.305,27906,0
SPPI.US,5,20210922,182000,2.3,2.31,2.3,2.305,3900,0
SPPI.US,5,20210922,182500,2.305,2.3099,2.305,2.305,7912,0
SPPI.US,5,20210922,183000,2.305,2.31,2.3,2.305,5471,0
SPPI.US,5,20210922,183500,2.305,2.31,2.3,2.305,7211,0
SPPI.US,5,20210922,184000,2.3068,2.31,2.3025,2.305,3901,0
SPPI.US,5,20210922,184500,2.305,2.3099,2.305,2.305,3300,0
SPPI.US,5,20210922,185000,2.305,2.305,2.305,2.305,1871,0
SPPI.US,5,20210922,185500,2.305,2.31,2.305,2.305,3812,0
SPPI.US,5,20210922,190000,2.305,2.31,2.3,2.305,8536,0
SPPI.US,5,20210922,190500,2.31,2.31,2.3,2.305,15781,0
SPPI.US,5,20210922,191000,2.305,2.3099,2.305,2.305,1165,0
SPPI.US,5,20210922,191500,2.305,2.3099,2.3,2.305,3425,0
SPPI.US,5,20210922,192000,2.305,2.305,2.29,2.295,53255,0
SPPI.US,5,20210922,192500,2.295,2.3,2.29,2.295,30917,0
SPPI.US,5,20210922,193000,2.2901,2.3,2.29,2.3,19224,0
SPPI.US,5,20210922,193500,2.2976,2.3,2.29,2.295,4217,0
SPPI.US,5,20210922,194000,2.295,2.3,2.295,2.3,888,0
SPPI.US,5,20210922,194500,2.295,2.295,2.2901,2.295,1731,0
SPPI.US,5,20210922,195000,2.295,2.295,2.295,2.295,1384,0
SPPI.US,5,20210922,195500,2.29,2.3,2.29,2.295,9970,0
SPPI.US,5,20210922,200000,2.295,2.33,2.295,2.32,30002,0
SPPI.US,5,20210922,200500,2.325,2.33,2.31,2.3256,18071,0
SPPI.US,5,20210922,201000,2.325,2.34,2.3201,2.34,28317,0
SPPI.US,5,20210922,201500,2.34,2.35,2.33,2.335,60335,0
SPPI.US,5,20210922,202000,2.335,2.3366,2.33,2.335,15788,0
SPPI.US,5,20210922,202500,2.3309,2.34,2.33,2.34,8170,0
SPPI.US,5,20210922,203000,2.33,2.34,2.33,2.335,19181,0
SPPI.US,5,20210922,203500,2.34,2.34,2.32,2.33,25439,0
SPPI.US,5,20210922,204000,2.335,2.335,2.32,2.325,11600,0
SPPI.US,5,20210922,204500,2.325,2.3279,2.31,2.31,9548,0
SPPI.US,5,20210922,205000,2.315,2.32,2.31,2.32,25618,0
SPPI.US,5,20210922,205500,2.315,2.33,2.315,2.32,20659,0
SPPI.US,5,20210922,210000,2.325,2.33,2.32,2.325,2935,0
SPPI.US,5,20210922,210500,2.32,2.325,2.31,2.315,17320,0
SPPI.US,5,20210922,211000,2.32,2.32,2.3134,2.315,6508,0
SPPI.US,5,20210922,211500,2.32,2.32,2.315,2.32,5846,0
