<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TBLTW.US,5,20210922,171000,0.1752,0.1752,0.1752,0.1752,1200,0
TBLTW.US,5,20210922,172000,0.1752,0.1753,0.1751,0.1751,1700,0
TBLTW.US,5,20210922,173000,0.1753,0.1753,0.1753,0.1753,170,0
TBLTW.US,5,20210923,154000,0.1877,0.1877,0.1877,0.1877,500,0
TBLTW.US,5,20210924,165000,0.18,0.18,0.18,0.18,500,0
TBLTW.US,5,20210924,170000,0.1799,0.1799,0.1799,0.1799,100,0
TBLTW.US,5,20210927,191500,0.1804,0.1804,0.18,0.18,3077,0
TBLTW.US,5,20210928,153000,0.1753,0.1753,0.1753,0.1753,699,0
TBLTW.US,5,20210929,153000,0.1753,0.1753,0.1753,0.1753,400,0
TBLTW.US,5,20210930,203500,0.199,0.199,0.199,0.199,6000,0
TBLTW.US,5,20210930,214500,0.1987,0.1987,0.1987,0.1987,100,0
TBLTW.US,5,20210930,215500,0.1871,0.1871,0.1871,0.1871,100,0
TBLTW.US,5,20211001,153000,0.1753,0.1753,0.1753,0.1753,400,0
TBLTW.US,5,20211001,160000,0.1811,0.1811,0.1811,0.1811,1400,0
TBLTW.US,5,20211001,165500,0.1989,0.1989,0.1989,0.1989,250,0
TBLTW.US,5,20211001,183000,0.195,0.2,0.192568,0.19305,7710,0
TBLTW.US,5,20211001,212000,0.193,0.193,0.192703,0.192703,300,0
TBLTW.US,5,20211001,214000,0.1929,0.1929,0.1929,0.1929,100,0
TBLTW.US,5,20211005,153000,0.185,0.185,0.185,0.185,620,0
TBLTW.US,5,20211007,213500,0.189001,0.189001,0.189001,0.189001,1127,0
TBLTW.US,5,20211008,190500,0.19,0.19,0.19,0.19,300,0
TBLTW.US,5,20211008,212500,0.19,0.19,0.1753,0.1753,19937,0
TBLTW.US,5,20211008,213000,0.1755,0.1755,0.175398,0.1754,1700,0
TBLTW.US,5,20211008,215000,0.1753,0.1753,0.1753,0.1753,10000,0
TBLTW.US,5,20211008,215500,0.1753,0.1753,0.1753,0.1753,200,0
TBLTW.US,5,20211011,153000,0.1753,0.1753,0.1753,0.1753,1800,0
TBLTW.US,5,20211011,173500,0.175401,0.175868,0.1753,0.175868,7938,0
TBLTW.US,5,20211011,185500,0.1753,0.1753,0.1753,0.1753,1401,0
TBLTW.US,5,20211011,192000,0.1753,0.1753,0.1753,0.1753,500,0
TBLTW.US,5,20211011,195000,0.1753,0.1753,0.1753,0.1753,3008,0
TBLTW.US,5,20211011,210000,0.1753,0.1753,0.1753,0.1753,100,0
TBLTW.US,5,20211011,213000,0.1753,0.1753,0.1753,0.1753,100,0
TBLTW.US,5,20211011,215500,0.1753,0.1753,0.1753,0.1753,100,0
TBLTW.US,5,20211012,164000,0.18,0.18,0.18,0.18,500,0
TBLTW.US,5,20211012,204500,0.180101,0.180101,0.180101,0.180101,150,0
TBLTW.US,5,20211012,210000,0.18,0.18,0.18,0.18,600,0
TBLTW.US,5,20211012,215000,0.1979,0.1979,0.1979,0.1979,14000,0
TBLTW.US,5,20211012,215500,0.18,0.18,0.18,0.18,1000,0
TBLTW.US,5,20211013,160500,0.180601,0.180601,0.180601,0.180601,150,0
TBLTW.US,5,20211013,162500,0.1806,0.1806,0.1806,0.1806,300,0
TBLTW.US,5,20211013,164000,0.1816,0.1816,0.1816,0.1816,1000,0
TBLTW.US,5,20211013,170000,0.180601,0.180938,0.1805,0.180938,2900,0
TBLTW.US,5,20211013,192500,0.1754,0.1754,0.1754,0.1754,17000,0
TBLTW.US,5,20211014,171500,0.1755,0.1755,0.1755,0.1755,300,0
TBLTW.US,5,20211015,153000,0.1755,0.1755,0.1755,0.1755,2000,0
TBLTW.US,5,20211015,195000,0.186851,0.186851,0.186851,0.186851,300,0
TBLTW.US,5,20211015,204500,0.1979,0.1979,0.1979,0.1979,6459,0
TBLTW.US,5,20211015,214500,0.18675,0.1978,0.18675,0.1978,5280,0
TBLTW.US,5,20211018,154500,0.1756,0.1756,0.1756,0.1756,800,0
TBLTW.US,5,20211018,184500,0.1758,0.1758,0.1758,0.1758,100,0
TBLTW.US,5,20211018,185000,0.1755,0.1755,0.1755,0.1755,540,0
TBLTW.US,5,20211018,215000,0.1754,0.1754,0.1754,0.1754,100,0
TBLTW.US,5,20211019,153500,0.194899,0.194899,0.194899,0.194899,1000,0
TBLTW.US,5,20211019,160500,0.185,0.185,0.185,0.185,300,0
TBLTW.US,5,20211019,161000,0.185,0.185,0.185,0.185,500,0
TBLTW.US,5,20211019,165000,0.1944,0.1978,0.1944,0.1978,13880,0
TBLTW.US,5,20211019,171000,0.195,0.195,0.190658,0.190658,6200,0
TBLTW.US,5,20211019,173000,0.1807,0.1807,0.1807,0.1807,250,0
TBLTW.US,5,20211019,181000,0.194899,0.195,0.194615,0.194615,360,0
