<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
THWWW.US,5,20210922,153000,0.4149,0.4149,0.4149,0.4149,138,0
THWWW.US,5,20210922,160500,0.41,0.41,0.4,0.4,3189,0
THWWW.US,5,20210922,161500,0.4,0.4,0.4,0.4,100,0
THWWW.US,5,20210922,162000,0.3934,0.3934,0.3934,0.3934,500,0
THWWW.US,5,20210922,163000,0.3934,0.3934,0.3934,0.3934,263,0
THWWW.US,5,20210922,170500,0.3974,0.3974,0.3974,0.3974,1000,0
THWWW.US,5,20210922,183500,0.380401,0.380992,0.3803,0.380992,600,0
THWWW.US,5,20210922,184000,0.4,0.4144,0.4,0.4,2700,0
THWWW.US,5,20210922,184500,0.4,0.4,0.4,0.4,600,0
THWWW.US,5,20210922,190000,0.4,0.4,0.4,0.4,100,0
THWWW.US,5,20210922,200500,0.4,0.4,0.4,0.4,2500,0
THWWW.US,5,20210922,201500,0.4,0.4,0.4,0.4,100,0
THWWW.US,5,20210922,202000,0.4,0.4,0.4,0.4,100,0
THWWW.US,5,20210922,204000,0.4,0.4,0.4,0.4,300,0
THWWW.US,5,20210922,205500,0.4,0.4,0.4,0.4,100,0
THWWW.US,5,20210922,215500,0.4,0.4,0.4,0.4,1400,0
THWWW.US,5,20210923,154000,0.3801,0.3975,0.38,0.3975,720,0
THWWW.US,5,20210923,163500,0.4,0.4,0.4,0.4,730,0
THWWW.US,5,20210923,164500,0.4148,0.4148,0.4148,0.4148,1500,0
THWWW.US,5,20210923,183500,0.4,0.4,0.4,0.4,1000,0
THWWW.US,5,20210923,215500,0.3999,0.3999,0.3999,0.3999,300,0
THWWW.US,5,20210924,165000,0.39,0.39,0.39,0.39,120766,0
THWWW.US,5,20210924,172000,0.39,0.39,0.380101,0.3899,1920,0
THWWW.US,5,20210924,203500,0.4,0.4,0.4,0.4,7950,0
THWWW.US,5,20210924,215500,0.4,0.4,0.4,0.4,300,0
THWWW.US,5,20210927,153500,0.4,0.4,0.4,0.4,1825,0
THWWW.US,5,20210927,170500,0.4,0.4,0.4,0.4,1100,0
THWWW.US,5,20210927,173500,0.3801,0.3894,0.38,0.3894,3000,0
THWWW.US,5,20210927,181500,0.3801,0.3894,0.38,0.3894,1100,0
THWWW.US,5,20210927,185000,0.3894,0.3894,0.3894,0.3894,1216,0
THWWW.US,5,20210927,215500,0.3999,0.3999,0.3999,0.3999,2000,0
THWWW.US,5,20210928,154500,0.3999,0.4002,0.3999,0.4002,1388,0
THWWW.US,5,20210928,160000,0.407399,0.407399,0.407399,0.407399,1200,0
THWWW.US,5,20210928,164500,0.3999,0.3999,0.3999,0.3999,100,0
THWWW.US,5,20210928,165000,0.3999,0.3999,0.3999,0.3999,600,0
THWWW.US,5,20210928,165500,0.38,0.4149,0.38,0.4149,5588,0
THWWW.US,5,20210928,170000,0.4148,0.4148,0.4148,0.4148,100,0
THWWW.US,5,20210928,171500,0.4148,0.4148,0.4148,0.4148,100,0
THWWW.US,5,20210928,172000,0.4148,0.4148,0.4148,0.4148,100,0
THWWW.US,5,20210928,181500,0.380101,0.415,0.3799,0.38,16182,0
THWWW.US,5,20210928,182000,0.370101,0.3724,0.37,0.3724,1670,0
THWWW.US,5,20210928,183000,0.3724,0.397,0.3724,0.3968,4600,0
THWWW.US,5,20210928,213500,0.3727,0.3727,0.3725,0.3725,7700,0
THWWW.US,5,20210928,214000,0.37,0.37,0.37,0.37,100,0
THWWW.US,5,20210928,215500,0.37,0.37,0.37,0.37,2000,0
THWWW.US,5,20210929,153500,0.38,0.4149,0.38,0.4149,2705,0
THWWW.US,5,20210929,162000,0.3703,0.3703,0.3703,0.3703,100,0
THWWW.US,5,20210929,170000,0.4,0.4,0.4,0.4,900,0
THWWW.US,5,20210929,175500,0.3655,0.3655,0.3655,0.3655,9050,0
THWWW.US,5,20210930,172500,0.394833,0.394833,0.394833,0.394833,500,0
