<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRVI.US,5,20210922,153000,1.3,1.401,1.3,1.401,7706,0
TRVI.US,5,20210922,153500,1.4,1.4,1.32,1.38,5680,0
TRVI.US,5,20210922,154000,1.4,1.4,1.4,1.4,100,0
TRVI.US,5,20210922,154500,1.4,1.4,1.4,1.4,400,0
TRVI.US,5,20210922,155000,1.4009,1.4009,1.4009,1.4009,500,0
TRVI.US,5,20210922,155500,1.37,1.4,1.35,1.4,6000,0
TRVI.US,5,20210922,160000,1.4,1.4,1.4,1.4,400,0
TRVI.US,5,20210922,160500,1.4,1.4001,1.4,1.4001,6573,0
TRVI.US,5,20210922,161000,1.4,1.4,1.35,1.35,1492,0
TRVI.US,5,20210922,161500,1.3501,1.3501,1.3,1.3,4609,0
TRVI.US,5,20210922,164500,1.3399,1.3399,1.31,1.31,3946,0
TRVI.US,5,20210922,165000,1.34,1.36,1.34,1.36,700,0
TRVI.US,5,20210922,165500,1.36,1.36,1.34,1.34,1900,0
TRVI.US,5,20210922,171500,1.365,1.368,1.365,1.368,1000,0
TRVI.US,5,20210922,175500,1.35,1.3745,1.35,1.3745,1100,0
TRVI.US,5,20210922,180000,1.35,1.38,1.31,1.38,2926,0
TRVI.US,5,20210922,181000,1.35,1.35,1.35,1.35,100,0
TRVI.US,5,20210922,183500,1.34,1.3705,1.3,1.3705,2049,0
TRVI.US,5,20210922,191500,1.336,1.336,1.336,1.336,500,0
TRVI.US,5,20210922,192500,1.34,1.34,1.33,1.33,3200,0
TRVI.US,5,20210922,193000,1.335,1.335,1.335,1.335,900,0
TRVI.US,5,20210922,193500,1.3523,1.3566,1.31,1.32,4700,0
TRVI.US,5,20210922,194000,1.32,1.32,1.3,1.3001,2000,0
TRVI.US,5,20210922,203000,1.33,1.33,1.33,1.33,400,0
TRVI.US,5,20210922,210500,1.31,1.31,1.31,1.31,100,0
TRVI.US,5,20210922,214500,1.33,1.34,1.33,1.33,3000,0
TRVI.US,5,20210922,215000,1.32,1.33,1.32,1.33,1259,0
TRVI.US,5,20210922,215500,1.33,1.33,1.31,1.31,1584,0
TRVI.US,5,20210923,153000,1.31,1.31,1.31,1.31,316,0
TRVI.US,5,20210923,153500,1.32,1.32,1.31,1.31,2000,0
TRVI.US,5,20210923,161000,1.38,1.38,1.335,1.335,1100,0
TRVI.US,5,20210923,162000,1.32,1.32,1.31,1.32,1981,0
TRVI.US,5,20210923,162500,1.31,1.32,1.31,1.3105,6759,0
TRVI.US,5,20210923,163500,1.31,1.31,1.31,1.31,200,0
TRVI.US,5,20210923,164000,1.3012,1.31,1.3,1.31,999,0
TRVI.US,5,20210923,165000,1.34,1.34,1.34,1.34,200,0
TRVI.US,5,20210923,165500,1.34,1.36,1.34,1.36,1600,0
TRVI.US,5,20210923,171000,1.34,1.34,1.34,1.34,900,0
TRVI.US,5,20210923,171500,1.33,1.33,1.32,1.32,200,0
TRVI.US,5,20210923,173500,1.32,1.32,1.29,1.3,6949,0
TRVI.US,5,20210923,174000,1.3,1.3,1.3,1.3,200,0
TRVI.US,5,20210923,175000,1.29,1.34,1.29,1.34,900,0
TRVI.US,5,20210923,175500,1.34,1.34,1.34,1.34,147,0
TRVI.US,5,20210923,182500,1.32,1.32,1.32,1.32,100,0
TRVI.US,5,20210923,191000,1.32,1.32,1.3,1.3,3000,0
TRVI.US,5,20210923,192500,1.33,1.33,1.33,1.33,700,0
TRVI.US,5,20210923,193000,1.3,1.3,1.3,1.3,100,0
TRVI.US,5,20210923,194000,1.3,1.3,1.3,1.3,100,0
TRVI.US,5,20210923,195000,1.3,1.3,1.3,1.3,100,0
TRVI.US,5,20210923,195500,1.3,1.3,1.3,1.3,100,0
TRVI.US,5,20210923,200500,1.31,1.31,1.31,1.31,100,0
TRVI.US,5,20210923,201000,1.31,1.31,1.31,1.31,100,0
TRVI.US,5,20210923,201500,1.31,1.31,1.31,1.31,100,0
TRVI.US,5,20210923,202000,1.31,1.31,1.31,1.31,100,0
TRVI.US,5,20210923,202500,1.31,1.31,1.31,1.31,100,0
TRVI.US,5,20210923,203000,1.3,1.3,1.3,1.3,100,0
TRVI.US,5,20210923,203500,1.3,1.3,1.3,1.3,100,0
TRVI.US,5,20210923,204000,1.3,1.3,1.3,1.3,100,0
TRVI.US,5,20210923,204500,1.3,1.3199,1.3,1.3199,300,0
TRVI.US,5,20210923,205000,1.31,1.31,1.31,1.31,200,0
TRVI.US,5,20210923,205500,1.3,1.3,1.3,1.3,100,0
TRVI.US,5,20210923,210000,1.31,1.31,1.31,1.31,100,0
TRVI.US,5,20210923,210500,1.3,1.3,1.3,1.3,100,0
TRVI.US,5,20210923,211500,1.3,1.3,1.3,1.3,100,0
TRVI.US,5,20210923,212000,1.3,1.3,1.3,1.3,100,0
TRVI.US,5,20210923,212500,1.3,1.3,1.3,1.3,100,0
TRVI.US,5,20210923,213000,1.3,1.3,1.3,1.3,700,0
TRVI.US,5,20210923,213500,1.3,1.3,1.3,1.3,100,0
TRVI.US,5,20210923,214000,1.31,1.31,1.31,1.31,100,0
TRVI.US,5,20210923,214500,1.3,1.3,1.3,1.3,200,0
TRVI.US,5,20210923,215000,1.31,1.31,1.31,1.31,500,0
TRVI.US,5,20210923,215500,1.31,1.3399,1.31,1.32,8225,0
TRVI.US,5,20210924,153000,1.32,1.3431,1.32,1.3431,1002,0
TRVI.US,5,20210924,153500,1.3,1.32,1.3,1.3,1888,0
TRVI.US,5,20210924,155000,1.34,1.34,1.34,1.34,100,0
TRVI.US,5,20210924,155500,1.35,1.35,1.35,1.35,100,0
TRVI.US,5,20210924,160000,1.34,1.34,1.34,1.34,100,0
TRVI.US,5,20210924,161000,1.3499,1.3499,1.3499,1.3499,600,0
TRVI.US,5,20210924,161500,1.35,1.35,1.35,1.35,100,0
TRVI.US,5,20210924,163000,1.35,1.35,1.35,1.35,100,0
TRVI.US,5,20210924,164500,1.35,1.35,1.35,1.35,100,0
TRVI.US,5,20210924,170000,1.345,1.3766,1.345,1.369,3288,0
TRVI.US,5,20210924,170500,1.37,1.37,1.37,1.37,100,0
TRVI.US,5,20210924,172500,1.37,1.37,1.37,1.37,100,0
TRVI.US,5,20210924,174500,1.37,1.37,1.37,1.37,100,0
TRVI.US,5,20210924,181000,1.37,1.37,1.37,1.37,100,0
TRVI.US,5,20210924,183500,1.37,1.37,1.37,1.37,100,0
TRVI.US,5,20210924,190000,1.37,1.37,1.37,1.37,100,0
TRVI.US,5,20210924,190500,1.3647,1.3647,1.3647,1.3647,660,0
TRVI.US,5,20210924,191000,1.35,1.3501,1.3401,1.3401,1939,0
TRVI.US,5,20210924,191500,1.3699,1.3699,1.3699,1.3699,200,0
TRVI.US,5,20210924,194500,1.36,1.36,1.36,1.36,100,0
TRVI.US,5,20210924,200500,1.3681,1.3681,1.3681,1.3681,500,0
TRVI.US,5,20210924,201000,1.38,1.38,1.38,1.38,100,0
TRVI.US,5,20210924,201500,1.3773,1.3773,1.3773,1.3773,4927,0
TRVI.US,5,20210924,202000,1.37,1.37,1.32,1.32,7356,0
TRVI.US,5,20210924,205000,1.35,1.35,1.35,1.35,100,0
TRVI.US,5,20210924,212000,1.36,1.41,1.36,1.41,10533,0
TRVI.US,5,20210924,212500,1.4,1.45,1.4,1.45,1600,0
TRVI.US,5,20210924,213000,1.42,1.42,1.41,1.42,3124,0
TRVI.US,5,20210924,213500,1.41,1.45,1.41,1.4386,2300,0
TRVI.US,5,20210924,214000,1.45,1.45,1.45,1.45,3000,0
TRVI.US,5,20210924,214500,1.42,1.4203,1.3775,1.3775,2900,0
TRVI.US,5,20210924,215000,1.44,1.45,1.41,1.45,3300,0
TRVI.US,5,20210924,215500,1.45,1.45,1.39,1.44,10948,0
TRVI.US,5,20210927,153000,1.43,1.43,1.43,1.43,2905,0
TRVI.US,5,20210927,154000,1.37,1.38,1.37,1.371,3240,0
TRVI.US,5,20210927,155000,1.34,1.37,1.34,1.37,4499,0
TRVI.US,5,20210927,155500,1.36,1.42,1.36,1.42,1600,0
TRVI.US,5,20210927,160500,1.39,1.4199,1.39,1.4199,910,0
TRVI.US,5,20210927,161500,1.3901,1.3901,1.3901,1.3901,500,0
TRVI.US,5,20210927,162000,1.39,1.4,1.37,1.38,2200,0
TRVI.US,5,20210927,162500,1.41,1.42,1.41,1.42,9994,0
TRVI.US,5,20210927,164500,1.3801,1.3801,1.3801,1.3801,5000,0
TRVI.US,5,20210927,165000,1.4,1.4065,1.38,1.4056,10490,0
TRVI.US,5,20210927,165500,1.38,1.38,1.36,1.36,10000,0
TRVI.US,5,20210927,170000,1.4,1.41,1.4,1.41,1000,0
TRVI.US,5,20210927,173000,1.38,1.38,1.33,1.33,6977,0
TRVI.US,5,20210927,173500,1.35,1.41,1.35,1.41,4490,0
TRVI.US,5,20210927,174500,1.41,1.42,1.41,1.42,900,0
TRVI.US,5,20210927,175000,1.4299,1.43,1.4299,1.43,9085,0
TRVI.US,5,20210927,180500,1.425,1.425,1.425,1.425,500,0
TRVI.US,5,20210927,181000,1.42,1.42,1.42,1.42,100,0
TRVI.US,5,20210927,182000,1.3735,1.3735,1.3735,1.3735,1667,0
TRVI.US,5,20210927,182500,1.4152,1.4152,1.4152,1.4152,920,0
TRVI.US,5,20210927,183500,1.395,1.395,1.3927,1.3927,200,0
TRVI.US,5,20210927,184000,1.41,1.43,1.4,1.4,27000,0
TRVI.US,5,20210927,184500,1.4258,1.43,1.41,1.4292,13164,0
TRVI.US,5,20210927,185500,1.43,1.51,1.43,1.51,11092,0
TRVI.US,5,20210927,190000,1.5111,1.5111,1.51,1.51,1408,0
TRVI.US,5,20210927,191000,1.515,1.515,1.5021,1.5021,6000,0
TRVI.US,5,20210927,191500,1.5499,1.5499,1.48,1.48,2553,0
