<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VQS.US,5,20210922,153000,3.22,3.22,3.22,3.22,319,0
VQS.US,5,20210922,153500,3.26,3.26,3.26,3.26,118,0
VQS.US,5,20210922,154000,3.27,3.3,3.25,3.25,5775,0
VQS.US,5,20210922,154500,3.25,3.25,3.2,3.2,800,0
VQS.US,5,20210922,155500,3.2499,3.2499,3.19,3.19,3095,0
VQS.US,5,20210922,160500,3.205,3.205,3.205,3.205,400,0
VQS.US,5,20210922,161000,3.205,3.22,3.205,3.205,3600,0
VQS.US,5,20210922,162000,3.22,3.22,3.22,3.22,200,0
VQS.US,5,20210922,162500,3.215,3.24,3.19,3.19,4377,0
VQS.US,5,20210922,163000,3.22,3.2389,3.2,3.2389,3900,0
VQS.US,5,20210922,163500,3.21,3.21,3.19,3.19,4555,0
VQS.US,5,20210922,165000,3.195,3.21,3.18,3.18,10324,0
VQS.US,5,20210922,165500,3.2086,3.22,3.19,3.22,4158,0
VQS.US,5,20210922,170000,3.2,3.2,3.19,3.19,7300,0
VQS.US,5,20210922,171000,3.195,3.21,3.195,3.21,2500,0
VQS.US,5,20210922,172000,3.2,3.2,3.2,3.2,1000,0
VQS.US,5,20210922,172500,3.21,3.21,3.21,3.21,100,0
VQS.US,5,20210922,174000,3.19,3.19,3.15,3.15,4497,0
VQS.US,5,20210922,175500,3.185,3.19,3.18,3.18,4010,0
VQS.US,5,20210922,180000,3.18,3.19,3.15,3.15,2100,0
VQS.US,5,20210922,180500,3.16,3.16,3.16,3.16,100,0
VQS.US,5,20210922,182000,3.17,3.1881,3.15,3.15,5800,0
VQS.US,5,20210922,183000,3.18,3.18,3.18,3.18,300,0
VQS.US,5,20210922,183500,3.17,3.19,3.15,3.16,6950,0
VQS.US,5,20210922,184500,3.16,3.16,3.16,3.16,400,0
VQS.US,5,20210922,185000,3.16,3.16,3.16,3.16,800,0
VQS.US,5,20210922,185500,3.1699,3.1699,3.15,3.15,3000,0
VQS.US,5,20210922,190000,3.1661,3.1661,3.15,3.15,400,0
VQS.US,5,20210922,190500,3.1656,3.168,3.14,3.14,1690,0
VQS.US,5,20210922,191000,3.16,3.16,3.16,3.16,100,0
VQS.US,5,20210922,191500,3.155,3.155,3.15,3.15,1700,0
VQS.US,5,20210922,192500,3.15,3.15,3.15,3.15,3100,0
VQS.US,5,20210922,194500,3.15,3.15,3.12,3.12,3600,0
VQS.US,5,20210922,195000,3.12,3.13,3.12,3.13,1100,0
VQS.US,5,20210922,195500,3.125,3.13,3.12,3.1268,2666,0
VQS.US,5,20210922,200000,3.13,3.14,3.1295,3.13,2000,0
VQS.US,5,20210922,201000,3.14,3.16,3.14,3.16,2500,0
VQS.US,5,20210922,201500,3.16,3.16,3.16,3.16,1100,0
VQS.US,5,20210922,203000,3.17,3.17,3.1658,3.17,900,0
VQS.US,5,20210922,203500,3.19,3.19,3.1855,3.1855,600,0
VQS.US,5,20210922,204000,3.19,3.19,3.18,3.19,400,0
VQS.US,5,20210922,211000,3.19,3.19,3.19,3.19,500,0
VQS.US,5,20210922,212500,3.18,3.18,3.18,3.18,600,0
VQS.US,5,20210922,213000,3.18,3.18,3.18,3.18,300,0
VQS.US,5,20210922,213500,3.18,3.19,3.17,3.185,3800,0
VQS.US,5,20210922,214000,3.2,3.2,3.17,3.185,6600,0
VQS.US,5,20210922,214500,3.1996,3.2,3.18,3.1896,1300,0
VQS.US,5,20210922,215000,3.19,3.2,3.19,3.2,3791,0
VQS.US,5,20210922,215500,3.2,3.22,3.19,3.19,7935,0
VQS.US,5,20210923,153000,3.27,3.41,3.27,3.35,2472,0
VQS.US,5,20210923,153500,3.35,3.35,3.3099,3.3099,800,0
VQS.US,5,20210923,154000,3.3,3.31,3.27,3.31,300,0
VQS.US,5,20210923,154500,3.31,3.31,3.31,3.31,100,0
VQS.US,5,20210923,155000,3.31,3.31,3.31,3.31,100,0
VQS.US,5,20210923,155500,3.3,3.3,3.3,3.3,100,0
