<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WIX.US,5,20210922,153000,207.5,207.57,206.37,207.1,10559,0
WIX.US,5,20210922,153500,207.42,207.42,206.67,207.06,800,0
WIX.US,5,20210922,154000,207.525,207.595,207.525,207.595,2156,0
WIX.US,5,20210922,154500,207.48,207.95,207.44,207.95,1364,0
WIX.US,5,20210922,155000,208,208.2,207.88,208.119,2170,0
WIX.US,5,20210922,155500,207.56,208.01,207.5,207.938,3580,0
WIX.US,5,20210922,160000,207.94,209.07,207.5,207.71,12005,0
WIX.US,5,20210922,160500,208.01,208.755,207.23,208.73,9029,0
WIX.US,5,20210922,161000,208.47,209.3,208.47,209.27,3947,0
WIX.US,5,20210922,161500,209.26,209.355,209.26,209.355,200,0
WIX.US,5,20210922,162000,209.132,209.78,209.132,209.47,4390,0
WIX.US,5,20210922,162500,209.91,210.01,209.91,210.01,200,0
WIX.US,5,20210922,163000,209.531,209.531,208.65,208.67,6121,0
WIX.US,5,20210922,163500,208.69,209.095,208.665,208.71,6654,0
WIX.US,5,20210922,164000,208.86,208.86,208.86,208.86,100,0
WIX.US,5,20210922,164500,208.83,209.17,208.78,209.17,2562,0
WIX.US,5,20210922,165000,209,209.47,208.94,209.47,1250,0
WIX.US,5,20210922,165500,209.4,209.817,209.01,209.01,671,0
WIX.US,5,20210922,170000,209.072,209.19,209,209.19,1640,0
WIX.US,5,20210922,170500,209.36,209.675,209.36,209.65,1500,0
WIX.US,5,20210922,171000,209.6,209.63,209.47,209.47,1062,0
WIX.US,5,20210922,171500,209.34,209.699,209.34,209.54,1140,0
WIX.US,5,20210922,172000,209.64,210.18,209.64,209.955,9192,0
WIX.US,5,20210922,172500,210,210.43,210,210.37,1530,0
WIX.US,5,20210922,173000,210.58,210.58,210.31,210.43,1751,0
WIX.US,5,20210922,173500,210.38,210.38,210.13,210.13,1000,0
WIX.US,5,20210922,174000,210.05,210.125,210.02,210.125,900,0
WIX.US,5,20210922,174500,209.89,210.05,209.89,210.03,1614,0
WIX.US,5,20210922,175000,210,210.39,209.86,210.02,19170,0
WIX.US,5,20210922,175500,210.05,210.23,210.05,210.23,600,0
WIX.US,5,20210922,180000,210.24,210.533,210.17,210.3,1016,0
WIX.US,5,20210922,180500,210.53,210.545,210.02,210.02,2815,0
WIX.US,5,20210922,181000,210.11,210.11,209.543,209.543,3182,0
WIX.US,5,20210922,182000,209.64,209.64,209.49,209.58,600,0
WIX.US,5,20210922,182500,209.666,209.688,209.666,209.688,200,0
WIX.US,5,20210922,183000,209.74,209.83,209.74,209.83,400,0
WIX.US,5,20210922,183500,209.94,209.95,209.7,209.7,1182,0
WIX.US,5,20210922,184000,209.79,209.79,209.57,209.61,3111,0
WIX.US,5,20210922,185000,209.6,209.6,209.47,209.57,1100,0
WIX.US,5,20210922,185500,209.49,209.7,209.49,209.7,500,0
WIX.US,5,20210922,190000,209.66,209.81,209.58,209.8,2000,0
WIX.US,5,20210922,190500,209.69,209.76,209.53,209.685,3175,0
WIX.US,5,20210922,191000,209.69,209.72,209.44,209.72,1347,0
WIX.US,5,20210922,191500,209.44,209.545,209,209.038,2611,0
WIX.US,5,20210922,192000,209.02,209.18,208.95,209.18,2799,0
WIX.US,5,20210922,192500,209.3,209.7,209.3,209.7,1295,0
WIX.US,5,20210922,193000,209.73,210.2,209.54,210.03,1838,0
WIX.US,5,20210922,193500,209.88,210.01,209.77,210.01,500,0
WIX.US,5,20210922,194000,210.045,210.2,209.94,209.94,1529,0
WIX.US,5,20210922,194500,209.85,209.895,209.71,209.71,700,0
WIX.US,5,20210922,195000,209.64,209.69,209.445,209.69,670,0
WIX.US,5,20210922,195500,209.64,210.01,209.6,210.01,1004,0
WIX.US,5,20210922,200000,209.86,210.22,209.58,210.08,4090,0
WIX.US,5,20210922,200500,210.03,210.165,209.84,210.1,3700,0
WIX.US,5,20210922,201000,210.13,210.57,209.96,210.36,5295,0
WIX.US,5,20210922,201500,210.55,210.925,210.55,210.62,3753,0
WIX.US,5,20210922,202000,210.68,210.705,210.22,210.33,1600,0
WIX.US,5,20210922,202500,210.14,210.3,209.95,210.08,3900,0
WIX.US,5,20210922,203000,210.26,210.26,209.84,209.88,12219,0
WIX.US,5,20210922,203500,209.88,210.06,209.77,210.06,800,0
WIX.US,5,20210922,204000,210.019,210.019,209.455,209.7,1387,0
WIX.US,5,20210922,204500,209.92,210.02,209.43,209.565,6531,0
WIX.US,5,20210922,205000,209.42,209.81,209.195,209.81,2418,0
WIX.US,5,20210922,205500,209.65,209.97,209.55,209.86,2035,0
WIX.US,5,20210922,210000,209.7,210.035,209.7,209.977,1720,0
WIX.US,5,20210922,210500,209.675,209.785,209.54,209.785,4300,0
WIX.US,5,20210922,211000,210,210.175,209.66,209.695,4082,0
WIX.US,5,20210922,211500,209.695,209.87,209.51,209.66,1400,0
WIX.US,5,20210922,212000,209.74,209.99,209.74,209.83,1800,0
WIX.US,5,20210922,212500,210,210.05,209.92,210.01,1456,0
WIX.US,5,20210922,213000,209.845,210.18,209.78,210.18,5800,0
WIX.US,5,20210922,213500,210.07,210.23,209.95,209.96,5882,0
WIX.US,5,20210922,214000,210,210.16,209.66,209.66,7151,0
WIX.US,5,20210922,214500,209.68,210.12,209.68,210.06,3829,0
WIX.US,5,20210922,215000,210.02,210.17,209.81,210,9005,0
WIX.US,5,20210922,215500,209.94,210.03,209.69,210,93317,0
WIX.US,5,20210923,153000,210.49,210.97,210,210.4,8810,0
WIX.US,5,20210923,153500,211.015,211.28,209.71,210.895,5245,0
WIX.US,5,20210923,154000,211.15,211.435,210.83,210.88,11589,0
WIX.US,5,20210923,154500,210.98,211.06,210.05,210.595,7080,0
WIX.US,5,20210923,155000,211.195,211.2,210.07,210.485,6902,0
WIX.US,5,20210923,155500,210.365,210.61,209.46,209.95,26276,0
WIX.US,5,20210923,160000,210,210.03,209.33,209.61,9783,0
WIX.US,5,20210923,160500,209.4,209.512,208.76,208.76,3651,0
WIX.US,5,20210923,161000,208.829,208.829,207.89,207.89,2240,0
WIX.US,5,20210923,161500,207.49,207.7,207.39,207.55,2228,0
WIX.US,5,20210923,162000,207.51,207.51,206.81,206.95,6243,0
WIX.US,5,20210923,162500,206.86,206.86,206.13,206.31,3313,0
WIX.US,5,20210923,163000,206.165,207.13,206.165,206.95,1917,0
WIX.US,5,20210923,163500,206.71,206.71,205.727,205.755,1944,0
WIX.US,5,20210923,164000,205.875,206.31,205.62,205.62,4076,0
WIX.US,5,20210923,164500,205.765,206.29,205.765,206.027,930,0
WIX.US,5,20210923,165000,205.98,206.05,205.25,205.31,1750,0
WIX.US,5,20210923,165500,205.51,205.51,205.22,205.355,1378,0
WIX.US,5,20210923,170000,205.22,205.22,204.51,204.745,5333,0
WIX.US,5,20210923,170500,204.98,204.98,204.01,204.18,4155,0
WIX.US,5,20210923,171000,204.18,204.64,204.12,204.36,4416,0
WIX.US,5,20210923,171500,204.3,204.47,204.03,204.05,2100,0
WIX.US,5,20210923,172000,204.18,204.18,203.455,203.65,2500,0
WIX.US,5,20210923,172500,203.62,204.78,203.62,204.78,8065,0
WIX.US,5,20210923,173000,204.39,204.9,204.31,204.78,5153,0
WIX.US,5,20210923,173500,204.78,204.78,204.195,204.55,4000,0
WIX.US,5,20210923,174000,204.445,204.91,203.97,204.8,2403,0
WIX.US,5,20210923,174500,204.665,204.89,204.395,204.655,1309,0
WIX.US,5,20210923,175000,204.66,204.99,204.52,204.99,7965,0
