<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XMTR.US,5,20210922,153000,56.82,56.82,55.09,56.075,13331,0
XMTR.US,5,20210922,153500,56.205,56.99,55.92,56.57,3755,0
XMTR.US,5,20210922,154000,56.75,57.05,56.67,57,1200,0
XMTR.US,5,20210922,154500,57.09,57.64,57.07,57.28,2100,0
XMTR.US,5,20210922,155000,57.095,57.5,57.08,57.395,2600,0
XMTR.US,5,20210922,155500,57.7,57.9,57.565,57.565,600,0
XMTR.US,5,20210922,160000,57.54,57.93,57.535,57.535,1000,0
XMTR.US,5,20210922,160500,57.52,58.64,57.52,58.2,7615,0
XMTR.US,5,20210922,161000,58.6097,58.6097,58.055,58.25,4310,0
XMTR.US,5,20210922,161500,58.24,58.24,57.46,57.485,1700,0
XMTR.US,5,20210922,162000,57.53,57.67,57.205,57.205,1000,0
XMTR.US,5,20210922,162500,57.25,57.55,57.22,57.25,1300,0
XMTR.US,5,20210922,163000,57.23,57.33,56.485,56.485,2802,0
XMTR.US,5,20210922,163500,56.49,56.86,56.485,56.82,1513,0
XMTR.US,5,20210922,164000,56.93,57,56.63,56.83,1100,0
XMTR.US,5,20210922,164500,56.83,57.05,56.345,56.7,3500,0
XMTR.US,5,20210922,165000,56.98,56.98,56.695,56.735,1000,0
XMTR.US,5,20210922,165500,56.735,57.15,56.735,56.915,2540,0
XMTR.US,5,20210922,170000,56.98,57.13,56.79,56.9,2591,0
XMTR.US,5,20210922,170500,56.9,57.14,56.9,56.96,1088,0
XMTR.US,5,20210922,171000,57.41,57.41,56.94,57.3,1012,0
XMTR.US,5,20210922,171500,56.93,57.155,56.56,56.56,1500,0
XMTR.US,5,20210922,172000,56.8518,56.89,56.485,56.49,1260,0
XMTR.US,5,20210922,172500,56.62,56.76,56.37,56.5575,2100,0
XMTR.US,5,20210922,173000,56.72,56.86,56.455,56.85,1800,0
XMTR.US,5,20210922,173500,56.86,57.2335,56.73,56.9,1500,0
XMTR.US,5,20210922,174000,56.825,57.15,56.755,56.8,7750,0
XMTR.US,5,20210922,174500,56.87,57.145,56.8,56.855,1700,0
XMTR.US,5,20210922,175000,56.96,57.12,56.87,56.91,1800,0
XMTR.US,5,20210922,175500,57.07,57.08,56.905,56.94,2500,0
XMTR.US,5,20210922,180000,56.92,56.94,56.74,56.83,1703,0
XMTR.US,5,20210922,180500,56.715,56.93,56.715,56.9,800,0
XMTR.US,5,20210922,181000,56.85,56.93,56.59,56.65,1900,0
XMTR.US,5,20210922,181500,56.665,56.8,56.4802,56.53,1600,0
XMTR.US,5,20210922,182000,56.54,56.7,56.48,56.52,1600,0
XMTR.US,5,20210922,182500,56.48,56.79,56.48,56.495,1800,0
XMTR.US,5,20210922,183000,56.5595,56.7,56.51,56.51,1100,0
XMTR.US,5,20210922,183500,56.545,56.77,56.495,56.57,2800,0
XMTR.US,5,20210922,184000,56.57,56.7,56.47,56.57,2177,0
XMTR.US,5,20210922,184500,56.57,56.64,56.495,56.64,700,0
XMTR.US,5,20210922,185000,56.64,56.69,56.515,56.61,2500,0
XMTR.US,5,20210922,185500,56.5512,56.765,56.535,56.64,2975,0
XMTR.US,5,20210922,190000,56.545,56.645,56.52,56.565,1300,0
XMTR.US,5,20210922,190500,56.62,56.77,56.55,56.63,1803,0
XMTR.US,5,20210922,191000,56.615,56.73,56.615,56.68,1200,0
XMTR.US,5,20210922,191500,56.75,56.91,56.665,56.91,2200,0
XMTR.US,5,20210922,192000,56.8,57.04,56.775,56.92,2675,0
XMTR.US,5,20210922,192500,56.795,56.83,56.62,56.64,2600,0
XMTR.US,5,20210922,193000,56.62,56.74,56.62,56.74,600,0
XMTR.US,5,20210922,193500,56.7,56.73,56.56,56.56,1500,0
XMTR.US,5,20210922,194000,56.55,56.65,56.525,56.65,2400,0
XMTR.US,5,20210922,194500,56.575,56.69,56.52,56.585,1600,0
XMTR.US,5,20210922,195000,56.645,56.74,56.645,56.705,1200,0
XMTR.US,5,20210922,195500,56.67,57,56.54,56.54,1844,0
XMTR.US,5,20210922,200000,56.545,56.75,56.54,56.75,1000,0
XMTR.US,5,20210922,200500,56.565,56.83,56.55,56.65,3300,0
XMTR.US,5,20210922,201000,56.65,56.745,56.615,56.685,1900,0
XMTR.US,5,20210922,201500,57,57.03,56.675,56.83,2400,0
XMTR.US,5,20210922,202000,56.9,57.33,56.82,57.17,4727,0
XMTR.US,5,20210922,202500,57.17,57.92,57.17,57.225,2876,0
XMTR.US,5,20210922,203000,57.305,57.75,57.305,57.43,1400,0
XMTR.US,5,20210922,203500,57.455,57.68,57.335,57.335,1575,0
XMTR.US,5,20210922,204000,57.31,57.47,57.1,57.245,3001,0
XMTR.US,5,20210922,204500,57.31,57.69,57.18,57.69,1600,0
XMTR.US,5,20210922,205000,57.48,57.69,57.33,57.41,2300,0
XMTR.US,5,20210922,205500,57.485,57.59,57.335,57.35,5300,0
XMTR.US,5,20210922,210000,57.35,57.54,57.12,57.14,2601,0
XMTR.US,5,20210922,210500,57.14,57.28,57.03,57.155,13533,0
XMTR.US,5,20210922,211000,57.2,57.445,57.15,57.355,4641,0
XMTR.US,5,20210922,211500,57.47,57.75,57.415,57.74,1200,0
XMTR.US,5,20210922,212000,57.475,57.85,57.475,57.66,3510,0
XMTR.US,5,20210922,212500,57.53,57.74,57.445,57.61,1887,0
XMTR.US,5,20210922,213000,57.625,57.86,57.51,57.695,8100,0
