<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGZ.US,5,20210922,153000,118.97,118.97,118.97,118.97,424,0
AGZ.US,5,20210922,153500,119.02,119.02,119.01,119.01,200,0
AGZ.US,5,20210922,160000,118.978,118.978,118.978,118.978,125,0
AGZ.US,5,20210922,163500,119.02,119.02,119.02,119.02,100,0
AGZ.US,5,20210922,164500,119.04,119.06,119.04,119.06,17753,0
AGZ.US,5,20210922,165000,118.991,119.07,118.991,119.07,332,0
AGZ.US,5,20210922,174500,119.051,119.051,119.051,119.051,115,0
AGZ.US,5,20210922,181500,119.044,119.044,119.044,119.044,220,0
AGZ.US,5,20210922,191500,119.045,119.045,119.045,119.045,383,0
AGZ.US,5,20210922,193500,119.058,119.058,119.058,119.058,431,0
AGZ.US,5,20210922,194500,119.068,119.068,119.055,119.055,298,0
AGZ.US,5,20210922,195000,119.04,119.04,119.04,119.04,190,0
AGZ.US,5,20210922,202000,119.09,119.09,119.09,119.09,169,0
AGZ.US,5,20210922,202500,119.07,119.07,119.07,119.07,643,0
AGZ.US,5,20210922,203000,119.041,119.041,119.041,119.041,553,0
AGZ.US,5,20210922,203500,119.05,119.05,119.05,119.05,320,0
AGZ.US,5,20210922,210000,118.99,118.99,118.99,118.99,239,0
AGZ.US,5,20210922,211000,119.05,119.05,119.05,119.05,147,0
AGZ.US,5,20210922,211500,119.01,119.01,119.01,119.01,125,0
AGZ.US,5,20210922,212000,118.996,118.996,118.996,118.996,100,0
AGZ.US,5,20210922,215000,119.01,119.01,119.01,119.01,198,0
AGZ.US,5,20210923,153000,118.91,118.91,118.91,118.91,828,0
AGZ.US,5,20210923,154000,118.844,118.844,118.844,118.844,117,0
AGZ.US,5,20210923,154500,118.8,118.825,118.8,118.825,420,0
AGZ.US,5,20210923,160500,118.825,118.848,118.8,118.848,1310,0
AGZ.US,5,20210923,164500,118.84,118.84,118.84,118.84,300,0
AGZ.US,5,20210923,165000,118.83,118.83,118.83,118.83,100,0
AGZ.US,5,20210923,172500,118.721,118.721,118.72,118.72,413,0
AGZ.US,5,20210923,173500,118.727,118.727,118.727,118.727,197,0
AGZ.US,5,20210923,174000,118.73,118.73,118.72,118.72,458,0
AGZ.US,5,20210923,175000,118.729,118.729,118.729,118.729,187,0
AGZ.US,5,20210923,180000,118.729,118.729,118.729,118.729,137,0
AGZ.US,5,20210923,180500,118.72,118.72,118.72,118.72,100,0
AGZ.US,5,20210923,181000,118.72,118.72,118.72,118.72,850,0
AGZ.US,5,20210923,182500,118.71,118.71,118.71,118.71,100,0
AGZ.US,5,20210923,183000,118.71,118.71,118.71,118.71,100,0
AGZ.US,5,20210923,184000,118.7,118.7,118.7,118.7,234,0
AGZ.US,5,20210923,185000,118.713,118.713,118.713,118.713,336,0
AGZ.US,5,20210923,190000,118.71,118.71,118.71,118.71,134,0
AGZ.US,5,20210923,191000,118.715,118.715,118.715,118.715,100,0
AGZ.US,5,20210923,193500,118.714,118.714,118.714,118.714,918,0
AGZ.US,5,20210923,194000,118.717,118.717,118.717,118.717,545,0
AGZ.US,5,20210923,194500,118.72,118.75,118.715,118.75,1300,0
AGZ.US,5,20210923,205000,118.72,118.72,118.7,118.71,2386,0
AGZ.US,5,20210923,211000,118.714,118.714,118.714,118.714,300,0
AGZ.US,5,20210923,212500,118.71,118.71,118.71,118.71,100,0
AGZ.US,5,20210923,213000,118.71,118.71,118.71,118.71,218,0
AGZ.US,5,20210923,213500,118.71,118.71,118.71,118.71,150,0
AGZ.US,5,20210923,214000,118.71,118.71,118.71,118.71,221,0
AGZ.US,5,20210923,215500,118.74,118.74,118.74,118.74,265,0
AGZ.US,5,20210924,153000,118.55,118.55,118.55,118.55,933,0
AGZ.US,5,20210924,160000,118.604,118.604,118.56,118.56,435,0
AGZ.US,5,20210924,160500,118.582,118.582,118.582,118.582,447,0
