<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AVDG.US,5,20211001,161500,29.3,29.3,29.3,29.3,150,0
AVDG.US,5,20211004,161500,29.44,29.44,29.44,29.44,450,0
AVDG.US,5,20211004,183500,29.14,29.14,29.14,29.14,750,0
AVDG.US,5,20211007,153000,29.9,29.9,29.9,29.9,100,0
AVDG.US,5,20211007,183000,30.16,30.16,30.16,30.16,100,0
AVDG.US,5,20211007,184000,30.16,30.16,30.16,30.16,125,0
AVDG.US,5,20211012,212500,29.74,29.74,29.7217,29.7217,336,0
AVDG.US,5,20211012,213500,29.75,29.75,29.725,29.725,750,0
AVDG.US,5,20211013,210500,29.79,29.79,29.79,29.79,2000,0
AVDG.US,5,20211014,191000,30.2795,30.2795,30.2795,30.2795,170,0
AVDG.US,5,20211014,200500,30.3,30.3,30.3,30.3,135,0
AVDG.US,5,20211015,153000,30.3,30.3,30.3,30.3,239,0
AVDG.US,5,20211015,171500,30.55,30.55,30.5342,30.5342,2000,0
AVDG.US,5,20211020,153000,31.06,31.06,31.06,31.06,149,0
AVDG.US,5,20211022,163000,31.19,31.19,31.19,31.19,753,0
AVDG.US,5,20211102,191500,31.82,31.82,31.82,31.82,100,0
