<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AZAJ.US,5,20210922,165000,27.5499,27.5499,27.5499,27.5499,1129,0
AZAJ.US,5,20210922,180500,27.511,27.5723,27.511,27.5723,201,0
AZAJ.US,5,20210922,185000,27.55,27.5899,27.55,27.5899,987,0
AZAJ.US,5,20210922,201000,27.52,27.52,27.52,27.52,1299,0
AZAJ.US,5,20210922,202500,27.6,27.6,27.6,27.6,588,0
AZAJ.US,5,20210922,212500,27.59,27.59,27.5299,27.5299,835,0
AZAJ.US,5,20210922,213500,27.511,27.511,27.5101,27.5101,206,0
AZAJ.US,5,20210923,165500,27.621,27.621,27.621,27.621,100,0
AZAJ.US,5,20210923,170000,27.68,27.68,27.68,27.68,3544,0
AZAJ.US,5,20210923,170500,27.6899,27.6899,27.6899,27.6899,536,0
AZAJ.US,5,20210923,191500,27.7,27.7,27.63,27.63,538,0
AZAJ.US,5,20210923,195500,27.6796,27.6796,27.641,27.641,461,0
AZAJ.US,5,20210923,214000,27.699,27.699,27.699,27.699,200,0
AZAJ.US,5,20210924,171000,27.69,27.69,27.6899,27.6899,2057,0
AZAJ.US,5,20210924,175500,27.7099,27.7099,27.7099,27.7099,684,0
AZAJ.US,5,20210924,190000,27.7099,27.7099,27.7099,27.7099,1854,0
AZAJ.US,5,20210924,203000,27.6415,27.6415,27.6415,27.6415,259,0
AZAJ.US,5,20210924,215500,27.72,27.72,27.685,27.685,298,0
AZAJ.US,5,20210927,164500,27.7299,27.7299,27.67,27.67,259,0
AZAJ.US,5,20210927,171500,27.66,27.69,27.66,27.69,200,0
AZAJ.US,5,20210927,185500,27.7,27.7,27.7,27.7,756,0
AZAJ.US,5,20210927,195500,27.71,27.71,27.71,27.71,166,0
AZAJ.US,5,20210927,204500,27.719,27.719,27.719,27.719,186,0
AZAJ.US,5,20210927,215000,27.71,27.71,27.64,27.64,1749,0
AZAJ.US,5,20210928,171500,27.4301,27.47,27.4301,27.47,980,0
AZAJ.US,5,20210928,172000,27.5,27.5,27.47,27.47,272,0
AZAJ.US,5,20210928,190500,27.44,27.49,27.44,27.49,2826,0
AZAJ.US,5,20210928,205000,27.48,27.52,27.48,27.52,709,0
AZAJ.US,5,20210928,212500,27.49,27.49,27.46,27.46,300,0
AZAJ.US,5,20210929,153500,27.54,27.54,27.52,27.52,336,0
AZAJ.US,5,20210929,170000,27.52,27.52,27.52,27.52,2153,0
AZAJ.US,5,20210929,193000,27.5,27.5199,27.48,27.5199,1689,0
AZAJ.US,5,20210929,204000,27.5,27.5,27.5,27.5,700,0
AZAJ.US,5,20210929,205000,27.53,27.53,27.52,27.528,762,0
AZAJ.US,5,20210929,212000,27.5488,27.5488,27.5488,27.5488,300,0
AZAJ.US,5,20210929,215500,27.45,27.5099,27.45,27.5099,916,0
AZAJ.US,5,20210930,161000,27.5,27.5,27.5,27.5,300,0
AZAJ.US,5,20210930,164500,27.461,27.5399,27.46,27.5399,757,0
AZAJ.US,5,20210930,165000,27.52,27.52,27.52,27.52,529,0
AZAJ.US,5,20210930,174500,27.41,27.41,27.41,27.41,773,0
AZAJ.US,5,20210930,181500,27.41,27.41,27.41,27.41,115,0
AZAJ.US,5,20210930,192000,27.41,27.46,27.41,27.46,579,0
AZAJ.US,5,20210930,194500,27.39,27.42,27.39,27.391,5300,0
AZAJ.US,5,20210930,195500,27.44,27.44,27.4,27.4,950,0
AZAJ.US,5,20210930,200000,27.421,27.421,27.42,27.42,450,0
AZAJ.US,5,20210930,200500,27.43,27.43,27.43,27.43,500,0
AZAJ.US,5,20210930,201000,27.43,27.4301,27.43,27.4301,800,0
AZAJ.US,5,20210930,201500,27.43,27.43,27.41,27.41,3100,0
AZAJ.US,5,20210930,202000,27.44,27.44,27.4,27.4,800,0
AZAJ.US,5,20210930,202500,27.401,27.401,27.4,27.4,450,0
AZAJ.US,5,20210930,203000,27.42,27.42,27.41,27.42,993,0
AZAJ.US,5,20210930,203500,27.421,27.421,27.421,27.421,200,0
AZAJ.US,5,20210930,204000,27.42,27.421,27.42,27.421,300,0
AZAJ.US,5,20210930,210500,27.4688,27.4688,27.4688,27.4688,1100,0
AZAJ.US,5,20210930,215000,27.39,27.39,27.37,27.37,200,0
AZAJ.US,5,20211001,165500,27.3501,27.3501,27.3501,27.3501,350,0
AZAJ.US,5,20211001,170000,27.4399,27.4399,27.395,27.395,2155,0
AZAJ.US,5,20211001,185000,27.455,27.455,27.455,27.455,718,0
AZAJ.US,5,20211001,195000,27.505,27.505,27.505,27.505,151,0
AZAJ.US,5,20211001,205000,27.518,27.522,27.518,27.522,235,0
AZAJ.US,5,20211001,215000,27.4,27.582,27.4,27.55,2184,0
AZAJ.US,5,20211004,153000,27.52,27.52,27.52,27.52,400,0
AZAJ.US,5,20211004,164000,27.36,27.36,27.3599,27.36,5000,0
AZAJ.US,5,20211004,164500,27.35,27.35,27.35,27.35,100,0
AZAJ.US,5,20211004,182000,27.3793,27.3793,27.35,27.35,226,0
AZAJ.US,5,20211005,153000,27.4,27.4,27.4,27.4,3208,0
AZAJ.US,5,20211005,155000,27.43,27.43,27.43,27.43,100,0
AZAJ.US,5,20211005,172500,27.501,27.535,27.5,27.535,1678,0
AZAJ.US,5,20211005,193000,27.51,27.51,27.51,27.51,100,0
AZAJ.US,5,20211005,193500,27.5799,27.58,27.51,27.54,1683,0
AZAJ.US,5,20211005,194000,27.51,27.51,27.51,27.51,1900,0
AZAJ.US,5,20211005,194500,27.51,27.51,27.51,27.51,1000,0
AZAJ.US,5,20211005,210000,27.545,27.58,27.545,27.5678,1088,0
AZAJ.US,5,20211005,214000,27.58,27.58,27.5426,27.5426,366,0
AZAJ.US,5,20211005,214500,27.53,27.53,27.491,27.491,390,0
AZAJ.US,5,20211006,153000,27.45,27.45,27.45,27.45,500,0
AZAJ.US,5,20211006,171000,27.47,27.479,27.41,27.41,1251,0
AZAJ.US,5,20211006,183500,27.415,27.415,27.3899,27.3899,560,0
AZAJ.US,5,20211006,185000,27.46,27.47,27.43,27.47,1338,0
AZAJ.US,5,20211006,201500,27.549,27.55,27.549,27.549,610,0
AZAJ.US,5,20211007,153000,27.5701,27.5701,27.5701,27.5701,119,0
AZAJ.US,5,20211007,182500,27.63,27.63,27.621,27.621,300,0
AZAJ.US,5,20211007,183000,27.66,27.7,27.66,27.7,2535,0
AZAJ.US,5,20211007,192500,27.62,27.62,27.61,27.61,196674,0
AZAJ.US,5,20211007,193500,27.62,27.62,27.62,27.62,460317,0
AZAJ.US,5,20211007,195000,27.62,27.6455,27.62,27.621,839,0
AZAJ.US,5,20211007,214500,27.67,27.67,27.591,27.591,535,0
AZAJ.US,5,20211008,174500,27.645,27.6799,27.6101,27.6101,1134,0
AZAJ.US,5,20211008,184000,27.61,27.64,27.6,27.64,3697,0
AZAJ.US,5,20211008,184500,27.65,27.65,27.65,27.65,1334,0
AZAJ.US,5,20211008,201500,27.67,27.67,27.67,27.67,300,0
AZAJ.US,5,20211008,214500,27.635,27.635,27.635,27.635,109,0
AZAJ.US,5,20211008,215000,27.63,27.63,27.63,27.63,2199,0
AZAJ.US,5,20211011,153000,27.65,27.65,27.65,27.65,400,0
AZAJ.US,5,20211011,194000,27.581,27.6499,27.581,27.6499,625,0
AZAJ.US,5,20211011,194500,27.64,27.64,27.64,27.64,1078,0
AZAJ.US,5,20211011,205000,27.6499,27.6499,27.58,27.58,260,0
AZAJ.US,5,20211011,210500,27.615,27.615,27.615,27.615,360,0
AZAJ.US,5,20211011,213500,27.639,27.639,27.639,27.639,145,0
AZAJ.US,5,20211012,170000,27.62,27.62,27.62,27.62,400,0
AZAJ.US,5,20211012,170500,27.62,27.62,27.62,27.62,249,0
AZAJ.US,5,20211012,193500,27.5601,27.63,27.5601,27.5601,1052,0
