<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BDEC.US,5,20210922,170000,33.6276,33.638,33.6276,33.638,200,0
BDEC.US,5,20210922,174000,33.66,33.66,33.658,33.658,200,0
BDEC.US,5,20210923,154000,33.7189,33.7189,33.7189,33.7189,370,0
BDEC.US,5,20210923,201500,33.7199,33.7199,33.7199,33.7199,440,0
BDEC.US,5,20210924,184000,33.71,33.71,33.71,33.71,100,0
BDEC.US,5,20210924,184500,33.7,33.71,33.7,33.71,709,0
BDEC.US,5,20210924,185000,33.69,33.69,33.69,33.69,100,0
BDEC.US,5,20210927,163000,33.72,33.72,33.72,33.72,816,0
BDEC.US,5,20210927,184000,33.69,33.69,33.69,33.69,366,0
BDEC.US,5,20210927,205000,33.695,33.695,33.695,33.695,172,0
BDEC.US,5,20210927,212000,33.7,33.7,33.69,33.69,628,0
BDEC.US,5,20210928,153500,33.65,33.6613,33.65,33.6613,1057,0
BDEC.US,5,20210928,162500,33.53,33.53,33.53,33.53,4463,0
BDEC.US,5,20210928,164500,33.55,33.55,33.55,33.55,378,0
BDEC.US,5,20210928,170500,33.5,33.5,33.5,33.5,100,0
BDEC.US,5,20210928,172000,33.56,33.59,33.56,33.59,2961,0
BDEC.US,5,20210929,155500,33.565,33.565,33.565,33.565,126,0
BDEC.US,5,20210929,174000,33.5701,33.59,33.57,33.5712,1260,0
BDEC.US,5,20210929,182000,33.55,33.55,33.55,33.55,100,0
BDEC.US,5,20210930,162500,33.51,33.525,33.4815,33.51,3355,0
BDEC.US,5,20210930,165000,33.5033,33.5033,33.5033,33.5033,500,0
BDEC.US,5,20210930,191500,33.421,33.421,33.42,33.42,3345,0
BDEC.US,5,20210930,192500,33.4504,33.4504,33.4504,33.4504,482,0
BDEC.US,5,20210930,194500,33.4101,33.4101,33.4101,33.4101,332,0
BDEC.US,5,20210930,204500,33.535,33.535,33.47,33.535,1998,0
BDEC.US,5,20210930,205000,33.48,33.545,33.47,33.48,1462,0
BDEC.US,5,20211001,163500,33.4899,33.4899,33.4899,33.4899,564,0
BDEC.US,5,20211001,213000,33.54,33.54,33.54,33.54,1300,0
