<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHIR.US,5,20210922,153000,11.5,11.5,11.5,11.5,416,0
CHIR.US,5,20210922,153500,11.73,11.74,11.72,11.73,2864,0
CHIR.US,5,20210922,154500,11.675,11.75,11.6001,11.6001,1136,0
CHIR.US,5,20210922,155000,11.748,11.748,11.69,11.748,1200,0
CHIR.US,5,20210922,160500,11.7221,11.75,11.7221,11.75,493,0
CHIR.US,5,20210922,161000,11.75,11.75,11.75,11.75,219,0
CHIR.US,5,20210922,161500,11.81,11.81,11.81,11.81,168,0
CHIR.US,5,20210922,162000,11.89,11.89,11.89,11.89,310,0
CHIR.US,5,20210922,162500,11.88,11.88,11.88,11.88,200,0
CHIR.US,5,20210922,163500,11.81,11.81,11.81,11.81,100,0
CHIR.US,5,20210922,164500,11.8177,11.8177,11.81,11.81,1300,0
CHIR.US,5,20210922,165000,11.87,11.93,11.87,11.93,786,0
CHIR.US,5,20210922,170000,12.01,12.07,11.8347,11.8347,894,0
CHIR.US,5,20210922,170500,11.8387,11.8387,11.8387,11.8387,1546,0
CHIR.US,5,20210922,172500,11.86,11.86,11.81,11.81,300,0
CHIR.US,5,20210922,190500,11.859,11.86,11.859,11.86,750,0
CHIR.US,5,20210922,193000,11.86,11.86,11.86,11.86,420,0
CHIR.US,5,20210922,195500,11.8314,11.85,11.8314,11.85,268,0
CHIR.US,5,20210922,202500,11.859,11.859,11.859,11.859,400,0
CHIR.US,5,20210922,203000,11.8501,11.8501,11.8501,11.8501,105,0
CHIR.US,5,20210922,204500,11.86,11.86,11.86,11.86,432,0
CHIR.US,5,20210922,211000,11.905,11.905,11.905,11.905,495,0
CHIR.US,5,20210922,211500,11.909,11.909,11.909,11.909,170,0
CHIR.US,5,20210922,215500,11.86,11.86,11.86,11.86,300,0
CHIR.US,5,20210923,153000,11.99,11.99,11.99,11.99,301,0
CHIR.US,5,20210923,154000,12.24,12.24,12.24,12.24,800,0
CHIR.US,5,20210923,154500,12.28,12.28,12.24,12.24,1441,0
CHIR.US,5,20210923,155000,11.89,11.94,11.89,11.94,1100,0
CHIR.US,5,20210923,160500,12.08,12.08,11.98,11.98,1641,0
CHIR.US,5,20210923,170500,12.0426,12.0426,12.0426,12.0426,200,0
CHIR.US,5,20210923,171500,12.07,12.07,12.07,12.07,485,0
CHIR.US,5,20210923,172000,12.04,12.04,12,12,663,0
CHIR.US,5,20210923,173000,12.0373,12.0373,12.0373,12.0373,100,0
CHIR.US,5,20210923,173500,12.0001,12.0001,12.0001,12.0001,503,0
CHIR.US,5,20210923,174000,12,12.1,12,12,1986,0
CHIR.US,5,20210923,175000,12,12,12,12,100,0
CHIR.US,5,20210923,182500,12.14,12.14,12.14,12.14,520,0
CHIR.US,5,20210923,190000,12.27,12.27,12.27,12.27,100,0
CHIR.US,5,20210923,193500,12.13,12.13,12,12,3599,0
CHIR.US,5,20210923,203000,12.21,12.21,12.21,12.21,100,0
CHIR.US,5,20210923,204500,12.18,12.18,12.04,12.04,1113,0
CHIR.US,5,20210923,205000,12.2248,12.24,12.0905,12.0905,767,0
CHIR.US,5,20210923,205500,12.24,12.24,12.24,12.24,206,0
CHIR.US,5,20210923,212000,12.2,12.2,12.2,12.2,100,0
CHIR.US,5,20210923,214000,12.04,12.04,12.04,12.04,200,0
CHIR.US,5,20210923,215500,12.12,12.12,12.12,12.12,1000,0
CHIR.US,5,20210924,153000,11.95,11.95,11.95,11.95,4542,0
CHIR.US,5,20210924,153500,11.95,11.95,11.94,11.95,3158,0
CHIR.US,5,20210924,154500,11.96,11.96,11.96,11.96,100,0
CHIR.US,5,20210924,155000,11.95,11.96,11.95,11.95,4409,0
CHIR.US,5,20210924,160000,11.97,11.97,11.97,11.97,213,0
CHIR.US,5,20210924,160500,12.01,12.05,12.01,12.05,1900,0
CHIR.US,5,20210924,161000,11.99,12,11.99,12,4000,0
CHIR.US,5,20210924,164500,11.9,11.9,11.9,11.9,500,0
CHIR.US,5,20210924,165500,12.01,12.01,12.01,12.01,100,0
CHIR.US,5,20210924,170500,12.03,12.03,12.03,12.03,200,0
CHIR.US,5,20210924,174000,11.9001,11.9001,11.9001,11.9001,100,0
CHIR.US,5,20210924,182000,11.95,11.99,11.9,11.99,1280,0
CHIR.US,5,20210924,185000,11.9141,11.9141,11.9141,11.9141,250,0
CHIR.US,5,20210924,193500,12,12.02,12,12,300,0
CHIR.US,5,20210924,210500,12.025,12.028,12.02,12.02,800,0
CHIR.US,5,20210924,212500,12,12,12,12,200,0
CHIR.US,5,20210924,215500,12,12,12,12,600,0
CHIR.US,5,20210927,153000,11.91,12,11.89,12,21356,0
CHIR.US,5,20210927,153500,11.9,11.9,11.9,11.9,200,0
CHIR.US,5,20210927,154500,11.9,11.9,11.9,11.9,300,0
CHIR.US,5,20210927,160000,12.059,12.059,11.98,12.059,4080,0
CHIR.US,5,20210927,160500,11.9001,11.9001,11.9001,11.9001,100,0
CHIR.US,5,20210927,171000,11.92,11.92,11.9,11.91,5700,0
CHIR.US,5,20210927,174500,11.95,11.96,11.95,11.96,880,0
CHIR.US,5,20210927,175000,11.9609,11.9609,11.9609,11.9609,830,0
CHIR.US,5,20210927,175500,11.9,11.9,11.9,11.9,711,0
CHIR.US,5,20210927,183000,11.92,11.92,11.9001,11.9001,1850,0
CHIR.US,5,20210927,204000,11.98,11.98,11.98,11.98,127,0
CHIR.US,5,20210927,215500,11.99,12,11.99,12,1400,0
CHIR.US,5,20210928,155000,12,12.02,12,12,1656,0
CHIR.US,5,20210928,162500,12.01,12.01,12.01,12.01,1200,0
CHIR.US,5,20210928,165000,12.01,12.01,12.01,12.01,100,0
CHIR.US,5,20210928,174500,12.001,12.001,12.001,12.001,200,0
CHIR.US,5,20210928,175000,12,12,12,12,100,0
CHIR.US,5,20210928,175500,12.0199,12.0199,12.0199,12.0199,400,0
CHIR.US,5,20210928,182500,12.0328,12.04,12.0328,12.04,500,0
CHIR.US,5,20210928,185000,12.06,12.06,12.06,12.06,160,0
CHIR.US,5,20210928,202000,12.06,12.06,12.06,12.06,1000,0
CHIR.US,5,20210928,203000,12.03,12.03,12.03,12.03,300,0
CHIR.US,5,20210928,215500,12.06,12.06,12.06,12.06,300,0
CHIR.US,5,20210929,155000,12.21,12.21,12.21,12.21,100,0
CHIR.US,5,20210929,173000,12.25,12.25,12.25,12.25,410,0
CHIR.US,5,20210929,173500,12.24,12.24,12.24,12.24,277,0
CHIR.US,5,20210929,194500,12.14,12.14,12.14,12.14,400,0
CHIR.US,5,20210929,203500,12.1996,12.23,12.1996,12.23,200,0
CHIR.US,5,20210929,212000,12.2,12.2,12.2,12.2,125,0
CHIR.US,5,20210929,215000,12.2,12.2,12.2,12.2,593,0
CHIR.US,5,20210929,215500,12.18,12.23,12.1799,12.23,448,0
CHIR.US,5,20210930,153000,12.4,12.4,12.4,12.4,2810,0
CHIR.US,5,20210930,153500,12.8,12.8,12.8,12.8,100,0
CHIR.US,5,20210930,154500,12.711,12.81,12.711,12.7745,1760,0
CHIR.US,5,20210930,160000,12.74,12.74,12.71,12.71,1000,0
CHIR.US,5,20210930,162000,12.605,12.61,12.605,12.61,1990,0
CHIR.US,5,20210930,164500,12.63,12.63,12.62,12.62,440,0
CHIR.US,5,20210930,171500,12.7,12.7,12.7,12.7,800,0
CHIR.US,5,20210930,191000,12.6593,12.6593,12.6593,12.6593,637,0
CHIR.US,5,20210930,194500,12.6427,12.6427,12.6427,12.6427,206,0
CHIR.US,5,20210930,203000,12.65,12.68,12.65,12.68,889,0
CHIR.US,5,20210930,211500,12.789,12.789,12.789,12.789,200,0
CHIR.US,5,20211001,153000,12.6,12.685,12.6,12.685,784,0
CHIR.US,5,20211001,153500,12.73,12.73,12.73,12.73,100,0
CHIR.US,5,20211001,155000,12.77,12.77,12.77,12.77,500,0
CHIR.US,5,20211001,160000,12.77,12.77,12.77,12.77,325,0
CHIR.US,5,20211001,163000,12.7721,12.7721,12.7721,12.7721,100,0
CHIR.US,5,20211001,163500,12.7673,12.7673,12.7673,12.7673,200,0
CHIR.US,5,20211001,203000,12.79,12.79,12.79,12.79,100,0
CHIR.US,5,20211001,205000,12.79,12.79,12.79,12.79,400,0
CHIR.US,5,20211001,213500,12.87,12.87,12.87,12.87,100,0
CHIR.US,5,20211004,153000,12.7,12.7,12.7,12.7,402,0
CHIR.US,5,20211004,153500,12.64,12.64,12.64,12.64,150,0
CHIR.US,5,20211004,170000,12.6,12.6,12.6,12.6,190,0
CHIR.US,5,20211004,170500,12.6,12.6,12.6,12.6,500,0
CHIR.US,5,20211004,174500,12.6123,12.6123,12.6123,12.6123,400,0
CHIR.US,5,20211004,180500,12.65,12.65,12.65,12.65,100,0
CHIR.US,5,20211004,213000,12.7,12.7,12.7,12.7,150,0
CHIR.US,5,20211005,153000,12.55,12.55,12.55,12.55,103,0
CHIR.US,5,20211005,153500,12.56,12.56,12.56,12.56,300,0
CHIR.US,5,20211005,154500,12.45,12.4501,12.45,12.4501,948,0
CHIR.US,5,20211005,155000,12.4501,12.4501,12.4501,12.4501,100,0
CHIR.US,5,20211005,165500,12.46,12.46,12.46,12.46,100,0
CHIR.US,5,20211005,173500,12.46,12.4601,12.46,12.4601,664,0
CHIR.US,5,20211005,174000,12.4601,12.4601,12.4601,12.4601,1127,0
CHIR.US,5,20211005,174500,12.535,12.535,12.535,12.535,100,0
CHIR.US,5,20211005,190000,12.6,12.6,12.6,12.6,100,0
CHIR.US,5,20211005,191500,12.47,12.47,12.47,12.47,240,0
CHIR.US,5,20211005,210000,12.55,12.55,12.55,12.55,200,0
CHIR.US,5,20211005,214500,12.45,12.45,12.3396,12.3396,405,0
CHIR.US,5,20211006,154000,12.3001,12.3001,12.3001,12.3001,300,0
CHIR.US,5,20211006,155000,12.3,12.3,12.3,12.3,200,0
CHIR.US,5,20211006,172000,12.14,12.14,12.14,12.14,300,0
CHIR.US,5,20211006,175000,12.135,12.14,12.135,12.14,355,0
CHIR.US,5,20211006,184000,12.2006,12.2006,12.1201,12.1201,322,0
CHIR.US,5,20211006,201500,12.19,12.19,12.19,12.19,125,0
CHIR.US,5,20211006,204000,12.195,12.2,12.195,12.2,506,0
CHIR.US,5,20211006,214000,12.2,12.2,12.2,12.2,415,0
CHIR.US,5,20211006,214500,12.245,12.245,12.245,12.245,100,0
CHIR.US,5,20211006,215500,12.3,12.3,12.3,12.3,200,0
CHIR.US,5,20211007,161500,12.5,12.5,12.42,12.42,200,0
