<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLIX.US,5,20210922,153000,69.44,69.44,69.32,69.32,529,0
CLIX.US,5,20210922,154000,70.0827,70.0827,70.0827,70.0827,100,0
CLIX.US,5,20210922,163000,70.161,70.181,70.161,70.17,500,0
CLIX.US,5,20210922,175000,70.1855,70.1855,70.1855,70.1855,181,0
CLIX.US,5,20210922,185500,70.021,70.071,70.021,70.071,400,0
CLIX.US,5,20210922,190000,70.011,70.03,70.011,70.03,300,0
CLIX.US,5,20210922,211500,70.19,70.235,70.19,70.235,200,0
CLIX.US,5,20210922,215500,70.29,70.29,70.24,70.24,422,0
CLIX.US,5,20210923,153000,70.08,70.08,70.08,70.08,288,0
CLIX.US,5,20210923,165000,70.16,70.1601,70.16,70.1601,200,0
CLIX.US,5,20210923,170000,70.3,70.3,70.3,70.3,384,0
CLIX.US,5,20210923,183500,70.38,70.38,70.28,70.28,851,0
CLIX.US,5,20210923,203000,70.6,70.6,70.6,70.6,100,0
CLIX.US,5,20210923,205500,70.67,70.67,70.67,70.67,100,0
CLIX.US,5,20210923,212000,70.681,70.681,70.681,70.681,100,0
CLIX.US,5,20210924,153000,69.89,70.33,69.89,70.33,670,0
CLIX.US,5,20210924,170000,70.1505,70.1505,70.1505,70.1505,202,0
CLIX.US,5,20210924,173000,70.15,70.15,70.15,70.15,300,0
CLIX.US,5,20210924,173500,70.181,70.181,70.181,70.181,200,0
CLIX.US,5,20210927,172000,70.03,70.03,69.93,70.01,1756,0
CLIX.US,5,20210927,172500,70.01,70.01,70.01,70.01,100,0
CLIX.US,5,20210927,175500,70.16,70.16,70.16,70.16,200,0
CLIX.US,5,20210927,180500,70.07,70.1284,70.07,70.1284,200,0
CLIX.US,5,20210927,183000,70.162,70.162,70.162,70.162,100,0
CLIX.US,5,20210927,193000,70.45,70.45,70.45,70.45,100,0
CLIX.US,5,20210927,202000,70.45,70.45,70.431,70.431,217,0
CLIX.US,5,20210927,202500,70.4827,70.4827,70.46,70.46,461,0
CLIX.US,5,20210927,211000,70.485,70.485,70.485,70.485,200,0
CLIX.US,5,20210927,212000,70.49,70.5,70.49,70.5,200,0
CLIX.US,5,20210927,213000,70.5,70.5,70.5,70.5,200,0
CLIX.US,5,20210927,215500,70.52,70.52,70.52,70.52,100,0
CLIX.US,5,20210928,153000,69.59,69.59,69.59,69.59,450,0
CLIX.US,5,20210928,154500,69.5,69.5,69.43,69.435,582,0
CLIX.US,5,20210928,155000,69.54,69.54,69.54,69.54,100,0
CLIX.US,5,20210928,162500,69.15,69.15,69.15,69.15,100,0
CLIX.US,5,20210928,165500,69.1006,69.1006,69.1006,69.1006,110,0
CLIX.US,5,20210928,182500,69.189,69.189,69.189,69.189,100,0
CLIX.US,5,20210928,183000,69.09,69.09,69.09,69.09,100,0
CLIX.US,5,20210928,184000,69.02,69.02,69.02,69.02,100,0
CLIX.US,5,20210928,185500,68.861,68.861,68.841,68.841,286,0
CLIX.US,5,20210928,190500,68.85,68.85,68.85,68.85,100,0
CLIX.US,5,20210928,202000,69.091,69.091,69.091,69.091,170,0
CLIX.US,5,20210928,204000,69.211,69.211,69.21,69.21,300,0
CLIX.US,5,20210928,214500,69.285,69.285,69.285,69.285,145,0
CLIX.US,5,20210928,215500,69.23,69.23,69.23,69.23,102,0
CLIX.US,5,20210929,153000,69.04,69.05,69.04,69.05,742,0
CLIX.US,5,20210929,154500,69.06,69.06,69.06,69.06,100,0
CLIX.US,5,20210929,165000,68.76,68.76,68.76,68.76,100,0
CLIX.US,5,20210929,165500,68.671,68.671,68.671,68.671,200,0
CLIX.US,5,20210929,171500,68.58,68.58,68.58,68.58,100,0
CLIX.US,5,20210929,173500,68.4,68.4,68.4,68.4,200,0
CLIX.US,5,20210929,175500,68.14,68.14,68.14,68.14,100,0
CLIX.US,5,20210929,180000,68.1865,68.1865,68.15,68.15,200,0
CLIX.US,5,20210929,193500,67.93,67.93,67.93,67.93,100,0
CLIX.US,5,20210929,203000,68.15,68.15,68.15,68.15,109,0
CLIX.US,5,20210929,205500,68.06,68.06,68.06,68.06,200,0
CLIX.US,5,20210929,214500,67.83,67.83,67.83,67.83,150,0
CLIX.US,5,20210930,153000,67.67,68.06,67.67,68.06,898,0
CLIX.US,5,20210930,163000,68.3501,68.4707,68.3501,68.4707,350,0
CLIX.US,5,20210930,163500,68.451,68.451,68.451,68.451,100,0
CLIX.US,5,20210930,181500,68.44,68.44,68.44,68.44,200,0
CLIX.US,5,20210930,182500,68.495,68.495,68.495,68.495,100,0
CLIX.US,5,20210930,184000,68.311,68.311,68.311,68.311,200,0
CLIX.US,5,20210930,185000,68.4,68.43,68.37,68.4,1400,0
CLIX.US,5,20210930,191000,68.65,68.67,68.64,68.67,2618,0
CLIX.US,5,20210930,191500,68.661,68.661,68.65,68.65,300,0
CLIX.US,5,20210930,194000,68.621,68.621,68.621,68.621,125,0
CLIX.US,5,20210930,202500,68.785,68.785,68.785,68.785,580,0
CLIX.US,5,20210930,205000,68.85,68.85,68.85,68.85,100,0
CLIX.US,5,20210930,211000,68.85,68.88,68.85,68.88,600,0
CLIX.US,5,20210930,211500,68.861,68.861,68.861,68.861,100,0
CLIX.US,5,20210930,214500,68.835,68.835,68.77,68.77,220,0
CLIX.US,5,20211001,153000,68.9461,68.9461,68.9461,68.9461,677,0
CLIX.US,5,20211001,153500,69.03,69.03,69.03,69.03,100,0
CLIX.US,5,20211001,154000,68.8132,68.8132,68.8132,68.8132,101,0
CLIX.US,5,20211001,161500,68.43,68.43,68.43,68.43,568,0
CLIX.US,5,20211001,164500,68.241,68.241,68.241,68.241,113,0
CLIX.US,5,20211001,173000,68.54,68.54,68.54,68.54,100,0
CLIX.US,5,20211001,183000,68.44,68.44,68.44,68.44,100,0
CLIX.US,5,20211001,195000,68.2925,68.4,68.2925,68.398,507,0
CLIX.US,5,20211004,153000,67.98,67.98,67.98,67.98,439,0
CLIX.US,5,20211004,155000,67.11,67.11,67.11,67.11,400,0
CLIX.US,5,20211004,163500,66.541,66.541,66.511,66.511,397,0
CLIX.US,5,20211004,175000,66.4995,66.4995,66.4995,66.4995,100,0
CLIX.US,5,20211004,191000,66.59,66.59,66.59,66.59,238,0
CLIX.US,5,20211004,195000,66.571,66.58,66.57,66.57,400,0
CLIX.US,5,20211004,195500,66.48,66.48,66.48,66.48,400,0
CLIX.US,5,20211004,204000,66.7283,66.7283,66.7283,66.7283,148,0
CLIX.US,5,20211004,211000,66.67,66.67,66.58,66.58,309,0
CLIX.US,5,20211004,213500,66.395,66.395,66.31,66.372,300,0
CLIX.US,5,20211004,215000,66.381,66.381,66.381,66.381,150,0
CLIX.US,5,20211004,215500,66.511,66.52,66.511,66.52,349,0
CLIX.US,5,20211005,160000,67.4142,67.4142,67.4142,67.4142,606,0
CLIX.US,5,20211005,160500,67.351,67.38,67.35,67.354,2400,0
CLIX.US,5,20211005,163500,67.39,67.39,67.39,67.39,275,0
CLIX.US,5,20211005,164500,67.5099,67.5099,67.5099,67.5099,100,0
CLIX.US,5,20211005,165500,67.49,67.5739,67.49,67.5739,400,0
CLIX.US,5,20211005,171500,67.5,67.5,67.5,67.5,100,0
CLIX.US,5,20211005,173500,67.51,67.5474,67.51,67.51,400,0
CLIX.US,5,20211005,180500,67.4691,67.4691,67.4691,67.4691,500,0
CLIX.US,5,20211005,184000,67.3101,67.3101,67.3101,67.3101,100,0
CLIX.US,5,20211005,190000,67.31,67.331,67.31,67.331,200,0
CLIX.US,5,20211005,192000,67.28,67.28,67.28,67.28,100,0
CLIX.US,5,20211005,203500,67.38,67.38,67.38,67.38,100,0
CLIX.US,5,20211005,210500,67.381,67.381,67.381,67.381,175,0
CLIX.US,5,20211005,215000,66.94,66.94,66.924,66.924,200,0
CLIX.US,5,20211006,153000,66.3,66.3,66.29,66.29,371,0
CLIX.US,5,20211006,161000,66.875,66.875,66.872,66.872,200,0
CLIX.US,5,20211006,164500,67.66,67.66,67.66,67.66,105,0
CLIX.US,5,20211006,165500,67.645,67.645,67.645,67.645,189,0
CLIX.US,5,20211006,175000,67.65,67.65,67.65,67.65,100,0
CLIX.US,5,20211006,175500,67.7,67.7,67.7,67.7,200,0
CLIX.US,5,20211006,182500,67.82,67.82,67.7,67.7,795,0
CLIX.US,5,20211006,193000,67.455,67.455,67.455,67.455,100,0
CLIX.US,5,20211006,195000,67.59,67.59,67.59,67.59,300,0
CLIX.US,5,20211006,201000,67.6993,67.6993,67.6993,67.6993,335,0
CLIX.US,5,20211007,153000,67.92,68.34,67.92,68.34,989,0
