<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EFAV.US,5,20210922,153000,77.96,78,77.93,77.93,7044,0
EFAV.US,5,20210922,153500,77.9655,77.98,77.955,77.97,4151,0
EFAV.US,5,20210922,154000,77.965,77.98,77.96,77.96,7470,0
EFAV.US,5,20210922,154500,78,78,77.972,77.972,1611,0
EFAV.US,5,20210922,155000,77.97,78.01,77.97,78.01,1821,0
EFAV.US,5,20210922,155500,78.01,78.07,78.01,78.06,3152,0
EFAV.US,5,20210922,160000,78.07,78.11,78.06,78.09,7723,0
EFAV.US,5,20210922,160500,78.1,78.13,78.1,78.11,8051,0
EFAV.US,5,20210922,161000,78.12,78.12,78.06,78.12,15203,0
EFAV.US,5,20210922,161500,78.12,78.17,78.12,78.17,2340,0
EFAV.US,5,20210922,162000,78.185,78.185,78.175,78.18,518,0
EFAV.US,5,20210922,162500,78.17,78.2,78.17,78.2,1382,0
EFAV.US,5,20210922,163000,78.2,78.2227,78.2,78.2,1269,0
EFAV.US,5,20210922,163500,78.22,78.2399,78.22,78.2347,2269,0
EFAV.US,5,20210922,164000,78.24,78.26,78.1806,78.1806,3218,0
EFAV.US,5,20210922,164500,78.18,78.18,78.1332,78.1608,1510,0
EFAV.US,5,20210922,165000,78.19,78.2,78.13,78.13,662,0
EFAV.US,5,20210922,165500,78.13,78.14,78.12,78.14,2558,0
EFAV.US,5,20210922,170000,78.15,78.1826,78.15,78.1826,13935,0
EFAV.US,5,20210922,170500,78.19,78.2,78.19,78.2,761,0
EFAV.US,5,20210922,171000,78.18,78.2092,78.18,78.2092,1264,0
EFAV.US,5,20210922,171500,78.2,78.2006,78.18,78.19,4679,0
EFAV.US,5,20210922,172000,78.2,78.2051,78.16,78.16,9025,0
EFAV.US,5,20210922,172500,78.16,78.19,78.155,78.18,12208,0
EFAV.US,5,20210922,173000,78.18,78.21,78.18,78.2,4030,0
EFAV.US,5,20210922,173500,78.2064,78.2136,78.2,78.2136,1405,0
EFAV.US,5,20210922,174000,78.2044,78.21,78.2044,78.21,1110,0
EFAV.US,5,20210922,174500,78.235,78.25,78.2244,78.23,5079,0
EFAV.US,5,20210922,175000,78.26,78.32,78.21,78.25,12719,0
EFAV.US,5,20210922,175500,78.24,78.2671,78.24,78.26,1105,0
EFAV.US,5,20210922,180000,78.25,78.25,78.2333,78.2333,450,0
EFAV.US,5,20210922,180500,78.24,78.245,78.2218,78.225,1834,0
EFAV.US,5,20210922,181000,78.23,78.24,78.22,78.22,1280,0
EFAV.US,5,20210922,181500,78.22,78.22,78.21,78.21,806,0
EFAV.US,5,20210922,182000,78.21,78.221,78.21,78.215,3621,0
EFAV.US,5,20210922,182500,78.215,78.235,78.215,78.23,2175,0
EFAV.US,5,20210922,183000,78.24,78.24,78.23,78.23,7241,0
EFAV.US,5,20210922,183500,78.24,78.24,78.2382,78.2382,468,0
EFAV.US,5,20210922,184000,78.221,78.221,78.22,78.22,327,0
EFAV.US,5,20210922,184500,78.21,78.215,78.21,78.215,416,0
EFAV.US,5,20210922,185000,78.2101,78.2291,78.19,78.19,1731,0
EFAV.US,5,20210922,185500,78.19,78.215,78.19,78.2,3633,0
EFAV.US,5,20210922,190000,78.2,78.2,78.16,78.16,900,0
EFAV.US,5,20210922,190500,78.15,78.18,78.15,78.18,2251,0
EFAV.US,5,20210922,191000,78.17,78.17,78.155,78.155,1163,0
EFAV.US,5,20210922,191500,78.14,78.15,78.135,78.15,1119,0
EFAV.US,5,20210922,192000,78.15,78.155,78.15,78.1536,470,0
EFAV.US,5,20210922,192500,78.145,78.15,78.135,78.135,1761,0
EFAV.US,5,20210922,193000,78.13,78.16,78.13,78.14,11117,0
EFAV.US,5,20210922,193500,78.131,78.14,78.12,78.135,5009,0
EFAV.US,5,20210922,194000,78.12,78.12,78.1101,78.12,3732,0
EFAV.US,5,20210922,194500,78.12,78.12,78.1,78.1,2271,0
EFAV.US,5,20210922,195000,78.09,78.109,78.09,78.1,1437,0
EFAV.US,5,20210922,195500,78.1001,78.11,78.09,78.09,2202,0
EFAV.US,5,20210922,200000,78.08,78.2499,78.0401,78.2499,3747,0
EFAV.US,5,20210922,200500,78.31,78.33,78.2515,78.31,2142,0
EFAV.US,5,20210922,201000,78.29,78.32,78.2528,78.32,1435,0
EFAV.US,5,20210922,201500,78.4,78.42,78.325,78.3571,4811,0
EFAV.US,5,20210922,202000,78.29,78.33,78.28,78.29,1853,0
EFAV.US,5,20210922,202500,78.303,78.35,78.303,78.35,1878,0
EFAV.US,5,20210922,203000,78.3001,78.38,78.3001,78.37,2091,0
EFAV.US,5,20210922,203500,78.3615,78.39,78.16,78.16,6715,0
EFAV.US,5,20210922,204000,78.05,78.13,78.05,78.06,1633,0
EFAV.US,5,20210922,204500,78,78.07,77.9342,77.94,3965,0
EFAV.US,5,20210922,205000,77.94,77.99,77.88,77.99,10824,0
EFAV.US,5,20210922,205500,78,78.01,77.93,77.955,32039,0
EFAV.US,5,20210922,210000,77.9433,77.9433,77.9,77.9259,6453,0
EFAV.US,5,20210922,210500,77.94,77.99,77.89,77.99,19572,0
EFAV.US,5,20210922,211000,77.995,78.04,77.995,78.03,3983,0
EFAV.US,5,20210922,211500,78.03,78.148,78.025,78.148,6629,0
EFAV.US,5,20210922,212000,78.14,78.19,78.12,78.125,8447,0
EFAV.US,5,20210922,212500,78.13,78.13,78.0755,78.0755,5065,0
EFAV.US,5,20210922,213000,78.07,78.07,77.97,77.99,8376,0
EFAV.US,5,20210922,213500,77.9871,78.06,77.9871,78.06,6477,0
EFAV.US,5,20210922,214000,78.06,78.06,77.9785,77.9785,5795,0
EFAV.US,5,20210922,214500,77.97,78.01,77.97,77.98,21737,0
EFAV.US,5,20210922,215000,77.96,78,77.92,77.97,15078,0
EFAV.US,5,20210922,215500,77.97,77.97,77.84,77.89,25156,0
EFAV.US,5,20210923,153000,78.21,78.4241,78.19,78.4241,6018,0
EFAV.US,5,20210923,153500,78.45,78.51,78.45,78.51,1980,0
EFAV.US,5,20210923,154000,78.5481,78.56,78.54,78.55,2036,0
EFAV.US,5,20210923,154500,78.595,78.61,78.59,78.59,1013,0
EFAV.US,5,20210923,155000,78.59,78.61,78.58,78.59,3017,0
EFAV.US,5,20210923,155500,78.6,78.62,78.59,78.595,2353,0
EFAV.US,5,20210923,160000,78.5732,78.6527,78.5732,78.6527,3193,0
EFAV.US,5,20210923,160500,78.64,78.64,78.6,78.6033,9289,0
EFAV.US,5,20210923,161000,78.61,78.63,78.61,78.62,4273,0
EFAV.US,5,20210923,161500,78.6208,78.64,78.58,78.5993,4861,0
EFAV.US,5,20210923,162000,78.6,78.62,78.5988,78.605,2920,0
EFAV.US,5,20210923,162500,78.615,78.62,78.595,78.61,2340,0
EFAV.US,5,20210923,163000,78.59,78.6,78.5746,78.592,16747,0
EFAV.US,5,20210923,163500,78.595,78.605,78.5613,78.5797,6765,0
EFAV.US,5,20210923,164000,78.58,78.59,78.555,78.56,30320,0
EFAV.US,5,20210923,164500,78.565,78.61,78.565,78.605,2666,0
EFAV.US,5,20210923,165000,78.61,78.65,78.6,78.65,3008,0
EFAV.US,5,20210923,165500,78.65,78.65,78.61,78.61,4119,0
EFAV.US,5,20210923,170000,78.6,78.62,78.5936,78.6,997,0
EFAV.US,5,20210923,170500,78.59,78.59,78.5555,78.56,1863,0
EFAV.US,5,20210923,171000,78.55,78.5799,78.55,78.5799,1136,0
EFAV.US,5,20210923,171500,78.53,78.53,78.4762,78.4762,919,0
EFAV.US,5,20210923,172000,78.48,78.48,78.4523,78.4523,1897,0
EFAV.US,5,20210923,172500,78.4599,78.4799,78.45,78.45,1838,0
EFAV.US,5,20210923,173000,78.45,78.49,78.435,78.47,8683,0
EFAV.US,5,20210923,173500,78.48,78.5,78.4602,78.5,632,0
EFAV.US,5,20210923,174000,78.47,78.4767,78.4419,78.4502,1841,0
EFAV.US,5,20210923,174500,78.44,78.45,78.43,78.43,300,0
EFAV.US,5,20210923,175000,78.44,78.4606,78.44,78.4606,2972,0
EFAV.US,5,20210923,175500,78.47,78.48,78.4655,78.48,837,0
EFAV.US,5,20210923,180000,78.46,78.47,78.445,78.45,2253,0
EFAV.US,5,20210923,180500,78.46,78.48,78.445,78.475,2646,0
EFAV.US,5,20210923,181000,78.47,78.5,78.47,78.495,1279,0
