<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EIS.US,5,20210922,153000,72.68,72.68,72.68,72.68,666,0
EIS.US,5,20210922,155000,72.84,72.84,72.84,72.84,100,0
EIS.US,5,20210922,160000,72.86,72.86,72.86,72.86,100,0
EIS.US,5,20210922,161500,72.9,72.9,72.9,72.9,100,0
EIS.US,5,20210922,162500,72.85,72.85,72.85,72.85,100,0
EIS.US,5,20210922,163500,72.85,73,72.85,73,497,0
EIS.US,5,20210922,164500,73,73.11,72.9772,73.11,1000,0
EIS.US,5,20210922,165500,73.11,73.11,73.11,73.11,100,0
EIS.US,5,20210922,170000,73.05,73.05,73.05,73.05,100,0
EIS.US,5,20210922,171000,73.05,73.05,73.05,73.05,260,0
EIS.US,5,20210922,172000,73.05,73.05,73.05,73.05,100,0
EIS.US,5,20210922,173000,73.05,73.05,73.05,73.05,100,0
EIS.US,5,20210922,174500,73.05,73.05,73.05,73.05,100,0
EIS.US,5,20210922,175500,73.0403,73.23,73.0403,73.105,343,0
EIS.US,5,20210922,180500,73.23,73.23,73.085,73.085,200,0
EIS.US,5,20210922,181500,73.18,73.18,73.18,73.18,100,0
EIS.US,5,20210922,183000,73.2,73.2,73.085,73.085,410,0
EIS.US,5,20210922,184000,73.2,73.2,73.2,73.2,100,0
EIS.US,5,20210922,185000,73.18,73.18,73.04,73.04,337,0
EIS.US,5,20210922,190000,73.16,73.16,73.16,73.16,100,0
EIS.US,5,20210922,191500,73.16,73.16,73.03,73.03,200,0
EIS.US,5,20210922,193000,73.0375,73.04,73.0375,73.04,235,0
EIS.US,5,20210922,193500,73.17,73.17,73.17,73.17,100,0
EIS.US,5,20210922,194500,73.13,73.13,73.13,73.13,100,0
EIS.US,5,20210922,200000,73.12,73.12,73.12,73.12,100,0
EIS.US,5,20210922,200500,73.11,73.11,73.11,73.11,100,0
EIS.US,5,20210922,202000,73.34,73.34,73.175,73.175,200,0
