<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EMBD.US,5,20210922,195500,26.9076,26.9076,26.9076,26.9076,102,0
EMBD.US,5,20210923,171000,26.83,26.83,26.83,26.83,600,0
EMBD.US,5,20210923,205500,26.79,26.79,26.7883,26.79,1900,0
EMBD.US,5,20210923,212500,26.8199,26.82,26.81,26.818,4939,0
EMBD.US,5,20210924,154000,26.67,26.67,26.67,26.67,100,0
EMBD.US,5,20210924,154500,26.685,26.71,26.685,26.71,1800,0
EMBD.US,5,20210924,163000,26.65,26.65,26.65,26.65,100,0
EMBD.US,5,20210924,165500,26.64,26.64,26.64,26.64,100,0
EMBD.US,5,20210924,170500,26.64,26.64,26.64,26.64,100,0
EMBD.US,5,20210924,171000,26.64,26.64,26.64,26.64,100,0
EMBD.US,5,20210924,172000,26.64,26.64,26.64,26.64,100,0
EMBD.US,5,20210924,172500,26.64,26.64,26.64,26.64,290,0
EMBD.US,5,20210924,173500,26.64,26.64,26.64,26.64,100,0
EMBD.US,5,20210924,174000,26.64,26.64,26.64,26.64,100,0
EMBD.US,5,20210924,175000,26.64,26.64,26.64,26.64,100,0
EMBD.US,5,20210924,175500,26.64,26.64,26.64,26.64,100,0
EMBD.US,5,20210924,180500,26.64,26.64,26.64,26.64,100,0
EMBD.US,5,20210924,181500,26.63,26.63,26.63,26.63,100,0
EMBD.US,5,20210924,182500,26.63,26.63,26.63,26.63,100,0
EMBD.US,5,20210924,183000,26.63,26.63,26.63,26.63,100,0
EMBD.US,5,20210924,184000,26.63,26.63,26.63,26.63,100,0
EMBD.US,5,20210924,184500,26.63,26.63,26.63,26.63,100,0
EMBD.US,5,20210924,185500,26.63,26.63,26.63,26.63,100,0
EMBD.US,5,20210924,190000,26.63,26.63,26.63,26.63,100,0
EMBD.US,5,20210924,190500,26.63,26.63,26.63,26.63,100,0
EMBD.US,5,20210924,191500,26.63,26.63,26.63,26.63,100,0
EMBD.US,5,20210924,192000,26.63,26.63,26.63,26.63,100,0
EMBD.US,5,20210924,193000,26.63,26.63,26.63,26.63,100,0
EMBD.US,5,20210924,193500,26.63,26.63,26.63,26.63,100,0
EMBD.US,5,20210924,194500,26.63,26.63,26.63,26.63,100,0
EMBD.US,5,20210924,195000,26.63,26.63,26.63,26.63,100,0
EMBD.US,5,20210924,195500,26.63,26.63,26.63,26.63,100,0
EMBD.US,5,20210924,200500,26.63,26.63,26.63,26.63,100,0
EMBD.US,5,20210924,201000,26.63,26.63,26.63,26.63,100,0
EMBD.US,5,20210924,202000,26.63,26.63,26.63,26.63,100,0
EMBD.US,5,20210924,202500,26.63,26.63,26.63,26.63,100,0
EMBD.US,5,20210924,203000,26.63,26.63,26.63,26.63,100,0
EMBD.US,5,20210924,204000,26.63,26.63,26.63,26.63,100,0
EMBD.US,5,20210924,204500,26.63,26.63,26.63,26.63,100,0
EMBD.US,5,20210924,205500,26.63,26.63,26.63,26.63,100,0
EMBD.US,5,20210924,213000,26.68,26.68,26.68,26.68,152,0
EMBD.US,5,20210927,154000,26.53,26.53,26.53,26.53,100,0
EMBD.US,5,20210927,154500,26.54,26.54,26.54,26.54,100,0
EMBD.US,5,20210927,155500,26.55,26.55,26.55,26.55,100,0
EMBD.US,5,20210927,160500,26.56,26.56,26.56,26.56,100,0
EMBD.US,5,20210927,161500,26.56,26.56,26.56,26.56,100,0
EMBD.US,5,20210927,162000,26.56,26.56,26.56,26.56,100,0
EMBD.US,5,20210927,163000,26.56,26.56,26.56,26.56,100,0
EMBD.US,5,20210927,164000,26.56,26.56,26.56,26.56,100,0
EMBD.US,5,20210927,165000,26.56,26.56,26.56,26.56,100,0
EMBD.US,5,20210927,165500,26.56,26.56,26.56,26.56,100,0
EMBD.US,5,20210927,170500,26.56,26.56,26.56,26.56,100,0
EMBD.US,5,20210927,171500,26.56,26.56,26.56,26.56,100,0
EMBD.US,5,20210927,172000,26.56,26.56,26.56,26.56,100,0
EMBD.US,5,20210927,173000,26.56,26.56,26.56,26.56,100,0
EMBD.US,5,20210927,174000,26.55,26.55,26.55,26.55,100,0
