<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EUCG.US,5,20210922,202500,26.61,26.61,26.61,26.61,700,0
EUCG.US,5,20210922,203000,26.61,26.61,26.61,26.61,748,0
EUCG.US,5,20210923,170500,26.85,26.86,26.85,26.86,1411,0
EUCG.US,5,20210923,180000,26.85,26.85,26.85,26.85,141,0
EUCG.US,5,20210923,195500,26.91,26.91,26.91,26.91,556,0
EUCG.US,5,20210924,190000,26.87,26.87,26.87,26.87,7350,0
EUCG.US,5,20210924,212000,26.9,26.9,26.895,26.895,2200,0
EUCG.US,5,20210924,212500,26.88,26.88,26.88,26.88,3091,0
EUCG.US,5,20210928,172000,26.51,26.51,26.51,26.51,152,0
EUCG.US,5,20210928,205000,26.5665,26.5665,26.5665,26.5665,454,0
EUCG.US,5,20210929,165500,26.5301,26.5301,26.5301,26.5301,306,0
EUCG.US,5,20210929,205000,26.57,26.57,26.57,26.57,2087,0
EUCG.US,5,20210929,205500,26.54,26.54,26.54,26.54,121,0
EUCG.US,5,20210929,213500,26.5104,26.5104,26.5104,26.5104,183,0
EUCG.US,5,20210930,164000,26.51,26.51,26.51,26.51,293,0
EUCG.US,5,20210930,210500,26.445,26.45,26.445,26.45,1800,0
EUCG.US,5,20210930,211000,26.46,26.465,26.455,26.465,1400,0
EUCG.US,5,20210930,211500,26.475,26.475,26.475,26.475,1100,0
EUCG.US,5,20210930,212000,26.46,26.46,26.45,26.45,2400,0
EUCG.US,5,20211001,195500,26.45,26.46,26.45,26.46,4888,0
EUCG.US,5,20211001,215000,26.52,26.52,26.52,26.52,2108,0
EUCG.US,5,20211004,213500,26.24,26.24,26.24,26.24,600,0
EUCG.US,5,20211004,215500,26.27,26.27,26.27,26.27,195,0
EUCG.US,5,20211005,173000,26.51,26.53,26.5,26.53,5184,0
EUCG.US,5,20211005,175000,26.52,26.52,26.52,26.52,100,0
EUCG.US,5,20211005,181500,26.55,26.55,26.55,26.55,100,0
EUCG.US,5,20211005,184500,26.53,26.53,26.53,26.53,100,0
EUCG.US,5,20211005,192000,26.54,26.54,26.54,26.54,100,0
EUCG.US,5,20211005,193500,26.52,26.52,26.52,26.52,638,0
EUCG.US,5,20211005,195000,26.56,26.56,26.56,26.56,100,0
EUCG.US,5,20211005,202500,26.55,26.55,26.55,26.55,100,0
EUCG.US,5,20211005,205000,26.56,26.56,26.56,26.56,100,0
EUCG.US,5,20211005,212000,26.56,26.56,26.56,26.56,100,0
EUCG.US,5,20211005,214000,26.53,26.55,26.53,26.55,265,0
EUCG.US,5,20211005,215500,26.5,26.5,26.5,26.5,300,0
EUCG.US,5,20211006,155500,26.28,26.28,26.27,26.27,1100,0
EUCG.US,5,20211006,163000,26.38,26.38,26.38,26.38,1935,0
EUCG.US,5,20211006,194500,26.47,26.47,26.47,26.47,1173,0
EUCG.US,5,20211006,201500,26.55,26.55,26.55,26.55,200,0
EUCG.US,5,20211006,202000,26.55,26.56,26.55,26.55,12000,0
EUCG.US,5,20211006,204000,26.56,26.56,26.49,26.52,11500,0
EUCG.US,5,20211006,204500,26.53,26.53,26.53,26.53,2400,0
EUCG.US,5,20211007,182500,26.58,26.58,26.58,26.58,601,0
EUCG.US,5,20211007,204500,26.55,26.55,26.55,26.55,256,0
EUCG.US,5,20211007,205500,26.5636,26.57,26.5636,26.57,400,0
EUCG.US,5,20211008,201500,26.56,26.56,26.56,26.56,129,0
EUCG.US,5,20211008,210500,26.59,26.6,26.59,26.6,1258,0
EUCG.US,5,20211008,215000,26.5601,26.5601,26.5601,26.5601,1027,0
EUCG.US,5,20211011,194500,26.5201,26.521,26.52,26.521,4544,0
EUCG.US,5,20211011,213500,26.54,26.54,26.54,26.54,611,0
EUCG.US,5,20211012,170000,26.5001,26.5001,26.5,26.5,290,0
EUCG.US,5,20211012,204500,26.5299,26.5299,26.52,26.52,833,0
EUCG.US,5,20211012,211500,26.51,26.52,26.51,26.52,1409,0
EUCG.US,5,20211013,154500,26.46,26.46,26.46,26.46,592,0
EUCG.US,5,20211013,163500,26.41,26.41,26.41,26.41,1954,0
EUCG.US,5,20211013,185500,26.42,26.4201,26.42,26.42,5524,0
EUCG.US,5,20211013,193000,26.43,26.43,26.43,26.43,10000,0
EUCG.US,5,20211013,204000,26.4595,26.4595,26.4595,26.4595,716,0
EUCG.US,5,20211014,180500,26.51,26.51,26.51,26.51,414,0
EUCG.US,5,20211014,201500,26.54,26.54,26.54,26.54,2488,0
EUCG.US,5,20211015,213500,26.66,26.665,26.66,26.665,1500,0
EUCG.US,5,20211018,153000,26.36,26.36,26.36,26.36,482,0
EUCG.US,5,20211018,162500,26.6538,26.6538,26.6538,26.6538,1050,0
EUCG.US,5,20211018,181500,26.63,26.63,26.63,26.63,250,0
EUCG.US,5,20211018,200000,26.6,26.6093,26.6,26.6093,550,0
EUCG.US,5,20211018,200500,26.6,26.6219,26.6,26.6182,950,0
EUCG.US,5,20211018,212000,26.65,26.6598,26.65,26.6598,493,0
EUCG.US,5,20211018,215000,26.61,26.61,26.61,26.61,2024,0
EUCG.US,5,20211020,165000,26.8101,26.8101,26.8101,26.8101,833,0
EUCG.US,5,20211020,184000,26.81,26.8101,26.81,26.8101,430,0
EUCG.US,5,20211020,192000,26.77,26.7712,26.77,26.7701,504,0
EUCG.US,5,20211020,193000,26.78,26.787,26.78,26.787,6050,0
EUCG.US,5,20211020,211000,26.8699,26.8699,26.86,26.86,1757,0
EUCG.US,5,20211021,193500,26.83,26.83,26.83,26.83,6198,0
EUCG.US,5,20211021,214000,26.8648,26.8648,26.8648,26.8648,152,0
EUCG.US,5,20211022,184000,26.8707,26.8707,26.8707,26.8707,959,0
EUCG.US,5,20211022,195000,26.8901,26.8917,26.8901,26.8917,368,0
EUCG.US,5,20211025,174500,27.06,27.06,27.06,27.06,6070,0
EUCG.US,5,20211026,210500,27.18,27.18,27.18,27.18,1026,0
EUCG.US,5,20211026,213000,27.16,27.19,27.16,27.19,306,0
EUCG.US,5,20211027,205500,27.05,27.07,27.05,27.07,1974,0
EUCG.US,5,20211029,210500,27.22,27.22,27.219,27.219,3347,0
EUCG.US,5,20211029,215000,27.22,27.22,27.22,27.22,100,0
EUCG.US,5,20211101,200500,27.2901,27.2901,27.2901,27.2901,947,0
EUCG.US,5,20211102,182000,27.45,27.45,27.45,27.45,100,0
EUCG.US,5,20211102,203500,27.36,27.385,27.36,27.385,520,0
EUCG.US,5,20211103,154500,27.37,27.37,27.37,27.37,900,0
EUCG.US,5,20211103,172000,27.38,27.38,27.37,27.37,35493,0
EUCG.US,5,20211103,193000,27.42,27.42,27.42,27.42,6299,0
EUCG.US,5,20211104,160500,27.61,27.61,27.61,27.61,742,0
EUCG.US,5,20211104,192500,27.5317,27.5317,27.5317,27.5317,1291,0
EUCG.US,5,20211104,204500,27.54,27.5705,27.54,27.5705,1094,0
EUCG.US,5,20211105,163000,27.7,27.701,27.7,27.701,4529,0
EUCG.US,5,20211108,173500,27.7,27.7,27.7,27.7,180,0
EUCG.US,5,20211108,192500,27.73,27.73,27.73,27.73,31177,0
EUCG.US,5,20211108,193500,27.68,27.68,27.68,27.68,200,0
EUCG.US,5,20211108,201500,27.7,27.7001,27.7,27.7001,456,0
EUCG.US,5,20211108,210500,27.76,27.76,27.76,27.76,567,0
EUCG.US,5,20211109,161000,27.5201,27.5201,27.5201,27.5201,264,0
EUCG.US,5,20211110,170000,27.5699,27.5699,27.5699,27.5699,182,0
EUCG.US,5,20211110,173000,27.51,27.51,27.51,27.51,10069,0
EUCG.US,5,20211110,185000,27.42,27.45,27.42,27.45,654,0
EUCG.US,5,20211111,155500,27.39,27.4005,27.39,27.4005,218,0
