<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EUSA.US,5,20210922,153000,84.94,84.94,84.94,84.94,243,0
EUSA.US,5,20210922,154500,85.015,85.015,85.01,85.01,302,0
EUSA.US,5,20210922,163500,85.315,85.315,85.315,85.315,102,0
EUSA.US,5,20210922,165000,85.32,85.32,85.32,85.32,100,0
EUSA.US,5,20210922,172500,85.476,85.476,85.476,85.476,128,0
EUSA.US,5,20210922,173000,85.575,85.575,85.575,85.575,217,0
EUSA.US,5,20210922,174500,85.62,85.62,85.62,85.62,300,0
EUSA.US,5,20210922,175000,85.6,85.66,85.6,85.65,2200,0
EUSA.US,5,20210922,180500,85.6496,85.6496,85.6,85.6,1342,0
EUSA.US,5,20210922,181000,85.5731,85.5731,85.5731,85.5731,175,0
EUSA.US,5,20210922,183500,85.6143,85.6143,85.6143,85.6143,234,0
EUSA.US,5,20210922,192000,85.44,85.44,85.44,85.44,100,0
EUSA.US,5,20210922,193500,85.4877,85.4877,85.4877,85.4877,200,0
EUSA.US,5,20210922,194000,85.51,85.51,85.51,85.51,300,0
EUSA.US,5,20210922,194500,85.495,85.51,85.495,85.51,200,0
EUSA.US,5,20210922,200000,85.4,85.41,85.39,85.39,2300,0
EUSA.US,5,20210922,202500,85.7059,85.7059,85.7059,85.7059,618,0
EUSA.US,5,20210922,204000,85.52,85.52,85.52,85.52,300,0
EUSA.US,5,20210922,204500,85.52,85.52,85.51,85.51,300,0
EUSA.US,5,20210922,211000,85.3603,85.3603,85.3603,85.3603,418,0
EUSA.US,5,20210922,211500,85.59,85.59,85.59,85.59,200,0
EUSA.US,5,20210922,214000,85.605,85.605,85.48,85.48,2920,0
EUSA.US,5,20210922,214500,85.47,85.5,85.47,85.5,633,0
EUSA.US,5,20210922,215000,85.4,85.43,85.4,85.43,600,0
EUSA.US,5,20210922,215500,85.37,85.37,85.3503,85.3503,600,0
EUSA.US,5,20210923,153000,85.98,85.98,85.98,85.98,341,0
EUSA.US,5,20210923,154000,86.2,86.2,86.2,86.2,300,0
EUSA.US,5,20210923,155500,86.47,86.47,86.47,86.47,700,0
EUSA.US,5,20210923,162000,86.5439,86.5439,86.5439,86.5439,112,0
EUSA.US,5,20210923,164500,86.54,86.55,86.53,86.54,3300,0
EUSA.US,5,20210923,165000,86.592,86.62,86.592,86.62,700,0
EUSA.US,5,20210923,170500,86.61,86.61,86.56,86.56,1022,0
EUSA.US,5,20210923,171000,86.57,86.57,86.57,86.57,300,0
EUSA.US,5,20210923,175000,86.55,86.55,86.55,86.55,456,0
EUSA.US,5,20210923,184500,86.68,86.68,86.68,86.68,100,0
EUSA.US,5,20210923,195000,86.8201,86.8201,86.8201,86.8201,100,0
EUSA.US,5,20210923,203000,86.76,86.76,86.76,86.76,100,0
EUSA.US,5,20210923,213500,86.59,86.59,86.59,86.59,100,0
EUSA.US,5,20210923,214000,86.56,86.585,86.56,86.585,280,0
EUSA.US,5,20210923,214500,86.56,86.56,86.56,86.56,199,0
EUSA.US,5,20210923,215000,86.52,86.52,86.4899,86.49,500,0
EUSA.US,5,20210923,215500,86.47,86.47,86.47,86.47,100,0
EUSA.US,5,20210924,161000,86.17,86.17,86.17,86.17,270,0
EUSA.US,5,20210924,164000,86.17,86.17,86.17,86.17,172,0
EUSA.US,5,20210924,172500,86.0439,86.0439,86.0439,86.0439,100,0
EUSA.US,5,20210924,173000,86.0662,86.07,86.0662,86.07,300,0
EUSA.US,5,20210924,173500,86.1062,86.1062,86.1062,86.1062,100,0
EUSA.US,5,20210924,180000,86.165,86.165,86.165,86.165,220,0
EUSA.US,5,20210924,190500,86.18,86.18,86.18,86.18,398,0
EUSA.US,5,20210924,203000,86.095,86.095,86.095,86.095,285,0
EUSA.US,5,20210924,205500,86.2075,86.2075,86.2075,86.2075,1145,0
EUSA.US,5,20210924,210500,86.11,86.13,86.11,86.11,1543,0
EUSA.US,5,20210924,211000,86.11,86.11,86.11,86.11,100,0
EUSA.US,5,20210924,211500,86.1983,86.1983,86.1983,86.1983,1195,0
EUSA.US,5,20210924,213500,86.225,86.225,86.225,86.225,686,0
EUSA.US,5,20210924,214500,86.23,86.23,86.23,86.23,177,0
EUSA.US,5,20210924,215500,86.19,86.19,86.18,86.18,1000,0
EUSA.US,5,20210927,153000,86.22,86.22,86.1791,86.1791,1596,0
EUSA.US,5,20210927,153500,86.21,86.21,86.21,86.21,304,0
EUSA.US,5,20210927,154000,86.108,86.108,86.108,86.108,158,0
EUSA.US,5,20210927,154500,86.3766,86.3766,86.3766,86.3766,300,0
EUSA.US,5,20210927,155000,86.2996,86.33,86.2996,86.33,7214,0
EUSA.US,5,20210927,155500,86.3934,86.3934,86.3934,86.3934,110,0
EUSA.US,5,20210927,160000,86.35,86.35,86.35,86.35,5000,0
EUSA.US,5,20210927,161000,86.4013,86.4618,86.4013,86.4618,239,0
EUSA.US,5,20210927,161500,86.4622,86.4622,86.4622,86.4622,115,0
EUSA.US,5,20210927,162000,86.42,86.42,86.41,86.42,1100,0
EUSA.US,5,20210927,162500,86.46,86.46,86.46,86.46,237,0
EUSA.US,5,20210927,163500,86.55,86.56,86.55,86.56,450,0
EUSA.US,5,20210927,164000,86.5498,86.5498,86.5498,86.5498,145,0
EUSA.US,5,20210927,164500,86.54,86.54,86.51,86.51,215,0
EUSA.US,5,20210927,170000,86.4299,86.45,86.4299,86.45,243,0
EUSA.US,5,20210927,170500,86.43,86.43,86.43,86.43,250,0
EUSA.US,5,20210927,171500,86.43,86.43,86.42,86.43,12409,0
EUSA.US,5,20210927,172000,86.385,86.385,86.385,86.385,202,0
EUSA.US,5,20210927,174000,86.3289,86.3289,86.3289,86.3289,286,0
EUSA.US,5,20210927,182000,86.42,86.42,86.42,86.42,100,0
EUSA.US,5,20210927,185000,86.2391,86.2391,86.2391,86.2391,136,0
EUSA.US,5,20210927,190000,86.26,86.26,86.2599,86.2599,400,0
EUSA.US,5,20210927,192500,86.2899,86.2899,86.2899,86.2899,135,0
EUSA.US,5,20210927,195500,86.3373,86.3373,86.3373,86.3373,135,0
EUSA.US,5,20210927,200000,86.37,86.37,86.37,86.37,365,0
EUSA.US,5,20210927,202500,86.4,86.4,86.4,86.4,1789,0
EUSA.US,5,20210927,203000,86.39,86.39,86.39,86.39,1749,0
EUSA.US,5,20210927,204500,86.36,86.36,86.36,86.36,1150,0
EUSA.US,5,20210927,205000,86.3479,86.3479,86.3479,86.3479,100,0
EUSA.US,5,20210927,205500,86.3302,86.36,86.3302,86.35,2151,0
EUSA.US,5,20210927,210000,86.3183,86.3183,86.3183,86.3183,311,0
EUSA.US,5,20210927,212000,86.35,86.35,86.35,86.35,800,0
EUSA.US,5,20210927,213500,86.22,86.22,86.22,86.22,442,0
EUSA.US,5,20210927,214500,86.24,86.24,86.1699,86.1699,276,0
EUSA.US,5,20210927,215000,86.1098,86.1098,86.1098,86.1098,113,0
EUSA.US,5,20210928,153000,85.78,85.78,85.78,85.78,238,0
EUSA.US,5,20210928,153500,85.71,85.71,85.71,85.71,140,0
EUSA.US,5,20210928,154000,85.66,85.679,85.638,85.679,900,0
EUSA.US,5,20210928,155000,85.3075,85.3075,85.3075,85.3075,155,0
EUSA.US,5,20210928,160000,85.33,85.34,85.13,85.13,2523,0
EUSA.US,5,20210928,160500,85.21,85.21,85.05,85.05,744,0
EUSA.US,5,20210928,162000,84.8248,84.88,84.8248,84.8612,1356,0
EUSA.US,5,20210928,162500,84.855,84.855,84.855,84.855,129,0
EUSA.US,5,20210928,163000,84.965,84.965,84.965,84.965,100,0
EUSA.US,5,20210928,164000,85.1394,85.1394,85.1394,85.1394,671,0
EUSA.US,5,20210928,165000,85,85,85,85,1150,0
EUSA.US,5,20210928,172000,84.89,84.89,84.89,84.89,175,0
EUSA.US,5,20210928,173500,84.858,84.858,84.858,84.858,343,0
EUSA.US,5,20210928,180500,84.75,84.75,84.75,84.75,177,0
EUSA.US,5,20210928,181500,84.8509,84.863,84.8509,84.863,745,0
EUSA.US,5,20210928,182000,84.85,84.86,84.85,84.86,500,0
EUSA.US,5,20210928,183000,84.79,84.79,84.75,84.765,818,0
EUSA.US,5,20210928,183500,84.7488,84.765,84.7488,84.765,230,0
EUSA.US,5,20210928,184000,84.61,84.61,84.61,84.61,325,0
EUSA.US,5,20210928,184500,84.6,84.6,84.6,84.6,235,0
EUSA.US,5,20210928,185500,84.64,84.64,84.64,84.64,235,0
EUSA.US,5,20210928,190000,84.55,84.55,84.55,84.55,228,0
EUSA.US,5,20210928,191500,84.7287,84.7287,84.7287,84.7287,780,0
EUSA.US,5,20210928,192000,84.7676,84.7676,84.7676,84.7676,100,0
EUSA.US,5,20210928,192500,84.8585,84.8585,84.8585,84.8585,100,0
EUSA.US,5,20210928,193000,84.86,84.86,84.835,84.835,1078,0
EUSA.US,5,20210928,195000,84.78,84.78,84.78,84.78,100,0
EUSA.US,5,20210928,200000,84.7,84.7,84.7,84.7,100,0
EUSA.US,5,20210928,201000,84.56,84.56,84.56,84.56,100,0
EUSA.US,5,20210928,203500,84.8383,84.8383,84.8383,84.8383,150,0
EUSA.US,5,20210928,211000,85.12,85.12,85.12,85.12,300,0
EUSA.US,5,20210928,212500,84.895,84.895,84.895,84.895,118,0
EUSA.US,5,20210928,213000,84.815,84.859,84.815,84.859,1364,0
EUSA.US,5,20210928,213500,84.91,84.91,84.91,84.91,200,0
EUSA.US,5,20210928,214500,84.7355,84.7355,84.7355,84.7355,271,0
EUSA.US,5,20210928,215500,84.62,84.64,84.6,84.64,4200,0
EUSA.US,5,20210929,155500,84.94,84.975,84.94,84.975,850,0
EUSA.US,5,20210929,160000,85.1,85.1,85.07,85.08,4200,0
EUSA.US,5,20210929,162000,85.14,85.14,85.14,85.14,173,0
EUSA.US,5,20210929,163500,84.98,84.98,84.98,84.98,1500,0
EUSA.US,5,20210929,164500,85.06,85.06,85.06,85.06,500,0
EUSA.US,5,20210929,171500,85.0152,85.0152,85.0152,85.0152,286,0
EUSA.US,5,20210929,175500,84.8823,84.8823,84.8823,84.8823,291,0
EUSA.US,5,20210929,185000,84.835,84.835,84.835,84.835,351,0
EUSA.US,5,20210929,192000,84.845,84.845,84.845,84.845,106,0
