<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FBCG.US,5,20210922,153000,33.435,33.435,33.33,33.33,5847,0
FBCG.US,5,20210922,153500,33.33,33.395,33.3,33.35,10871,0
FBCG.US,5,20210922,154000,33.4045,33.4045,33.34,33.34,500,0
FBCG.US,5,20210922,154500,33.34,33.385,33.34,33.385,200,0
FBCG.US,5,20210922,155000,33.3845,33.4559,33.3845,33.4302,2100,0
FBCG.US,5,20210922,155500,33.4896,33.4896,33.48,33.48,524,0
FBCG.US,5,20210922,160000,33.465,33.5,33.4647,33.4709,6840,0
FBCG.US,5,20210922,160500,33.51,33.51,33.51,33.51,5883,0
FBCG.US,5,20210922,161000,33.5,33.5,33.4695,33.4695,3288,0
FBCG.US,5,20210922,161500,33.495,33.539,33.495,33.495,2003,0
FBCG.US,5,20210922,162000,33.5391,33.5391,33.5391,33.5391,590,0
FBCG.US,5,20210922,162500,33.54,33.54,33.54,33.54,175,0
FBCG.US,5,20210922,163000,33.5654,33.5654,33.51,33.51,300,0
FBCG.US,5,20210922,164000,33.555,33.555,33.5173,33.5173,700,0
FBCG.US,5,20210922,164500,33.59,33.59,33.59,33.59,119,0
FBCG.US,5,20210922,165500,33.555,33.555,33.555,33.555,295,0
FBCG.US,5,20210922,170000,33.56,33.57,33.5582,33.5582,458,0
FBCG.US,5,20210922,170500,33.575,33.575,33.565,33.565,200,0
FBCG.US,5,20210922,171500,33.585,33.5863,33.585,33.5863,359,0
FBCG.US,5,20210922,172000,33.6159,33.6159,33.585,33.585,350,0
FBCG.US,5,20210922,172500,33.5909,33.5909,33.575,33.575,1100,0
FBCG.US,5,20210922,173000,33.62,33.652,33.62,33.652,700,0
FBCG.US,5,20210922,174000,33.6633,33.7,33.6633,33.68,4238,0
FBCG.US,5,20210922,174500,33.72,33.72,33.72,33.72,491,0
FBCG.US,5,20210922,175000,33.73,33.73,33.66,33.7,2036,0
FBCG.US,5,20210922,175500,33.7182,33.72,33.7182,33.72,3067,0
FBCG.US,5,20210922,180500,33.71,33.71,33.665,33.665,248,0
FBCG.US,5,20210922,182500,33.69,33.69,33.69,33.69,269,0
FBCG.US,5,20210922,183000,33.7,33.7,33.7,33.7,100,0
FBCG.US,5,20210922,184000,33.72,33.72,33.69,33.69,500,0
FBCG.US,5,20210922,184500,33.69,33.69,33.69,33.69,800,0
FBCG.US,5,20210922,185000,33.69,33.69,33.6479,33.66,6768,0
FBCG.US,5,20210922,185500,33.67,33.67,33.6699,33.67,800,0
FBCG.US,5,20210922,190000,33.67,33.67,33.6,33.6225,1200,0
FBCG.US,5,20210922,190500,33.62,33.64,33.6,33.64,1053,0
FBCG.US,5,20210922,191000,33.64,33.64,33.6,33.6294,2597,0
FBCG.US,5,20210922,191500,33.63,33.63,33.59,33.62,1075,0
FBCG.US,5,20210922,192000,33.62,33.62,33.6006,33.62,780,0
FBCG.US,5,20210922,192500,33.62,33.65,33.62,33.64,1200,0
FBCG.US,5,20210922,193000,33.65,33.67,33.65,33.67,600,0
FBCG.US,5,20210922,193500,33.6666,33.67,33.64,33.64,848,0
FBCG.US,5,20210922,194000,33.64,33.65,33.6224,33.65,760,0
FBCG.US,5,20210922,194500,33.64,33.65,33.63,33.63,2100,0
FBCG.US,5,20210922,195000,33.61,33.62,33.5458,33.5458,3500,0
FBCG.US,5,20210922,195500,33.57,33.63,33.57,33.63,10393,0
FBCG.US,5,20210922,200000,33.56,33.6191,33.54,33.6191,310,0
FBCG.US,5,20210922,200500,33.75,33.75,33.69,33.73,3600,0
FBCG.US,5,20210922,201000,33.76,33.82,33.75,33.82,2100,0
FBCG.US,5,20210922,201500,33.85,33.85,33.75,33.84,1100,0
FBCG.US,5,20210922,202000,33.81,33.81,33.73,33.73,1700,0
FBCG.US,5,20210922,202500,33.745,33.8,33.745,33.8,309,0
FBCG.US,5,20210922,203000,33.81,33.81,33.76,33.81,850,0
FBCG.US,5,20210922,203500,33.7798,33.81,33.74,33.74,695,0
FBCG.US,5,20210922,204000,33.7,33.7446,33.68,33.7,1806,0
FBCG.US,5,20210922,204500,33.69,33.69,33.62,33.63,800,0
FBCG.US,5,20210922,205000,33.62,33.62,33.58,33.59,1732,0
FBCG.US,5,20210922,205500,33.62,33.65,33.58,33.6394,3956,0
FBCG.US,5,20210922,210000,33.595,33.65,33.595,33.65,2433,0
FBCG.US,5,20210922,210500,33.63,33.63,33.605,33.605,1150,0
FBCG.US,5,20210922,211000,33.67,33.73,33.67,33.73,6346,0
FBCG.US,5,20210922,211500,33.73,33.76,33.73,33.755,5281,0
FBCG.US,5,20210922,212000,33.81,33.84,33.8,33.81,1650,0
FBCG.US,5,20210922,212500,33.81,33.81,33.79,33.79,1000,0
FBCG.US,5,20210922,213000,33.78,33.78,33.75,33.75,1000,0
FBCG.US,5,20210922,213500,33.82,33.83,33.79,33.7964,2480,0
FBCG.US,5,20210922,214000,33.84,33.84,33.77,33.77,950,0
FBCG.US,5,20210922,214500,33.76,33.7772,33.7503,33.76,1477,0
FBCG.US,5,20210922,215000,33.74,33.76,33.72,33.73,1000,0
FBCG.US,5,20210922,215500,33.73,33.73,33.6946,33.72,5110,0
FBCG.US,5,20210923,153000,33.99,33.99,33.875,33.875,5165,0
FBCG.US,5,20210923,153500,33.86,33.93,33.85,33.93,10853,0
FBCG.US,5,20210923,154000,33.94,33.96,33.9264,33.9264,1431,0
FBCG.US,5,20210923,154500,33.9201,34.04,33.9201,34.04,5306,0
FBCG.US,5,20210923,155000,34.05,34.05,34.034,34.034,550,0
FBCG.US,5,20210923,155500,34.06,34.09,34.04,34.08,1517,0
FBCG.US,5,20210923,160000,34.06,34.1,34.06,34.1,895,0
FBCG.US,5,20210923,160500,34.095,34.13,34.085,34.085,593,0
FBCG.US,5,20210923,161000,34.11,34.13,34.085,34.12,27062,0
FBCG.US,5,20210923,161500,34.1,34.14,34.1,34.13,3739,0
FBCG.US,5,20210923,162000,34.12,34.15,34.12,34.15,1950,0
FBCG.US,5,20210923,162500,34.16,34.16,34.12,34.13,1700,0
FBCG.US,5,20210923,163000,34.1298,34.14,34.12,34.13,7700,0
FBCG.US,5,20210923,163500,34.125,34.14,34.08,34.08,16509,0
FBCG.US,5,20210923,164000,34.11,34.11,34.11,34.11,300,0
FBCG.US,5,20210923,164500,34.13,34.16,34.105,34.16,1055,0
FBCG.US,5,20210923,165000,34.16,34.17,34.13,34.16,4895,0
FBCG.US,5,20210923,165500,34.16,34.17,34.1535,34.17,1295,0
FBCG.US,5,20210923,170000,34.14,34.14,34.12,34.12,1498,0
FBCG.US,5,20210923,170500,34.14,34.14,34.09,34.1,2440,0
FBCG.US,5,20210923,171000,34.07,34.07,34.07,34.07,198,0
FBCG.US,5,20210923,171500,34.08,34.1,34.06,34.06,1146,0
FBCG.US,5,20210923,172000,34.07,34.07,34.045,34.06,500,0
FBCG.US,5,20210923,172500,34.06,34.06,34.06,34.06,200,0
FBCG.US,5,20210923,173000,34.1,34.1,34.09,34.09,300,0
FBCG.US,5,20210923,173500,34.09,34.1,34.065,34.1,446,0
FBCG.US,5,20210923,174000,34.06,34.09,34.02,34.05,1700,0
FBCG.US,5,20210923,174500,34.1,34.1,34.055,34.055,2295,0
FBCG.US,5,20210923,175000,34.044,34.0617,34.044,34.0581,977,0
FBCG.US,5,20210923,175500,34.11,34.12,34.11,34.12,400,0
FBCG.US,5,20210923,180000,34.0911,34.12,34.09,34.09,1373,0
FBCG.US,5,20210923,180500,34.08,34.08,34.07,34.07,400,0
FBCG.US,5,20210923,181000,34.07,34.09,34.07,34.09,400,0
FBCG.US,5,20210923,181500,34.1,34.1,34.09,34.09,400,0
FBCG.US,5,20210923,182000,34.0681,34.1081,34.0681,34.1,1517,0
FBCG.US,5,20210923,182500,34.07,34.0999,34.07,34.09,650,0
FBCG.US,5,20210923,183000,34.1,34.11,34.1,34.1,800,0
FBCG.US,5,20210923,183500,34.1,34.13,34.1,34.12,500,0
FBCG.US,5,20210923,184000,34.12,34.1243,34.1004,34.12,826,0
FBCG.US,5,20210923,184500,34.13,34.13,34.13,34.13,500,0
FBCG.US,5,20210923,185000,34.14,34.14,34.14,34.14,300,0
FBCG.US,5,20210923,185500,34.15,34.15,34.12,34.13,546,0
FBCG.US,5,20210923,190000,34.13,34.15,34.13,34.15,500,0
