<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FDD.US,5,20210922,153000,14.35,14.35,14.35,14.35,1436,0
FDD.US,5,20210922,160500,14.3512,14.3512,14.3512,14.3512,1300,0
FDD.US,5,20210922,161500,14.37,14.37,14.361,14.361,2753,0
FDD.US,5,20210922,165000,14.37,14.37,14.35,14.35,12170,0
FDD.US,5,20210922,165500,14.3584,14.3584,14.3584,14.3584,100,0
FDD.US,5,20210922,170000,14.36,14.36,14.36,14.36,400,0
FDD.US,5,20210922,170500,14.3701,14.3701,14.3701,14.3701,131,0
FDD.US,5,20210922,171000,14.3709,14.3709,14.3709,14.3709,100,0
FDD.US,5,20210922,173000,14.38,14.39,14.38,14.39,2400,0
FDD.US,5,20210922,174000,14.38,14.38,14.38,14.38,143,0
FDD.US,5,20210922,175000,14.39,14.4,14.38,14.38,6200,0
FDD.US,5,20210922,180500,14.395,14.395,14.395,14.395,220,0
FDD.US,5,20210922,181000,14.4,14.4,14.3982,14.4,1390,0
FDD.US,5,20210922,181500,14.4,14.4,14.4,14.4,1948,0
FDD.US,5,20210922,184000,14.4,14.4,14.4,14.4,295,0
FDD.US,5,20210922,190000,14.3801,14.3801,14.3801,14.3801,129,0
FDD.US,5,20210922,190500,14.39,14.39,14.39,14.39,318,0
FDD.US,5,20210922,192000,14.389,14.389,14.389,14.389,711,0
FDD.US,5,20210922,193500,14.3718,14.3718,14.3718,14.3718,593,0
FDD.US,5,20210922,195500,14.38,14.38,14.37,14.37,3674,0
FDD.US,5,20210922,200000,14.36,14.4,14.36,14.4,1480,0
FDD.US,5,20210922,200500,14.42,14.42,14.42,14.42,1700,0
FDD.US,5,20210922,201000,14.43,14.43,14.43,14.43,400,0
FDD.US,5,20210922,203000,14.4477,14.4477,14.4477,14.4477,118,0
FDD.US,5,20210922,203500,14.44,14.44,14.44,14.44,400,0
FDD.US,5,20210922,204000,14.37,14.37,14.37,14.37,500,0
FDD.US,5,20210922,204500,14.37,14.37,14.37,14.37,2400,0
