<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FLMB.US,5,20210923,153000,27.29,27.29,27.29,27.29,178,0
FLMB.US,5,20210923,155500,27.32,27.32,27.32,27.32,500,0
FLMB.US,5,20210923,185500,27.26,27.26,27.26,27.26,208,0
FLMB.US,5,20210924,164000,27.25,27.25,27.25,27.25,220,0
FLMB.US,5,20210924,210000,27.24,27.24,27.24,27.24,191,0
FLMB.US,5,20210927,174000,27.21,27.21,27.21,27.21,3372,0
FLMB.US,5,20210927,181000,27.218,27.218,27.218,27.218,300,0
FLMB.US,5,20210928,174500,27.1141,27.1141,27.1141,27.1141,266,0
FLMB.US,5,20210928,180500,27.12,27.12,27.12,27.12,900,0
FLMB.US,5,20210928,200500,27.1,27.1,27.1,27.1,100,0
FLMB.US,5,20210928,214000,27.11,27.12,27.11,27.12,1406,0
FLMB.US,5,20210928,214500,27.12,27.12,27.12,27.12,600,0
FLMB.US,5,20210929,153000,27.08,27.08,27.08,27.08,124,0
FLMB.US,5,20210929,191500,27.07,27.07,27.06,27.06,300,0
FLMB.US,5,20210930,155500,27.04,27.04,27.04,27.04,295,0
FLMB.US,5,20210930,162500,27.04,27.04,27.04,27.04,500,0
FLMB.US,5,20210930,165000,27.03,27.03,27.03,27.03,100000,0
FLMB.US,5,20210930,183000,27.04,27.04,27.04,27.04,800,0
FLMB.US,5,20210930,213500,27.0101,27.0101,27.0101,27.0101,2000,0
FLMB.US,5,20211001,161500,27.03,27.03,27.03,27.03,450,0
FLMB.US,5,20211001,183000,27.03,27.03,27.03,27.03,200,0
FLMB.US,5,20211001,211000,27.03,27.03,27.03,27.03,200,0
FLMB.US,5,20211004,153000,27,27.003,27,27.003,1836,0
FLMB.US,5,20211004,172000,26.99,26.99,26.99,26.99,100,0
FLMB.US,5,20211004,172500,27.005,27.005,27.005,27.005,700,0
FLMB.US,5,20211004,184000,26.99,26.99,26.99,26.99,700,0
FLMB.US,5,20211005,155500,27.01,27.01,27.01,27.01,116,0
FLMB.US,5,20211011,153000,26.9,26.9,26.9,26.9,606,0
FLMB.US,5,20211011,172500,26.9275,26.9275,26.9275,26.9275,1000,0
FLMB.US,5,20211011,215500,26.89,26.89,26.89,26.89,348,0
FLMB.US,5,20211013,194000,26.97,26.97,26.97,26.97,300,0
FLMB.US,5,20211015,162000,26.98,26.98,26.98,26.98,278,0
FLMB.US,5,20211015,163500,26.98,26.98,26.98,26.98,111,0
FLMB.US,5,20211015,170000,26.98,26.98,26.98,26.98,370,0
FLMB.US,5,20211015,184500,26.98,26.98,26.98,26.98,407,0
FLMB.US,5,20211015,185000,26.98,27,26.98,27,1130,0
FLMB.US,5,20211015,194000,26.98,26.98,26.98,26.98,100,0
FLMB.US,5,20211018,205000,26.965,26.965,26.965,26.965,100,0
FLMB.US,5,20211019,163000,26.96,26.96,26.96,26.96,200,0
FLMB.US,5,20211019,164000,26.9699,26.9699,26.9699,26.9699,3513,0
FLMB.US,5,20211020,190000,26.95,26.95,26.95,26.95,700,0
FLMB.US,5,20211020,202500,26.95,26.96,26.95,26.96,4200,0
FLMB.US,5,20211021,154000,26.92,26.92,26.92,26.92,1000,0
FLMB.US,5,20211021,161500,26.895,26.895,26.89,26.895,1200,0
FLMB.US,5,20211022,185000,26.8899,26.8899,26.8899,26.8899,600,0
FLMB.US,5,20211025,162000,26.875,26.88,26.875,26.88,1120,0
FLMB.US,5,20211025,194000,26.8605,26.8605,26.8605,26.8605,373,0
FLMB.US,5,20211026,154500,26.8431,26.8431,26.8431,26.8431,1494,0
