<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FNI.US,5,20210922,153000,51.59,51.59,51.59,51.59,688,0
FNI.US,5,20210922,153500,51.74,51.7701,51.68,51.68,1649,0
FNI.US,5,20210922,154500,52.02,52.05,52.02,52.05,500,0
FNI.US,5,20210922,155000,52.07,52.18,52.07,52.15,3330,0
FNI.US,5,20210922,155500,52.15,52.18,52.15,52.17,3200,0
FNI.US,5,20210922,161000,52.25,52.27,52.25,52.27,200,0
FNI.US,5,20210922,161500,52.2461,52.2461,52.2461,52.2461,285,0
FNI.US,5,20210922,162500,52.17,52.17,52.17,52.17,200,0
FNI.US,5,20210922,171000,52.045,52.045,52.045,52.045,100,0
FNI.US,5,20210922,173500,52.19,52.19,52.19,52.19,100,0
FNI.US,5,20210922,182000,52.1,52.1,52.1,52.1,100,0
FNI.US,5,20210922,190500,51.931,51.931,51.931,51.931,266,0
FNI.US,5,20210922,192500,51.945,51.945,51.945,51.945,101,0
FNI.US,5,20210922,193500,51.9501,51.9501,51.9501,51.9501,108,0
FNI.US,5,20210922,195500,51.945,51.993,51.945,51.993,801,0
FNI.US,5,20210922,201000,52.04,52.04,52.04,52.04,107,0
FNI.US,5,20210922,202000,52.1799,52.1799,52.1799,52.1799,203,0
FNI.US,5,20210922,215500,51.99,51.99,51.98,51.98,200,0
FNI.US,5,20210923,153000,52.34,52.34,52.34,52.34,152,0
FNI.US,5,20210923,162000,52.2,52.2,52.2,52.2,500,0
FNI.US,5,20210923,164500,52.08,52.16,52.08,52.16,673,0
FNI.US,5,20210923,171000,52.166,52.166,52.166,52.166,125,0
FNI.US,5,20210923,184500,52.22,52.22,52.21,52.21,218,0
FNI.US,5,20210923,185000,52.27,52.27,52.25,52.25,384,0
FNI.US,5,20210923,190000,52.245,52.245,52.245,52.245,111,0
FNI.US,5,20210923,191500,52.242,52.242,52.242,52.242,250,0
FNI.US,5,20210923,193000,52.3699,52.3699,52.3699,52.3699,145,0
FNI.US,5,20210923,194000,52.3319,52.3319,52.3319,52.3319,111,0
FNI.US,5,20210923,194500,52.3301,52.4028,52.3301,52.4028,788,0
FNI.US,5,20210923,212000,52.4389,52.4389,52.4389,52.4389,200,0
FNI.US,5,20210923,212500,52.41,52.455,52.41,52.455,3742,0
FNI.US,5,20210923,213500,52.538,52.538,52.538,52.538,165,0
FNI.US,5,20210923,215500,52.46,52.46,52.46,52.46,300,0
FNI.US,5,20210924,154500,51.5361,51.54,51.5361,51.54,341,0
FNI.US,5,20210924,155000,51.39,51.39,51.37,51.371,449,0
FNI.US,5,20210924,160500,51.62,51.62,51.6,51.6,954,0
FNI.US,5,20210924,164000,51.589,51.589,51.589,51.589,312,0
FNI.US,5,20210924,171000,51.55,51.55,51.55,51.55,195,0
FNI.US,5,20210924,194500,51.54,51.55,51.5333,51.55,849,0
FNI.US,5,20210924,215500,51.47,51.47,51.47,51.47,267,0
FNI.US,5,20210927,153500,51.0699,51.0699,51.0699,51.0699,101,0
FNI.US,5,20210927,162000,51.525,51.525,51.525,51.525,100,0
FNI.US,5,20210927,165000,51.7,51.7,51.68,51.68,700,0
FNI.US,5,20210927,174500,51.65,51.65,51.65,51.65,100,0
FNI.US,5,20210927,181000,51.681,51.715,51.681,51.715,500,0
FNI.US,5,20210927,182000,51.67,51.69,51.67,51.69,400,0
FNI.US,5,20210927,185000,51.83,51.83,51.83,51.83,230,0
FNI.US,5,20210927,201500,52.01,52.01,52.01,52.01,12680,0
FNI.US,5,20210927,203500,52.0699,52.0699,52.0699,52.0699,442,0
FNI.US,5,20210927,204000,52.06,52.06,52.0278,52.0278,200,0
FNI.US,5,20210927,204500,52.01,52.01,52.01,52.01,180,0
FNI.US,5,20210927,212000,52.0417,52.0417,52.0417,52.0417,252,0
FNI.US,5,20210927,214500,52.01,52.01,52.01,52.01,103,0
FNI.US,5,20210927,215500,51.97,51.97,51.96,51.96,387,0
FNI.US,5,20210928,153000,51.36,51.36,51.36,51.36,504,0
FNI.US,5,20210928,155500,50.965,50.965,50.965,50.965,100,0
FNI.US,5,20210928,161500,50.6849,50.6849,50.6849,50.6849,130,0
FNI.US,5,20210928,163500,50.7379,50.7379,50.7379,50.7379,165,0
FNI.US,5,20210928,171500,50.415,50.415,50.415,50.415,297,0
FNI.US,5,20210928,173000,50.4,50.4,50.4,50.4,200,0
FNI.US,5,20210928,173500,50.4,50.4,50.4,50.4,200,0
FNI.US,5,20210928,175000,50.27,50.27,50.26,50.26,259,0
FNI.US,5,20210928,180000,50.3963,50.3963,50.3963,50.3963,154,0
FNI.US,5,20210928,184500,50.4585,50.4585,50.4585,50.4585,200,0
FNI.US,5,20210928,191500,50.405,50.405,50.405,50.405,200,0
FNI.US,5,20210928,193500,50.37,50.43,50.37,50.43,1110,0
FNI.US,5,20210928,194500,50.3801,50.3801,50.3801,50.3801,307,0
FNI.US,5,20210928,201500,50.295,50.295,50.295,50.295,200,0
FNI.US,5,20210928,202000,50.45,50.45,50.45,50.45,617,0
FNI.US,5,20210928,211500,50.6599,50.6599,50.6599,50.6599,109,0
FNI.US,5,20210928,215000,50.43,50.43,50.43,50.43,294,0
FNI.US,5,20210928,215500,50.38,50.38,50.36,50.36,365,0
FNI.US,5,20210929,153000,50.36,50.36,50.36,50.36,2275,0
FNI.US,5,20210929,161000,51.0199,51.0199,51.0199,51.0199,182,0
FNI.US,5,20210929,164000,50.845,50.845,50.845,50.845,142,0
FNI.US,5,20210929,170000,50.865,50.865,50.865,50.865,256,0
FNI.US,5,20210929,173500,50.52,50.52,50.51,50.51,200,0
FNI.US,5,20210929,194000,50.3196,50.3196,50.3196,50.3196,160,0
FNI.US,5,20210929,194500,50.3458,50.3458,50.3458,50.3458,114,0
