<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FXI.US,5,20210922,153000,39.13,39.29,39.09,39.25,1627924,0
FXI.US,5,20210922,153500,39.25,39.3,39.23,39.29,672404,0
FXI.US,5,20210922,154000,39.29,39.41,39.29,39.38,827853,0
FXI.US,5,20210922,154500,39.38,39.515,39.38,39.49,764387,0
FXI.US,5,20210922,155000,39.495,39.63,39.49,39.57,1253846,0
FXI.US,5,20210922,155500,39.57,39.66,39.54,39.58,836075,0
FXI.US,5,20210922,160000,39.58,39.65,39.565,39.62,1213899,0
FXI.US,5,20210922,160500,39.62,39.72,39.58,39.71,811713,0
FXI.US,5,20210922,161000,39.715,39.775,39.68,39.705,622317,0
FXI.US,5,20210922,161500,39.705,39.73,39.68,39.695,713315,0
FXI.US,5,20210922,162000,39.695,39.7,39.57,39.595,433666,0
FXI.US,5,20210922,162500,39.6,39.645,39.48,39.485,368104,0
FXI.US,5,20210922,163000,39.49,39.51,39.44,39.485,346088,0
FXI.US,5,20210922,163500,39.48,39.51,39.44,39.45,284456,0
FXI.US,5,20210922,164000,39.45,39.535,39.44,39.525,480802,0
FXI.US,5,20210922,164500,39.52,39.52,39.46,39.49,403476,0
FXI.US,5,20210922,165000,39.49,39.49,39.39,39.41,335042,0
FXI.US,5,20210922,165500,39.405,39.46,39.39,39.455,309904,0
FXI.US,5,20210922,170000,39.45,39.515,39.405,39.5,267396,0
FXI.US,5,20210922,170500,39.505,39.54,39.4924,39.52,306407,0
FXI.US,5,20210922,171000,39.52,39.55,39.5,39.55,280159,0
FXI.US,5,20210922,171500,39.5438,39.57,39.53,39.565,165203,0
FXI.US,5,20210922,172000,39.57,39.59,39.55,39.57,280766,0
FXI.US,5,20210922,172500,39.57,39.62,39.555,39.61,328343,0
FXI.US,5,20210922,173000,39.615,39.62,39.56,39.595,306755,0
FXI.US,5,20210922,173500,39.59,39.62,39.57,39.6,256391,0
FXI.US,5,20210922,174000,39.605,39.61,39.56,39.58,110120,0
FXI.US,5,20210922,174500,39.575,39.595,39.55,39.56,218364,0
FXI.US,5,20210922,175000,39.56,39.74,39.53,39.59,5222871,0
FXI.US,5,20210922,175500,39.59,39.665,39.585,39.64,886647,0
FXI.US,5,20210922,180000,39.65,39.66,39.605,39.61,276899,0
FXI.US,5,20210922,180500,39.61,39.62,39.56,39.575,288159,0
FXI.US,5,20210922,181000,39.58,39.585,39.54,39.54,184832,0
FXI.US,5,20210922,181500,39.54,39.56,39.53,39.54,177963,0
FXI.US,5,20210922,182000,39.54,39.57,39.53,39.53,201857,0
FXI.US,5,20210922,182500,39.52,39.55,39.52,39.53,237400,0
FXI.US,5,20210922,183000,39.53,39.56,39.53,39.555,123421,0
FXI.US,5,20210922,183500,39.555,39.56,39.52,39.52,58707,0
FXI.US,5,20210922,184000,39.525,39.525,39.49,39.505,140997,0
FXI.US,5,20210922,184500,39.5,39.515,39.49,39.51,107898,0
FXI.US,5,20210922,185000,39.5,39.52,39.475,39.48,226442,0
FXI.US,5,20210922,185500,39.475,39.51,39.475,39.48,179220,0
FXI.US,5,20210922,190000,39.48,39.48,39.41,39.42,120917,0
FXI.US,5,20210922,190500,39.42,39.475,39.42,39.455,374624,0
FXI.US,5,20210922,191000,39.45,39.47,39.44,39.455,64941,0
FXI.US,5,20210922,191500,39.45,39.46,39.43,39.43,55419,0
FXI.US,5,20210922,192000,39.43,39.44,39.41,39.41,89091,0
FXI.US,5,20210922,192500,39.41,39.45,39.41,39.45,64068,0
FXI.US,5,20210922,193000,39.45,39.47,39.445,39.45,108424,0
FXI.US,5,20210922,193500,39.45,39.455,39.43,39.442,119305,0
FXI.US,5,20210922,194000,39.44,39.45,39.44,39.45,39553,0
FXI.US,5,20210922,194500,39.44,39.45,39.415,39.425,59987,0
FXI.US,5,20210922,195000,39.425,39.425,39.38,39.4,187496,0
FXI.US,5,20210922,195500,39.39,39.4,39.38,39.39,136219,0
FXI.US,5,20210922,200000,39.39,39.49,39.27,39.48,921049,0
FXI.US,5,20210922,200500,39.48,39.525,39.43,39.46,195514,0
FXI.US,5,20210922,201000,39.47,39.555,39.46,39.555,167889,0
FXI.US,5,20210922,201500,39.555,39.59,39.495,39.495,170635,0
FXI.US,5,20210922,202000,39.495,39.51,39.475,39.5,146798,0
FXI.US,5,20210922,202500,39.51,39.59,39.5,39.585,106080,0
FXI.US,5,20210922,203000,39.58,39.6,39.51,39.56,337700,0
FXI.US,5,20210922,203500,39.565,39.605,39.48,39.5,449917,0
FXI.US,5,20210922,204000,39.495,39.5,39.4,39.44,582598,0
FXI.US,5,20210922,204500,39.44,39.445,39.335,39.35,639603,0
FXI.US,5,20210922,205000,39.34,39.405,39.28,39.39,537733,0
FXI.US,5,20210922,205500,39.3975,39.405,39.34,39.37,284384,0
FXI.US,5,20210922,210000,39.37,39.375,39.33,39.36,266234,0
FXI.US,5,20210922,210500,39.35,39.405,39.32,39.4,170798,0
FXI.US,5,20210922,211000,39.405,39.425,39.385,39.415,192396,0
FXI.US,5,20210922,211500,39.415,39.475,39.4,39.475,305701,0
FXI.US,5,20210922,212000,39.47,39.5,39.46,39.465,256646,0
FXI.US,5,20210922,212500,39.47,39.48,39.42,39.45,462054,0
FXI.US,5,20210922,213000,39.45,39.46,39.425,39.44,361038,0
FXI.US,5,20210922,213500,39.44,39.48,39.435,39.475,629681,0
FXI.US,5,20210922,214000,39.48,39.48,39.39,39.395,446446,0
FXI.US,5,20210922,214500,39.39,39.42,39.39,39.405,594141,0
FXI.US,5,20210922,215000,39.4,39.41,39.38,39.395,1558212,0
FXI.US,5,20210922,215500,39.395,39.42,39.365,39.39,3734602,0
FXI.US,5,20210923,153000,39,39.04,38.87,38.87,1146147,0
FXI.US,5,20210923,153500,38.87,38.95,38.85,38.95,1402916,0
