<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GINN.US,5,20210922,153000,61.06,61.06,61.06,61.06,1157,0
GINN.US,5,20210922,155000,61.285,61.29,61.285,61.29,300,0
GINN.US,5,20210922,160000,61.3544,61.3544,61.3544,61.3544,128,0
GINN.US,5,20210922,160500,61.395,61.42,61.395,61.395,1100,0
GINN.US,5,20210922,161000,61.375,61.375,61.375,61.375,1200,0
GINN.US,5,20210922,161500,61.39,61.49,61.39,61.4269,1258,0
GINN.US,5,20210922,163000,61.509,61.509,61.509,61.509,100,0
GINN.US,5,20210922,163500,61.51,61.51,61.51,61.51,200,0
GINN.US,5,20210922,164500,61.51,61.51,61.51,61.51,200,0
GINN.US,5,20210922,165000,61.48,61.48,61.425,61.425,716,0
GINN.US,5,20210922,165500,61.515,61.53,61.515,61.53,300,0
GINN.US,5,20210922,170000,61.53,61.53,61.53,61.53,100,0
GINN.US,5,20210922,170500,61.515,61.515,61.451,61.451,237,0
GINN.US,5,20210922,171000,61.55,61.55,61.55,61.55,200,0
GINN.US,5,20210922,172000,61.59,61.59,61.59,61.59,500,0
GINN.US,5,20210922,173000,61.58,61.58,61.58,61.58,100,0
GINN.US,5,20210922,174000,61.7,61.7,61.7,61.7,100,0
GINN.US,5,20210922,174500,61.71,61.71,61.71,61.71,600,0
GINN.US,5,20210922,175000,61.72,61.72,61.72,61.72,300,0
GINN.US,5,20210922,180000,61.6176,61.6176,61.6176,61.6176,456,0
GINN.US,5,20210922,181000,61.68,61.68,61.68,61.68,200,0
GINN.US,5,20210922,181500,61.67,61.67,61.67,61.67,100,0
GINN.US,5,20210922,182000,61.7,61.7,61.7,61.7,100,0
GINN.US,5,20210922,183000,61.7,61.7,61.7,61.7,200,0
GINN.US,5,20210922,183500,61.71,61.71,61.71,61.71,200,0
GINN.US,5,20210922,185000,61.67,61.67,61.67,61.67,100,0
GINN.US,5,20210922,185500,61.65,61.65,61.65,61.65,500,0
GINN.US,5,20210922,190000,61.62,61.62,61.62,61.62,200,0
GINN.US,5,20210922,191000,61.56,61.56,61.56,61.56,600,0
GINN.US,5,20210922,191500,61.55,61.55,61.55,61.55,400,0
GINN.US,5,20210922,193000,61.55,61.55,61.55,61.55,600,0
GINN.US,5,20210922,193500,61.55,61.55,61.55,61.55,100,0
GINN.US,5,20210922,195000,61.56,61.56,61.5199,61.5199,700,0
GINN.US,5,20210922,195500,61.595,61.595,61.595,61.595,300,0
GINN.US,5,20210922,200000,61.69,61.71,61.585,61.71,400,0
GINN.US,5,20210922,200500,61.6151,61.6151,61.6151,61.6151,223,0
GINN.US,5,20210922,201000,61.75,61.75,61.75,61.75,100,0
GINN.US,5,20210922,201500,61.89,61.89,61.89,61.89,100,0
GINN.US,5,20210922,202000,61.76,61.76,61.76,61.76,100,0
GINN.US,5,20210922,203000,61.84,61.84,61.8,61.8,342,0
GINN.US,5,20210922,203500,61.86,61.86,61.73,61.73,1200,0
GINN.US,5,20210922,204000,61.5114,61.67,61.5114,61.67,625,0
GINN.US,5,20210922,205000,61.47,61.47,61.47,61.47,100,0
GINN.US,5,20210922,210000,61.5,61.52,61.5,61.52,500,0
GINN.US,5,20210922,211000,61.63,61.69,61.5701,61.69,1292,0
GINN.US,5,20210922,211500,61.5901,61.5901,61.5901,61.5901,264,0
GINN.US,5,20210922,212000,61.78,61.78,61.78,61.78,600,0
