<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GSEU.US,5,20210922,153000,37.13,37.13,37.13,37.13,169,0
GSEU.US,5,20210922,180500,37.31,37.31,37.31,37.31,100,0
GSEU.US,5,20210922,210500,37.16,37.16,37.16,37.16,100,0
GSEU.US,5,20210923,153000,37.49,37.49,37.49,37.49,123,0
GSEU.US,5,20210923,164000,37.67,37.67,37.65,37.6646,300,0
GSEU.US,5,20210923,174000,37.639,37.639,37.639,37.639,900,0
GSEU.US,5,20210923,182500,37.59,37.59,37.44,37.44,8800,0
GSEU.US,5,20210923,183000,37.45,37.45,37.45,37.45,3259,0
GSEU.US,5,20210923,185500,37.62,37.63,37.61,37.61,1459,0
GSEU.US,5,20210923,191500,37.6499,37.6499,37.6499,37.6499,800,0
GSEU.US,5,20210923,203000,37.6001,37.6001,37.6001,37.6001,163,0
GSEU.US,5,20210923,205000,37.6044,37.6044,37.57,37.5701,1579,0
GSEU.US,5,20210924,164500,36.875,36.875,36.875,36.875,100,0
GSEU.US,5,20210924,215500,36.83,36.83,36.83,36.83,199,0
GSEU.US,5,20210927,155500,36.63,36.63,36.63,36.63,730,0
GSEU.US,5,20210927,180500,36.575,36.5857,36.575,36.5857,477,0
GSEU.US,5,20210927,184500,36.59,36.61,36.59,36.6098,590,0
GSEU.US,5,20210927,210000,36.61,36.61,36.61,36.61,200,0
GSEU.US,5,20210927,214500,36.59,36.59,36.59,36.59,200,0
GSEU.US,5,20210927,215500,36.6,36.6,36.6,36.6,100,0
GSEU.US,5,20210928,153000,36.01,36.01,36.01,36.01,400,0
GSEU.US,5,20210928,164000,35.86,35.86,35.86,35.86,117,0
GSEU.US,5,20210928,174500,35.7,35.71,35.7,35.71,200,0
GSEU.US,5,20210928,175000,35.7,35.7,35.7,35.7,100,0
GSEU.US,5,20210928,175500,35.74,35.74,35.74,35.74,100,0
GSEU.US,5,20210928,202000,35.74,35.74,35.74,35.74,160,0
GSEU.US,5,20210928,212500,35.8002,35.8002,35.8002,35.8002,200,0
GSEU.US,5,20210929,162000,35.7901,35.7901,35.7901,35.7901,208,0
GSEU.US,5,20210929,172500,35.78,35.78,35.78,35.78,100,0
GSEU.US,5,20210929,173000,35.73,35.73,35.73,35.73,100,0
GSEU.US,5,20210929,175500,35.7,35.7,35.7,35.7,100,0
GSEU.US,5,20210929,203000,35.71,35.71,35.71,35.71,296,0
GSEU.US,5,20210929,204000,35.7,35.7,35.7,35.7,178,0
GSEU.US,5,20210930,153000,35.68,35.68,35.68,35.68,160,0
GSEU.US,5,20210930,183000,35.4,35.4,35.4,35.4,500,0
GSEU.US,5,20211001,160000,35.47,35.47,35.47,35.47,157,0
GSEU.US,5,20211001,161500,35.47,35.477,35.47,35.47,900,0
GSEU.US,5,20211001,162000,35.35,35.3501,35.35,35.3501,240,0
GSEU.US,5,20211004,210500,35.49,35.4902,35.4895,35.4895,1100,0
GSEU.US,5,20211005,163500,35.65,35.67,35.6463,35.6463,1400,0
GSEU.US,5,20211005,175500,35.749,35.75,35.749,35.75,1609,0
