<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HDIV.US,5,20210923,162000,31.04,31.04,31.04,31.04,100,0
HDIV.US,5,20210923,163000,31.01,31.01,31.01,31.01,100,0
HDIV.US,5,20210923,170000,31,31,31,31,100,0
HDIV.US,5,20210923,172000,30.99,30.99,30.99,30.99,100,0
HDIV.US,5,20210923,173500,31.05,31.05,31.05,31.05,100,0
HDIV.US,5,20210923,182000,31.04,31.04,31.04,31.04,100,0
HDIV.US,5,20210923,183000,31.05,31.05,31.05,31.05,100,0
HDIV.US,5,20210923,190500,31.05,31.05,31.05,31.05,100,0
HDIV.US,5,20210923,193000,31.07,31.07,31.07,31.07,100,0
HDIV.US,5,20210923,195500,31.09,31.09,31.09,31.09,100,0
HDIV.US,5,20210923,202000,31.06,31.06,31.06,31.06,100,0
HDIV.US,5,20210923,204000,31.04,31.04,31.04,31.04,100,0
HDIV.US,5,20210923,210500,31.04,31.04,31.02,31.02,200,0
HDIV.US,5,20210923,214500,31,31,31,31,100,0
HDIV.US,5,20210923,215500,30.96,30.96,30.96,30.96,100,0
HDIV.US,5,20210924,160500,31.07,31.1,31.07,31.1,600,0
HDIV.US,5,20210924,213500,30.93,30.93,30.9,30.9,500,0
HDIV.US,5,20210927,154000,30.78,30.78,30.78,30.78,300,0
HDIV.US,5,20210927,172000,30.83,30.83,30.83,30.83,100,0
HDIV.US,5,20210927,172500,30.83,30.83,30.83,30.83,100,0
HDIV.US,5,20210927,180000,30.8,30.8,30.8,30.8,100,0
HDIV.US,5,20210927,182000,30.8,30.8,30.8,30.8,251,0
HDIV.US,5,20210927,183000,30.7,30.7,30.7,30.7,100,0
HDIV.US,5,20210927,195000,30.8,30.8,30.8,30.8,100,0
HDIV.US,5,20210927,195500,30.8,30.81,30.8,30.81,200,0
HDIV.US,5,20210927,203000,30.82,30.82,30.82,30.82,100,0
HDIV.US,5,20210927,203500,30.8,30.8,30.8,30.8,100,0
HDIV.US,5,20210927,205500,30.8,30.8,30.8,30.8,100,0
HDIV.US,5,20210927,210500,30.79,30.79,30.79,30.79,100,0
HDIV.US,5,20210927,212500,30.79,30.79,30.79,30.79,100,0
HDIV.US,5,20210927,214000,30.78,30.78,30.78,30.78,100,0
HDIV.US,5,20210928,153000,30.52,30.52,30.52,30.52,200,0
HDIV.US,5,20210928,160500,30.41,30.41,30.41,30.41,151,0
HDIV.US,5,20210928,201000,30.3,30.3,30.3,30.3,2950,0
HDIV.US,5,20210929,210500,30.555,30.555,30.555,30.555,127,0
HDIV.US,5,20210930,165000,30.3207,30.3207,30.32,30.32,1004,0
HDIV.US,5,20210930,181500,30.28,30.28,30.28,30.28,100,0
HDIV.US,5,20210930,210500,30.26,30.26,30.26,30.26,100,0
HDIV.US,5,20211001,153500,30.14,30.14,30.14,30.14,100,0
HDIV.US,5,20211001,154000,30.1,30.1,30.1,30.1,135,0
HDIV.US,5,20211001,155000,29.99,29.99,29.98,29.98,200,0
HDIV.US,5,20211001,161000,30.02,30.02,30.02,30.02,100,0
HDIV.US,5,20211001,161500,30,30,30,30,100,0
HDIV.US,5,20211001,163000,29.88,29.88,29.88,29.88,100,0
HDIV.US,5,20211001,164500,29.86,29.86,29.86,29.86,100,0
HDIV.US,5,20211001,172000,30.05,30.05,30.05,30.05,100,0
HDIV.US,5,20211001,172500,30.05,30.05,30.05,30.05,100,0
HDIV.US,5,20211001,174500,30.11,30.11,30.11,30.11,200,0
HDIV.US,5,20211001,181000,30.1,30.1,30.1,30.1,100,0
HDIV.US,5,20211001,182000,30.11,30.11,30.11,30.11,300,0
HDIV.US,5,20211001,190500,30.11,30.11,30.11,30.11,100,0
HDIV.US,5,20211001,191000,30.12,30.12,30.11,30.11,300,0
HDIV.US,5,20211001,192500,30.12,30.12,30.12,30.12,100,0
HDIV.US,5,20211001,194500,30.21,30.21,30.21,30.21,100,0
HDIV.US,5,20211001,195000,30.25,30.25,30.25,30.25,100,0
HDIV.US,5,20211001,195500,30.23,30.23,30.23,30.23,100,0
HDIV.US,5,20211001,200500,30.26,30.26,30.26,30.26,190,0
