<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HIBL.US,5,20210922,153000,59.45,60.5046,59.45,60.48,6840,0
HIBL.US,5,20210922,153500,60.5,60.58,60.35,60.5246,2338,0
HIBL.US,5,20210922,154000,60.4601,60.5,60.2543,60.3001,1100,0
HIBL.US,5,20210922,154500,60.6,60.7,60.5801,60.5801,400,0
HIBL.US,5,20210922,155000,61,61,61,61,1946,0
HIBL.US,5,20210922,155500,61.49,61.655,61.49,61.5735,1045,0
HIBL.US,5,20210922,160000,61.67,61.71,61.4042,61.4042,1900,0
HIBL.US,5,20210922,160500,61.61,61.64,61.59,61.5975,800,0
HIBL.US,5,20210922,161000,61.79,61.79,61.53,61.748,13500,0
HIBL.US,5,20210922,161500,61.775,61.86,61.775,61.86,1200,0
HIBL.US,5,20210922,162000,61.91,61.91,61.6,61.6,7999,0
HIBL.US,5,20210922,162500,61.66,61.79,61.5,61.53,675,0
HIBL.US,5,20210922,163000,61.43,61.43,61.43,61.43,100,0
HIBL.US,5,20210922,164500,61.88,61.88,61.88,61.88,200,0
HIBL.US,5,20210922,165000,62,62.09,62,62.09,2099,0
HIBL.US,5,20210922,170000,62.04,62.1368,62.04,62.1368,273,0
HIBL.US,5,20210922,170500,62.25,62.25,62.25,62.25,185,0
HIBL.US,5,20210922,171000,62.14,62.2097,62.135,62.2097,3342,0
HIBL.US,5,20210922,171500,62.3373,62.39,62.3373,62.38,1559,0
HIBL.US,5,20210922,173000,62.78,62.78,62.73,62.73,4000,0
HIBL.US,5,20210922,173500,62.76,62.76,62.755,62.755,200,0
HIBL.US,5,20210922,174500,62.72,62.72,62.72,62.72,1100,0
HIBL.US,5,20210922,175000,62.83,62.94,62.58,62.65,3085,0
HIBL.US,5,20210922,180000,62.88,62.88,62.8377,62.8377,600,0
HIBL.US,5,20210922,180500,62.82,62.82,62.7,62.7,1600,0
HIBL.US,5,20210922,181000,62.6124,62.6124,62.6124,62.6124,200,0
HIBL.US,5,20210922,182000,62.6723,62.6723,62.6723,62.6723,200,0
HIBL.US,5,20210922,182500,62.755,62.755,62.755,62.755,100,0
HIBL.US,5,20210922,183000,62.83,62.83,62.83,62.83,100,0
HIBL.US,5,20210922,183500,62.91,62.91,62.89,62.89,200,0
HIBL.US,5,20210922,184500,62.815,62.815,62.77,62.77,400,0
HIBL.US,5,20210922,185000,62.75,62.75,62.75,62.75,100,0
HIBL.US,5,20210922,190000,62.5,62.5,62.5,62.5,100,0
HIBL.US,5,20210922,190500,62.45,62.45,62.45,62.45,100,0
HIBL.US,5,20210922,191500,62.3432,62.3432,62.3432,62.3432,100,0
HIBL.US,5,20210922,192000,62.446,62.446,62.446,62.446,1000,0
HIBL.US,5,20210922,192500,62.65,62.65,62.6,62.6,520,0
HIBL.US,5,20210922,193500,62.6623,62.67,62.5563,62.65,818,0
HIBL.US,5,20210922,195000,62.48,62.48,62.26,62.355,12461,0
HIBL.US,5,20210922,195500,62.33,62.385,62.24,62.385,10770,0
HIBL.US,5,20210922,200000,62.8854,63,62.8854,63,15797,0
HIBL.US,5,20210922,201000,63.0201,63.3,63.0201,63.26,1601,0
HIBL.US,5,20210922,201500,63.5,63.645,63.5,63.57,2700,0
HIBL.US,5,20210922,202000,63.394,63.42,63.09,63.15,1600,0
HIBL.US,5,20210922,202500,63.43,63.43,63.43,63.43,400,0
HIBL.US,5,20210922,203000,63.38,63.5382,63.38,63.51,1087,0
HIBL.US,5,20210922,203500,63.3999,63.3999,63.3999,63.3999,100,0
HIBL.US,5,20210922,204000,62.86,62.86,62.79,62.79,1197,0
HIBL.US,5,20210922,204500,62.768,62.768,62.4,62.4,1175,0
HIBL.US,5,20210922,205000,62.21,62.5382,61.91,62.5382,1201,0
HIBL.US,5,20210922,205500,62.44,62.5,62.44,62.5,260,0
HIBL.US,5,20210922,210000,62.3,62.42,62.3,62.42,200,0
HIBL.US,5,20210922,210500,62.27,62.45,62.21,62.45,379,0
HIBL.US,5,20210922,211000,62.79,62.95,62.77,62.95,500,0
