<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HMOP.US,5,20210922,153000,42.13,42.13,42.08,42.08,12535,0
HMOP.US,5,20210922,153500,42.1004,42.1004,42.1004,42.1004,200,0
HMOP.US,5,20210922,154500,42.105,42.12,42.105,42.12,674,0
HMOP.US,5,20210922,163500,42.0917,42.0917,42.0917,42.0917,320,0
HMOP.US,5,20210922,165000,42.105,42.105,42.105,42.105,171,0
HMOP.US,5,20210922,170500,42.11,42.119,42.11,42.119,395,0
HMOP.US,5,20210922,174000,42.11,42.11,42.11,42.11,500,0
HMOP.US,5,20210922,174500,42.1115,42.1115,42.1115,42.1115,3896,0
HMOP.US,5,20210922,175000,42.11,42.12,42.11,42.12,1269,0
HMOP.US,5,20210922,180500,42.119,42.119,42.119,42.119,100,0
HMOP.US,5,20210922,185000,42.12,42.12,42.105,42.105,3175,0
HMOP.US,5,20210922,190500,42.09,42.105,42.09,42.105,12452,0
HMOP.US,5,20210922,191000,42.1015,42.1015,42.1015,42.1015,641,0
HMOP.US,5,20210922,193000,42.119,42.119,42.119,42.119,100,0
HMOP.US,5,20210922,193500,42.105,42.105,42.105,42.105,100,0
HMOP.US,5,20210922,201000,42.1,42.1,42.1,42.1,147,0
HMOP.US,5,20210922,203000,42.1,42.1,42.1,42.1,500,0
HMOP.US,5,20210922,204500,42.095,42.095,42.095,42.095,200,0
HMOP.US,5,20210922,205000,42.09,42.095,42.09,42.095,503,0
HMOP.US,5,20210922,210000,42.095,42.095,42.095,42.095,251,0
HMOP.US,5,20210922,212000,42.095,42.1,42.095,42.1,1102,0
HMOP.US,5,20210922,212500,42.095,42.095,42.095,42.095,100,0
HMOP.US,5,20210922,214500,42.09,42.09,42.09,42.09,800,0
HMOP.US,5,20210922,215000,42.09,42.09,42.09,42.09,1400,0
HMOP.US,5,20210923,153000,42.03,42.03,42.03,42.03,255,0
HMOP.US,5,20210923,162500,42.08,42.08,42.08,42.08,100,0
HMOP.US,5,20210923,163500,42.06,42.08,42.06,42.08,2300,0
HMOP.US,5,20210923,164000,42.0301,42.0301,42.0301,42.0301,171,0
HMOP.US,5,20210923,164500,42.055,42.055,42.055,42.055,101,0
HMOP.US,5,20210923,165000,42.06,42.06,42.06,42.06,100,0
HMOP.US,5,20210923,170500,42.04,42.04,42.04,42.04,400,0
HMOP.US,5,20210923,171000,42.032,42.032,42.032,42.032,264,0
HMOP.US,5,20210923,173000,42.035,42.035,42.035,42.035,200,0
HMOP.US,5,20210923,174000,42.0309,42.0309,42.0309,42.0309,500,0
HMOP.US,5,20210923,183000,42.035,42.035,42.035,42.035,398,0
HMOP.US,5,20210923,184500,42.0399,42.0399,42.0399,42.0399,100,0
HMOP.US,5,20210923,185500,42.035,42.0399,42.035,42.0399,433,0
HMOP.US,5,20210923,191500,42.04,42.04,42.04,42.04,700,0
HMOP.US,5,20210923,195500,42.04,42.04,42.04,42.04,122,0
HMOP.US,5,20210923,200500,42.035,42.035,42.035,42.035,310,0
HMOP.US,5,20210923,201000,42.04,42.04,42.035,42.035,10500,0
HMOP.US,5,20210923,203000,42.035,42.04,42.035,42.035,1340,0
HMOP.US,5,20210923,203500,42.035,42.04,42.035,42.04,3358,0
HMOP.US,5,20210923,210500,42.035,42.035,42.035,42.035,200,0
HMOP.US,5,20210923,211000,42.035,42.035,42.035,42.035,120,0
HMOP.US,5,20210923,213000,42.035,42.035,42.035,42.035,321,0
HMOP.US,5,20210923,215000,42.035,42.035,42.035,42.035,100,0
HMOP.US,5,20210923,215500,42.035,42.035,42.035,42.035,200,0
