<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IAI.US,5,20210922,153000,103.97,103.97,103.97,103.97,356,0
IAI.US,5,20210922,153500,104.085,104.085,103.993,104.01,480,0
IAI.US,5,20210922,154000,103.856,103.856,103.856,103.856,437,0
IAI.US,5,20210922,155500,104.72,104.8,104.72,104.8,764,0
IAI.US,5,20210922,160500,104.8,104.8,104.8,104.8,100,0
IAI.US,5,20210922,162000,104.6,104.62,104.6,104.62,400,0
IAI.US,5,20210922,162500,104.58,104.58,104.58,104.58,100,0
IAI.US,5,20210922,163000,104.58,104.58,104.565,104.565,215,0
IAI.US,5,20210922,164000,104.52,104.52,104.52,104.52,112,0
IAI.US,5,20210922,165500,104.745,104.785,104.745,104.785,2468,0
IAI.US,5,20210922,170000,104.8,104.8,104.8,104.8,107,0
IAI.US,5,20210922,170500,104.721,104.721,104.721,104.721,100,0
IAI.US,5,20210922,171000,104.83,104.83,104.83,104.83,200,0
IAI.US,5,20210922,173000,104.89,104.89,104.886,104.886,541,0
IAI.US,5,20210922,174500,104.86,104.86,104.86,104.86,110,0
IAI.US,5,20210922,175000,104.9,104.9,104.88,104.88,200,0
IAI.US,5,20210922,182500,104.912,104.912,104.912,104.912,245,0
IAI.US,5,20210922,183500,104.95,104.95,104.95,104.95,175,0
IAI.US,5,20210922,190000,104.855,104.855,104.855,104.855,100,0
IAI.US,5,20210922,192000,104.784,104.784,104.784,104.784,330,0
IAI.US,5,20210922,193500,104.857,104.857,104.85,104.85,681,0
IAI.US,5,20210922,195500,104.74,104.74,104.715,104.715,629,0
IAI.US,5,20210922,200000,104.931,104.931,104.931,104.931,267,0
IAI.US,5,20210922,200500,105.297,105.3,105.29,105.3,400,0
IAI.US,5,20210922,201000,105.2,105.2,105.2,105.2,200,0
IAI.US,5,20210922,201500,105.275,105.3,105.275,105.3,225,0
IAI.US,5,20210922,202000,105.188,105.24,105.1,105.1,1063,0
IAI.US,5,20210922,203000,105.338,105.338,105.338,105.338,302,0
IAI.US,5,20210922,203500,105.434,105.434,105.362,105.362,329,0
IAI.US,5,20210922,204000,105.305,105.305,105.305,105.305,441,0
IAI.US,5,20210922,205500,105.189,105.189,105.189,105.189,326,0
IAI.US,5,20210922,212000,105.55,105.55,105.55,105.55,100,0
IAI.US,5,20210922,213000,105.47,105.47,105.47,105.47,100,0
IAI.US,5,20210922,214000,105.5,105.5,105.5,105.5,100,0
IAI.US,5,20210922,214500,105.37,105.37,105.37,105.37,100,0
IAI.US,5,20210922,215000,105.068,105.068,105.068,105.068,391,0
IAI.US,5,20210922,215500,104.95,104.96,104.84,104.94,2478,0
IAI.US,5,20210923,153000,105.94,105.94,105.94,105.94,2419,0
IAI.US,5,20210923,153500,105.93,105.93,105.93,105.93,189,0
IAI.US,5,20210923,154000,106.36,106.37,106.341,106.341,1017,0
IAI.US,5,20210923,155000,106.36,106.36,106.36,106.36,300,0
IAI.US,5,20210923,155500,106.509,106.509,106.509,106.509,500,0
IAI.US,5,20210923,160000,106.372,106.59,106.372,106.59,349,0
IAI.US,5,20210923,160500,106.49,106.49,106.369,106.369,300,0
IAI.US,5,20210923,161000,106.382,106.559,106.382,106.559,400,0
IAI.US,5,20210923,161500,106.597,106.597,106.506,106.506,641,0
IAI.US,5,20210923,162500,106.55,106.55,106.512,106.512,445,0
IAI.US,5,20210923,163000,106.562,106.69,106.562,106.69,453,0
IAI.US,5,20210923,163500,106.65,106.65,106.65,106.65,1300,0
IAI.US,5,20210923,164500,106.817,106.817,106.817,106.817,235,0
IAI.US,5,20210923,165000,106.913,106.913,106.913,106.913,150,0
IAI.US,5,20210923,165500,106.931,106.931,106.931,106.931,205,0
IAI.US,5,20210923,170500,106.962,106.962,106.962,106.962,100,0
IAI.US,5,20210923,172000,106.93,106.93,106.93,106.93,806,0
IAI.US,5,20210923,172500,107.02,107.03,107.02,107.03,200,0
IAI.US,5,20210923,173500,107.16,107.17,107.16,107.17,700,0
IAI.US,5,20210923,174000,107.1,107.1,107.1,107.1,250,0
IAI.US,5,20210923,174500,107.049,107.049,107.04,107.04,313,0
IAI.US,5,20210923,175000,107.08,107.1,107.08,107.1,400,0
IAI.US,5,20210923,175500,107.16,107.19,107.16,107.19,1100,0
IAI.US,5,20210923,180000,107.097,107.16,107.097,107.103,751,0
IAI.US,5,20210923,180500,107.12,107.12,107.12,107.12,124,0
IAI.US,5,20210923,181000,107.174,107.174,107.174,107.174,400,0
IAI.US,5,20210923,181500,107.18,107.18,107.179,107.179,200,0
IAI.US,5,20210923,182000,107.185,107.185,107.185,107.185,750,0
IAI.US,5,20210923,183000,107.213,107.213,107.213,107.213,139,0
IAI.US,5,20210923,183500,107.21,107.215,107.21,107.215,250,0
IAI.US,5,20210923,184500,107.22,107.22,107.22,107.22,100,0
IAI.US,5,20210923,185000,107.32,107.349,107.32,107.33,570,0
IAI.US,5,20210923,185500,107.232,107.236,107.232,107.236,638,0
IAI.US,5,20210923,190000,107.26,107.31,107.26,107.305,680,0
IAI.US,5,20210923,190500,107.375,107.38,107.375,107.38,200,0
IAI.US,5,20210923,191000,107.31,107.331,107.31,107.331,800,0
IAI.US,5,20210923,191500,107.36,107.37,107.36,107.37,337,0
IAI.US,5,20210923,192000,107.34,107.344,107.34,107.344,453,0
IAI.US,5,20210923,192500,107.41,107.445,107.41,107.419,806,0
IAI.US,5,20210923,193000,107.43,107.49,107.43,107.46,645,0
IAI.US,5,20210923,193500,107.479,107.485,107.42,107.485,589,0
IAI.US,5,20210923,194000,107.47,107.52,107.44,107.52,1185,0
IAI.US,5,20210923,194500,107.493,107.493,107.42,107.47,451,0
IAI.US,5,20210923,195000,107.515,107.56,107.515,107.557,621,0
IAI.US,5,20210923,195500,107.55,107.559,107.5,107.5,697,0
IAI.US,5,20210923,200000,107.51,107.54,107.51,107.54,200,0
IAI.US,5,20210923,200500,107.52,107.56,107.52,107.53,13958,0
IAI.US,5,20210923,201000,107.49,107.578,107.49,107.551,529,0
IAI.US,5,20210923,201500,107.57,107.6,107.55,107.58,1068,0
IAI.US,5,20210923,202000,107.6,107.63,107.6,107.63,575,0
IAI.US,5,20210923,202500,107.588,107.588,107.58,107.58,300,0
IAI.US,5,20210923,203000,107.604,107.609,107.49,107.49,1314,0
IAI.US,5,20210923,203500,107.51,107.51,107.485,107.485,808,0
IAI.US,5,20210923,204000,107.47,107.47,107.38,107.385,746,0
IAI.US,5,20210923,204500,107.44,107.46,107.39,107.4,700,0
IAI.US,5,20210923,205000,107.38,107.38,107.38,107.38,700,0
IAI.US,5,20210923,205500,107.372,107.44,107.372,107.408,647,0
IAI.US,5,20210923,210500,107.4,107.4,107.383,107.383,300,0
IAI.US,5,20210923,211500,107.28,107.37,107.28,107.332,23846,0
IAI.US,5,20210923,212000,107.36,107.417,107.36,107.417,835,0
IAI.US,5,20210923,212500,107.419,107.43,107.415,107.415,1410,0
IAI.US,5,20210923,213000,107.4,107.4,107.4,107.4,274,0
IAI.US,5,20210923,213500,107.49,107.49,107.49,107.49,100,0
IAI.US,5,20210923,214000,107.419,107.419,107.419,107.419,100,0
IAI.US,5,20210923,214500,107.43,107.43,107.43,107.43,100,0
IAI.US,5,20210923,215000,107.37,107.37,107.37,107.37,200,0
IAI.US,5,20210923,215500,107.34,107.42,107.33,107.37,2261,0
IAI.US,5,20210924,153000,106.8,106.8,106.8,106.8,319,0
IAI.US,5,20210924,154500,106.918,106.918,106.918,106.918,149,0
IAI.US,5,20210924,155500,107.33,107.33,107.295,107.295,228,0
IAI.US,5,20210924,160000,107.46,107.54,107.46,107.54,500,0
IAI.US,5,20210924,161000,107.405,107.405,107.405,107.405,427,0
IAI.US,5,20210924,161500,107.32,107.32,107.25,107.27,400,0
IAI.US,5,20210924,162000,107.38,107.38,107.38,107.38,450,0
IAI.US,5,20210924,162500,107.38,107.38,107.364,107.38,700,0
IAI.US,5,20210924,163000,107.248,107.29,107.248,107.26,615,0
IAI.US,5,20210924,163500,107.13,107.23,107.13,107.23,333,0
IAI.US,5,20210924,164000,107.12,107.12,107.1,107.1,600,0
IAI.US,5,20210924,165500,107.141,107.141,107.141,107.141,224,0
IAI.US,5,20210924,171000,107.354,107.354,107.354,107.354,450,0
IAI.US,5,20210924,172500,107.289,107.289,107.289,107.289,104,0
IAI.US,5,20210924,173500,107.33,107.33,107.292,107.292,2102,0
IAI.US,5,20210924,174000,107.367,107.441,107.367,107.441,209,0
IAI.US,5,20210924,175000,107.4,107.41,107.39,107.41,6800,0
IAI.US,5,20210924,175500,107.495,107.495,107.495,107.495,150,0
IAI.US,5,20210924,182500,107.59,107.59,107.59,107.59,2000,0
IAI.US,5,20210924,183500,107.51,107.61,107.51,107.61,3298,0
IAI.US,5,20210924,184000,107.602,107.602,107.602,107.602,133,0
IAI.US,5,20210924,184500,107.57,107.57,107.57,107.57,300,0
IAI.US,5,20210924,190000,107.457,107.457,107.457,107.457,300,0
IAI.US,5,20210924,191500,107.409,107.409,107.4,107.4,200,0
IAI.US,5,20210924,192000,107.42,107.42,107.42,107.42,100,0
IAI.US,5,20210924,193500,107.39,107.39,107.39,107.39,230,0
IAI.US,5,20210924,194000,107.41,107.41,107.41,107.41,100,0
IAI.US,5,20210924,201000,107.402,107.402,107.38,107.38,300,0
IAI.US,5,20210924,202000,107.425,107.455,107.425,107.455,250,0
IAI.US,5,20210924,203000,107.44,107.47,107.44,107.47,1700,0
IAI.US,5,20210924,203500,107.474,107.474,107.474,107.474,295,0
IAI.US,5,20210924,210000,107.599,107.599,107.599,107.599,115,0
IAI.US,5,20210924,211500,107.549,107.549,107.549,107.549,445,0
IAI.US,5,20210924,212000,107.49,107.49,107.49,107.49,200,0
IAI.US,5,20210924,213000,107.54,107.54,107.49,107.49,400,0
IAI.US,5,20210924,213500,107.5,107.5,107.5,107.5,400,0
IAI.US,5,20210924,214500,107.48,107.48,107.48,107.48,150,0
IAI.US,5,20210924,215000,107.49,107.49,107.49,107.49,100,0
IAI.US,5,20210924,215500,107.365,107.42,107.365,107.41,1668,0
IAI.US,5,20210927,153000,107.92,108.479,107.92,108.479,5755,0
IAI.US,5,20210927,153500,108.53,108.68,108.52,108.57,1129,0
IAI.US,5,20210927,154000,108.65,108.65,108.65,108.65,100,0
