<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBHB.US,5,20210922,155500,24.26,24.26,24.26,24.26,413,0
IBHB.US,5,20210922,160000,24.23,24.23,24.23,24.23,310,0
IBHB.US,5,20210922,182500,24.2699,24.2699,24.2699,24.2699,305,0
IBHB.US,5,20210922,185500,24.2537,24.27,24.2537,24.27,1100,0
IBHB.US,5,20210922,195500,24.25,24.25,24.25,24.25,500,0
IBHB.US,5,20210922,200000,24.2402,24.2402,24.2402,24.2402,101,0
IBHB.US,5,20210922,202500,24.2475,24.2475,24.2475,24.2475,200,0
IBHB.US,5,20210922,203000,24.2436,24.2436,24.24,24.2436,600,0
IBHB.US,5,20210922,204500,24.24,24.24,24.24,24.24,100,0
IBHB.US,5,20210923,165000,24.25,24.255,24.25,24.25,706,0
IBHB.US,5,20210923,171000,24.249,24.25,24.249,24.25,390,0
IBHB.US,5,20210923,172500,24.235,24.235,24.235,24.235,570,0
IBHB.US,5,20210923,181000,24.2239,24.2239,24.2239,24.2239,4500,0
IBHB.US,5,20210923,184000,24.24,24.24,24.2399,24.2399,1784,0
IBHB.US,5,20210923,184500,24.24,24.24,24.239,24.239,483,0
IBHB.US,5,20210923,195000,24.24,24.24,24.2399,24.24,4752,0
IBHB.US,5,20210923,201000,24.24,24.25,24.24,24.25,1217,0
IBHB.US,5,20210923,202500,24.245,24.245,24.245,24.245,1800,0
IBHB.US,5,20210923,203000,24.245,24.245,24.245,24.245,961,0
IBHB.US,5,20210923,204000,24.245,24.245,24.245,24.245,800,0
IBHB.US,5,20210923,204500,24.245,24.245,24.245,24.245,327,0
IBHB.US,5,20210923,205000,24.245,24.245,24.245,24.245,200,0
IBHB.US,5,20210923,210000,24.245,24.245,24.245,24.245,800,0
IBHB.US,5,20210923,210500,24.245,24.25,24.245,24.245,1000,0
IBHB.US,5,20210923,211000,24.245,24.245,24.24,24.24,1100,0
IBHB.US,5,20210923,211500,24.24,24.24,24.239,24.239,361,0
IBHB.US,5,20210923,212000,24.24,24.24,24.24,24.24,139,0
IBHB.US,5,20210924,154000,24.235,24.235,24.235,24.235,200,0
IBHB.US,5,20210924,154500,24.24,24.24,24.24,24.24,225,0
IBHB.US,5,20210924,173000,24.2203,24.2203,24.2203,24.2203,421,0
IBHB.US,5,20210924,174000,24.22,24.22,24.22,24.22,210,0
IBHB.US,5,20210924,174500,24.235,24.235,24.235,24.235,1032,0
IBHB.US,5,20210924,201500,24.2497,24.2497,24.2497,24.2497,214,0
IBHB.US,5,20210924,202500,24.235,24.235,24.235,24.235,150,0
IBHB.US,5,20210924,203500,24.235,24.2497,24.235,24.2497,665,0
IBHB.US,5,20210924,204000,24.25,24.25,24.25,24.25,500,0
IBHB.US,5,20210927,153000,24.2,24.2,24.2,24.2,200,0
IBHB.US,5,20210927,160000,24.25,24.26,24.25,24.25,2066,0
IBHB.US,5,20210927,164000,24.239,24.239,24.2303,24.2303,2700,0
IBHB.US,5,20210927,173000,24.25,24.25,24.25,24.25,300,0
IBHB.US,5,20210927,174500,24.2599,24.2599,24.2599,24.2599,400,0
IBHB.US,5,20210927,182500,24.259,24.259,24.259,24.259,300,0
IBHB.US,5,20210927,195500,24.255,24.26,24.255,24.255,1200,0
IBHB.US,5,20210927,210000,24.255,24.255,24.255,24.255,150,0
IBHB.US,5,20210927,212500,24.255,24.255,24.255,24.255,337,0
IBHB.US,5,20210927,213000,24.25,24.255,24.25,24.255,1025,0
IBHB.US,5,20210927,213500,24.255,24.26,24.25,24.25,3202,0
IBHB.US,5,20210927,215000,24.24,24.25,24.24,24.25,500,0
IBHB.US,5,20210928,154000,24.2267,24.25,24.2267,24.2399,6913,0
IBHB.US,5,20210928,155000,24.23,24.23,24.2299,24.2299,1081,0
IBHB.US,5,20210928,155500,24.239,24.24,24.239,24.24,6288,0
IBHB.US,5,20210928,160500,24.23,24.25,24.23,24.23,3066,0
IBHB.US,5,20210928,162000,24.215,24.22,24.215,24.22,619,0
IBHB.US,5,20210928,164500,24.21,24.21,24.21,24.21,300,0
IBHB.US,5,20210928,170500,24.229,24.23,24.229,24.23,350,0
IBHB.US,5,20210928,172000,24.23,24.23,24.2299,24.2299,400,0
IBHB.US,5,20210928,190000,24.21,24.21,24.2,24.2,400,0
IBHB.US,5,20210928,193500,24.22,24.25,24.22,24.25,5945,0
IBHB.US,5,20210928,195500,24.22,24.22,24.22,24.22,745,0
IBHB.US,5,20210928,212000,24.22,24.23,24.215,24.23,5650,0
IBHB.US,5,20210928,212500,24.23,24.23,24.22,24.22,900,0
IBHB.US,5,20210928,213000,24.22,24.22,24.22,24.22,800,0
IBHB.US,5,20210928,213500,24.22,24.22,24.22,24.22,1100,0
IBHB.US,5,20210928,214000,24.22,24.22,24.22,24.22,900,0
IBHB.US,5,20210928,214500,24.22,24.22,24.22,24.22,1300,0
IBHB.US,5,20210928,215000,24.22,24.2298,24.22,24.22,5747,0
IBHB.US,5,20210928,215500,24.22,24.22,24.22,24.22,2600,0
IBHB.US,5,20210929,164000,24.2,24.2,24.2,24.2,200,0
IBHB.US,5,20210929,174000,24.2199,24.2199,24.2199,24.2199,619,0
IBHB.US,5,20210929,192500,24.22,24.22,24.22,24.22,144,0
IBHB.US,5,20210929,205000,24.22,24.22,24.2199,24.2199,1330,0
IBHB.US,5,20210929,210000,24.24,24.24,24.24,24.24,600,0
IBHB.US,5,20210929,211000,24.2499,24.2499,24.2499,24.2499,703,0
