<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBMP.US,5,20210922,161000,27.22,27.22,27.22,27.22,464,0
IBMP.US,5,20210923,153500,27.1793,27.1793,27.1793,27.1793,184,0
IBMP.US,5,20210923,172500,27.1554,27.1554,27.1554,27.1554,550,0
IBMP.US,5,20210923,202000,27.1599,27.1599,27.1599,27.1599,142,0
IBMP.US,5,20210923,213500,27.136,27.136,27.1,27.1001,2610,0
IBMP.US,5,20210924,153500,27.15,27.15,27.15,27.15,100,0
IBMP.US,5,20210924,154500,27.14,27.14,27.14,27.14,100,0
IBMP.US,5,20210924,160000,27.14,27.14,27.14,27.14,100,0
IBMP.US,5,20210924,161000,27.14,27.14,27.14,27.14,100,0
IBMP.US,5,20210924,162500,27.14,27.14,27.14,27.14,100,0
IBMP.US,5,20210924,164500,27.14,27.14,27.14,27.14,100,0
IBMP.US,5,20210924,170000,27.14,27.14,27.14,27.14,100,0
IBMP.US,5,20210924,172000,27.14,27.14,27.14,27.14,100,0
IBMP.US,5,20210924,174500,27.15,27.15,27.15,27.15,100,0
IBMP.US,5,20210924,180500,27.115,27.115,27.115,27.115,100,0
IBMP.US,5,20210924,183500,27.15,27.15,27.15,27.15,100,0
IBMP.US,5,20210924,190000,27.14,27.14,27.14,27.14,100,0
IBMP.US,5,20210924,193000,27.14,27.14,27.14,27.14,100,0
IBMP.US,5,20210924,195000,27.14,27.14,27.14,27.14,10136,0
IBMP.US,5,20210924,200000,27.14,27.14,27.14,27.14,100,0
IBMP.US,5,20210924,201000,27.1499,27.15,27.1499,27.15,369,0
IBMP.US,5,20210924,202500,27.14,27.14,27.14,27.14,100,0
IBMP.US,5,20210924,205000,27.14,27.14,27.14,27.14,100,0
IBMP.US,5,20210924,211500,27.14,27.14,27.14,27.14,100,0
IBMP.US,5,20210924,213500,27.14,27.14,27.14,27.14,100,0
