<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IGRO.US,5,20210922,154500,66.9019,66.9019,66.9019,66.9019,364,0
IGRO.US,5,20210922,165500,67.128,67.128,67.128,67.128,100,0
IGRO.US,5,20210922,172000,67.18,67.2,67.18,67.188,689,0
IGRO.US,5,20210922,174500,67.1937,67.1937,67.1937,67.1937,113,0
IGRO.US,5,20210922,185500,67.12,67.12,67.12,67.12,109,0
IGRO.US,5,20210922,204000,67.13,67.13,67.13,67.13,300,0
IGRO.US,5,20210922,204500,67.185,67.185,67.185,67.185,125,0
IGRO.US,5,20210922,215500,66.99,66.99,66.98,66.98,231,0
IGRO.US,5,20210923,153000,67.44,67.44,67.44,67.44,124,0
IGRO.US,5,20210923,154000,67.62,67.62,67.58,67.58,1228,0
IGRO.US,5,20210923,154500,67.53,67.53,67.53,67.53,150,0
IGRO.US,5,20210923,160500,67.616,67.63,67.616,67.63,212,0
IGRO.US,5,20210923,161500,67.485,67.485,67.485,67.485,113,0
IGRO.US,5,20210923,163500,67.34,67.34,67.34,67.34,587,0
IGRO.US,5,20210923,164500,67.615,67.615,67.615,67.615,500,0
IGRO.US,5,20210923,170000,67.6473,67.65,67.64,67.64,316,0
IGRO.US,5,20210923,171000,67.62,67.62,67.62,67.62,500,0
IGRO.US,5,20210923,182500,67.6121,67.6121,67.6121,67.6121,192,0
IGRO.US,5,20210923,184000,67.6118,67.6118,67.6118,67.6118,225,0
IGRO.US,5,20210923,192000,67.6999,67.6999,67.6999,67.6999,200,0
IGRO.US,5,20210923,192500,67.403,67.403,67.403,67.403,100,0
IGRO.US,5,20210923,194000,67.585,67.585,67.585,67.585,180,0
IGRO.US,5,20210923,201500,67.65,67.69,67.65,67.65,1490,0
IGRO.US,5,20210923,203500,67.7251,67.7251,67.7251,67.7251,500,0
IGRO.US,5,20210923,205500,67.49,67.49,67.49,67.49,118,0
IGRO.US,5,20210924,153000,66.38,66.38,66.38,66.38,351,0
IGRO.US,5,20210924,153500,66.72,66.76,66.72,66.76,400,0
IGRO.US,5,20210924,154000,66.6709,66.6709,66.6709,66.6709,100,0
IGRO.US,5,20210924,160500,66.93,66.93,66.93,66.93,142,0
IGRO.US,5,20210924,162500,66.71,66.71,66.71,66.71,100,0
IGRO.US,5,20210924,163000,66.7276,66.7276,66.46,66.4601,1918,0
IGRO.US,5,20210924,164000,66.72,66.72,66.6413,66.6413,1605,0
IGRO.US,5,20210924,165500,66.72,66.738,66.72,66.738,1011,0
IGRO.US,5,20210924,171500,66.6516,66.6516,66.6516,66.6516,299,0
IGRO.US,5,20210924,175500,66.6087,66.6087,66.6087,66.6087,200,0
IGRO.US,5,20210924,180000,66.7629,66.7629,66.7629,66.7629,221,0
IGRO.US,5,20210924,184500,66.695,66.695,66.695,66.695,183,0
IGRO.US,5,20210924,202000,66.5553,66.5553,66.5553,66.5553,497,0
IGRO.US,5,20210924,204500,66.657,66.657,66.657,66.657,125,0
IGRO.US,5,20210927,154000,66.12,66.3146,66.11,66.2,1047,0
IGRO.US,5,20210927,170000,66.3,66.3,66.28,66.28,200,0
IGRO.US,5,20210927,182500,66.405,66.405,66.2501,66.2501,373,0
IGRO.US,5,20210927,191000,66.32,66.32,66.29,66.29,200,0
IGRO.US,5,20210927,192500,66.32,66.395,66.265,66.395,1576,0
IGRO.US,5,20210927,193000,66.3522,66.3522,66.3522,66.3522,275,0
IGRO.US,5,20210927,193500,66.525,66.54,66.52,66.54,618,0
IGRO.US,5,20210927,194500,66.54,66.54,66.54,66.54,189,0
IGRO.US,5,20210927,205500,66.5926,66.5926,66.5926,66.5926,428,0
IGRO.US,5,20210927,211500,66.7065,66.7065,66.7065,66.7065,589,0
IGRO.US,5,20210927,212000,66.5653,66.5653,66.5653,66.5653,104,0
IGRO.US,5,20210927,214000,66.34,66.35,66.34,66.34,900,0
IGRO.US,5,20210927,214500,66.35,66.485,66.33,66.34,500,0
IGRO.US,5,20210927,215000,66.346,66.3667,66.31,66.31,2000,0
IGRO.US,5,20210927,215500,66.31,66.44,66.31,66.4,2616,0
IGRO.US,5,20210928,153000,65.92,65.92,65.75,65.75,905,0
IGRO.US,5,20210928,153500,65.75,65.75,65.52,65.58,400,0
IGRO.US,5,20210928,154000,65.555,65.68,65.49,65.49,965,0
IGRO.US,5,20210928,154500,65.5,65.5,65.34,65.35,8800,0
IGRO.US,5,20210928,160500,65.54,65.54,65.54,65.54,101,0
IGRO.US,5,20210928,161000,65.54,65.55,65.51,65.55,1250,0
IGRO.US,5,20210928,161500,65.5792,65.5792,65.5792,65.5792,464,0
IGRO.US,5,20210928,163000,65.62,65.62,65.3901,65.3901,395,0
IGRO.US,5,20210928,170000,65.58,65.58,65.58,65.58,3022,0
IGRO.US,5,20210928,171000,65.58,65.58,65.58,65.58,100,0
IGRO.US,5,20210928,172000,65.5819,65.5819,65.3781,65.3781,511,0
IGRO.US,5,20210928,175000,65.5732,65.5732,65.5732,65.5732,191,0
IGRO.US,5,20210928,175500,65.58,65.58,65.58,65.58,100,0
IGRO.US,5,20210928,181500,65.455,65.455,65.455,65.455,100,0
IGRO.US,5,20210928,182000,65.58,65.69,65.58,65.61,2033,0
IGRO.US,5,20210928,185500,65.41,65.41,65.41,65.41,500,0
IGRO.US,5,20210928,190500,65.41,65.41,65.41,65.41,100,0
IGRO.US,5,20210928,195000,65.53,65.53,65.53,65.53,100,0
IGRO.US,5,20210928,200000,65.53,65.53,65.53,65.53,170,0
IGRO.US,5,20210928,201000,65.5,65.5,65.5,65.5,311,0
IGRO.US,5,20210928,204000,65.48,65.48,65.48,65.48,194,0
IGRO.US,5,20210928,211000,65.565,65.565,65.565,65.565,212,0
IGRO.US,5,20210928,213000,65.4603,65.553,65.4603,65.553,1770,0
IGRO.US,5,20210928,214500,65.5878,65.5878,65.5878,65.5878,300,0
IGRO.US,5,20210929,153000,65.73,65.73,65.73,65.73,247,0
IGRO.US,5,20210929,160000,65.69,65.69,65.69,65.69,200,0
IGRO.US,5,20210929,160500,65.689,65.69,65.689,65.69,900,0
IGRO.US,5,20210929,161000,65.77,65.77,65.77,65.77,300,0
IGRO.US,5,20210929,163500,65.6199,65.6199,65.6199,65.6199,380,0
IGRO.US,5,20210929,165000,65.511,65.511,65.511,65.511,109,0
IGRO.US,5,20210929,170000,65.5101,65.5101,65.5101,65.5101,306,0
IGRO.US,5,20210929,170500,65.69,65.69,65.69,65.69,100,0
IGRO.US,5,20210929,173000,65.5341,65.6599,65.5341,65.6599,320,0
IGRO.US,5,20210929,175000,65.5599,65.5599,65.5599,65.5599,307,0
IGRO.US,5,20210929,182000,65.5277,65.5277,65.5277,65.5277,300,0
IGRO.US,5,20210929,184000,65.515,65.515,65.38,65.47,862,0
IGRO.US,5,20210929,191000,65.38,65.428,65.38,65.428,430,0
IGRO.US,5,20210929,191500,65.42,65.42,65.42,65.42,106,0
IGRO.US,5,20210929,192500,65.45,65.459,65.448,65.448,760,0
IGRO.US,5,20210929,193500,65.44,65.44,65.44,65.44,155,0
IGRO.US,5,20210929,195000,65.26,65.26,65.26,65.26,100,0
IGRO.US,5,20210929,200500,65.3362,65.3362,65.3362,65.3362,1991,0
