<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ILF.US,5,20210922,153000,27.34,27.4576,27.34,27.44,1846,0
ILF.US,5,20210922,153500,27.44,27.48,27.43,27.46,9200,0
ILF.US,5,20210922,154000,27.46,27.52,27.45,27.52,4250,0
ILF.US,5,20210922,154500,27.5,27.52,27.48,27.49,12816,0
ILF.US,5,20210922,155000,27.49,27.51,27.45,27.45,16938,0
ILF.US,5,20210922,155500,27.46,27.49,27.45,27.49,5425,0
ILF.US,5,20210922,160000,27.49,27.54,27.49,27.54,5541,0
ILF.US,5,20210922,160500,27.54,27.54,27.52,27.53,6886,0
ILF.US,5,20210922,161000,27.53,27.53,27.505,27.53,2196,0
ILF.US,5,20210922,161500,27.53,27.56,27.53,27.55,6109,0
ILF.US,5,20210922,162000,27.5599,27.5599,27.47,27.48,4012,0
ILF.US,5,20210922,162500,27.47,27.48,27.4182,27.42,3268,0
ILF.US,5,20210922,163000,27.41,27.44,27.4,27.42,6612,0
ILF.US,5,20210922,163500,27.43,27.44,27.37,27.37,2401,0
ILF.US,5,20210922,164000,27.39,27.44,27.38,27.43,5700,0
ILF.US,5,20210922,164500,27.42,27.44,27.395,27.43,17550,0
ILF.US,5,20210922,165000,27.42,27.435,27.38,27.39,11647,0
ILF.US,5,20210922,165500,27.38,27.42,27.38,27.4,121651,0
ILF.US,5,20210922,170000,27.39,27.43,27.39,27.43,2045,0
ILF.US,5,20210922,170500,27.4301,27.44,27.42,27.42,5039,0
ILF.US,5,20210922,171000,27.41,27.48,27.41,27.46,11441,0
ILF.US,5,20210922,171500,27.47,27.48,27.455,27.47,23864,0
ILF.US,5,20210922,172000,27.4701,27.49,27.46,27.46,6648,0
ILF.US,5,20210922,172500,27.47,27.51,27.47,27.51,2522,0
ILF.US,5,20210922,173000,27.51,27.52,27.5,27.52,1700,0
ILF.US,5,20210922,173500,27.52,27.53,27.5,27.5,7314,0
ILF.US,5,20210922,174000,27.5101,27.535,27.5,27.53,1970,0
ILF.US,5,20210922,174500,27.522,27.54,27.52,27.52,7624,0
ILF.US,5,20210922,175000,27.5278,27.57,27.515,27.53,27662,0
ILF.US,5,20210922,175500,27.53,27.56,27.52,27.54,17788,0
ILF.US,5,20210922,180000,27.55,27.57,27.55,27.57,2200,0
ILF.US,5,20210922,180500,27.56,27.56,27.51,27.51,700,0
ILF.US,5,20210922,181000,27.505,27.52,27.505,27.52,5716,0
ILF.US,5,20210922,181500,27.53,27.56,27.53,27.56,2045,0
ILF.US,5,20210922,182000,27.57,27.58,27.57,27.57,3600,0
ILF.US,5,20210922,182500,27.57,27.59,27.57,27.59,2400,0
ILF.US,5,20210922,183000,27.58,27.58,27.55,27.565,1951,0
ILF.US,5,20210922,183500,27.57,27.585,27.54,27.54,1361,0
ILF.US,5,20210922,184000,27.55,27.55,27.54,27.55,1422,0
ILF.US,5,20210922,184500,27.55,27.56,27.54,27.54,2101,0
ILF.US,5,20210922,185000,27.54,27.55,27.53,27.53,1474,0
ILF.US,5,20210922,185500,27.53,27.55,27.53,27.55,12991,0
ILF.US,5,20210922,190000,27.54,27.54,27.5,27.51,35850,0
ILF.US,5,20210922,190500,27.51,27.52,27.51,27.52,15151,0
ILF.US,5,20210922,191000,27.53,27.53,27.51,27.51,1527,0
ILF.US,5,20210922,191500,27.52,27.53,27.52,27.53,942,0
ILF.US,5,20210922,192000,27.53,27.535,27.52,27.52,2422,0
ILF.US,5,20210922,192500,27.53,27.535,27.52,27.52,1986,0
ILF.US,5,20210922,193000,27.53,27.53,27.51,27.5137,7026,0
ILF.US,5,20210922,193500,27.51,27.54,27.51,27.54,4679,0
ILF.US,5,20210922,194000,27.54,27.569,27.52,27.55,16690,0
ILF.US,5,20210922,194500,27.555,27.58,27.555,27.565,2150,0
ILF.US,5,20210922,195000,27.57,27.58,27.56,27.57,812,0
ILF.US,5,20210922,195500,27.575,27.58,27.54,27.56,4369,0
ILF.US,5,20210922,200000,27.55,27.7,27.52,27.68,51876,0
ILF.US,5,20210922,200500,27.69,27.71,27.63,27.65,25940,0
ILF.US,5,20210922,201000,27.65,27.72,27.65,27.72,10282,0
ILF.US,5,20210922,201500,27.72,27.74,27.69,27.69,14631,0
ILF.US,5,20210922,202000,27.69,27.7,27.67,27.68,5900,0
ILF.US,5,20210922,202500,27.68,27.71,27.68,27.71,4648,0
ILF.US,5,20210922,203000,27.7,27.75,27.67,27.73,16930,0
ILF.US,5,20210922,203500,27.73,27.73,27.6,27.6,19050,0
ILF.US,5,20210922,204000,27.6,27.6,27.5,27.52,31557,0
ILF.US,5,20210922,204500,27.49,27.5,27.38,27.38,17968,0
ILF.US,5,20210922,205000,27.35,27.44,27.28,27.4,18965,0
ILF.US,5,20210922,205500,27.4,27.43,27.35,27.385,148712,0
ILF.US,5,20210922,210000,27.3753,27.4,27.35,27.37,9419,0
ILF.US,5,20210922,210500,27.4,27.44,27.35,27.43,5452,0
ILF.US,5,20210922,211000,27.43,27.48,27.42,27.45,3500,0
ILF.US,5,20210922,211500,27.44,27.52,27.44,27.52,10381,0
ILF.US,5,20210922,212000,27.53,27.57,27.51,27.51,83444,0
ILF.US,5,20210922,212500,27.5,27.51,27.46,27.49,7554,0
