<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JETS.US,5,20210922,153000,22.79,22.97,22.79,22.93,96786,0
JETS.US,5,20210922,153500,22.9484,23.07,22.93,23.04,450319,0
JETS.US,5,20210922,154000,23.04,23.085,22.945,23.01,158268,0
JETS.US,5,20210922,154500,23,23.095,22.99,23.07,203540,0
JETS.US,5,20210922,155000,23.07,23.145,23.065,23.09,157186,0
JETS.US,5,20210922,155500,23.1,23.2,23.1,23.1738,205384,0
JETS.US,5,20210922,160000,23.18,23.18,23.1,23.135,104787,0
JETS.US,5,20210922,160500,23.135,23.135,23.06,23.11,87836,0
JETS.US,5,20210922,161000,23.11,23.17,23.0797,23.165,110231,0
JETS.US,5,20210922,161500,23.17,23.185,23.15,23.175,149910,0
JETS.US,5,20210922,162000,23.175,23.2,23.135,23.16,101272,0
JETS.US,5,20210922,162500,23.16,23.17,23.11,23.115,61006,0
JETS.US,5,20210922,163000,23.11,23.15,23.095,23.135,154842,0
JETS.US,5,20210922,163500,23.135,23.16,23.1201,23.145,80493,0
JETS.US,5,20210922,164000,23.14,23.2,23.13,23.17,169725,0
JETS.US,5,20210922,164500,23.16,23.19,23.14,23.18,64375,0
JETS.US,5,20210922,165000,23.185,23.2,23.16,23.17,95276,0
JETS.US,5,20210922,165500,23.1717,23.19,23.165,23.175,26030,0
JETS.US,5,20210922,170000,23.18,23.208,23.18,23.195,89829,0
JETS.US,5,20210922,170500,23.1911,23.21,23.15,23.17,166500,0
JETS.US,5,20210922,171000,23.17,23.24,23.17,23.235,765218,0
JETS.US,5,20210922,171500,23.24,23.29,23.235,23.28,88307,0
JETS.US,5,20210922,172000,23.29,23.325,23.28,23.3,193013,0
JETS.US,5,20210922,172500,23.305,23.325,23.295,23.305,72626,0
JETS.US,5,20210922,173000,23.3,23.32,23.28,23.305,85123,0
JETS.US,5,20210922,173500,23.3,23.31,23.28,23.31,168698,0
JETS.US,5,20210922,174000,23.3,23.305,23.27,23.2999,121066,0
JETS.US,5,20210922,174500,23.295,23.305,23.26,23.265,62092,0
JETS.US,5,20210922,175000,23.26,23.305,23.26,23.265,170402,0
JETS.US,5,20210922,175500,23.26,23.28,23.26,23.27,49767,0
JETS.US,5,20210922,180000,23.27,23.285,23.25,23.28,64773,0
JETS.US,5,20210922,180500,23.28,23.29,23.245,23.25,37500,0
JETS.US,5,20210922,181000,23.25,23.26,23.22,23.23,56606,0
JETS.US,5,20210922,181500,23.225,23.225,23.19,23.22,65950,0
JETS.US,5,20210922,182000,23.215,23.225,23.19,23.2,40406,0
JETS.US,5,20210922,182500,23.195,23.235,23.195,23.235,47149,0
JETS.US,5,20210922,183000,23.235,23.24,23.2249,23.24,61694,0
JETS.US,5,20210922,183500,23.24,23.255,23.23,23.235,27600,0
JETS.US,5,20210922,184000,23.23,23.23,23.2,23.205,23268,0
JETS.US,5,20210922,184500,23.2,23.235,23.2,23.23,15700,0
JETS.US,5,20210922,185000,23.24,23.245,23.2001,23.205,16340,0
JETS.US,5,20210922,185500,23.21,23.235,23.21,23.23,18374,0
JETS.US,5,20210922,190000,23.2355,23.2355,23.205,23.21,9225,0
JETS.US,5,20210922,190500,23.2,23.26,23.19,23.26,72163,0
JETS.US,5,20210922,191000,23.2538,23.26,23.2437,23.2528,18976,0
JETS.US,5,20210922,191500,23.25,23.29,23.2446,23.27,179094,0
JETS.US,5,20210922,192000,23.27,23.29,23.26,23.26,31666,0
JETS.US,5,20210922,192500,23.26,23.3,23.26,23.295,37721,0
JETS.US,5,20210922,193000,23.3,23.315,23.29,23.305,37613,0
JETS.US,5,20210922,193500,23.3,23.3001,23.28,23.29,26824,0
JETS.US,5,20210922,194000,23.29,23.306,23.28,23.295,40172,0
JETS.US,5,20210922,194500,23.292,23.292,23.26,23.26,29655,0
JETS.US,5,20210922,195000,23.26,23.26,23.225,23.24,46133,0
JETS.US,5,20210922,195500,23.24,23.26,23.225,23.23,33579,0
JETS.US,5,20210922,200000,23.23,23.315,23.19,23.315,126533,0
JETS.US,5,20210922,200500,23.32,23.34,23.28,23.34,55533,0
JETS.US,5,20210922,201000,23.34,23.3999,23.33,23.39,55787,0
JETS.US,5,20210922,201500,23.395,23.43,23.37,23.39,219042,0
JETS.US,5,20210922,202000,23.39,23.4,23.34,23.385,329492,0
JETS.US,5,20210922,202500,23.39,23.46,23.3839,23.455,62652,0
JETS.US,5,20210922,203000,23.4599,23.4876,23.445,23.475,79725,0
JETS.US,5,20210922,203500,23.47,23.495,23.3801,23.39,59801,0
JETS.US,5,20210922,204000,23.39,23.39,23.32,23.35,80066,0
JETS.US,5,20210922,204500,23.33,23.33,23.26,23.27,97521,0
JETS.US,5,20210922,205000,23.25,23.355,23.2075,23.325,87867,0
JETS.US,5,20210922,205500,23.33,23.34,23.275,23.305,60138,0
JETS.US,5,20210922,210000,23.305,23.31,23.265,23.3,107326,0
JETS.US,5,20210922,210500,23.295,23.33,23.26,23.329,43247,0
JETS.US,5,20210922,211000,23.325,23.37,23.305,23.355,21111,0
JETS.US,5,20210922,211500,23.3563,23.41,23.345,23.39,37741,0
JETS.US,5,20210922,212000,23.39,23.41,23.36,23.37,688599,0
JETS.US,5,20210922,212500,23.365,23.38,23.33,23.355,52925,0
JETS.US,5,20210922,213000,23.36,23.37,23.305,23.3227,35312,0
JETS.US,5,20210922,213500,23.32,23.34,23.3142,23.325,38460,0
JETS.US,5,20210922,214000,23.33,23.345,23.2544,23.265,249440,0
JETS.US,5,20210922,214500,23.265,23.3,23.2644,23.275,78179,0
JETS.US,5,20210922,215000,23.27,23.32,23.26,23.29,167924,0
JETS.US,5,20210922,215500,23.285,23.305,23.27,23.28,407937,0
JETS.US,5,20210923,153000,23.46,23.57,23.45,23.515,360196,0
JETS.US,5,20210923,153500,23.51,23.63,23.49,23.6099,307642,0
JETS.US,5,20210923,154000,23.61,23.7,23.56,23.67,265539,0
JETS.US,5,20210923,154500,23.675,23.75,23.66,23.74,264188,0
JETS.US,5,20210923,155000,23.74,23.7467,23.64,23.66,144458,0
JETS.US,5,20210923,155500,23.66,23.76,23.66,23.75,187305,0
JETS.US,5,20210923,160000,23.76,23.8,23.7346,23.7966,291875,0
JETS.US,5,20210923,160500,23.79,23.7998,23.76,23.79,249513,0
JETS.US,5,20210923,161000,23.79,23.849,23.78,23.84,162440,0
JETS.US,5,20210923,161500,23.84,23.855,23.82,23.8317,128557,0
JETS.US,5,20210923,162000,23.83,23.8657,23.83,23.855,185627,0
JETS.US,5,20210923,162500,23.8545,23.89,23.85,23.87,262844,0
JETS.US,5,20210923,163000,23.87,23.89,23.84,23.86,198821,0
JETS.US,5,20210923,163500,23.855,23.9,23.85,23.8899,418229,0
JETS.US,5,20210923,164000,23.89,23.9,23.855,23.8781,84051,0
JETS.US,5,20210923,164500,23.87,23.895,23.87,23.885,56066,0
JETS.US,5,20210923,165000,23.88,23.9,23.865,23.89,90442,0
JETS.US,5,20210923,165500,23.885,23.9085,23.87,23.9085,66263,0
JETS.US,5,20210923,170000,23.91,23.915,23.88,23.9101,56882,0
JETS.US,5,20210923,170500,23.91,23.92,23.8701,23.8701,47927,0
JETS.US,5,20210923,171000,23.88,23.93,23.875,23.91,48153,0
JETS.US,5,20210923,171500,23.915,23.965,23.915,23.96,53410,0
JETS.US,5,20210923,172000,23.96,23.98,23.95,23.97,46161,0
JETS.US,5,20210923,172500,23.97,23.9799,23.95,23.95,72445,0
JETS.US,5,20210923,173000,23.95,23.96,23.87,23.88,96748,0
JETS.US,5,20210923,173500,23.88,23.915,23.87,23.8961,60302,0
JETS.US,5,20210923,174000,23.89,23.9,23.87,23.8969,35084,0
JETS.US,5,20210923,174500,23.895,23.9097,23.88,23.9,52379,0
JETS.US,5,20210923,175000,23.8901,23.91,23.881,23.895,39633,0
JETS.US,5,20210923,175500,23.89,23.91,23.89,23.91,39161,0
JETS.US,5,20210923,180000,23.91,23.92,23.88,23.8965,51217,0
JETS.US,5,20210923,180500,23.9,23.91,23.88,23.895,69804,0
