<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JHME.US,5,20210922,153000,19.24,19.24,19.24,19.24,300,0
JHME.US,5,20210922,160500,19.6459,19.6459,19.6459,19.6459,120,0
JHME.US,5,20210922,214500,19.67,19.67,19.67,19.67,149,0
JHME.US,5,20210923,161500,20.0382,20.0382,20.0382,20.0382,425,0
JHME.US,5,20210923,214500,20.39,20.39,20.39,20.39,100,0
JHME.US,5,20210924,193500,20.45,20.45,20.45,20.45,300,0
JHME.US,5,20210924,194000,20.57,20.57,20.56,20.56,400,0
JHME.US,5,20210924,195000,20.57,20.57,20.57,20.57,100,0
JHME.US,5,20210924,195500,20.53,20.53,20.51,20.51,1200,0
JHME.US,5,20210924,200000,20.53,20.53,20.53,20.53,1400,0
JHME.US,5,20210924,200500,20.53,20.53,20.53,20.53,100,0
JHME.US,5,20210924,202000,20.5913,20.5913,20.5913,20.5913,700,0
JHME.US,5,20210924,215500,20.61,20.61,20.61,20.61,100,0
JHME.US,5,20210927,153000,20.94,20.94,20.88,20.9,1026,0
JHME.US,5,20210927,154000,21.3,21.3,21.3,21.3,100,0
JHME.US,5,20210927,170500,21.25,21.25,21.25,21.25,100,0
JHME.US,5,20210927,212000,21.43,21.43,21.43,21.43,300,0
JHME.US,5,20210928,153000,21.57,21.79,21.57,21.79,672,0
JHME.US,5,20210928,155000,21.67,21.67,21.67,21.67,110,0
JHME.US,5,20210928,161000,21.58,21.58,21.58,21.58,175,0
JHME.US,5,20210928,165500,21.62,21.62,21.62,21.62,500,0
JHME.US,5,20210928,192000,21.6287,21.6287,21.6287,21.6287,100,0
JHME.US,5,20210928,193500,21.57,21.57,21.57,21.57,100,0
JHME.US,5,20210928,201000,21.52,21.52,21.52,21.52,200,0
JHME.US,5,20210928,204500,21.6699,21.6699,21.6699,21.6699,100,0
JHME.US,5,20210929,153000,21.47,21.47,21.47,21.47,200,0
