<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KCE.US,5,20210922,153000,94.66,94.66,94.66,94.66,405,0
KCE.US,5,20210922,154000,94.78,94.78,94.78,94.78,100,0
KCE.US,5,20210922,160000,95.1567,95.1567,95.1567,95.1567,103,0
KCE.US,5,20210922,161000,95.11,95.11,95.11,95.11,100,0
KCE.US,5,20210922,162500,95,95,95,95,132,0
KCE.US,5,20210922,170000,95.339,95.339,95.339,95.339,570,0
KCE.US,5,20210922,171000,95.3985,95.3985,95.3985,95.3985,105,0
KCE.US,5,20210922,174500,95.53,95.53,95.53,95.53,623,0
KCE.US,5,20210922,175500,95.3336,95.3336,95.3336,95.3336,1000,0
KCE.US,5,20210922,192500,95.3395,95.3395,95.3395,95.3395,125,0
KCE.US,5,20210922,193500,95.275,95.275,95.275,95.275,163,0
KCE.US,5,20210923,153000,96.13,96.13,96.13,96.13,196,0
KCE.US,5,20210923,153500,96.2,96.2,96.2,96.2,102,0
KCE.US,5,20210923,161500,96.795,96.8199,96.71,96.8199,2757,0
KCE.US,5,20210923,162500,96.769,96.769,96.7173,96.7173,350,0
KCE.US,5,20210923,163000,96.73,96.73,96.73,96.73,100,0
KCE.US,5,20210923,171000,96.9021,96.9021,96.9021,96.9021,1000,0
KCE.US,5,20210923,172000,96.925,96.925,96.9188,96.9188,314,0
KCE.US,5,20210923,194500,97.6067,97.6067,97.6067,97.6067,202,0
KCE.US,5,20210923,214500,97.36,97.36,97.36,97.36,381,0
KCE.US,5,20210923,215500,97.27,97.27,97.27,97.27,300,0
KCE.US,5,20210924,153000,96.95,96.95,96.95,96.95,103,0
KCE.US,5,20210924,153500,97,97,97,97,525,0
KCE.US,5,20210924,161500,97.36,97.36,97.36,97.36,100,0
KCE.US,5,20210924,165000,97.4285,97.4285,97.4285,97.4285,182,0
KCE.US,5,20210924,170000,97.5186,97.5186,97.455,97.455,858,0
KCE.US,5,20210924,185000,97.7438,97.7438,97.7438,97.7438,250,0
KCE.US,5,20210924,192500,97.6069,97.6069,97.6069,97.6069,171,0
KCE.US,5,20210924,193500,97.5383,97.5383,97.53,97.53,323,0
KCE.US,5,20210924,195000,97.54,97.54,97.54,97.54,100,0
KCE.US,5,20210924,202500,97.592,97.592,97.592,97.592,1033,0
KCE.US,5,20210924,203000,97.7,97.7,97.7,97.7,102,0
KCE.US,5,20210924,210500,97.6169,97.6169,97.6169,97.6169,1000,0
KCE.US,5,20210924,213000,97.6776,97.6776,97.6776,97.6776,100,0
KCE.US,5,20210924,213500,97.55,97.55,97.55,97.55,150,0
KCE.US,5,20210924,215500,97.5083,97.5083,97.5083,97.5083,150,0
KCE.US,5,20210927,153000,97.92,97.92,97.92,97.92,166,0
KCE.US,5,20210927,160000,98.0401,98.0401,98.0401,98.0401,100,0
KCE.US,5,20210927,162500,98.288,98.288,98.288,98.288,300,0
KCE.US,5,20210927,170500,98.43,98.43,98.43,98.43,101,0
KCE.US,5,20210927,171500,98.5209,98.5209,98.5209,98.5209,100,0
KCE.US,5,20210927,172500,98.3627,98.3627,98.3627,98.3627,101,0
KCE.US,5,20210927,175000,98.33,98.33,98.33,98.33,103,0
KCE.US,5,20210927,180500,98.44,98.44,98.395,98.395,719,0
KCE.US,5,20210927,181500,98.49,98.49,98.435,98.435,1130,0
KCE.US,5,20210927,191000,98.4739,98.4739,98.4739,98.4739,200,0
KCE.US,5,20210927,193000,98.52,98.52,98.52,98.52,200,0
KCE.US,5,20210927,200500,98.625,98.625,98.625,98.625,104,0
KCE.US,5,20210927,205000,98.73,98.73,98.73,98.73,400,0
KCE.US,5,20210927,211500,98.65,98.65,98.6499,98.6499,558,0
KCE.US,5,20210927,212000,98.58,98.58,98.58,98.58,100,0
KCE.US,5,20210927,214000,98.5733,98.5733,98.5733,98.5733,255,0
KCE.US,5,20210927,214500,98.57,98.57,98.57,98.57,144,0
KCE.US,5,20210928,153000,98.21,98.21,98.21,98.21,150,0
KCE.US,5,20210928,154000,98.07,98.07,98.07,98.07,103,0
KCE.US,5,20210928,155000,97.67,97.67,97.67,97.67,100,0
KCE.US,5,20210928,160000,97.45,97.45,97.45,97.45,200,0
KCE.US,5,20210928,162000,96.71,96.71,96.71,96.71,200,0
KCE.US,5,20210928,172000,96.71,96.71,96.71,96.71,200,0
KCE.US,5,20210928,172500,96.746,96.746,96.746,96.746,250,0
KCE.US,5,20210928,174000,96.65,96.65,96.65,96.65,141,0
KCE.US,5,20210928,174500,96.67,96.67,96.67,96.67,200,0
KCE.US,5,20210928,180500,96.49,96.49,96.49,96.49,193,0
KCE.US,5,20210928,190000,96.3161,96.3161,96.3161,96.3161,100,0
KCE.US,5,20210928,204500,96.891,96.9299,96.891,96.9299,1000,0
KCE.US,5,20210928,210500,96.85,96.85,96.85,96.85,200,0
KCE.US,5,20210928,211000,96.9458,96.9458,96.9458,96.9458,138,0
KCE.US,5,20210928,214000,96.5823,96.5823,96.5823,96.5823,133,0
KCE.US,5,20210928,215000,96.25,96.25,96.25,96.25,100,0
KCE.US,5,20210928,215500,96.25,96.25,96.25,96.25,223,0
KCE.US,5,20210929,153000,96.66,96.8137,96.66,96.8137,546,0
KCE.US,5,20210929,160000,96.29,96.29,96.29,96.29,1000,0
KCE.US,5,20210929,162000,96.5227,96.5227,96.52,96.52,300,0
KCE.US,5,20210929,164500,96.47,96.47,96.47,96.47,155,0
KCE.US,5,20210929,171500,96.34,96.34,96.34,96.34,177,0
KCE.US,5,20210929,181500,96.3803,96.4736,96.3803,96.4736,500,0
KCE.US,5,20210929,184500,96.34,96.34,96.34,96.34,200,0
KCE.US,5,20210929,193500,96.41,96.41,96.41,96.41,100,0
KCE.US,5,20210929,200500,96.5978,96.6,96.5978,96.6,400,0
KCE.US,5,20210929,203000,96.77,96.77,96.71,96.71,200,0
KCE.US,5,20210929,210000,96.7186,96.7186,96.7186,96.7186,100,0
KCE.US,5,20210929,212000,96.69,96.69,96.69,96.69,200,0
KCE.US,5,20210929,212500,96.7407,96.7407,96.7407,96.7407,191,0
KCE.US,5,20210929,215500,96.48,96.48,96.48,96.48,300,0
KCE.US,5,20210930,153000,97.09,97.09,97.09,97.09,151,0
KCE.US,5,20210930,155000,97.305,97.305,97.305,97.305,376,0
KCE.US,5,20210930,155500,97.16,97.16,97.16,97.16,1000,0
KCE.US,5,20210930,162000,96.93,96.93,96.84,96.84,1149,0
KCE.US,5,20210930,163000,96.85,96.85,96.85,96.85,364,0
KCE.US,5,20210930,164000,96.8855,96.8855,96.8855,96.8855,103,0
KCE.US,5,20210930,165000,96.76,96.76,96.76,96.76,300,0
KCE.US,5,20210930,165500,96.74,96.74,96.52,96.52,7290,0
KCE.US,5,20210930,171500,96.7966,96.7966,96.7966,96.7966,100,0
KCE.US,5,20210930,172500,96.665,96.665,96.665,96.665,200,0
KCE.US,5,20210930,183000,95.55,95.55,95.55,95.55,300,0
KCE.US,5,20210930,195500,95.8718,95.8718,95.8718,95.8718,233,0
KCE.US,5,20210930,200000,95.92,95.92,95.83,95.83,15116,0
KCE.US,5,20210930,203000,95.9396,95.9396,95.9396,95.9396,275,0
