<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LQD.US,5,20210922,153000,135.78,135.88,135.78,135.8,499096,0
LQD.US,5,20210922,153500,135.8,135.82,135.76,135.81,185853,0
LQD.US,5,20210922,154000,135.82,135.82,135.76,135.77,414409,0
LQD.US,5,20210922,154500,135.78,135.79,135.76,135.78,141103,0
LQD.US,5,20210922,155000,135.78,135.787,135.75,135.775,52235,0
LQD.US,5,20210922,155500,135.78,135.85,135.773,135.85,484918,0
LQD.US,5,20210922,160000,135.86,135.915,135.852,135.86,424221,0
LQD.US,5,20210922,160500,135.87,135.95,135.87,135.89,86964,0
LQD.US,5,20210922,161000,135.895,135.9,135.84,135.84,217699,0
LQD.US,5,20210922,161500,135.835,135.855,135.81,135.845,570357,0
LQD.US,5,20210922,162000,135.85,135.91,135.85,135.855,121293,0
LQD.US,5,20210922,162500,135.857,135.88,135.85,135.86,46194,0
LQD.US,5,20210922,163000,135.869,135.91,135.855,135.89,169763,0
LQD.US,5,20210922,163500,135.89,135.94,135.89,135.93,120301,0
LQD.US,5,20210922,164000,135.94,135.955,135.905,135.92,34883,0
LQD.US,5,20210922,164500,135.93,135.935,135.88,135.889,74151,0
LQD.US,5,20210922,165000,135.89,135.9,135.88,135.89,48189,0
LQD.US,5,20210922,165500,135.9,135.92,135.88,135.89,100227,0
LQD.US,5,20210922,170000,135.895,135.949,135.895,135.93,52706,0
LQD.US,5,20210922,170500,135.935,135.99,135.935,135.985,24280,0
LQD.US,5,20210922,171000,135.98,135.99,135.92,135.92,125466,0
LQD.US,5,20210922,171500,135.92,135.94,135.91,135.93,129979,0
LQD.US,5,20210922,172000,135.93,135.94,135.91,135.92,98182,0
LQD.US,5,20210922,172500,135.925,135.93,135.895,135.93,133128,0
LQD.US,5,20210922,173000,135.94,135.95,135.915,135.92,18345,0
LQD.US,5,20210922,173500,135.925,135.95,135.92,135.95,5992,0
LQD.US,5,20210922,174000,135.95,135.96,135.94,135.94,12558,0
LQD.US,5,20210922,174500,135.955,136.015,135.95,135.995,285590,0
LQD.US,5,20210922,175000,136,136.05,135.95,135.98,380268,0
LQD.US,5,20210922,175500,135.98,136,135.97,135.985,67206,0
LQD.US,5,20210922,180000,135.99,135.995,135.97,135.975,53792,0
LQD.US,5,20210922,180500,135.98,136,135.95,135.965,356072,0
LQD.US,5,20210922,181000,135.967,135.967,135.93,135.935,70023,0
LQD.US,5,20210922,181500,135.935,135.935,135.9,135.9,41816,0
LQD.US,5,20210922,182000,135.9,135.905,135.88,135.905,261556,0
LQD.US,5,20210922,182500,135.905,135.925,135.895,135.91,26679,0
LQD.US,5,20210922,183000,135.905,135.925,135.905,135.92,82538,0
LQD.US,5,20210922,183500,135.92,135.94,135.915,135.94,56846,0
LQD.US,5,20210922,184000,135.93,135.94,135.915,135.915,44054,0
LQD.US,5,20210922,184500,135.92,135.92,135.87,135.87,54123,0
LQD.US,5,20210922,185000,135.87,135.905,135.86,135.89,121863,0
LQD.US,5,20210922,185500,135.89,135.92,135.89,135.91,80182,0
LQD.US,5,20210922,190000,135.91,135.93,135.9,135.93,46512,0
LQD.US,5,20210922,190500,135.93,135.95,135.93,135.95,123862,0
LQD.US,5,20210922,191000,135.945,135.95,135.93,135.95,34928,0
LQD.US,5,20210922,191500,135.94,135.94,135.91,135.92,140792,0
LQD.US,5,20210922,192000,135.92,135.945,135.91,135.945,33667,0
LQD.US,5,20210922,192500,135.945,135.955,135.93,135.937,129193,0
LQD.US,5,20210922,193000,135.94,135.94,135.91,135.91,52042,0
LQD.US,5,20210922,193500,135.91,135.93,135.89,135.926,334056,0
LQD.US,5,20210922,194000,135.92,135.94,135.92,135.93,189150,0
LQD.US,5,20210922,194500,135.92,135.94,135.92,135.935,52080,0
LQD.US,5,20210922,195000,135.935,135.94,135.9,135.91,115544,0
LQD.US,5,20210922,195500,135.902,135.97,135.9,135.94,320788,0
LQD.US,5,20210922,200000,135.94,136.04,135.63,136.02,321607,0
LQD.US,5,20210922,200500,136.03,136.065,135.935,136.055,188582,0
