<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MEAR.US,5,20210922,153000,50.22,50.22,50.22,50.22,600,0
MEAR.US,5,20210922,155000,50.1401,50.15,50.1401,50.15,698,0
MEAR.US,5,20210922,160000,50.18,50.18,50.18,50.18,300,0
MEAR.US,5,20210922,161000,50.175,50.18,50.175,50.18,500,0
MEAR.US,5,20210922,164000,50.18,50.18,50.18,50.18,254,0
MEAR.US,5,20210922,170000,50.189,50.189,50.18,50.18,2586,0
MEAR.US,5,20210922,170500,50.19,50.19,50.189,50.19,6800,0
MEAR.US,5,20210922,172000,50.19,50.19,50.1865,50.1865,700,0
MEAR.US,5,20210922,182500,50.18,50.18,50.18,50.18,200,0
MEAR.US,5,20210922,185500,50.18,50.19,50.18,50.1827,540,0
MEAR.US,5,20210922,193500,50.19,50.19,50.19,50.19,290,0
MEAR.US,5,20210922,195500,50.19,50.19,50.19,50.19,100,0
MEAR.US,5,20210922,211000,50.1873,50.1873,50.18,50.18,412,0
MEAR.US,5,20210922,212500,50.18,50.18,50.18,50.18,182,0
MEAR.US,5,20210922,213000,50.185,50.185,50.185,50.185,700,0
MEAR.US,5,20210922,215000,50.1787,50.1787,50.1787,50.1787,2413,0
MEAR.US,5,20210923,153500,50.18,50.18,50.18,50.18,18663,0
MEAR.US,5,20210923,155000,50.1714,50.1714,50.1714,50.1714,160,0
MEAR.US,5,20210923,175000,50.16,50.1781,50.16,50.1721,600,0
MEAR.US,5,20210923,181500,50.1608,50.1608,50.1608,50.1608,241,0
MEAR.US,5,20210923,185500,50.165,50.165,50.165,50.165,115,0
MEAR.US,5,20210923,201000,50.168,50.168,50.1671,50.1671,482,0
MEAR.US,5,20210923,204000,50.159,50.159,50.159,50.159,331,0
MEAR.US,5,20210923,204500,50.16,50.16,50.16,50.16,300,0
MEAR.US,5,20210924,170500,50.15,50.15,50.15,50.15,119,0
MEAR.US,5,20210924,171500,50.1697,50.1697,50.1697,50.1697,250,0
MEAR.US,5,20210924,174000,50.16,50.16,50.16,50.16,400,0
MEAR.US,5,20210924,193500,50.1681,50.1681,50.16,50.16,238,0
MEAR.US,5,20210924,201000,50.1501,50.1501,50.1501,50.1501,300,0
MEAR.US,5,20210924,202500,50.16,50.16,50.154,50.154,200,0
MEAR.US,5,20210924,204000,50.1683,50.1683,50.1683,50.1683,259,0
MEAR.US,5,20210927,153000,50.155,50.155,50.155,50.155,600,0
MEAR.US,5,20210927,153500,50.12,50.14,50.12,50.14,300,0
MEAR.US,5,20210927,160500,50.145,50.145,50.145,50.145,100,0
MEAR.US,5,20210927,161000,50.16,50.17,50.1597,50.1697,2400,0
MEAR.US,5,20210927,162000,50.155,50.155,50.155,50.155,100,0
MEAR.US,5,20210927,165500,50.1692,50.1692,50.1692,50.1692,258,0
MEAR.US,5,20210927,171500,50.155,50.155,50.155,50.155,252,0
MEAR.US,5,20210927,173000,50.16,50.17,50.1597,50.17,690,0
MEAR.US,5,20210927,175500,50.16,50.172,50.16,50.172,1481,0
MEAR.US,5,20210927,185500,50.1555,50.1555,50.1555,50.1555,125,0
MEAR.US,5,20210927,190000,50.15,50.15,50.15,50.15,25000,0
MEAR.US,5,20210927,201000,50.15,50.1526,50.15,50.1526,785,0
MEAR.US,5,20210927,202500,50.155,50.155,50.155,50.155,137,0
MEAR.US,5,20210927,204000,50.15,50.15,50.15,50.15,600,0
MEAR.US,5,20210927,210500,50.15,50.154,50.144,50.154,1426,0
MEAR.US,5,20210927,213500,50.15,50.15,50.15,50.15,200,0
MEAR.US,5,20210927,214500,50.1485,50.15,50.1485,50.15,511,0
MEAR.US,5,20210927,215500,50.16,50.16,50.16,50.16,100,0
MEAR.US,5,20210928,153000,50.19,50.19,50.19,50.19,18589,0
MEAR.US,5,20210928,162500,50.14,50.14,50.14,50.14,697,0
MEAR.US,5,20210928,163500,50.1484,50.1484,50.1484,50.1484,452,0
MEAR.US,5,20210928,170000,50.14,50.14,50.14,50.14,150,0
MEAR.US,5,20210928,170500,50.14,50.14,50.14,50.14,733,0
MEAR.US,5,20210928,172500,50.14,50.14,50.14,50.14,800,0
MEAR.US,5,20210928,201000,50.16,50.16,50.16,50.16,1473,0
MEAR.US,5,20210928,213500,50.1486,50.1486,50.1486,50.1486,9964,0
MEAR.US,5,20210929,161500,50.1409,50.1409,50.1409,50.1409,115,0
MEAR.US,5,20210929,162500,50.1375,50.1375,50.1375,50.1375,1894,0
MEAR.US,5,20210929,163000,50.135,50.135,50.135,50.135,376,0
MEAR.US,5,20210929,165500,50.129,50.129,50.129,50.129,800,0
MEAR.US,5,20210929,170500,50.135,50.135,50.135,50.135,373,0
MEAR.US,5,20210929,171500,50.15,50.15,50.15,50.15,100,0
MEAR.US,5,20210929,172000,50.14,50.14,50.14,50.14,795,0
MEAR.US,5,20210929,173500,50.14,50.14,50.14,50.14,3688,0
MEAR.US,5,20210929,175000,50.145,50.145,50.142,50.142,708,0
MEAR.US,5,20210929,182000,50.1733,50.1733,50.17,50.17,600,0
MEAR.US,5,20210929,203000,50.161,50.161,50.161,50.161,936,0
MEAR.US,5,20210929,205000,50.18,50.18,50.18,50.18,10397,0
MEAR.US,5,20210929,210500,50.1729,50.1729,50.17,50.17,356,0
MEAR.US,5,20210929,213500,50.17,50.17,50.17,50.17,120,0
MEAR.US,5,20210929,214500,50.17,50.17,50.17,50.17,100,0
MEAR.US,5,20210930,153000,50.23,50.23,50.23,50.23,3984,0
MEAR.US,5,20210930,160000,50.16,50.16,50.16,50.16,200,0
MEAR.US,5,20210930,164500,50.17,50.17,50.17,50.17,498,0
MEAR.US,5,20210930,165000,50.165,50.165,50.165,50.165,300,0
MEAR.US,5,20210930,165500,50.165,50.165,50.165,50.165,399,0
MEAR.US,5,20210930,170500,50.165,50.165,50.1625,50.1625,1452,0
MEAR.US,5,20210930,183000,50.16,50.165,50.16,50.165,800,0
MEAR.US,5,20210930,183500,50.16,50.16,50.16,50.16,400,0
MEAR.US,5,20210930,184000,50.16,50.16,50.16,50.16,100,0
MEAR.US,5,20210930,184500,50.16,50.1647,50.16,50.1647,1100,0
MEAR.US,5,20210930,185000,50.1611,50.1611,50.16,50.16,1057,0
MEAR.US,5,20210930,200000,50.16,50.16,50.16,50.16,120,0
MEAR.US,5,20210930,204000,50.1699,50.1699,50.1699,50.1699,797,0
MEAR.US,5,20210930,204500,50.1699,50.1699,50.1699,50.1699,398,0
MEAR.US,5,20210930,213000,50.163,50.167,50.163,50.167,2480,0
MEAR.US,5,20210930,214000,50.1601,50.1601,50.1601,50.1601,100,0
MEAR.US,5,20210930,214500,50.165,50.165,50.165,50.165,100,0
MEAR.US,5,20210930,215000,50.1625,50.1625,50.1625,50.1625,245,0
MEAR.US,5,20211001,153000,50.16,50.16,50.16,50.16,940,0
MEAR.US,5,20211001,153500,50.1447,50.15,50.135,50.15,3800,0
MEAR.US,5,20211001,160000,50.13,50.13,50.13,50.13,505,0
MEAR.US,5,20211001,162500,50.134,50.14,50.134,50.14,1096,0
MEAR.US,5,20211001,163000,50.1555,50.1555,50.1555,50.1555,139,0
MEAR.US,5,20211001,170000,50.14,50.14,50.14,50.14,10000,0
MEAR.US,5,20211001,170500,50.16,50.16,50.15,50.15,10100,0
MEAR.US,5,20211001,171500,50.1599,50.1599,50.1599,50.1599,1000,0
MEAR.US,5,20211001,172500,50.1204,50.1204,50.1204,50.1204,611,0
MEAR.US,5,20211001,173000,50.14,50.14,50.14,50.14,150,0
MEAR.US,5,20211001,174500,50.13,50.13,50.13,50.13,738,0
MEAR.US,5,20211001,183000,50.15,50.15,50.15,50.15,1000,0
MEAR.US,5,20211001,183500,50.15,50.15,50.15,50.15,100,0
MEAR.US,5,20211001,184000,50.15,50.15,50.15,50.15,100,0
MEAR.US,5,20211001,191500,50.15,50.15,50.15,50.15,300,0
MEAR.US,5,20211001,193000,50.15,50.15,50.15,50.15,200,0
MEAR.US,5,20211001,194000,50.1582,50.1582,50.1582,50.1582,590,0
MEAR.US,5,20211001,195000,50.144,50.144,50.144,50.144,4600,0
MEAR.US,5,20211001,195500,50.15,50.15,50.15,50.15,100,0
MEAR.US,5,20211001,201500,50.152,50.152,50.152,50.152,180,0
MEAR.US,5,20211001,211500,50.16,50.16,50.15,50.15,820,0
MEAR.US,5,20211001,213000,50.1599,50.16,50.15,50.15,15568,0
MEAR.US,5,20211001,213500,50.15,50.155,50.15,50.155,444,0
MEAR.US,5,20211004,153000,50.13,50.13,50.13,50.13,213,0
MEAR.US,5,20211004,155500,50.1499,50.15,50.1499,50.15,540,0
MEAR.US,5,20211004,161000,50.16,50.16,50.16,50.16,106,0
MEAR.US,5,20211004,162500,50.15,50.15,50.15,50.15,100,0
MEAR.US,5,20211004,163500,50.18,50.18,50.18,50.18,841,0
MEAR.US,5,20211004,164500,50.14,50.17,50.12,50.17,19469,0
MEAR.US,5,20211004,172500,50.169,50.169,50.169,50.169,218,0
MEAR.US,5,20211004,174500,50.14,50.14,50.14,50.14,187,0
MEAR.US,5,20211004,185500,50.14,50.14,50.14,50.14,100,0
MEAR.US,5,20211004,212000,50.14,50.1575,50.13,50.15,2172,0
MEAR.US,5,20211004,213000,50.1468,50.1468,50.1468,50.1468,150,0
MEAR.US,5,20211004,215500,50.1462,50.1462,50.13,50.13,404,0
MEAR.US,5,20211005,153000,50.12,50.13,50.12,50.13,2019,0
