<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NYF.US,5,20210922,173000,58.2501,58.2501,58.2501,58.2501,127,0
NYF.US,5,20210922,180500,58.262,58.262,58.262,58.262,100,0
NYF.US,5,20210922,191500,58.29,58.29,58.29,58.29,1000,0
NYF.US,5,20210922,192000,58.276,58.276,58.276,58.276,1000,0
NYF.US,5,20210922,192500,58.26,58.26,58.26,58.26,300,0
NYF.US,5,20210922,194500,58.2601,58.2601,58.2601,58.2601,336,0
NYF.US,5,20210922,200000,58.2999,58.2999,58.2999,58.2999,107,0
NYF.US,5,20210922,204500,58.2999,58.2999,58.2999,58.2999,2570,0
NYF.US,5,20210922,213000,58.27,58.27,58.27,58.27,560,0
NYF.US,5,20210922,213500,58.26,58.26,58.26,58.26,490,0
NYF.US,5,20210922,214000,58.2899,58.29,58.2899,58.29,1000,0
NYF.US,5,20210922,215000,58.29,58.292,58.29,58.292,7829,0
NYF.US,5,20210922,215500,58.2918,58.3,58.2918,58.3,2650,0
NYF.US,5,20210923,153000,58.23,58.23,58.23,58.23,126,0
NYF.US,5,20210923,160500,58.205,58.205,58.205,58.205,250,0
NYF.US,5,20210923,171000,58.195,58.195,58.195,58.195,600,0
NYF.US,5,20210923,175500,58.195,58.195,58.195,58.195,300,0
NYF.US,5,20210923,180500,58.1999,58.1999,58.1999,58.1999,200,0
NYF.US,5,20210923,182000,58.195,58.195,58.195,58.195,600,0
NYF.US,5,20210923,182500,58.195,58.195,58.195,58.195,300,0
NYF.US,5,20210923,194000,58.1997,58.1997,58.1997,58.1997,273,0
NYF.US,5,20210923,195500,58.195,58.195,58.195,58.195,100,0
NYF.US,5,20210923,200500,58.1999,58.1999,58.195,58.195,856,0
NYF.US,5,20210923,204500,58.19,58.19,58.19,58.19,775,0
NYF.US,5,20210923,212000,58.1999,58.1999,58.1999,58.1999,515,0
NYF.US,5,20210923,213000,58.195,58.195,58.195,58.195,500,0
NYF.US,5,20210923,213500,58.1999,58.1999,58.195,58.195,1130,0
NYF.US,5,20210923,214000,58.195,58.195,58.19,58.19,2000,0
NYF.US,5,20210923,215000,58.2,58.2,58.2,58.2,175,0
NYF.US,5,20210923,215500,58.19,58.19,58.19,58.19,100,0
NYF.US,5,20210924,153000,58.18,58.18,58.18,58.18,151,0
NYF.US,5,20210924,162500,58.169,58.169,58.169,58.169,601,0
NYF.US,5,20210924,164500,58.15,58.1503,58.14,58.1503,700,0
NYF.US,5,20210924,173500,58.1471,58.1471,58.1401,58.1401,2634,0
NYF.US,5,20210924,174000,58.155,58.155,58.155,58.155,190,0
NYF.US,5,20210924,180500,58.16,58.16,58.16,58.16,300,0
NYF.US,5,20210924,193000,58.16,58.16,58.16,58.16,100,0
NYF.US,5,20210924,194000,58.16,58.16,58.16,58.16,600,0
NYF.US,5,20210924,194500,58.155,58.155,58.155,58.155,216,0
NYF.US,5,20210924,195000,58.16,58.16,58.14,58.14,400,0
NYF.US,5,20210924,195500,58.16,58.16,58.16,58.16,100,0
NYF.US,5,20210924,200000,58.16,58.16,58.16,58.16,100,0
NYF.US,5,20210924,200500,58.16,58.16,58.15,58.15,200,0
NYF.US,5,20210924,201000,58.14,58.1427,58.14,58.1427,585,0
NYF.US,5,20210924,201500,58.15,58.15,58.15,58.15,100,0
NYF.US,5,20210924,213500,58.15,58.15,58.15,58.15,100,0
NYF.US,5,20210924,215000,58.145,58.15,58.145,58.15,765,0
NYF.US,5,20210924,215500,58.15,58.15,58.15,58.15,100,0
NYF.US,5,20210927,153000,58.03,58.03,58.03,58.03,150,0
NYF.US,5,20210927,161000,58.1,58.1,58.1,58.1,105,0
NYF.US,5,20210927,162500,58.051,58.051,58.05,58.05,900,0
NYF.US,5,20210927,170000,58.05,58.0594,58.05,58.0594,402,0
NYF.US,5,20210927,170500,58.07,58.07,58.07,58.07,534,0
NYF.US,5,20210927,173500,58.075,58.075,58.075,58.075,100,0
NYF.US,5,20210927,175000,58.085,58.085,58.085,58.085,220,0
NYF.US,5,20210927,190500,58.07,58.07,58.07,58.07,2838,0
NYF.US,5,20210927,191000,58.05,58.05,58.05,58.05,100,0
NYF.US,5,20210927,192500,58.0798,58.0798,58.0798,58.0798,390,0
NYF.US,5,20210927,194000,58.0799,58.08,58.0799,58.08,204,0
NYF.US,5,20210927,201000,58.0778,58.0778,58.0778,58.0778,134,0
NYF.US,5,20210927,202500,58.06,58.06,58.06,58.06,500,0
NYF.US,5,20210927,204500,58.0799,58.0799,58.0799,58.0799,700,0
NYF.US,5,20210927,211000,58.04,58.04,58.04,58.04,2600,0
NYF.US,5,20210927,213000,58.055,58.055,58.055,58.055,141,0
NYF.US,5,20210927,215000,58.05,58.05,58.05,58.05,1573,0
NYF.US,5,20210927,215500,58.0499,58.0499,58.0499,58.0499,275,0
NYF.US,5,20210928,153000,58.0005,58.0005,58.0005,58.0005,170,0
NYF.US,5,20210928,160000,58,58.01,58,58.01,842,0
NYF.US,5,20210928,160500,58.01,58.01,58.01,58.01,300,0
NYF.US,5,20210928,161500,57.99,57.99,57.99,57.99,100,0
NYF.US,5,20210928,164000,57.995,57.995,57.995,57.995,300,0
NYF.US,5,20210928,165000,58,58,57.9999,57.9999,2000,0
NYF.US,5,20210928,173000,58,58,58,58,354,0
NYF.US,5,20210928,175000,57.995,57.995,57.995,57.995,689,0
NYF.US,5,20210928,181000,57.99,57.99,57.99,57.99,463,0
NYF.US,5,20210928,182000,57.97,57.97,57.97,57.97,100,0
NYF.US,5,20210928,182500,57.97,57.97,57.97,57.97,100,0
NYF.US,5,20210928,191500,57.93,57.93,57.92,57.92,400,0
NYF.US,5,20210928,192500,57.92,57.92,57.9,57.9,404,0
NYF.US,5,20210928,193000,57.9003,57.915,57.9003,57.915,1561,0
NYF.US,5,20210928,193500,57.915,57.915,57.915,57.915,200,0
NYF.US,5,20210928,194000,57.93,57.93,57.93,57.93,566,0
NYF.US,5,20210928,194500,57.92,57.92,57.92,57.92,100,0
NYF.US,5,20210928,195000,57.92,57.93,57.92,57.93,700,0
NYF.US,5,20210928,200500,57.935,57.95,57.935,57.944,2100,0
NYF.US,5,20210928,203000,57.9456,57.9456,57.9456,57.9456,345,0
NYF.US,5,20210928,204500,57.95,57.95,57.95,57.95,500,0
NYF.US,5,20210928,205000,57.9599,57.9599,57.9599,57.9599,694,0
NYF.US,5,20210928,205500,57.935,57.9599,57.935,57.95,3556,0
NYF.US,5,20210928,212000,57.9101,57.9101,57.9101,57.9101,1163,0
NYF.US,5,20210928,214500,57.9101,57.9101,57.91,57.91,894,0
NYF.US,5,20210928,215500,57.945,57.945,57.945,57.945,100,0
NYF.US,5,20210929,155000,57.935,57.9599,57.935,57.9599,2000,0
NYF.US,5,20210929,164500,57.93,57.93,57.9001,57.9001,2091,0
NYF.US,5,20210929,165500,57.91,57.91,57.9,57.9,900,0
NYF.US,5,20210929,170000,57.9,57.9,57.9,57.9,500,0
NYF.US,5,20210929,171000,57.91,57.91,57.91,57.91,700,0
NYF.US,5,20210929,172000,57.9,57.9,57.86,57.86,1202,0
NYF.US,5,20210929,173000,57.885,57.885,57.885,57.885,215,0
NYF.US,5,20210929,174000,57.86,57.86,57.86,57.86,420,0
NYF.US,5,20210929,180500,57.88,57.88,57.88,57.88,191,0
NYF.US,5,20210929,185000,57.9099,57.9099,57.9099,57.9099,175,0
NYF.US,5,20210929,190000,57.91,57.91,57.91,57.91,200,0
NYF.US,5,20210929,191000,57.895,57.895,57.895,57.895,183,0
NYF.US,5,20210929,191500,57.895,57.895,57.895,57.895,240,0
NYF.US,5,20210929,192500,57.88,57.91,57.88,57.88,1215,0
NYF.US,5,20210929,195000,57.9099,57.91,57.9099,57.91,400,0
NYF.US,5,20210929,202000,57.91,57.91,57.91,57.91,692,0
NYF.US,5,20210929,203500,57.895,57.91,57.895,57.91,700,0
NYF.US,5,20210929,211500,57.91,57.91,57.91,57.91,191,0
NYF.US,5,20210929,214000,57.91,57.91,57.91,57.91,752,0
NYF.US,5,20210930,153000,57.95,57.95,57.905,57.905,530,0
NYF.US,5,20210930,154500,57.88,57.88,57.88,57.88,6000,0
NYF.US,5,20210930,162500,57.93,57.935,57.93,57.935,300,0
NYF.US,5,20210930,165000,57.8772,57.8772,57.8772,57.8772,1000,0
NYF.US,5,20210930,174000,57.9199,57.9199,57.9199,57.9199,120,0
NYF.US,5,20210930,180500,57.896,57.896,57.896,57.896,500,0
NYF.US,5,20210930,184500,57.88,57.88,57.88,57.88,169,0
NYF.US,5,20210930,185000,57.9,57.9,57.9,57.9,467,0
NYF.US,5,20210930,195000,57.89,57.89,57.89,57.89,486,0
NYF.US,5,20210930,201500,57.8984,57.8984,57.8984,57.8984,500,0
NYF.US,5,20210930,205000,57.89,57.89,57.89,57.89,12092,0
NYF.US,5,20210930,212000,57.8701,57.8701,57.8701,57.8701,6500,0
NYF.US,5,20210930,213000,57.87,57.87,57.87,57.87,100,0
NYF.US,5,20210930,214000,57.85,57.86,57.85,57.86,1500,0
NYF.US,5,20210930,214500,57.85,57.86,57.85,57.85,3500,0
NYF.US,5,20210930,215000,57.86,57.86,57.86,57.86,475,0
NYF.US,5,20210930,215500,57.86,57.86,57.86,57.86,345,0
NYF.US,5,20211001,160000,57.785,57.785,57.785,57.785,255,0
NYF.US,5,20211001,173000,57.77,57.77,57.77,57.77,1010,0
NYF.US,5,20211001,174500,57.77,57.79,57.77,57.79,875,0
NYF.US,5,20211001,175000,57.7899,57.79,57.77,57.77,1782,0
NYF.US,5,20211001,180500,57.79,57.79,57.77,57.77,490,0
NYF.US,5,20211001,193000,57.79,57.8,57.79,57.8,200,0
NYF.US,5,20211001,195000,57.7741,57.81,57.7741,57.79,6100,0
NYF.US,5,20211001,202500,57.795,57.795,57.795,57.795,203,0
NYF.US,5,20211001,204000,57.795,57.82,57.795,57.82,2074,0
NYF.US,5,20211001,205500,57.82,57.82,57.797,57.82,690,0
NYF.US,5,20211001,210500,57.82,57.82,57.82,57.82,1100,0
NYF.US,5,20211001,211500,57.82,57.82,57.771,57.771,400,0
NYF.US,5,20211001,215500,57.77,57.83,57.77,57.83,2583,0
NYF.US,5,20211004,153000,57.74,57.74,57.74,57.74,2049,0
NYF.US,5,20211004,153500,57.7652,57.7652,57.7652,57.7652,1138,0
NYF.US,5,20211004,154000,57.74,57.82,57.74,57.82,5725,0
NYF.US,5,20211004,161000,57.805,57.805,57.805,57.805,100,0
NYF.US,5,20211004,161500,57.805,57.805,57.805,57.805,400,0
NYF.US,5,20211004,163500,57.81,57.81,57.81,57.81,100,0
NYF.US,5,20211004,165000,57.81,57.81,57.81,57.81,100,0
NYF.US,5,20211004,165500,57.81,57.81,57.81,57.81,100,0
NYF.US,5,20211004,170000,57.82,57.82,57.82,57.82,1709,0
NYF.US,5,20211004,171500,57.805,57.805,57.805,57.805,103,0
NYF.US,5,20211004,184500,57.805,57.805,57.805,57.805,102,0
NYF.US,5,20211004,185500,57.7901,57.7901,57.7901,57.7901,315,0
NYF.US,5,20211004,191500,57.8198,57.8198,57.8198,57.8198,298,0
NYF.US,5,20211004,194500,57.8199,57.8199,57.8199,57.8199,750,0
NYF.US,5,20211004,200000,57.805,57.805,57.805,57.805,100,0
NYF.US,5,20211004,200500,57.79,57.79,57.79,57.79,200,0
NYF.US,5,20211004,202000,57.8,57.8,57.8,57.8,300,0
NYF.US,5,20211004,204500,57.7901,57.7901,57.7901,57.7901,737,0
NYF.US,5,20211004,210000,57.782,57.8,57.7796,57.7796,3415,0
NYF.US,5,20211004,211500,57.8,57.8,57.8,57.8,424,0
NYF.US,5,20211004,213000,57.775,57.83,57.775,57.83,3130,0
NYF.US,5,20211004,213500,57.79,57.79,57.79,57.79,248,0
NYF.US,5,20211004,214000,57.79,57.79,57.79,57.79,430,0
