<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PHDG.US,5,20210922,153000,35.65,35.74,35.65,35.69,8266,0
PHDG.US,5,20210922,153500,35.69,35.69,35.68,35.69,1260,0
PHDG.US,5,20210922,154500,35.64,35.64,35.6,35.6,11831,0
PHDG.US,5,20210922,155500,35.69,35.69,35.69,35.69,100,0
PHDG.US,5,20210922,162000,35.67,35.7199,35.6545,35.7199,2487,0
PHDG.US,5,20210922,164000,35.665,35.665,35.6291,35.6291,284,0
PHDG.US,5,20210922,170000,35.69,35.698,35.642,35.698,870,0
PHDG.US,5,20210922,171500,35.7,35.71,35.69,35.71,700,0
PHDG.US,5,20210922,172000,35.69,35.69,35.67,35.67,472,0
PHDG.US,5,20210922,172500,35.69,35.698,35.6772,35.698,2988,0
PHDG.US,5,20210922,174500,35.63,35.65,35.63,35.65,4400,0
PHDG.US,5,20210922,175500,35.6401,35.6401,35.6401,35.6401,512,0
PHDG.US,5,20210922,180000,35.68,35.68,35.68,35.68,129,0
PHDG.US,5,20210922,180500,35.68,35.685,35.68,35.685,900,0
PHDG.US,5,20210922,185000,35.68,35.68,35.68,35.68,315,0
PHDG.US,5,20210922,192000,35.68,35.68,35.68,35.68,128,0
PHDG.US,5,20210922,192500,35.6866,35.6866,35.6866,35.6866,663,0
PHDG.US,5,20210922,193500,35.68,35.698,35.68,35.698,1360,0
PHDG.US,5,20210922,194500,35.6601,35.6601,35.6601,35.6601,317,0
PHDG.US,5,20210922,195500,35.68,35.68,35.68,35.68,197,0
PHDG.US,5,20210922,201000,35.71,35.71,35.71,35.71,100,0
PHDG.US,5,20210922,201500,35.69,35.69,35.55,35.6698,184742,0
PHDG.US,5,20210922,202500,35.67,35.67,35.67,35.67,275,0
PHDG.US,5,20210922,203000,35.67,35.67,35.67,35.67,100,0
PHDG.US,5,20210922,203500,35.6,35.6,35.57,35.57,4681,0
PHDG.US,5,20210922,204500,35.65,35.65,35.65,35.65,100,0
PHDG.US,5,20210922,205500,35.5804,35.66,35.5804,35.6054,2395,0
PHDG.US,5,20210922,210500,35.66,35.66,35.66,35.66,200,0
PHDG.US,5,20210922,211500,35.62,35.67,35.62,35.67,246,0
PHDG.US,5,20210922,212000,35.62,35.62,35.6,35.6,250,0
PHDG.US,5,20210922,212500,35.62,35.62,35.62,35.62,220,0
PHDG.US,5,20210922,213000,35.67,35.69,35.67,35.68,922,0
PHDG.US,5,20210922,213500,35.68,35.68,35.68,35.68,280,0
PHDG.US,5,20210922,214500,35.635,35.6961,35.635,35.6961,580,0
PHDG.US,5,20210922,215000,35.6752,35.7,35.625,35.7,700,0
PHDG.US,5,20210922,215500,35.635,35.67,35.58,35.58,2095,0
PHDG.US,5,20210923,153000,35.75,35.75,35.75,35.75,1038,0
PHDG.US,5,20210923,155000,35.89,35.89,35.89,35.89,3000,0
PHDG.US,5,20210923,160500,36.02,36.02,36.02,36.02,400,0
PHDG.US,5,20210923,161000,35.975,35.975,35.975,35.975,100,0
PHDG.US,5,20210923,161500,36.02,36.02,36.02,36.02,437,0
PHDG.US,5,20210923,162000,36.025,36.025,36.025,36.025,280,0
PHDG.US,5,20210923,162500,35.978,36.02,35.978,36.02,200,0
PHDG.US,5,20210923,164000,36.0199,36.0199,36.0199,36.0199,111,0
PHDG.US,5,20210923,164500,36.02,36.02,36.02,36.02,100,0
PHDG.US,5,20210923,171500,36.0884,36.0884,36.0884,36.0884,2332,0
PHDG.US,5,20210923,172000,36.0799,36.0873,36.06,36.0873,1103,0
PHDG.US,5,20210923,173000,36.08,36.08,36.055,36.055,731,0
PHDG.US,5,20210923,173500,36.0267,36.0267,36.0267,36.0267,172,0
PHDG.US,5,20210923,174000,36.055,36.0892,36.055,36.07,2910,0
PHDG.US,5,20210923,174500,36.07,36.078,36.07,36.078,416,0
PHDG.US,5,20210923,175000,36.0558,36.0558,36.045,36.045,1350,0
