<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PPA.US,5,20210922,153000,70.42,70.68,70.42,70.68,1918,0
PPA.US,5,20210922,154500,71,71,71,71,200,0
PPA.US,5,20210922,155500,71.2112,71.2112,71.2112,71.2112,100,0
PPA.US,5,20210922,160000,71.16,71.2881,71.16,71.2881,1505,0
PPA.US,5,20210922,160500,71.263,71.2678,71.263,71.2678,350,0
PPA.US,5,20210922,161500,71.1383,71.1383,71.1383,71.1383,650,0
PPA.US,5,20210922,162000,71.15,71.15,71.15,71.15,200,0
PPA.US,5,20210922,165000,71.185,71.185,71.119,71.1198,1154,0
PPA.US,5,20210922,172000,71.3,71.3237,71.3,71.3237,760,0
PPA.US,5,20210922,172500,71.3576,71.3799,71.3576,71.3799,623,0
PPA.US,5,20210922,173000,71.3915,71.3915,71.3915,71.3915,714,0
PPA.US,5,20210922,173500,71.3937,71.4,71.3937,71.4,300,0
PPA.US,5,20210922,175000,71.39,71.4201,71.3319,71.3319,830,0
PPA.US,5,20210922,175500,71.33,71.37,71.33,71.37,200,0
PPA.US,5,20210922,180500,71.3465,71.3465,71.3465,71.3465,226,0
PPA.US,5,20210922,181500,71.3,71.3,71.288,71.288,501,0
PPA.US,5,20210922,183000,71.3983,71.3983,71.38,71.38,656,0
PPA.US,5,20210922,185000,71.44,71.44,71.44,71.44,200,0
PPA.US,5,20210922,185500,71.45,71.45,71.45,71.45,150,0
PPA.US,5,20210922,190500,71.38,71.38,71.38,71.38,100,0
PPA.US,5,20210922,191500,71.36,71.36,71.36,71.36,100,0
PPA.US,5,20210922,192000,71.3672,71.3672,71.3672,71.3672,123,0
PPA.US,5,20210922,193000,71.39,71.39,71.39,71.39,264,0
PPA.US,5,20210922,195000,71.4199,71.4199,71.4199,71.4199,200,0
PPA.US,5,20210922,200000,71.5,71.5,71.5,71.5,100,0
PPA.US,5,20210922,200500,71.6333,71.6333,71.5,71.5,202,0
PPA.US,5,20210922,202000,71.51,71.51,71.51,71.51,100,0
PPA.US,5,20210922,202500,71.551,71.551,71.551,71.551,600,0
PPA.US,5,20210922,203500,71.5437,71.5437,71.5437,71.5437,150,0
PPA.US,5,20210922,204000,71.5,71.5,71.5,71.5,188,0
PPA.US,5,20210922,204500,71.23,71.23,71.23,71.23,900,0
PPA.US,5,20210922,212500,71.5287,71.5287,71.5287,71.5287,341,0
PPA.US,5,20210922,213000,71.44,71.44,71.44,71.44,125,0
PPA.US,5,20210922,215000,71.25,71.33,71.25,71.32,887,0
PPA.US,5,20210922,215500,71.28,71.3,71.27,71.27,1100,0
PPA.US,5,20210923,153000,71.46,71.46,71.46,71.46,437,0
PPA.US,5,20210923,153500,71.7577,71.8,71.7577,71.8,2600,0
PPA.US,5,20210923,154000,71.89,71.89,71.86,71.86,700,0
PPA.US,5,20210923,154500,72,72,71.889,71.889,300,0
PPA.US,5,20210923,155000,71.93,71.93,71.93,71.93,100,0
