<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RFFC.US,5,20210922,155500,44.7407,44.75,44.7407,44.75,235,0
RFFC.US,5,20210922,175000,45.07,45.07,45.07,45.07,200,0
RFFC.US,5,20210922,175500,45.07,45.07,45.07,45.07,400,0
RFFC.US,5,20210922,200000,44.98,44.98,44.98,44.98,300,0
RFFC.US,5,20210922,202000,45.09,45.09,45.09,45.09,400,0
RFFC.US,5,20210922,202500,45.09,45.09,45.09,45.09,400,0
RFFC.US,5,20210923,215500,45.38,45.38,45.38,45.38,500,0
RFFC.US,5,20210924,173500,45.29,45.3066,45.29,45.3066,200,0
RFFC.US,5,20210924,194500,45.36,45.36,45.36,45.36,400,0
RFFC.US,5,20210924,212500,45.43,45.44,45.43,45.44,1204,0
RFFC.US,5,20210924,215500,45.396,45.396,45.396,45.396,477,0
RFFC.US,5,20210928,190500,44.5,44.5,44.5,44.5,100,0
RFFC.US,5,20210929,160000,44.81,44.81,44.81,44.81,300,0
RFFC.US,5,20210929,163500,44.74,44.74,44.74,44.74,300,0
RFFC.US,5,20210929,170500,44.77,44.77,44.77,44.77,300,0
RFFC.US,5,20210929,190000,44.64,44.64,44.64,44.64,200,0
RFFC.US,5,20210929,192500,44.69,44.69,44.69,44.69,100,0
RFFC.US,5,20210929,213000,44.81,44.81,44.81,44.81,600,0
RFFC.US,5,20210929,215500,44.62,44.62,44.6,44.6,400,0
RFFC.US,5,20210930,153500,44.81,44.81,44.78,44.78,400,0
RFFC.US,5,20210930,160000,44.86,44.86,44.84,44.84,600,0
RFFC.US,5,20210930,160500,44.78,44.78,44.78,44.78,300,0
RFFC.US,5,20210930,181500,44.31,44.31,44.26,44.26,1600,0
RFFC.US,5,20210930,182000,44.28,44.31,44.24,44.25,3400,0
RFFC.US,5,20210930,182500,44.3,44.3,44.27,44.27,1100,0
RFFC.US,5,20210930,183500,44.32,44.32,44.32,44.32,300,0
RFFC.US,5,20210930,190000,44.32,44.32,44.32,44.32,300,0
RFFC.US,5,20211004,161500,44.18,44.18,44.18,44.18,300,0
RFFC.US,5,20211004,162500,44.09,44.09,44.09,44.09,300,0
RFFC.US,5,20211004,164500,43.96,43.96,43.96,43.96,100,0
RFFC.US,5,20211004,165500,43.86,43.86,43.86,43.86,100,0
RFFC.US,5,20211004,171500,43.91,43.91,43.91,43.91,300,0
RFFC.US,5,20211004,182000,43.87,43.87,43.87,43.87,300,0
RFFC.US,5,20211004,183500,43.81,43.81,43.81,43.81,300,0
RFFC.US,5,20211004,185000,43.77,43.77,43.77,43.77,200,0
RFFC.US,5,20211004,211500,43.8799,43.8799,43.8799,43.8799,401,0
RFFC.US,5,20211006,161500,43.84,43.84,43.84,43.84,300,0
RFFC.US,5,20211006,162000,43.9,43.9,43.9,43.9,300,0
RFFC.US,5,20211006,184000,44,44,44,44,100,0
RFFC.US,5,20211006,190500,43.92,43.92,43.92,43.92,400,0
RFFC.US,5,20211006,191000,43.96,43.96,43.96,43.96,600,0
RFFC.US,5,20211006,191500,43.97,43.97,43.97,43.97,300,0
RFFC.US,5,20211006,200000,44.24,44.25,44.24,44.25,1000,0
RFFC.US,5,20211007,193500,45.1998,45.1998,45.1998,45.1998,112,0
RFFC.US,5,20211008,162500,44.96,44.96,44.92,44.92,3900,0
RFFC.US,5,20211008,175000,44.8499,44.8499,44.8499,44.8499,386,0
RFFC.US,5,20211008,213000,44.85,44.85,44.85,44.85,300,0
RFFC.US,5,20211008,215500,44.74,44.74,44.73,44.73,700,0
RFFC.US,5,20211011,180500,44.95,44.95,44.94,44.94,1800,0
RFFC.US,5,20211011,190500,44.78,44.78,44.77,44.77,600,0
RFFC.US,5,20211011,191000,44.77,44.78,44.77,44.78,500,0
RFFC.US,5,20211011,192000,44.77,44.77,44.77,44.77,100,0
RFFC.US,5,20211011,194500,44.72,44.72,44.72,44.72,100,0
RFFC.US,5,20211011,212000,44.73,44.73,44.73,44.73,400,0
RFFC.US,5,20211011,215500,44.57,44.57,44.52,44.52,1100,0
RFFC.US,5,20211012,190000,44.59,44.59,44.59,44.59,100,0
RFFC.US,5,20211012,214000,44.55,44.55,44.55,44.55,100,0
RFFC.US,5,20211013,161500,44.47,44.47,44.47,44.47,300,0
RFFC.US,5,20211013,162000,44.52,44.52,44.52,44.52,400,0
RFFC.US,5,20211013,163000,44.45,44.45,44.45,44.45,300,0
RFFC.US,5,20211013,200000,44.78,44.78,44.77,44.77,400,0
RFFC.US,5,20211013,200500,44.69,44.7,44.69,44.7,400,0
RFFC.US,5,20211014,155000,45.3,45.3,45.3,45.3,200,0
RFFC.US,5,20211014,174500,45.4,45.41,45.4,45.41,5739,0
RFFC.US,5,20211015,170500,45.81,45.81,45.81,45.81,100,0
RFFC.US,5,20211018,153500,45.45,45.45,45.45,45.45,100,0
RFFC.US,5,20211018,160000,45.69,45.69,45.68,45.68,600,0
RFFC.US,5,20211018,203500,45.87,45.87,45.87,45.87,100,0
RFFC.US,5,20211018,211500,45.9,45.9,45.9,45.9,100,0
RFFC.US,5,20211019,154500,46.07,46.07,46.07,46.07,100,0
RFFC.US,5,20211019,165500,46.15,46.15,46.15,46.15,2400,0
RFFC.US,5,20211019,193000,46.22,46.2207,46.22,46.2207,356,0
RFFC.US,5,20211020,161000,46.4285,46.4285,46.4285,46.4285,200,0
RFFC.US,5,20211020,191500,46.38,46.38,46.38,46.38,100,0
RFFC.US,5,20211020,195000,46.39,46.39,46.39,46.39,1300,0
RFFC.US,5,20211020,200500,46.41,46.41,46.41,46.41,300,0
RFFC.US,5,20211020,213000,46.44,46.44,46.44,46.44,100,0
RFFC.US,5,20211021,153000,46.07,46.07,46.07,46.07,182,0
RFFC.US,5,20211021,183000,46.45,46.45,46.45,46.45,26900,0
RFFC.US,5,20211022,153000,46.639,46.639,46.639,46.639,400,0
RFFC.US,5,20211022,165000,46.6628,46.6628,46.6628,46.6628,471,0
RFFC.US,5,20211022,185500,46.55,46.55,46.55,46.55,100,0
RFFC.US,5,20211022,194500,46.54,46.54,46.54,46.54,100,0
RFFC.US,5,20211026,201500,46.66,46.66,46.6,46.6,641,0
RFFC.US,5,20211027,153000,46.86,46.86,46.86,46.86,264,0
RFFC.US,5,20211027,164500,46.52,46.52,46.51,46.51,332,0
RFFC.US,5,20211027,165000,46.52,46.52,46.52,46.52,600,0
RFFC.US,5,20211027,182500,46.521,46.521,46.521,46.521,166,0
RFFC.US,5,20211027,215500,46.28,46.28,46.28,46.28,120,0
RFFC.US,5,20211028,174000,46.7121,46.7121,46.71,46.71,253,0
RFFC.US,5,20211028,181000,46.68,46.68,46.68,46.68,100,0
RFFC.US,5,20211101,200000,46.895,46.895,46.895,46.895,307,0
RFFC.US,5,20211101,201500,46.94,46.94,46.94,46.94,150,0
RFFC.US,5,20211104,145000,47.705,47.705,47.705,47.705,112,0
RFFC.US,5,20211104,172000,47.7029,47.7029,47.7029,47.7029,125,0
RFFC.US,5,20211105,151500,48.01,48.01,48.01,48.01,405,0
RFFC.US,5,20211105,152500,48.0099,48.0099,48.0099,48.0099,482,0
RFFC.US,5,20211105,182500,47.69,47.69,47.69,47.69,300,0
RFFC.US,5,20211105,192500,47.77,47.77,47.77,47.77,300,0
RFFC.US,5,20211109,161500,47.81,47.81,47.81,47.81,300,0
RFFC.US,5,20211110,190500,47.39,47.41,47.32,47.41,5221,0
RFFC.US,5,20211110,192500,47.4,47.4,47.395,47.395,200,0
RFFC.US,5,20211110,193000,47.4,47.4,47.4,47.4,200,0
RFFC.US,5,20211110,194000,47.38,47.38,47.38,47.38,200,0
RFFC.US,5,20211110,194500,47.34,47.34,47.34,47.34,300,0
RFFC.US,5,20211110,205500,47.18,47.18,47.18,47.18,742,0
RFFC.US,5,20211111,161000,47.41,47.41,47.36,47.36,1434,0
RFFC.US,5,20211111,161500,47.43,47.43,47.43,47.43,300,0
