<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCHG.US,5,20210922,153000,152.38,152.38,151.96,152,5178,0
SCHG.US,5,20210922,153500,151.86,151.985,151.86,151.985,1668,0
SCHG.US,5,20210922,154000,151.937,151.949,151.852,151.859,1764,0
SCHG.US,5,20210922,154500,151.959,151.994,151.93,151.994,3244,0
SCHG.US,5,20210922,155000,152.02,152.02,152.02,152.02,325,0
SCHG.US,5,20210922,155500,152.148,152.279,152.148,152.24,461,0
SCHG.US,5,20210922,160000,152.4,152.52,152.38,152.52,796,0
SCHG.US,5,20210922,160500,152.539,152.66,152.539,152.611,2513,0
SCHG.US,5,20210922,161000,152.668,152.669,152.485,152.485,1898,0
SCHG.US,5,20210922,161500,152.642,152.699,152.64,152.662,2073,0
SCHG.US,5,20210922,162000,152.674,152.789,152.674,152.745,1596,0
SCHG.US,5,20210922,162500,152.81,152.96,152.81,152.922,1623,0
SCHG.US,5,20210922,163000,152.898,153.029,152.898,153,4100,0
SCHG.US,5,20210922,163500,153.049,153.049,152.904,152.996,3723,0
SCHG.US,5,20210922,164000,152.97,152.97,152.945,152.949,1998,0
SCHG.US,5,20210922,164500,152.94,152.969,152.88,152.93,1780,0
SCHG.US,5,20210922,165000,152.97,152.97,152.831,152.841,1517,0
SCHG.US,5,20210922,165500,152.98,153.02,152.965,152.99,900,0
SCHG.US,5,20210922,170000,153.085,153.085,152.992,152.992,625,0
SCHG.US,5,20210922,170500,153.03,153.09,153.03,153.076,1067,0
SCHG.US,5,20210922,171000,153.01,153.05,153.01,153.013,1265,0
SCHG.US,5,20210922,171500,153.001,153.115,153.001,153.115,1327,0
SCHG.US,5,20210922,172000,153.1,153.15,153.044,153.044,1115,0
SCHG.US,5,20210922,172500,153.051,153.12,153.051,153.12,1927,0
SCHG.US,5,20210922,173000,153.192,153.297,153.192,153.266,1355,0
SCHG.US,5,20210922,173500,153.29,153.35,153.29,153.35,510,0
SCHG.US,5,20210922,174000,153.374,153.395,153.369,153.369,866,0
SCHG.US,5,20210922,174500,153.429,153.429,153.406,153.42,1040,0
SCHG.US,5,20210922,175000,153.5,153.64,153.3,153.419,2981,0
SCHG.US,5,20210922,175500,153.455,153.48,153.455,153.46,1438,0
SCHG.US,5,20210922,180000,153.45,153.45,153.389,153.389,1195,0
SCHG.US,5,20210922,180500,153.36,153.389,153.264,153.264,869,0
SCHG.US,5,20210922,181000,153.315,153.32,153.315,153.32,1258,0
SCHG.US,5,20210922,181500,153.34,153.34,153.34,153.34,169,0
SCHG.US,5,20210922,182000,153.27,153.344,153.27,153.344,702,0
SCHG.US,5,20210922,182500,153.35,153.35,153.35,153.35,147,0
SCHG.US,5,20210922,183000,153.37,153.39,153.37,153.39,2337,0
SCHG.US,5,20210922,183500,153.37,153.37,153.37,153.37,100,0
SCHG.US,5,20210922,184000,153.408,153.419,153.291,153.291,1264,0
SCHG.US,5,20210922,184500,153.3,153.3,153.3,153.3,206,0
SCHG.US,5,20210922,185000,153.15,153.15,153.15,153.15,100,0
SCHG.US,5,20210922,185500,153.2,153.2,153.166,153.176,1169,0
