<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SDD.US,5,20210922,161000,25.3,25.3,25.271,25.271,400,0
SDD.US,5,20210922,163000,25.341,25.341,25.341,25.341,192,0
SDD.US,5,20210922,164500,25.16,25.16,25.16,25.16,100,0
SDD.US,5,20210922,165500,25.16,25.16,25.16,25.16,300,0
SDD.US,5,20210922,170500,25.07,25.07,25.07,25.07,500,0
SDD.US,5,20210922,171500,24.97,24.97,24.97,24.97,1000,0
SDD.US,5,20210922,172500,24.98,24.98,24.98,24.98,810,0
SDD.US,5,20210922,175500,25.05,25.05,25.05,25.05,906,0
SDD.US,5,20210922,190000,25.05,25.05,25.05,25.05,225,0
SDD.US,5,20210922,200500,24.9,24.9,24.9,24.9,100,0
SDD.US,5,20210922,202000,24.7501,24.7501,24.7501,24.7501,100,0
SDD.US,5,20210922,203000,24.7439,24.7439,24.7439,24.7439,122,0
SDD.US,5,20210923,155500,24.45,24.45,24.45,24.45,500,0
SDD.US,5,20210923,174500,24.28,24.28,24.28,24.28,100,0
SDD.US,5,20210923,181000,24.2116,24.2116,24.2116,24.2116,767,0
SDD.US,5,20210923,181500,24.2,24.2255,24.2,24.2255,768,0
SDD.US,5,20210923,192000,24.05,24.09,24.05,24.09,818,0
SDD.US,5,20210923,194500,24.0132,24.0132,23.98,23.98,980,0
SDD.US,5,20210923,203000,23.95,23.95,23.95,23.95,100,0
SDD.US,5,20210923,211500,24.1845,24.1845,24.1845,24.1845,250,0
SDD.US,5,20210923,215500,24.23,24.23,24.23,24.23,1200,0
SDD.US,5,20210924,155000,24.545,24.5499,24.545,24.5499,812,0
SDD.US,5,20210924,161500,24.29,24.29,24.2451,24.2451,338,0
SDD.US,5,20210924,194500,24.1466,24.1466,24.1466,24.1466,430,0
SDD.US,5,20210924,195000,24.186,24.186,24.186,24.186,277,0
SDD.US,5,20210924,215500,24.22,24.22,24.22,24.22,100,0
SDD.US,5,20210927,153000,24.04,24.04,23.98,23.98,300,0
SDD.US,5,20210927,153500,23.825,23.825,23.825,23.825,200,0
