<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SDOG.US,5,20210922,153000,50.76,51.0762,50.76,51.0762,3688,0
SDOG.US,5,20210922,153500,51.0441,51.0441,51.0441,51.0441,100,0
SDOG.US,5,20210922,154500,51.0737,51.0737,51.0737,51.0737,129,0
SDOG.US,5,20210922,155000,51.0395,51.0395,51.0301,51.0301,1506,0
SDOG.US,5,20210922,155500,51.1,51.1697,51.1,51.16,2024,0
SDOG.US,5,20210922,160000,51.22,51.22,51.22,51.22,300,0
SDOG.US,5,20210922,161000,51.135,51.135,51.135,51.135,100,0
SDOG.US,5,20210922,163000,51.14,51.155,51.125,51.125,1627,0
SDOG.US,5,20210922,164000,51.194,51.194,51.194,51.194,250,0
SDOG.US,5,20210922,164500,51.121,51.121,51.121,51.121,250,0
SDOG.US,5,20210922,165000,51.18,51.2,51.18,51.2,300,0
SDOG.US,5,20210922,165500,51.2,51.25,51.2,51.24,1400,0
SDOG.US,5,20210922,170500,51.301,51.301,51.301,51.301,1500,0
SDOG.US,5,20210922,171500,51.34,51.34,51.34,51.34,400,0
SDOG.US,5,20210922,173000,51.34,51.34,51.34,51.34,100,0
SDOG.US,5,20210922,173500,51.37,51.37,51.37,51.37,100,0
SDOG.US,5,20210922,174000,51.34,51.34,51.34,51.34,200,0
SDOG.US,5,20210922,174500,51.4,51.4,51.4,51.4,300,0
SDOG.US,5,20210922,175000,51.38,51.44,51.34,51.34,3519,0
SDOG.US,5,20210922,180000,51.385,51.385,51.385,51.385,382,0
SDOG.US,5,20210922,183000,51.4152,51.4152,51.4152,51.4152,194,0
SDOG.US,5,20210922,183500,51.41,51.41,51.41,51.41,100,0
SDOG.US,5,20210922,184000,51.4084,51.4084,51.4084,51.4084,192,0
SDOG.US,5,20210922,184500,51.42,51.42,51.4006,51.4006,525,0
SDOG.US,5,20210922,185000,51.3702,51.3702,51.3702,51.3702,190,0
SDOG.US,5,20210922,185500,51.39,51.39,51.39,51.39,100,0
SDOG.US,5,20210922,190000,51.36,51.36,51.36,51.36,600,0
SDOG.US,5,20210922,190500,51.3425,51.3425,51.3425,51.3425,100,0
SDOG.US,5,20210922,192000,51.3294,51.3294,51.3294,51.3294,235,0
