<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SGOL.US,5,20210922,153000,17.03,17.045,17.029,17.039,44558,0
SGOL.US,5,20210922,153500,17.039,17.059,17.039,17.05,9401,0
SGOL.US,5,20210922,154000,17.055,17.07,17.05,17.065,7315,0
SGOL.US,5,20210922,154500,17.065,17.065,17.04,17.045,15102,0
SGOL.US,5,20210922,155000,17.04,17.045,17.0328,17.04,5018,0
SGOL.US,5,20210922,155500,17.039,17.039,17.03,17.03,6081,0
SGOL.US,5,20210922,160000,17.035,17.035,17.02,17.025,6678,0
SGOL.US,5,20210922,160500,17.02,17.03,17.02,17.029,4481,0
SGOL.US,5,20210922,161000,17.029,17.0456,17.029,17.035,8384,0
SGOL.US,5,20210922,161500,17.03,17.045,17.025,17.04,8917,0
SGOL.US,5,20210922,162000,17.055,17.055,17.033,17.033,5973,0
SGOL.US,5,20210922,162500,17.04,17.0499,17.04,17.045,3947,0
SGOL.US,5,20210922,163000,17.0478,17.055,17.0478,17.05,5968,0
SGOL.US,5,20210922,163500,17.05,17.069,17.05,17.065,2203,0
SGOL.US,5,20210922,164000,17.069,17.069,17.06,17.06,5578,0
SGOL.US,5,20210922,164500,17.06,17.06,17.05,17.05,10706,0
SGOL.US,5,20210922,165000,17.05,17.05,17.04,17.05,4300,0
SGOL.US,5,20210922,165500,17.045,17.045,17.035,17.039,3600,0
SGOL.US,5,20210922,170000,17.039,17.049,17.039,17.0441,5358,0
SGOL.US,5,20210922,170500,17.055,17.06,17.055,17.06,3465,0
SGOL.US,5,20210922,171000,17.06,17.06,17.055,17.059,5907,0
SGOL.US,5,20210922,171500,17.059,17.069,17.055,17.065,9179,0
SGOL.US,5,20210922,172000,17.07,17.075,17.07,17.075,1700,0
SGOL.US,5,20210922,172500,17.08,17.08,17.07,17.075,9995,0
SGOL.US,5,20210922,173000,17.07,17.07,17.065,17.07,1942,0
SGOL.US,5,20210922,173500,17.07,17.07,17.0612,17.0612,1200,0
SGOL.US,5,20210922,174000,17.0675,17.069,17.06,17.065,8100,0
SGOL.US,5,20210922,174500,17.065,17.065,17.06,17.06,2700,0
SGOL.US,5,20210922,175000,17.069,17.079,17.069,17.075,2100,0
SGOL.US,5,20210922,175500,17.075,17.075,17.07,17.07,1400,0
SGOL.US,5,20210922,180000,17.0761,17.0761,17.065,17.0699,4019,0
SGOL.US,5,20210922,180500,17.069,17.08,17.069,17.08,1799,0
SGOL.US,5,20210922,181000,17.079,17.079,17.075,17.075,800,0
SGOL.US,5,20210922,181500,17.075,17.0799,17.07,17.075,2343,0
SGOL.US,5,20210922,182000,17.07,17.07,17.0634,17.0634,1195,0
SGOL.US,5,20210922,182500,17.06,17.07,17.06,17.069,2900,0
SGOL.US,5,20210922,183000,17.0699,17.07,17.065,17.065,6788,0
SGOL.US,5,20210922,183500,17.069,17.0799,17.069,17.0762,21054,0
SGOL.US,5,20210922,184000,17.075,17.075,17.075,17.075,400,0
SGOL.US,5,20210922,184500,17.075,17.075,17.07,17.07,3760,0
SGOL.US,5,20210922,185000,17.07,17.07,17.0601,17.0683,7596,0
SGOL.US,5,20210922,185500,17.0634,17.0681,17.0634,17.0681,2497,0
SGOL.US,5,20210922,190000,17.069,17.08,17.06,17.076,5477,0
SGOL.US,5,20210922,190500,17.0789,17.08,17.075,17.075,4185,0
SGOL.US,5,20210922,191000,17.075,17.075,17.07,17.075,1900,0
SGOL.US,5,20210922,191500,17.0795,17.0795,17.0643,17.0643,6654,0
SGOL.US,5,20210922,192000,17.065,17.0659,17.06,17.0659,3125,0
SGOL.US,5,20210922,192500,17.061,17.07,17.061,17.07,2391,0
SGOL.US,5,20210922,193500,17.0676,17.0676,17.055,17.055,5403,0
SGOL.US,5,20210922,194000,17.05,17.055,17.05,17.055,2450,0
SGOL.US,5,20210922,194500,17.0501,17.055,17.05,17.05,8982,0
SGOL.US,5,20210922,195000,17.055,17.055,17.045,17.05,6629,0
SGOL.US,5,20210922,195500,17.05,17.05,17.05,17.05,1600,0
SGOL.US,5,20210922,200000,17.05,17.12,16.99,17.11,53477,0
SGOL.US,5,20210922,200500,17.12,17.15,17.11,17.13,59184,0
SGOL.US,5,20210922,201000,17.13,17.15,17.12,17.14,9500,0
SGOL.US,5,20210922,201500,17.15,17.15,17.13,17.13,12150,0
SGOL.US,5,20210922,202000,17.12,17.135,17.11,17.12,24355,0
SGOL.US,5,20210922,202500,17.1283,17.135,17.12,17.13,23315,0
SGOL.US,5,20210922,203000,17.13,17.1559,17.13,17.1482,19332,0
SGOL.US,5,20210922,203500,17.1482,17.15,17.04,17.06,154470,0
SGOL.US,5,20210922,204000,17.05,17.055,16.985,16.99,119724,0
SGOL.US,5,20210922,204500,16.985,17.01,16.97,16.98,101329,0
SGOL.US,5,20210922,205000,16.97,17.0071,16.97,16.99,41877,0
SGOL.US,5,20210922,205500,16.99,16.99,16.95,16.96,56289,0
SGOL.US,5,20210922,210000,16.96,16.9707,16.945,16.95,22796,0
SGOL.US,5,20210922,210500,16.945,17.01,16.94,16.9898,57516,0
SGOL.US,5,20210922,211000,16.98,16.99,16.98,16.985,8734,0
SGOL.US,5,20210922,211500,16.985,17.03,16.985,17.03,36078,0
SGOL.US,5,20210922,212000,17.03,17.03,17.01,17.01,36121,0
SGOL.US,5,20210922,212500,17,17.005,17,17,5539,0
SGOL.US,5,20210922,213000,17,17,16.97,16.97,37498,0
SGOL.US,5,20210922,213500,16.97,16.98,16.9682,16.979,11248,0
SGOL.US,5,20210922,214000,16.979,16.98,16.97,16.97,19260,0
SGOL.US,5,20210922,214500,16.965,16.97,16.96,16.97,11821,0
SGOL.US,5,20210922,215000,16.965,16.98,16.96,16.98,10176,0
SGOL.US,5,20210922,215500,16.98,16.99,16.97,16.97,56725,0
SGOL.US,5,20210923,153000,16.85,16.855,16.83,16.84,48945,0
