<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPFF.US,5,20210922,153000,12.02,12.02,12.0199,12.0199,2011,0
SPFF.US,5,20210922,154000,11.99,12.0091,11.99,12.005,2212,0
SPFF.US,5,20210922,154500,12.0099,12.0099,12,12,1672,0
SPFF.US,5,20210922,155000,12.01,12.015,12,12.003,5638,0
SPFF.US,5,20210922,155500,12.01,12.01,12.01,12.01,1000,0
SPFF.US,5,20210922,160000,12.01,12.02,12.01,12.01,3096,0
SPFF.US,5,20210922,160500,12.02,12.02,12.02,12.02,100,0
SPFF.US,5,20210922,162000,12.02,12.0238,12.02,12.0238,3269,0
SPFF.US,5,20210922,163000,12.03,12.03,12.03,12.03,1168,0
SPFF.US,5,20210922,163500,12.03,12.0398,12.03,12.0398,1587,0
SPFF.US,5,20210922,164000,12.03,12.03,12.03,12.03,823,0
SPFF.US,5,20210922,164500,12.025,12.025,12.025,12.025,1000,0
SPFF.US,5,20210922,165000,12.03,12.03,12.03,12.03,522,0
SPFF.US,5,20210922,165500,12.0274,12.03,12.02,12.03,2082,0
SPFF.US,5,20210922,170000,12.03,12.03,12.03,12.03,100,0
SPFF.US,5,20210922,171000,12.03,12.03,12.03,12.03,1452,0
SPFF.US,5,20210922,171500,12.03,12.03,12.03,12.03,181,0
SPFF.US,5,20210922,172000,12.03,12.03,12.03,12.03,990,0
SPFF.US,5,20210922,172500,12.03,12.03,12.03,12.03,187,0
SPFF.US,5,20210922,173000,12.03,12.0361,12.025,12.025,2434,0
SPFF.US,5,20210922,174500,12.0299,12.03,12.0299,12.03,1630,0
SPFF.US,5,20210922,175000,12.04,12.04,12.04,12.04,249,0
SPFF.US,5,20210922,175500,12.0301,12.04,12.0301,12.04,1314,0
SPFF.US,5,20210922,181000,12.04,12.04,12.035,12.035,5850,0
SPFF.US,5,20210922,181500,12.04,12.04,12.04,12.04,2413,0
SPFF.US,5,20210922,182500,12.04,12.04,12.04,12.04,147,0
SPFF.US,5,20210922,183000,12.04,12.04,12.04,12.04,1474,0
SPFF.US,5,20210922,184000,12.04,12.04,12.04,12.04,166,0
SPFF.US,5,20210922,184500,12.04,12.04,12.04,12.04,664,0
SPFF.US,5,20210922,185500,12.035,12.035,12.035,12.035,180,0
SPFF.US,5,20210922,190000,12.035,12.035,12.035,12.035,500,0
SPFF.US,5,20210922,190500,12.035,12.035,12.035,12.035,3925,0
SPFF.US,5,20210922,191000,12.035,12.035,12.035,12.035,735,0
SPFF.US,5,20210922,191500,12.03,12.03,12.0207,12.0207,803,0
SPFF.US,5,20210922,193500,12.03,12.0376,12.03,12.03,1383,0
SPFF.US,5,20210922,194500,12.03,12.03,12.03,12.03,2551,0
SPFF.US,5,20210922,200500,12.03,12.03,12.03,12.03,366,0
SPFF.US,5,20210922,201000,12.0384,12.04,12.0384,12.04,1122,0
SPFF.US,5,20210922,201500,12.045,12.045,12.045,12.045,250,0
SPFF.US,5,20210922,202000,12.04,12.04,12.04,12.04,806,0
SPFF.US,5,20210922,202500,12.04,12.04,12.04,12.04,10200,0
SPFF.US,5,20210922,203000,12.04,12.04,12.04,12.04,507,0
SPFF.US,5,20210922,203500,12.0398,12.0398,12.035,12.035,7017,0
SPFF.US,5,20210922,204000,12.04,12.04,12.04,12.04,2182,0
SPFF.US,5,20210922,204500,12.04,12.04,12.04,12.04,830,0
SPFF.US,5,20210922,205000,12.03,12.03,12.03,12.03,809,0
SPFF.US,5,20210922,205500,12.04,12.04,12.04,12.04,200,0
SPFF.US,5,20210922,211000,12.0399,12.04,12.0399,12.04,3171,0
SPFF.US,5,20210922,211500,12.04,12.04,12.035,12.04,1576,0
SPFF.US,5,20210922,212000,12.04,12.04,12.04,12.04,300,0
SPFF.US,5,20210922,213000,12.04,12.04,12.04,12.04,482,0
SPFF.US,5,20210922,213500,12.04,12.05,12.04,12.05,308,0
SPFF.US,5,20210922,214000,12.04,12.04,12.04,12.04,383,0
SPFF.US,5,20210922,214500,12.04,12.0491,12.04,12.0491,2449,0
SPFF.US,5,20210922,215000,12.0481,12.0481,12.035,12.04,750,0
SPFF.US,5,20210922,215500,12.035,12.048,12.035,12.04,2335,0
SPFF.US,5,20210923,153000,12.06,12.06,12.06,12.06,3695,0
SPFF.US,5,20210923,153500,12.0489,12.0489,12.0489,12.0489,200,0
SPFF.US,5,20210923,154000,12.045,12.045,12.045,12.045,100,0
SPFF.US,5,20210923,154500,12.045,12.045,12.045,12.045,269,0
SPFF.US,5,20210923,155000,12.045,12.06,12.045,12.06,3612,0
SPFF.US,5,20210923,155500,12.055,12.06,12.055,12.06,436,0
SPFF.US,5,20210923,160000,12.06,12.08,12.0566,12.07,8877,0
SPFF.US,5,20210923,160500,12.07,12.07,12.07,12.07,958,0
SPFF.US,5,20210923,161000,12.0712,12.0712,12.06,12.06,716,0
SPFF.US,5,20210923,162000,12.07,12.07,12.07,12.07,100,0
SPFF.US,5,20210923,162500,12.07,12.07,12.06,12.06,1474,0
SPFF.US,5,20210923,163500,12.065,12.065,12.065,12.065,252,0
SPFF.US,5,20210923,164500,12.065,12.065,12.065,12.065,386,0
SPFF.US,5,20210923,165000,12.06,12.06,12.0573,12.0573,832,0
SPFF.US,5,20210923,170000,12.05,12.05,12.05,12.05,147,0
SPFF.US,5,20210923,171000,12.0453,12.0453,12.045,12.045,702,0
SPFF.US,5,20210923,171500,12.04,12.04,12.04,12.04,458,0
SPFF.US,5,20210923,172000,12.02,12.02,12.0014,12.0014,1053,0
SPFF.US,5,20210923,172500,12,12,11.98,11.98,3932,0
SPFF.US,5,20210923,173000,11.996,12.009,11.9919,12,874,0
SPFF.US,5,20210923,173500,12,12,12,12,100,0
SPFF.US,5,20210923,174500,12.0185,12.02,12,12.0148,26806,0
SPFF.US,5,20210923,175000,12.019,12.02,12.019,12.02,4750,0
SPFF.US,5,20210923,175500,12.0201,12.025,12.02,12.025,799,0
SPFF.US,5,20210923,180000,12.029,12.029,12.02,12.02,300,0
SPFF.US,5,20210923,181000,12.01,12.01,12.01,12.01,549,0
SPFF.US,5,20210923,181500,12.01,12.01,12,12,14180,0
SPFF.US,5,20210923,182000,11.9902,12.0035,11.9902,12.0035,1300,0
SPFF.US,5,20210923,182500,12.01,12.01,12.01,12.01,192,0
SPFF.US,5,20210923,183500,12.01,12.01,12.01,12.01,500,0
SPFF.US,5,20210923,184000,12.01,12.01,12.01,12.01,282,0
SPFF.US,5,20210923,184500,12.01,12.01,12.01,12.01,494,0
SPFF.US,5,20210923,185500,12.01,12.01,12.01,12.01,124,0
SPFF.US,5,20210923,190000,12.012,12.012,12.01,12.01,720,0
SPFF.US,5,20210923,190500,12.01,12.02,12.01,12.0199,5730,0
SPFF.US,5,20210923,191000,12.01,12.0199,12.01,12.0199,2396,0
SPFF.US,5,20210923,191500,12.01,12.01,12.01,12.01,832,0
SPFF.US,5,20210923,192000,12.01,12.02,12.01,12.02,3204,0
SPFF.US,5,20210923,193500,12,12,12,12,500,0
SPFF.US,5,20210923,194000,12,12.02,12,12.02,250,0
SPFF.US,5,20210923,200000,12.0182,12.0182,12.0182,12.0182,5000,0
SPFF.US,5,20210923,200500,12.015,12.015,12.015,12.015,1500,0
