<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPLG.US,5,20210922,153000,51.3,51.3,51.2233,51.2233,35665,0
SPLG.US,5,20210922,153500,51.23,51.25,51.2,51.21,9974,0
SPLG.US,5,20210922,154000,51.2,51.2154,51.17,51.2,18248,0
SPLG.US,5,20210922,154500,51.2,51.245,51.2,51.225,24332,0
SPLG.US,5,20210922,155000,51.21,51.27,51.21,51.26,14817,0
SPLG.US,5,20210922,155500,51.275,51.36,51.275,51.36,20757,0
SPLG.US,5,20210922,160000,51.37,51.44,51.36,51.41,21262,0
SPLG.US,5,20210922,160500,51.425,51.4531,51.4176,51.4211,32285,0
SPLG.US,5,20210922,161000,51.43,51.43,51.35,51.4,8081,0
SPLG.US,5,20210922,161500,51.42,51.4386,51.42,51.43,6071,0
SPLG.US,5,20210922,162000,51.435,51.439,51.42,51.4321,10837,0
SPLG.US,5,20210922,162500,51.4224,51.475,51.4224,51.4508,20347,0
SPLG.US,5,20210922,163000,51.455,51.485,51.455,51.46,5675,0
SPLG.US,5,20210922,163500,51.47,51.485,51.455,51.4721,3725,0
SPLG.US,5,20210922,164000,51.4796,51.4888,51.46,51.4699,3489,0
SPLG.US,5,20210922,164500,51.475,51.475,51.43,51.465,2815,0
SPLG.US,5,20210922,165000,51.475,51.48,51.43,51.445,23174,0
SPLG.US,5,20210922,165500,51.469,51.51,51.465,51.5099,5217,0
SPLG.US,5,20210922,170000,51.52,51.54,51.52,51.5218,9291,0
SPLG.US,5,20210922,170500,51.5159,51.5354,51.515,51.52,6458,0
SPLG.US,5,20210922,171000,51.5154,51.53,51.5052,51.5264,21411,0
SPLG.US,5,20210922,171500,51.53,51.54,51.515,51.54,1059,0
SPLG.US,5,20210922,172000,51.54,51.545,51.52,51.5213,18040,0
SPLG.US,5,20210922,172500,51.5216,51.5301,51.52,51.53,19850,0
SPLG.US,5,20210922,173000,51.53,51.58,51.53,51.5767,8923,0
SPLG.US,5,20210922,173500,51.58,51.59,51.5772,51.59,2880,0
SPLG.US,5,20210922,174000,51.585,51.605,51.58,51.6046,4875,0
SPLG.US,5,20210922,174500,51.625,51.635,51.61,51.61,17183,0
SPLG.US,5,20210922,175000,51.63,51.68,51.56,51.59,136183,0
SPLG.US,5,20210922,175500,51.63,51.63,51.615,51.63,1408,0
SPLG.US,5,20210922,180000,51.61,51.6178,51.6,51.6053,16331,0
SPLG.US,5,20210922,180500,51.6071,51.6187,51.575,51.5818,6268,0
SPLG.US,5,20210922,181000,51.585,51.6,51.579,51.579,11283,0
SPLG.US,5,20210922,181500,51.5847,51.595,51.57,51.57,2904,0
SPLG.US,5,20210922,182000,51.58,51.6,51.58,51.5901,3910,0
SPLG.US,5,20210922,182500,51.59,51.61,51.59,51.6,5671,0
SPLG.US,5,20210922,183000,51.61,51.6276,51.61,51.6125,12734,0
SPLG.US,5,20210922,183500,51.6174,51.63,51.615,51.6168,3252,0
SPLG.US,5,20210922,184000,51.615,51.625,51.59,51.595,9669,0
SPLG.US,5,20210922,184500,51.59,51.61,51.585,51.585,5827,0
SPLG.US,5,20210922,185000,51.59,51.605,51.55,51.55,7414,0
SPLG.US,5,20210922,185500,51.55,51.57,51.55,51.565,9332,0
SPLG.US,5,20210922,190000,51.56,51.5699,51.53,51.53,4101,0
SPLG.US,5,20210922,190500,51.52,51.545,51.52,51.523,2235,0
SPLG.US,5,20210922,191000,51.51,51.5185,51.5001,51.5067,15115,0
SPLG.US,5,20210922,191500,51.5,51.515,51.49,51.51,6999,0
SPLG.US,5,20210922,192000,51.5059,51.52,51.5059,51.5185,3346,0
SPLG.US,5,20210922,192500,51.54,51.55,51.54,51.54,10591,0
SPLG.US,5,20210922,193000,51.535,51.5665,51.535,51.56,2621,0
SPLG.US,5,20210922,193500,51.545,51.547,51.515,51.53,20366,0
SPLG.US,5,20210922,194000,51.5185,51.5314,51.515,51.521,23531,0
SPLG.US,5,20210922,194500,51.535,51.535,51.5,51.505,10477,0
SPLG.US,5,20210922,195000,51.5,51.5,51.47,51.4874,8915,0
