<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPXS.US,5,20210922,153000,22.2,22.29,22.2,22.29,307651,0
SPXS.US,5,20210922,153500,22.3,22.335,22.27,22.3,92641,0
SPXS.US,5,20210922,154000,22.33,22.3699,22.3,22.32,109285,0
SPXS.US,5,20210922,154500,22.33,22.34,22.26,22.3,101210,0
SPXS.US,5,20210922,155000,22.31,22.32,22.23,22.2584,178379,0
SPXS.US,5,20210922,155500,22.238,22.238,22.103,22.103,217713,0
SPXS.US,5,20210922,160000,22.1,22.1188,22,22.04,221639,0
SPXS.US,5,20210922,160500,22.03,22.045,21.98,22.025,200897,0
SPXS.US,5,20210922,161000,22.02,22.139,22.015,22.0683,130091,0
SPXS.US,5,20210922,161500,22.07,22.07,22.0108,22.0224,198087,0
SPXS.US,5,20210922,162000,22.011,22.041,22.01,22.015,85649,0
SPXS.US,5,20210922,162500,22.0129,22.0386,21.96,22.01,102829,0
SPXS.US,5,20210922,163000,22,22.015,21.94,21.9699,93152,0
SPXS.US,5,20210922,163500,21.98,21.995,21.9503,21.96,72994,0
SPXS.US,5,20210922,164000,21.96,22,21.94,21.985,43814,0
SPXS.US,5,20210922,164500,21.98,22.03,21.97,21.9799,77647,0
SPXS.US,5,20210922,165000,21.961,22.03,21.9514,21.995,68714,0
SPXS.US,5,20210922,165500,21.99,21.99,21.91,21.9288,105138,0
SPXS.US,5,20210922,170000,21.92,21.92,21.87,21.9011,150133,0
SPXS.US,5,20210922,170500,21.91,21.91,21.88,21.9098,74594,0
SPXS.US,5,20210922,171000,21.91,21.925,21.89,21.905,71565,0
SPXS.US,5,20210922,171500,21.9,21.91,21.86,21.87,80884,0
SPXS.US,5,20210922,172000,21.88,21.9099,21.8671,21.9,71967,0
SPXS.US,5,20210922,172500,21.895,21.9199,21.88,21.89,70529,0
SPXS.US,5,20210922,173000,21.89,21.89,21.82,21.83,134944,0
SPXS.US,5,20210922,173500,21.838,21.838,21.8,21.81,50467,0
SPXS.US,5,20210922,174000,21.82,21.8275,21.78,21.7815,47029,0
SPXS.US,5,20210922,174500,21.78,21.8,21.75,21.78,128240,0
SPXS.US,5,20210922,175000,21.78,21.86,21.68,21.8,379784,0
SPXS.US,5,20210922,175500,21.8,21.81,21.7401,21.76,43077,0
SPXS.US,5,20210922,180000,21.76,21.81,21.76,21.799,251615,0
SPXS.US,5,20210922,180500,21.79,21.839,21.7716,21.8386,79309,0
SPXS.US,5,20210922,181000,21.83,21.835,21.7922,21.825,61520,0
SPXS.US,5,20210922,181500,21.82,21.84,21.8001,21.8394,18703,0
SPXS.US,5,20210922,182000,21.8387,21.8387,21.79,21.8,41987,0
SPXS.US,5,20210922,182500,21.7913,21.8083,21.785,21.79,38500,0
SPXS.US,5,20210922,183000,21.79,21.79,21.76,21.7799,52964,0
SPXS.US,5,20210922,183500,21.7768,21.789,21.76,21.785,30600,0
SPXS.US,5,20210922,184000,21.7799,21.82,21.77,21.8102,42441,0
SPXS.US,5,20210922,184500,21.81,21.815,21.785,21.815,57032,0
SPXS.US,5,20210922,185000,21.82,21.87,21.795,21.865,21552,0
SPXS.US,5,20210922,185500,21.865,21.8739,21.84,21.8401,40873,0
SPXS.US,5,20210922,190000,21.85,21.9,21.8425,21.895,28860,0
SPXS.US,5,20210922,190500,21.895,21.9189,21.8701,21.9189,24270,0
SPXS.US,5,20210922,191000,21.9153,21.93,21.9001,21.92,56813,0
SPXS.US,5,20210922,191500,21.93,21.95,21.9,21.9285,68414,0
SPXS.US,5,20210922,192000,21.93,21.93,21.89,21.902,33151,0
SPXS.US,5,20210922,192500,21.9083,21.9083,21.86,21.87,53960,0
SPXS.US,5,20210922,193000,21.8784,21.885,21.85,21.86,53406,0
SPXS.US,5,20210922,193500,21.855,21.921,21.855,21.89,30755,0
SPXS.US,5,20210922,194000,21.9,21.9178,21.8816,21.9083,17607,0
SPXS.US,5,20210922,194500,21.9,21.9299,21.89,21.9299,25258,0
SPXS.US,5,20210922,195000,21.93,21.9899,21.9285,21.96,88403,0
SPXS.US,5,20210922,195500,21.97,21.9799,21.91,21.91,218111,0
SPXS.US,5,20210922,200000,21.96,22.07,21.694,21.7106,634768,0
SPXS.US,5,20210922,200500,21.72,21.855,21.68,21.785,220440,0
SPXS.US,5,20210922,201000,21.78,21.78,21.65,21.66,107364,0
SPXS.US,5,20210922,201500,21.66,21.71,21.55,21.7,1096256,0
SPXS.US,5,20210922,202000,21.69,21.805,21.66,21.768,264504,0
SPXS.US,5,20210922,202500,21.76,21.79,21.679,21.6815,171391,0
SPXS.US,5,20210922,203000,21.6901,21.77,21.6599,21.71,149784,0
SPXS.US,5,20210922,203500,21.72,21.84,21.6798,21.8,188519,0
SPXS.US,5,20210922,204000,21.81,21.94,21.81,21.87,301029,0
SPXS.US,5,20210922,204500,21.88,22.03,21.86,22.01,462538,0
SPXS.US,5,20210922,205000,22.03,22.13,21.91,21.9475,449327,0
SPXS.US,5,20210922,205500,21.95,22.0469,21.9217,21.9857,238351,0
SPXS.US,5,20210922,210000,21.98,22.06,21.95,21.99,199983,0
SPXS.US,5,20210922,210500,21.99,22.0513,21.935,21.94,178989,0
SPXS.US,5,20210922,211000,21.93,21.97,21.78,21.79,192992,0
SPXS.US,5,20210922,211500,21.79,21.805,21.695,21.7,137540,0
SPXS.US,5,20210922,212000,21.705,21.74,21.645,21.72,206325,0
SPXS.US,5,20210922,212500,21.71,21.79,21.71,21.7513,97891,0
SPXS.US,5,20210922,213000,21.76,21.89,21.7598,21.84,156089,0
SPXS.US,5,20210922,213500,21.85,21.86,21.73,21.74,188814,0
SPXS.US,5,20210922,214000,21.7201,21.87,21.7201,21.86,172559,0
SPXS.US,5,20210922,214500,21.86,21.9099,21.82,21.9099,179040,0
SPXS.US,5,20210922,215000,21.9,21.9601,21.85,21.885,216373,0
SPXS.US,5,20210922,215500,21.89,21.9817,21.88,21.94,482888,0
SPXS.US,5,20210923,153000,21.63,21.67,21.54,21.595,397406,0
SPXS.US,5,20210923,153500,21.59,21.6099,21.375,21.375,332036,0
SPXS.US,5,20210923,154000,21.3799,21.421,21.3,21.34,316925,0
