<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
THY.US,5,20210922,183500,25.01,25.02,25.01,25.02,1593,0
THY.US,5,20210922,192000,25.06,25.06,25.02,25.06,3120,0
THY.US,5,20210922,193000,25.02,25.02,25.01,25.02,4100,0
THY.US,5,20210922,193500,25.06,25.06,25.06,25.06,1076,0
THY.US,5,20210922,195500,25.02,25.035,25.02,25.02,3000,0
THY.US,5,20210922,202500,25.03,25.03,25.02,25.03,2300,0
THY.US,5,20210922,211000,25.03,25.0305,25.03,25.0305,1600,0
THY.US,5,20210922,213000,25.02,25.03,25.02,25.03,900,0
THY.US,5,20210922,214500,25.045,25.045,25.02,25.03,1900,0
THY.US,5,20210923,154500,25.12,25.12,25.12,25.12,100,0
THY.US,5,20210923,160500,25.13,25.13,25.085,25.1299,2650,0
THY.US,5,20210923,163500,25.08,25.08,25.08,25.08,2669,0
THY.US,5,20210923,170000,25.09,25.09,25.09,25.09,3335,0
THY.US,5,20210923,172000,25.07,25.07,25.07,25.07,2313,0
THY.US,5,20210923,172500,25.12,25.12,25.12,25.12,100,0
THY.US,5,20210923,184500,25.12,25.12,25.085,25.1142,2900,0
THY.US,5,20210923,185000,25.12,25.12,25.12,25.12,100,0
THY.US,5,20210923,185500,25.12,25.12,25.12,25.12,100,0
THY.US,5,20210923,190500,25.08,25.08,25.08,25.08,4715,0
THY.US,5,20210923,191000,25.041,25.12,25.041,25.12,327,0
THY.US,5,20210923,193000,25.08,25.08,25.08,25.08,1579,0
THY.US,5,20210923,213000,25.09,25.09,25.09,25.09,12866,0
THY.US,5,20210924,191500,25.05,25.05,25.05,25.05,711,0
THY.US,5,20210924,211500,25.03,25.03,25.03,25.03,6008,0
THY.US,5,20210924,212000,25.04,25.04,25.04,25.04,4399,0
THY.US,5,20210924,213000,25.03,25.03,25.03,25.03,5857,0
THY.US,5,20210924,214500,25.04,25.04,25.04,25.04,2229,0
THY.US,5,20210927,175000,25.03,25.03,25.03,25.03,100,0
THY.US,5,20210927,191500,25.04,25.04,25.04,25.04,1435,0
THY.US,5,20210927,195000,25.04,25.04,25.04,25.04,100,0
THY.US,5,20210927,211000,25.04,25.04,25.04,25.04,997,0
THY.US,5,20210928,154500,24.93,24.96,24.93,24.96,1774,0
THY.US,5,20210928,164000,24.92,24.92,24.92,24.92,1279,0
THY.US,5,20210928,192000,24.92,24.92,24.92,24.92,2934,0
THY.US,5,20210928,193000,24.92,24.92,24.92,24.92,1059,0
THY.US,5,20210928,210500,24.92,24.92,24.92,24.92,5955,0
THY.US,5,20210928,211500,24.89,24.89,24.89,24.89,100,0
THY.US,5,20210928,212000,24.89,24.89,24.89,24.89,100,0
THY.US,5,20210928,213000,24.89,24.89,24.89,24.89,100,0
THY.US,5,20210928,213500,24.89,24.89,24.89,24.89,100,0
THY.US,5,20210928,214000,24.89,24.89,24.89,24.89,100,0
THY.US,5,20210928,214500,24.89,24.89,24.89,24.89,200,0
THY.US,5,20210928,215000,24.88,24.89,24.88,24.89,200,0
THY.US,5,20210928,215500,24.89,24.89,24.88,24.88,400,0
THY.US,5,20210929,171500,24.96,24.96,24.96,24.96,1049,0
THY.US,5,20210929,191500,24.96,24.96,24.96,24.96,1319,0
THY.US,5,20210929,211500,24.955,24.955,24.955,24.955,106,0
THY.US,5,20210930,155000,24.9942,24.9942,24.9942,24.9942,114,0
THY.US,5,20210930,193500,24.93,24.93,24.93,24.93,3169,0
THY.US,5,20210930,210500,24.9204,24.9204,24.9204,24.9204,524,0
THY.US,5,20211001,173500,24.96,24.96,24.96,24.96,200,0
THY.US,5,20211001,212000,25.01,25.01,25.01,25.01,1088,0
THY.US,5,20211004,192000,24.92,24.92,24.92,24.92,760,0
THY.US,5,20211004,213000,24.93,24.93,24.93,24.93,500,0
THY.US,5,20211005,181500,24.93,24.94,24.93,24.93,400,0
THY.US,5,20211005,191500,24.8901,24.8912,24.89,24.8912,3035,0
