<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TPSC.US,5,20210922,155000,32.5,32.529,32.465,32.529,300,0
TPSC.US,5,20210922,191000,32.61,32.61,32.6,32.6,300,0
TPSC.US,5,20210923,153500,32.84,32.84,32.84,32.84,166,0
TPSC.US,5,20210923,173500,33.1699,33.1699,33.1699,33.1699,150,0
TPSC.US,5,20210923,180500,33.169,33.169,33.169,33.169,100,0
TPSC.US,5,20210923,193000,33.25,33.25,33.25,33.25,450,0
TPSC.US,5,20210923,204000,33.3,33.3,33.3,33.3,750,0
TPSC.US,5,20210924,174500,33.309,33.309,33.309,33.309,160,0
TPSC.US,5,20210924,191500,33.265,33.265,33.265,33.265,100,0
TPSC.US,5,20210924,200000,33.2799,33.2799,33.2799,33.2799,100,0
TPSC.US,5,20210924,213000,33.319,33.33,33.319,33.33,600,0
TPSC.US,5,20210927,153000,33.31,33.41,33.31,33.41,265,0
TPSC.US,5,20210927,155500,33.55,33.55,33.55,33.55,100,0
TPSC.US,5,20210927,191500,33.88,33.88,33.88,33.88,600,0
TPSC.US,5,20210927,212500,34.0435,34.0435,34.0435,34.0435,745,0
TPSC.US,5,20210927,215500,33.9,33.9,33.9,33.9,104,0
TPSC.US,5,20210928,153000,33.85,33.85,33.7239,33.7239,1728,0
TPSC.US,5,20210928,162500,33.489,33.5,33.489,33.4997,1000,0
TPSC.US,5,20210928,164000,33.55,33.55,33.55,33.55,358,0
TPSC.US,5,20210928,191500,33.499,33.499,33.499,33.499,100,0
TPSC.US,5,20210928,192000,33.4869,33.4869,33.4869,33.4869,100,0
TPSC.US,5,20210928,213500,33.42,33.42,33.42,33.42,200,0
TPSC.US,5,20210928,215000,33.325,33.325,33.325,33.325,150,0
TPSC.US,5,20210928,215500,33.39,33.39,33.39,33.39,102,0
TPSC.US,5,20210929,174500,33.43,33.43,33.4,33.4,300,0
TPSC.US,5,20210929,190000,33.4145,33.4145,33.4145,33.4145,100,0
