<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TPYP.US,5,20210922,153000,21.17,21.17,21.17,21.17,2445,0
TPYP.US,5,20210922,153500,21.21,21.21,21.1847,21.1847,900,0
TPYP.US,5,20210922,155500,21.26,21.26,21.26,21.26,800,0
TPYP.US,5,20210922,160000,21.3199,21.3199,21.3199,21.3199,362,0
TPYP.US,5,20210922,160500,21.275,21.275,21.275,21.275,300,0
TPYP.US,5,20210922,162500,21.2887,21.2887,21.2887,21.2887,292,0
TPYP.US,5,20210922,164000,21.2408,21.2408,21.2408,21.2408,3288,0
TPYP.US,5,20210922,165000,21.27,21.27,21.27,21.27,253,0
TPYP.US,5,20210922,165500,21.32,21.32,21.32,21.32,600,0
TPYP.US,5,20210922,170000,21.3308,21.3308,21.305,21.305,879,0
TPYP.US,5,20210922,170500,21.3411,21.3411,21.3411,21.3411,500,0
TPYP.US,5,20210922,171000,21.37,21.3899,21.37,21.3899,640,0
TPYP.US,5,20210922,173000,21.3678,21.3678,21.3678,21.3678,169,0
TPYP.US,5,20210922,180000,21.41,21.41,21.41,21.41,100,0
TPYP.US,5,20210922,183500,21.4,21.4,21.4,21.4,500,0
TPYP.US,5,20210922,184500,21.4199,21.42,21.4199,21.42,528,0
TPYP.US,5,20210922,190000,21.43,21.43,21.43,21.43,150,0
TPYP.US,5,20210922,191000,21.4208,21.4208,21.41,21.42,4193,0
TPYP.US,5,20210922,192500,21.42,21.42,21.3472,21.3472,1496,0
TPYP.US,5,20210922,195500,21.4165,21.4165,21.4165,21.4165,155,0
TPYP.US,5,20210922,200000,21.41,21.51,21.3701,21.3701,6723,0
TPYP.US,5,20210922,200500,21.44,21.44,21.44,21.44,500,0
TPYP.US,5,20210922,201000,21.43,21.43,21.43,21.43,203,0
TPYP.US,5,20210922,204000,21.34,21.34,21.34,21.34,163,0
TPYP.US,5,20210922,210000,21.33,21.33,21.31,21.31,5020,0
TPYP.US,5,20210922,211000,21.31,21.31,21.31,21.31,100,0
TPYP.US,5,20210922,212000,21.35,21.35,21.35,21.35,308,0
TPYP.US,5,20210922,212500,21.3232,21.349,21.3211,21.3211,1233,0
TPYP.US,5,20210922,215500,21.24,21.27,21.24,21.27,296,0
TPYP.US,5,20210923,153000,21.39,21.39,21.27,21.35,16798,0
TPYP.US,5,20210923,153500,21.39,21.4366,21.39,21.4366,1224,0
TPYP.US,5,20210923,154500,21.525,21.525,21.525,21.525,108,0
TPYP.US,5,20210923,155000,21.5683,21.5683,21.5683,21.5683,579,0
TPYP.US,5,20210923,161000,21.5719,21.5719,21.5719,21.5719,700,0
TPYP.US,5,20210923,162000,21.5217,21.55,21.5217,21.55,1101,0
TPYP.US,5,20210923,163000,21.56,21.6008,21.5415,21.5415,1621,0
TPYP.US,5,20210923,165500,21.59,21.59,21.59,21.59,420,0
TPYP.US,5,20210923,170000,21.5732,21.5732,21.5732,21.5732,555,0
TPYP.US,5,20210923,172000,21.571,21.571,21.571,21.571,2104,0
TPYP.US,5,20210923,173000,21.63,21.65,21.63,21.65,350,0
TPYP.US,5,20210923,173500,21.625,21.625,21.625,21.625,455,0
TPYP.US,5,20210923,174000,21.64,21.65,21.64,21.65,2500,0
TPYP.US,5,20210923,174500,21.67,21.67,21.67,21.67,100,0
TPYP.US,5,20210923,175500,21.645,21.645,21.645,21.645,109,0
TPYP.US,5,20210923,180000,21.689,21.689,21.68,21.68,3100,0
TPYP.US,5,20210923,180500,21.69,21.69,21.69,21.69,122,0
TPYP.US,5,20210923,185500,21.675,21.675,21.675,21.675,648,0
TPYP.US,5,20210923,191000,21.651,21.651,21.651,21.651,692,0
TPYP.US,5,20210923,200000,21.75,21.7599,21.75,21.75,1838,0
TPYP.US,5,20210923,200500,21.6801,21.6801,21.6801,21.6801,819,0
TPYP.US,5,20210923,203500,21.71,21.71,21.71,21.71,1315,0
TPYP.US,5,20210923,205500,21.71,21.71,21.71,21.71,100,0
TPYP.US,5,20210923,210000,21.6672,21.6672,21.6672,21.6672,297,0
TPYP.US,5,20210923,211500,21.67,21.67,21.67,21.67,882,0
TPYP.US,5,20210923,212000,21.7,21.7,21.67,21.67,200,0
TPYP.US,5,20210923,212500,21.661,21.661,21.66,21.66,546,0
TPYP.US,5,20210923,213000,21.66,21.66,21.6489,21.6489,4389,0
TPYP.US,5,20210923,214500,21.64,21.655,21.6201,21.6201,916,0
TPYP.US,5,20210923,215500,21.61,21.61,21.61,21.61,138,0
TPYP.US,5,20210924,153000,21.51,21.67,21.51,21.67,388,0
TPYP.US,5,20210924,153500,21.65,21.65,21.65,21.65,100,0
TPYP.US,5,20210924,154000,21.67,21.67,21.67,21.67,100,0
TPYP.US,5,20210924,154500,21.67,21.67,21.6,21.6,399,0
TPYP.US,5,20210924,155000,21.61,21.61,21.61,21.61,100,0
TPYP.US,5,20210924,155500,21.63,21.63,21.63,21.63,100,0
TPYP.US,5,20210924,160000,21.6261,21.65,21.6261,21.65,407,0
TPYP.US,5,20210924,160500,21.66,21.66,21.66,21.66,200,0
TPYP.US,5,20210924,161000,21.66,21.66,21.66,21.66,100,0
TPYP.US,5,20210924,161500,21.62,21.65,21.615,21.65,811,0
TPYP.US,5,20210924,162000,21.615,21.65,21.615,21.65,600,0
TPYP.US,5,20210924,162500,21.66,21.67,21.639,21.67,1200,0
TPYP.US,5,20210924,163000,21.67,21.67,21.67,21.67,100,0
TPYP.US,5,20210924,163500,21.67,21.68,21.67,21.68,200,0
TPYP.US,5,20210924,164000,21.68,21.68,21.68,21.68,100,0
TPYP.US,5,20210924,164500,21.67,21.68,21.63,21.63,600,0
TPYP.US,5,20210924,165000,21.644,21.644,21.644,21.644,137,0
TPYP.US,5,20210924,165500,21.68,21.68,21.6509,21.68,315,0
TPYP.US,5,20210924,170000,21.68,21.68,21.68,21.68,100,0
TPYP.US,5,20210924,170500,21.67,21.67,21.67,21.67,200,0
TPYP.US,5,20210924,171000,21.67,21.67,21.645,21.645,200,0
TPYP.US,5,20210924,171500,21.67,21.67,21.67,21.67,200,0
TPYP.US,5,20210924,172000,21.67,21.67,21.65,21.65,200,0
TPYP.US,5,20210924,172500,21.64,21.64,21.5974,21.5974,201,0
TPYP.US,5,20210924,173000,21.63,21.64,21.63,21.64,200,0
TPYP.US,5,20210924,173500,21.61,21.61,21.5501,21.5501,1630,0
TPYP.US,5,20210924,174000,21.63,21.63,21.63,21.63,461,0
TPYP.US,5,20210924,174500,21.64,21.65,21.64,21.65,200,0
TPYP.US,5,20210924,175000,21.65,21.65,21.6209,21.6209,221,0
TPYP.US,5,20210924,175500,21.635,21.635,21.635,21.635,100,0
TPYP.US,5,20210924,180000,21.65,21.65,21.65,21.65,200,0
TPYP.US,5,20210924,180500,21.59,21.59,21.59,21.59,100,0
TPYP.US,5,20210924,181000,21.67,21.68,21.67,21.68,200,0
TPYP.US,5,20210924,181500,21.67,21.67,21.67,21.67,100,0
TPYP.US,5,20210924,182000,21.68,21.68,21.67,21.67,400,0
TPYP.US,5,20210924,182500,21.645,21.68,21.644,21.67,1991,0
TPYP.US,5,20210924,183000,21.67,21.67,21.67,21.67,200,0
TPYP.US,5,20210924,183500,21.67,21.67,21.67,21.67,507,0
TPYP.US,5,20210924,184000,21.68,21.68,21.68,21.68,100,0
TPYP.US,5,20210924,184500,21.68,21.69,21.68,21.69,200,0
TPYP.US,5,20210924,185000,21.665,21.665,21.665,21.665,500,0
TPYP.US,5,20210924,185500,21.71,21.71,21.685,21.685,1100,0
TPYP.US,5,20210924,190000,21.71,21.71,21.71,21.71,100,0
TPYP.US,5,20210924,190500,21.71,21.71,21.68,21.68,200,0
TPYP.US,5,20210924,191000,21.69,21.69,21.69,21.69,200,0
TPYP.US,5,20210924,191500,21.69,21.69,21.69,21.69,100,0
TPYP.US,5,20210924,192000,21.7,21.7,21.7,21.7,300,0
TPYP.US,5,20210924,192500,21.688,21.69,21.6538,21.6538,2096,0
TPYP.US,5,20210924,193000,21.69,21.69,21.6338,21.6338,1048,0
TPYP.US,5,20210924,193500,21.67,21.67,21.67,21.67,200,0
TPYP.US,5,20210924,194000,21.67,21.67,21.67,21.67,100,0
TPYP.US,5,20210924,194500,21.67,21.67,21.635,21.67,1360,0
TPYP.US,5,20210924,195000,21.66,21.66,21.6403,21.66,701,0
TPYP.US,5,20210924,195500,21.65,21.65,21.65,21.65,200,0
TPYP.US,5,20210924,200000,21.621,21.64,21.621,21.64,500,0
TPYP.US,5,20210924,200500,21.65,21.65,21.64,21.64,200,0
TPYP.US,5,20210924,201000,21.63,21.63,21.63,21.63,100,0
TPYP.US,5,20210924,201500,21.63,21.64,21.63,21.64,200,0
TPYP.US,5,20210924,202000,21.64,21.64,21.59,21.64,1505,0
TPYP.US,5,20210924,202500,21.64,21.64,21.64,21.64,100,0
TPYP.US,5,20210924,203000,21.64,21.64,21.64,21.64,200,0
TPYP.US,5,20210924,203500,21.62,21.62,21.5901,21.5901,220,0
TPYP.US,5,20210924,204000,21.63,21.63,21.6,21.6,595,0
TPYP.US,5,20210924,204500,21.66,21.66,21.66,21.66,100,0
TPYP.US,5,20210924,205000,21.66,21.67,21.66,21.67,665,0
TPYP.US,5,20210924,205500,21.6723,21.6723,21.6723,21.6723,323,0
TPYP.US,5,20210924,210000,21.645,21.645,21.645,21.645,494,0
TPYP.US,5,20210924,211000,21.63,21.64,21.63,21.64,510,0
TPYP.US,5,20210924,213500,21.6691,21.6691,21.6691,21.6691,4000,0
TPYP.US,5,20210924,214000,21.611,21.611,21.611,21.611,203,0
TPYP.US,5,20210924,215500,21.6,21.6,21.57,21.57,1259,0
TPYP.US,5,20210927,153000,21.87,21.87,21.87,21.87,885,0
TPYP.US,5,20210927,153500,21.91,22,21.91,22,7364,0
TPYP.US,5,20210927,160000,22.048,22.048,22.045,22.045,7933,0
TPYP.US,5,20210927,161000,21.9859,21.9859,21.9859,21.9859,250,0
TPYP.US,5,20210927,162500,22.07,22.0799,22.07,22.0799,1237,0
TPYP.US,5,20210927,163000,22.09,22.1,22.08,22.1,2195,0
TPYP.US,5,20210927,163500,22.09,22.09,22.07,22.07,6700,0
TPYP.US,5,20210927,164000,22.06,22.06,22.04,22.04,1100,0
TPYP.US,5,20210927,165000,22.0562,22.07,22.05,22.05,800,0
TPYP.US,5,20210927,165500,22.03,22.03,22.03,22.03,100,0
TPYP.US,5,20210927,170000,22.05,22.05,22.01,22.01,2000,0
TPYP.US,5,20210927,170500,22.01,22.05,22.001,22.05,1479,0
TPYP.US,5,20210927,171000,22.0846,22.0846,22.0846,22.0846,198,0
TPYP.US,5,20210927,172500,22.0923,22.0923,22.0923,22.0923,1252,0
TPYP.US,5,20210927,175000,22.1,22.15,22.1,22.15,1320,0
TPYP.US,5,20210927,182000,22.14,22.14,22.14,22.14,800,0
TPYP.US,5,20210927,185000,22.1846,22.1846,22.1846,22.1846,500,0
TPYP.US,5,20210927,190500,22.16,22.16,22.16,22.16,100,0
TPYP.US,5,20210927,192000,22.16,22.16,22.16,22.16,500,0
TPYP.US,5,20210927,193500,22.1492,22.1492,22.1492,22.1492,1000,0
TPYP.US,5,20210927,194500,22.14,22.14,22.14,22.14,193,0
TPYP.US,5,20210927,195000,22.1356,22.1356,22.1356,22.1356,1350,0
TPYP.US,5,20210927,200000,22.1501,22.1501,22.1501,22.1501,541,0
TPYP.US,5,20210927,200500,22.16,22.16,22.16,22.16,135,0
TPYP.US,5,20210927,201500,22.13,22.13,22.13,22.13,533,0
TPYP.US,5,20210927,202000,22.13,22.13,22.13,22.13,500,0
TPYP.US,5,20210927,202500,22.13,22.13,22.13,22.13,770,0
TPYP.US,5,20210927,203000,22.13,22.14,22.12,22.14,32803,0
TPYP.US,5,20210927,203500,22.1382,22.1382,22.11,22.11,652,0
TPYP.US,5,20210927,204000,22.09,22.09,22.09,22.09,100,0
TPYP.US,5,20210927,210000,22.1,22.1,22.1,22.1,2400,0
TPYP.US,5,20210927,212000,22.0901,22.0901,22.05,22.05,1275,0
TPYP.US,5,20210927,212500,22.075,22.075,22.075,22.075,635,0
TPYP.US,5,20210927,213000,22.06,22.06,22.06,22.06,136,0
TPYP.US,5,20210927,214000,22.031,22.078,22.031,22.078,13735,0
TPYP.US,5,20210927,214500,22.0745,22.0745,22.03,22.03,1064,0
TPYP.US,5,20210927,215000,22.059,22.059,22.059,22.059,120,0
TPYP.US,5,20210927,215500,22.03,22.05,21.98,22.05,976,0
TPYP.US,5,20210928,153000,22.19,22.19,22.19,22.19,682,0
TPYP.US,5,20210928,154000,22.23,22.23,22.23,22.23,800,0
TPYP.US,5,20210928,154500,22.19,22.19,22.19,22.19,700,0
TPYP.US,5,20210928,160000,22.05,22.05,21.9601,21.97,1441,0
TPYP.US,5,20210928,160500,21.915,21.915,21.915,21.915,1500,0
TPYP.US,5,20210928,163000,21.9591,21.9591,21.9591,21.9591,390,0
TPYP.US,5,20210928,165500,21.97,21.97,21.9325,21.935,6400,0
TPYP.US,5,20210928,170500,21.9,21.9,21.89,21.9,362,0
TPYP.US,5,20210928,171000,21.9299,21.9299,21.8458,21.8458,5157,0
TPYP.US,5,20210928,171500,21.837,21.837,21.837,21.837,316,0
TPYP.US,5,20210928,172500,21.885,21.885,21.88,21.88,300,0
TPYP.US,5,20210928,174500,21.87,21.87,21.87,21.87,134,0
TPYP.US,5,20210928,175000,21.84,21.84,21.825,21.825,250,0
TPYP.US,5,20210928,183000,21.845,21.845,21.82,21.82,4682,0
TPYP.US,5,20210928,184500,21.8,21.8,21.8,21.8,238,0
TPYP.US,5,20210928,192000,21.845,21.845,21.845,21.845,300,0
TPYP.US,5,20210928,193000,21.91,21.91,21.91,21.91,114,0
TPYP.US,5,20210928,193500,21.858,21.858,21.858,21.858,124,0
TPYP.US,5,20210928,195500,21.87,21.87,21.87,21.87,200,0
TPYP.US,5,20210928,200500,21.83,21.83,21.83,21.83,46056,0
TPYP.US,5,20210928,202000,21.88,21.88,21.88,21.88,1143,0
TPYP.US,5,20210928,202500,21.86,21.92,21.84,21.91,1266,0
TPYP.US,5,20210928,204000,21.906,21.906,21.906,21.906,114,0
TPYP.US,5,20210928,204500,21.8801,21.8801,21.8801,21.8801,200,0
TPYP.US,5,20210928,212500,21.8929,21.908,21.84,21.84,1876,0
TPYP.US,5,20210928,213000,21.86,21.86,21.86,21.86,272,0
TPYP.US,5,20210928,213500,21.89,21.89,21.89,21.89,100,0
TPYP.US,5,20210928,214000,21.864,21.864,21.864,21.864,195,0
TPYP.US,5,20210928,215000,21.86,21.86,21.82,21.82,579,0
TPYP.US,5,20210928,215500,21.8,21.835,21.8,21.82,760,0
TPYP.US,5,20210929,153000,21.89,21.89,21.89,21.89,137,0
TPYP.US,5,20210929,154000,21.8,21.82,21.8,21.82,1078,0
TPYP.US,5,20210929,155000,21.8461,21.8461,21.845,21.845,559,0
TPYP.US,5,20210929,160000,21.87,21.87,21.87,21.87,500,0
TPYP.US,5,20210929,164000,21.8901,21.8901,21.8901,21.8901,182,0
TPYP.US,5,20210929,164500,21.95,21.95,21.95,21.95,139,0
TPYP.US,5,20210929,165000,21.92,21.92,21.92,21.92,100,0
TPYP.US,5,20210929,170000,21.944,21.944,21.944,21.944,129,0
TPYP.US,5,20210929,172500,21.96,21.96,21.96,21.96,316,0
TPYP.US,5,20210929,174500,21.915,21.915,21.915,21.915,175,0
TPYP.US,5,20210929,175500,21.935,21.935,21.935,21.935,456,0
TPYP.US,5,20210929,183000,21.91,21.9289,21.91,21.9289,1037,0
TPYP.US,5,20210929,183500,21.9,21.9209,21.9,21.9209,361,0
TPYP.US,5,20210929,184000,21.9,21.9,21.9,21.9,100,0
TPYP.US,5,20210929,185500,21.92,21.97,21.91,21.92,941,0
TPYP.US,5,20210929,190000,21.91,21.91,21.87,21.87,300,0
TPYP.US,5,20210929,193000,21.86,21.89,21.86,21.89,2000,0
