<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UCON.US,5,20210922,153000,26.66,26.66,26.63,26.6352,6198,0
UCON.US,5,20210922,153500,26.64,26.64,26.6201,26.6201,1517,0
UCON.US,5,20210922,154000,26.6201,26.64,26.6201,26.64,912,0
UCON.US,5,20210922,155500,26.65,26.65,26.65,26.65,600,0
UCON.US,5,20210922,160000,26.65,26.65,26.64,26.6415,1288,0
UCON.US,5,20210922,160500,26.65,26.65,26.65,26.65,500,0
UCON.US,5,20210922,161000,26.65,26.66,26.6366,26.65,8856,0
UCON.US,5,20210922,162500,26.63,26.63,26.63,26.63,850,0
UCON.US,5,20210922,163000,26.6597,26.6597,26.6597,26.6597,400,0
UCON.US,5,20210922,164000,26.64,26.64,26.64,26.64,242,0
UCON.US,5,20210922,165500,26.6499,26.6499,26.64,26.64,423,0
UCON.US,5,20210922,171500,26.64,26.64,26.64,26.64,146,0
UCON.US,5,20210922,172500,26.64,26.64,26.64,26.64,196,0
UCON.US,5,20210922,173500,26.64,26.6481,26.64,26.6481,250,0
UCON.US,5,20210922,180000,26.6341,26.6341,26.6341,26.6341,172,0
UCON.US,5,20210922,180500,26.64,26.64,26.64,26.64,100,0
UCON.US,5,20210922,181500,26.64,26.64,26.64,26.64,132,0
UCON.US,5,20210922,182000,26.65,26.65,26.6326,26.64,893,0
UCON.US,5,20210922,183000,26.63,26.6441,26.63,26.6441,1245,0
UCON.US,5,20210922,183500,26.6321,26.6321,26.6321,26.6321,369,0
UCON.US,5,20210922,184500,26.6452,26.6452,26.6452,26.6452,1000,0
UCON.US,5,20210922,185000,26.64,26.66,26.64,26.65,13969,0
UCON.US,5,20210922,185500,26.645,26.645,26.645,26.645,525,0
UCON.US,5,20210922,190000,26.6497,26.65,26.6497,26.65,325,0
UCON.US,5,20210922,191000,26.6494,26.65,26.6494,26.65,1515,0
UCON.US,5,20210922,191500,26.66,26.66,26.66,26.66,800,0
UCON.US,5,20210922,192000,26.65,26.65,26.65,26.65,1600,0
UCON.US,5,20210922,192500,26.66,26.66,26.6457,26.6589,11517,0
UCON.US,5,20210922,193000,26.65,26.6573,26.65,26.6573,415,0
UCON.US,5,20210922,193500,26.656,26.656,26.65,26.65,6497,0
UCON.US,5,20210922,194000,26.65,26.65,26.65,26.65,165,0
UCON.US,5,20210922,195000,26.6548,26.6548,26.643,26.65,3552,0
UCON.US,5,20210922,200500,26.66,26.66,26.66,26.66,400,0
UCON.US,5,20210922,201000,26.659,26.659,26.659,26.659,100,0
UCON.US,5,20210922,201500,26.6591,26.6591,26.6591,26.6591,925,0
UCON.US,5,20210922,202000,26.66,26.66,26.66,26.66,516,0
UCON.US,5,20210922,202500,26.655,26.66,26.655,26.6565,8655,0
UCON.US,5,20210922,203000,26.66,26.66,26.66,26.66,5100,0
UCON.US,5,20210922,203500,26.66,26.66,26.65,26.655,5731,0
UCON.US,5,20210922,204000,26.655,26.6599,26.655,26.6599,1200,0
UCON.US,5,20210922,204500,26.655,26.6583,26.655,26.6583,400,0
UCON.US,5,20210922,210000,26.655,26.655,26.655,26.655,652,0
UCON.US,5,20210922,211000,26.6589,26.6589,26.6589,26.6589,567,0
UCON.US,5,20210922,211500,26.6564,26.6564,26.6564,26.6564,427,0
UCON.US,5,20210922,212000,26.6599,26.6599,26.655,26.655,726,0
UCON.US,5,20210922,212500,26.65,26.655,26.65,26.655,1985,0
UCON.US,5,20210922,213000,26.6573,26.6573,26.655,26.655,2031,0
UCON.US,5,20210922,214000,26.65,26.65,26.65,26.65,1851,0
UCON.US,5,20210922,214500,26.65,26.6585,26.65,26.6585,1538,0
UCON.US,5,20210922,215000,26.65,26.65,26.65,26.65,2171,0
UCON.US,5,20210922,215500,26.65,26.65,26.65,26.65,5500,0
UCON.US,5,20210923,153000,26.66,26.66,26.5751,26.5751,937,0
UCON.US,5,20210923,153500,26.58,26.58,26.575,26.575,1600,0
UCON.US,5,20210923,154500,26.5899,26.59,26.585,26.5888,1673,0
UCON.US,5,20210923,155000,26.581,26.59,26.581,26.59,575,0
UCON.US,5,20210923,155500,26.59,26.59,26.585,26.59,6100,0
UCON.US,5,20210923,160000,26.585,26.59,26.585,26.585,2300,0
UCON.US,5,20210923,160500,26.59,26.59,26.59,26.59,4356,0
UCON.US,5,20210923,161000,26.59,26.5985,26.58,26.58,8050,0
UCON.US,5,20210923,161500,26.5895,26.59,26.585,26.585,3821,0
UCON.US,5,20210923,162000,26.59,26.59,26.585,26.585,2555,0
UCON.US,5,20210923,162500,26.59,26.59,26.585,26.585,600,0
UCON.US,5,20210923,163000,26.58,26.585,26.58,26.58,2100,0
UCON.US,5,20210923,163500,26.5879,26.5879,26.58,26.58,2400,0
UCON.US,5,20210923,164000,26.58,26.58,26.58,26.58,432,0
UCON.US,5,20210923,164500,26.5852,26.59,26.57,26.57,2400,0
UCON.US,5,20210923,165500,26.58,26.59,26.58,26.58,4391,0
UCON.US,5,20210923,170000,26.59,26.59,26.59,26.59,600,0
UCON.US,5,20210923,170500,26.585,26.585,26.58,26.58,1200,0
UCON.US,5,20210923,171000,26.5794,26.58,26.5794,26.58,1300,0
UCON.US,5,20210923,171500,26.5793,26.58,26.57,26.575,5384,0
UCON.US,5,20210923,172000,26.58,26.58,26.5725,26.58,38293,0
UCON.US,5,20210923,172500,26.5852,26.5894,26.58,26.5894,6000,0
UCON.US,5,20210923,173000,26.59,26.59,26.59,26.59,3159,0
UCON.US,5,20210923,173500,26.57,26.59,26.57,26.59,2361,0
UCON.US,5,20210923,174000,26.59,26.59,26.5883,26.5883,1492,0
UCON.US,5,20210923,174500,26.59,26.59,26.5813,26.5813,1725,0
UCON.US,5,20210923,175000,26.59,26.59,26.59,26.59,1124,0
UCON.US,5,20210923,180000,26.58,26.58,26.58,26.58,250,0
UCON.US,5,20210923,180500,26.5733,26.58,26.5733,26.58,632,0
UCON.US,5,20210923,182000,26.5857,26.5857,26.5857,26.5857,131,0
UCON.US,5,20210923,182500,26.589,26.59,26.589,26.59,7390,0
UCON.US,5,20210923,184000,26.589,26.589,26.57,26.58,1927,0
UCON.US,5,20210923,184500,26.57,26.5899,26.57,26.5899,2304,0
UCON.US,5,20210923,185000,26.57,26.57,26.57,26.57,753,0
UCON.US,5,20210923,185500,26.5885,26.5899,26.5885,26.5899,1500,0
UCON.US,5,20210923,190000,26.5883,26.5899,26.5883,26.5899,1571,0
UCON.US,5,20210923,191500,26.5707,26.58,26.5707,26.58,12174,0
UCON.US,5,20210923,192000,26.58,26.58,26.58,26.58,241,0
UCON.US,5,20210923,193000,26.5811,26.59,26.58,26.59,13585,0
UCON.US,5,20210923,194000,26.585,26.585,26.575,26.575,1900,0
UCON.US,5,20210923,194500,26.57,26.5898,26.57,26.5898,519,0
UCON.US,5,20210923,195000,26.5899,26.5899,26.5757,26.5757,2328,0
UCON.US,5,20210923,201500,26.59,26.59,26.58,26.58,2300,0
UCON.US,5,20210923,202000,26.58,26.5873,26.58,26.58,1358,0
UCON.US,5,20210923,202500,26.58,26.58,26.58,26.58,992,0
UCON.US,5,20210923,203000,26.5883,26.5883,26.5883,26.5883,818,0
UCON.US,5,20210923,203500,26.5829,26.589,26.58,26.589,5289,0
UCON.US,5,20210923,204000,26.5734,26.59,26.5734,26.587,1094,0
UCON.US,5,20210923,204500,26.588,26.588,26.588,26.588,451,0
UCON.US,5,20210923,205000,26.58,26.59,26.58,26.59,1260,0
UCON.US,5,20210923,205500,26.58,26.59,26.58,26.58,2400,0
UCON.US,5,20210923,210000,26.58,26.58,26.58,26.58,615,0
UCON.US,5,20210923,211000,26.58,26.58,26.58,26.58,300,0
UCON.US,5,20210923,211500,26.58,26.58,26.58,26.58,2404,0
UCON.US,5,20210923,212500,26.58,26.58,26.58,26.58,124,0
UCON.US,5,20210923,213000,26.58,26.5829,26.5773,26.5773,3498,0
UCON.US,5,20210923,213500,26.5867,26.5867,26.5867,26.5867,750,0
UCON.US,5,20210923,214000,26.5882,26.5882,26.5882,26.5882,667,0
UCON.US,5,20210923,214500,26.5803,26.5803,26.5725,26.5725,790,0
UCON.US,5,20210923,215000,26.5808,26.5808,26.5808,26.5808,120,0
UCON.US,5,20210923,215500,26.57,26.58,26.57,26.57,3699,0
UCON.US,5,20210924,153000,26.59,26.6,26.57,26.57,2192,0
UCON.US,5,20210924,153500,26.57,26.57,26.565,26.565,3300,0
UCON.US,5,20210924,154000,26.565,26.5698,26.56,26.565,5150,0
UCON.US,5,20210924,154500,26.565,26.565,26.565,26.565,700,0
UCON.US,5,20210924,155000,26.565,26.57,26.565,26.565,1230,0
UCON.US,5,20210924,155500,26.565,26.565,26.565,26.565,2000,0
UCON.US,5,20210924,160000,26.565,26.565,26.565,26.565,700,0
UCON.US,5,20210924,160500,26.565,26.57,26.565,26.565,43507,0
UCON.US,5,20210924,161000,26.5686,26.5686,26.5686,26.5686,377,0
UCON.US,5,20210924,161500,26.5655,26.5693,26.5655,26.5693,2200,0
UCON.US,5,20210924,162500,26.56,26.565,26.56,26.565,222,0
UCON.US,5,20210924,163000,26.57,26.57,26.57,26.57,758,0
UCON.US,5,20210924,163500,26.5689,26.5689,26.5689,26.5689,250,0
UCON.US,5,20210924,165000,26.565,26.565,26.565,26.565,1430,0
UCON.US,5,20210924,165500,26.565,26.565,26.565,26.565,210,0
UCON.US,5,20210924,170500,26.5689,26.5689,26.565,26.565,1941,0
UCON.US,5,20210924,171000,26.5654,26.5654,26.5654,26.5654,211,0
UCON.US,5,20210924,171500,26.5609,26.5609,26.5609,26.5609,178,0
UCON.US,5,20210924,172000,26.56,26.565,26.56,26.565,4174,0
UCON.US,5,20210924,172500,26.5676,26.5681,26.5676,26.5681,980,0
UCON.US,5,20210924,173000,26.5605,26.5605,26.5605,26.5605,159,0
UCON.US,5,20210924,173500,26.565,26.565,26.565,26.565,114,0
UCON.US,5,20210924,174500,26.56,26.56,26.56,26.56,802,0
UCON.US,5,20210924,175000,26.565,26.565,26.565,26.565,301,0
UCON.US,5,20210924,180000,26.5641,26.5641,26.5641,26.5641,1128,0
UCON.US,5,20210924,181000,26.565,26.565,26.565,26.565,3505,0
UCON.US,5,20210924,181500,26.56,26.56,26.56,26.56,300,0
UCON.US,5,20210924,182000,26.5693,26.5693,26.5669,26.5669,2289,0
UCON.US,5,20210924,183000,26.5654,26.5654,26.5654,26.5654,800,0
UCON.US,5,20210924,183500,26.5618,26.5618,26.5609,26.5609,1534,0
UCON.US,5,20210924,184000,26.565,26.565,26.5633,26.5633,634,0
UCON.US,5,20210924,185500,26.565,26.568,26.565,26.568,802,0
UCON.US,5,20210924,191000,26.5686,26.5686,26.5686,26.5686,400,0
UCON.US,5,20210924,192500,26.5629,26.565,26.5629,26.5644,950,0
UCON.US,5,20210924,193000,26.5628,26.565,26.5628,26.565,2790,0
UCON.US,5,20210924,193500,26.5656,26.5656,26.5656,26.5656,394,0
UCON.US,5,20210924,194000,26.565,26.565,26.565,26.565,1505,0
UCON.US,5,20210924,194500,26.56,26.565,26.56,26.565,3040,0
UCON.US,5,20210924,195000,26.5608,26.565,26.5608,26.565,901,0
UCON.US,5,20210924,195500,26.5646,26.5646,26.5646,26.5646,197,0
UCON.US,5,20210924,200000,26.5699,26.5699,26.5699,26.5699,233,0
UCON.US,5,20210924,200500,26.565,26.5688,26.56,26.5688,1532,0
UCON.US,5,20210924,202500,26.57,26.57,26.56,26.565,2926,0
UCON.US,5,20210924,203500,26.5667,26.5667,26.5667,26.5667,121,0
UCON.US,5,20210924,204500,26.5689,26.5689,26.5607,26.5607,1394,0
