<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UJUN.US,5,20210922,180000,28.801,28.801,28.801,28.801,800,0
UJUN.US,5,20210922,193000,28.8,28.845,28.8,28.845,325,0
UJUN.US,5,20210923,165000,28.96,28.98,28.96,28.9721,6993,0
UJUN.US,5,20210923,202500,28.99,29,28.96,28.96,1055,0
UJUN.US,5,20210924,175000,28.989,28.989,28.989,28.989,423,0
UJUN.US,5,20210927,184500,28.89,28.89,28.89,28.89,2784,0
UJUN.US,5,20210927,192000,28.945,28.945,28.945,28.945,128,0
UJUN.US,5,20210928,201500,28.7553,28.7553,28.7553,28.7553,2338,0
UJUN.US,5,20210929,184500,28.77,28.77,28.77,28.77,100,0
UJUN.US,5,20210929,200000,28.79,28.79,28.755,28.755,547,0
UJUN.US,5,20210930,161000,28.751,28.751,28.751,28.751,350,0
UJUN.US,5,20210930,181500,28.6901,28.6901,28.6901,28.6901,200,0
UJUN.US,5,20210930,200000,28.71,28.71,28.7,28.7,6748,0
UJUN.US,5,20210930,210500,28.72,28.72,28.72,28.72,100,0
UJUN.US,5,20211004,215500,28.62,28.62,28.62,28.62,800,0
UJUN.US,5,20211005,172500,28.805,28.805,28.805,28.805,500,0
UJUN.US,5,20211006,181500,28.71,28.71,28.65,28.65,2985,0
UJUN.US,5,20211007,174000,28.905,28.905,28.905,28.905,152,0
UJUN.US,5,20211008,213000,28.84,28.84,28.84,28.84,141,0
UJUN.US,5,20211011,163500,28.861,28.861,28.861,28.861,165,0
UJUN.US,5,20211012,163500,28.761,28.805,28.76,28.76,2176,0
UJUN.US,5,20211012,164000,28.761,28.761,28.76,28.76,1611,0
UJUN.US,5,20211012,165000,28.81,28.81,28.81,28.81,4293,0
UJUN.US,5,20211012,165500,28.78,28.78,28.78,28.78,51410,0
UJUN.US,5,20211012,171000,28.771,28.771,28.77,28.77,2512,0
UJUN.US,5,20211012,212500,28.74,28.74,28.74,28.74,1736,0
UJUN.US,5,20211013,215500,28.7934,28.7934,28.7934,28.7934,312,0
UJUN.US,5,20211018,181500,28.98,28.98,28.98,28.98,334,0
UJUN.US,5,20211018,211000,28.97,28.97,28.97,28.97,100,0
UJUN.US,5,20211021,173000,29.08,29.08,29.08,29.08,1541,0
UJUN.US,5,20211021,212000,29.1064,29.1064,29.1064,29.1064,340,0
UJUN.US,5,20211022,181000,29.0961,29.0961,29.0961,29.0961,396,0
UJUN.US,5,20211025,194500,29.16,29.16,29.16,29.16,142,0
UJUN.US,5,20211026,170500,29.1753,29.1753,29.1753,29.1753,800,0
UJUN.US,5,20211026,181000,29.2,29.21,29.2,29.205,310,0
UJUN.US,5,20211026,190000,29.159,29.159,29.159,29.159,359,0
UJUN.US,5,20211027,153500,29.2,29.2,29.2,29.2,734,0
UJUN.US,5,20211028,163000,29.16,29.16,29.1201,29.138,3700,0
UJUN.US,5,20211028,194000,29.17,29.17,29.17,29.17,1870,0
UJUN.US,5,20211028,194500,29.17,29.17,29.17,29.17,100,0
UJUN.US,5,20211029,161500,29.16,29.1865,29.155,29.1865,1802,0
UJUN.US,5,20211029,174000,29.14,29.165,29.14,29.165,424,0
UJUN.US,5,20211029,204000,29.2,29.22,29.1877,29.22,828,0
UJUN.US,5,20211101,185500,29.23,29.23,29.23,29.23,210,0
UJUN.US,5,20211101,194000,29.19,29.19,29.19,29.19,11606,0
UJUN.US,5,20211102,143000,29.18,29.18,29.18,29.18,100,0
UJUN.US,5,20211102,164000,29.28,29.28,29.28,29.28,300,0
UJUN.US,5,20211102,184500,29.2073,29.23,29.2073,29.23,1850,0
UJUN.US,5,20211103,204500,29.32,29.32,29.32,29.32,100,0
UJUN.US,5,20211104,151000,29.26,29.26,29.26,29.26,100,0
UJUN.US,5,20211104,164500,29.27,29.27,29.27,29.27,270,0
UJUN.US,5,20211104,165000,29.24,29.24,29.23,29.24,1425,0
UJUN.US,5,20211105,152000,29.28,29.28,29.28,29.28,200,0
UJUN.US,5,20211105,170500,29.27,29.27,29.27,29.27,3800,0
UJUN.US,5,20211105,202000,29.25,29.25,29.25,29.25,2100,0
UJUN.US,5,20211108,212000,29.305,29.305,29.305,29.305,1000,0
UJUN.US,5,20211110,190000,29.309,29.309,29.309,29.309,350,0
