<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
USHY.US,5,20210922,153000,41.68,41.71,41.68,41.71,7646,0
USHY.US,5,20210922,153500,41.695,41.6977,41.68,41.68,288846,0
USHY.US,5,20210922,154000,41.6826,41.7,41.6826,41.7,1353,0
USHY.US,5,20210922,154500,41.695,41.705,41.695,41.705,2778,0
USHY.US,5,20210922,155000,41.7021,41.7094,41.69,41.69,5226,0
USHY.US,5,20210922,155500,41.7,41.71,41.7,41.71,3804,0
USHY.US,5,20210922,160000,41.71,41.7278,41.71,41.725,4434,0
USHY.US,5,20210922,160500,41.725,41.725,41.7119,41.7119,9638,0
USHY.US,5,20210922,161000,41.7153,41.7187,41.7,41.71,23647,0
USHY.US,5,20210922,161500,41.705,41.71,41.703,41.7061,11008,0
USHY.US,5,20210922,162000,41.71,41.71,41.705,41.705,1557,0
USHY.US,5,20210922,162500,41.71,41.71,41.7035,41.7059,2968,0
USHY.US,5,20210922,163000,41.7071,41.71,41.703,41.705,2513,0
USHY.US,5,20210922,163500,41.71,41.71,41.7,41.705,6043,0
USHY.US,5,20210922,164000,41.705,41.7199,41.705,41.7101,28809,0
USHY.US,5,20210922,164500,41.71,41.71,41.701,41.701,3089,0
USHY.US,5,20210922,165000,41.71,41.71,41.7,41.7054,9604,0
USHY.US,5,20210922,165500,41.7001,41.71,41.7001,41.7092,9151,0
USHY.US,5,20210922,170000,41.705,41.71,41.7,41.7092,2477,0
USHY.US,5,20210922,170500,41.71,41.71,41.7,41.7097,1779,0
USHY.US,5,20210922,171000,41.7,41.71,41.7,41.71,9686,0
USHY.US,5,20210922,171500,41.71,41.71,41.701,41.71,2006,0
USHY.US,5,20210922,172000,41.71,41.71,41.701,41.7053,5382,0
USHY.US,5,20210922,172500,41.71,41.71,41.7026,41.71,4398,0
USHY.US,5,20210922,173000,41.71,41.72,41.701,41.7138,26320,0
USHY.US,5,20210922,173500,41.715,41.72,41.715,41.715,14877,0
USHY.US,5,20210922,174000,41.7101,41.73,41.71,41.73,12008,0
USHY.US,5,20210922,174500,41.73,41.74,41.73,41.7388,4103,0
USHY.US,5,20210922,175000,41.737,41.75,41.73,41.7375,13312,0
USHY.US,5,20210922,175500,41.7381,41.74,41.7301,41.7301,1376,0
USHY.US,5,20210922,180000,41.735,41.7383,41.7201,41.7201,7706,0
USHY.US,5,20210922,180500,41.7282,41.73,41.7201,41.7282,5560,0
USHY.US,5,20210922,181000,41.7267,41.73,41.7207,41.7207,2253,0
USHY.US,5,20210922,181500,41.7289,41.7289,41.7289,41.7289,172,0
USHY.US,5,20210922,182000,41.725,41.7299,41.72,41.725,8724,0
USHY.US,5,20210922,182500,41.725,41.7294,41.725,41.7293,2608,0
USHY.US,5,20210922,183000,41.725,41.726,41.72,41.7201,2126,0
USHY.US,5,20210922,183500,41.7218,41.73,41.72,41.7289,2441,0
USHY.US,5,20210922,184000,41.7224,41.73,41.7224,41.73,1292,0
USHY.US,5,20210922,184500,41.7299,41.7299,41.7201,41.725,2720,0
USHY.US,5,20210922,185000,41.725,41.725,41.72,41.725,3100,0
USHY.US,5,20210922,185500,41.72,41.7299,41.72,41.7201,3085,0
USHY.US,5,20210922,190000,41.72,41.725,41.72,41.725,6000,0
USHY.US,5,20210922,190500,41.725,41.7279,41.72,41.725,1770,0
USHY.US,5,20210922,191000,41.72,41.725,41.7101,41.7101,8989,0
USHY.US,5,20210922,191500,41.72,41.72,41.7117,41.715,2371,0
USHY.US,5,20210922,192000,41.7122,41.72,41.7122,41.72,1308,0
USHY.US,5,20210922,192500,41.7134,41.73,41.7134,41.725,8740,0
USHY.US,5,20210922,193000,41.729,41.729,41.726,41.726,1815,0
USHY.US,5,20210922,193500,41.7224,41.73,41.7201,41.7279,7413,0
USHY.US,5,20210922,194000,41.725,41.7284,41.725,41.7283,2666,0
USHY.US,5,20210922,194500,41.725,41.729,41.72,41.7277,3408,0
USHY.US,5,20210922,195000,41.729,41.7292,41.72,41.725,6155,0
USHY.US,5,20210922,195500,41.72,41.725,41.72,41.725,1987,0
USHY.US,5,20210922,200000,41.72,41.75,41.7,41.75,55229,0
USHY.US,5,20210922,200500,41.75,41.757,41.72,41.74,33108,0
USHY.US,5,20210922,201000,41.74,41.77,41.74,41.77,7312,0
USHY.US,5,20210922,201500,41.77,41.773,41.76,41.76,6284,0
USHY.US,5,20210922,202000,41.76,41.765,41.7523,41.76,2518,0
USHY.US,5,20210922,202500,41.755,41.7599,41.755,41.7599,1504,0
