<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VFVA.US,5,20210922,153000,96.71,96.71,96.71,96.71,190,0
VFVA.US,5,20210922,164500,97.545,97.545,97.545,97.545,110,0
VFVA.US,5,20210922,172500,97.951,97.951,97.951,97.951,102,0
VFVA.US,5,20210922,174000,98.075,98.075,98.075,98.075,107,0
VFVA.US,5,20210922,175000,98.09,98.09,98.09,98.09,300,0
VFVA.US,5,20210922,183500,98.01,98.01,98,98,408,0
VFVA.US,5,20210922,190500,97.9187,97.9187,97.9187,97.9187,100,0
VFVA.US,5,20210922,193000,98.0099,98.0099,98.0099,98.0099,153,0
VFVA.US,5,20210922,200000,98.26,98.26,98.26,98.26,100,0
VFVA.US,5,20210922,203000,98.37,98.37,98.37,98.37,305,0
VFVA.US,5,20210922,204500,97.79,97.79,97.79,97.79,100,0
VFVA.US,5,20210922,205000,97.75,97.75,97.75,97.75,100,0
VFVA.US,5,20210922,210000,97.75,97.75,97.75,97.75,1070,0
VFVA.US,5,20210922,210500,97.8519,97.8774,97.8519,97.8774,328,0
VFVA.US,5,20210922,212500,98.0689,98.0689,98.0689,98.0689,156,0
VFVA.US,5,20210922,213000,98.1096,98.1096,98.1096,98.1096,100,0
VFVA.US,5,20210922,215500,97.51,97.51,97.51,97.51,571,0
VFVA.US,5,20210923,153000,98.48,98.48,98.48,98.48,177,0
VFVA.US,5,20210923,153500,98.6635,98.6635,98.6635,98.6635,139,0
VFVA.US,5,20210923,160500,99.155,99.155,99.155,99.155,273,0
VFVA.US,5,20210923,163000,99.2168,99.2168,99.2168,99.2168,122,0
VFVA.US,5,20210923,170500,99.455,99.455,99.455,99.455,100,0
VFVA.US,5,20210923,171000,99.505,99.505,99.505,99.505,100,0
VFVA.US,5,20210923,172500,99.65,99.65,99.65,99.65,271,0
VFVA.US,5,20210923,173000,99.5757,99.64,99.5757,99.64,796,0
VFVA.US,5,20210923,174500,99.565,99.565,99.565,99.565,197,0
VFVA.US,5,20210923,185000,99.795,99.795,99.795,99.795,206,0
VFVA.US,5,20210923,193500,99.96,99.96,99.9599,99.9599,1913,0
VFVA.US,5,20210923,194000,99.97,99.97,99.97,99.97,115,0
VFVA.US,5,20210923,195000,99.99,99.99,99.99,99.99,172,0
VFVA.US,5,20210923,200000,100.04,100.04,100.04,100.04,200,0
VFVA.US,5,20210923,203000,99.935,99.935,99.935,99.935,1000,0
VFVA.US,5,20210923,204000,99.829,99.829,99.829,99.829,150,0
VFVA.US,5,20210923,210000,99.73,99.73,99.73,99.73,100,0
VFVA.US,5,20210923,210500,99.6262,99.6262,99.6262,99.6262,252,0
VFVA.US,5,20210923,213000,99.56,99.56,99.56,99.56,323,0
VFVA.US,5,20210923,213500,99.58,99.58,99.545,99.575,1200,0
VFVA.US,5,20210923,214000,99.5893,99.5893,99.5893,99.5893,240,0
VFVA.US,5,20210923,215000,99.5,99.5,99.5,99.5,230,0
