<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VOO.US,5,20210922,153000,402.17,402.32,401.75,401.78,176460,0
VOO.US,5,20210922,153500,401.74,401.94,401.54,401.62,37009,0
VOO.US,5,20210922,154000,401.58,401.71,401.27,401.59,34761,0
VOO.US,5,20210922,154500,401.52,401.94,401.5,401.67,68195,0
VOO.US,5,20210922,155000,401.66,402.11,401.61,402.03,46403,0
VOO.US,5,20210922,155500,402.04,402.88,402.04,402.87,39873,0
VOO.US,5,20210922,160000,402.9,403.44,402.78,403.32,81370,0
VOO.US,5,20210922,160500,403.3,403.6,403.2,403.355,49110,0
VOO.US,5,20210922,161000,403.39,403.39,402.702,403.09,72398,0
VOO.US,5,20210922,161500,403.08,403.41,403.08,403.38,62536,0
VOO.US,5,20210922,162000,403.39,403.42,403.22,403.41,43233,0
VOO.US,5,20210922,162500,403.42,403.72,403.29,403.44,54335,0
VOO.US,5,20210922,163000,403.48,403.84,403.376,403.71,62828,0
VOO.US,5,20210922,163500,403.68,403.78,403.54,403.71,52617,0
VOO.US,5,20210922,164000,403.71,403.83,403.46,403.59,43692,0
VOO.US,5,20210922,164500,403.6,403.7,403.33,403.63,28566,0
VOO.US,5,20210922,165000,403.61,403.77,403.31,403.53,41805,0
VOO.US,5,20210922,165500,403.54,404.03,403.54,403.97,28201,0
VOO.US,5,20210922,170000,403.99,404.245,403.99,404.01,26936,0
VOO.US,5,20210922,170500,404.04,404.18,404.03,404.04,12507,0
VOO.US,5,20210922,171000,404.02,404.15,403.91,404.04,25840,0
VOO.US,5,20210922,171500,404.07,404.262,404.01,404.248,19609,0
VOO.US,5,20210922,172000,404.2,404.246,404.059,404.11,22475,0
VOO.US,5,20210922,172500,404.12,404.18,404.02,404.12,26197,0
VOO.US,5,20210922,173000,404.17,404.56,404.17,404.48,37592,0
VOO.US,5,20210922,173500,404.45,404.62,404.45,404.59,12118,0
VOO.US,5,20210922,174000,404.59,404.79,404.515,404.78,35306,0
VOO.US,5,20210922,174500,404.8,404.97,404.72,404.78,33820,0
VOO.US,5,20210922,175000,404.77,405.43,404.29,404.64,149797,0
VOO.US,5,20210922,175500,404.6,404.97,404.6,404.917,40007,0
VOO.US,5,20210922,180000,404.87,404.88,404.629,404.7,27677,0
VOO.US,5,20210922,180500,404.74,404.83,404.46,404.49,28113,0
VOO.US,5,20210922,181000,404.52,404.69,404.49,404.54,16012,0
VOO.US,5,20210922,181500,404.55,404.65,404.445,404.46,12881,0
VOO.US,5,20210922,182000,404.5,404.74,404.5,404.65,15890,0
VOO.US,5,20210922,182500,404.67,404.77,404.66,404.74,11032,0
VOO.US,5,20210922,183000,404.74,404.9,404.74,404.81,31101,0
VOO.US,5,20210922,183500,404.82,404.93,404.77,404.8,10443,0
VOO.US,5,20210922,184000,404.795,404.862,404.61,404.62,15370,0
VOO.US,5,20210922,184500,404.65,404.75,404.56,404.56,10978,0
VOO.US,5,20210922,185000,404.59,404.728,404.31,404.31,22623,0
VOO.US,5,20210922,185500,404.25,404.47,404.25,404.41,17611,0
VOO.US,5,20210922,190000,404.38,404.43,404.09,404.11,22870,0
VOO.US,5,20210922,190500,404.1,404.25,404,404.01,35397,0
VOO.US,5,20210922,191000,404.02,404.07,403.892,403.92,19485,0
VOO.US,5,20210922,191500,403.952,404.13,403.82,403.9,22733,0
VOO.US,5,20210922,192000,403.94,404.1,403.94,404.07,8448,0
VOO.US,5,20210922,192500,404.08,404.29,404.08,404.25,15778,0
VOO.US,5,20210922,193000,404.23,404.4,404.18,404.33,21465,0
VOO.US,5,20210922,193500,404.32,404.33,403.96,404.12,26840,0
VOO.US,5,20210922,194000,404.11,404.18,404.01,404.097,9815,0
VOO.US,5,20210922,194500,404.06,404.16,403.91,403.958,13693,0
VOO.US,5,20210922,195000,403.892,403.9,403.58,403.73,22200,0
VOO.US,5,20210922,195500,403.71,404.03,403.64,403.98,32030,0
VOO.US,5,20210922,200000,403.95,405.28,403,405.163,153635,0
VOO.US,5,20210922,200500,405.19,405.41,404.35,404.73,71765,0
VOO.US,5,20210922,201000,404.8,405.52,404.8,405.504,41421,0
VOO.US,5,20210922,201500,405.51,405.85,405.19,405.28,85642,0
VOO.US,5,20210922,202000,405.29,405.49,404.65,404.89,43516,0
VOO.US,5,20210922,202500,404.87,405.4,404.72,405.32,23759,0
VOO.US,5,20210922,203000,405.31,405.55,404.83,405.16,68832,0
VOO.US,5,20210922,203500,405.19,405.4,404.43,404.58,94903,0
VOO.US,5,20210922,204000,404.62,404.67,403.82,404.24,127880,0
VOO.US,5,20210922,204500,404.24,404.33,403.3,403.38,145670,0
VOO.US,5,20210922,205000,403.34,404.06,402.71,403.803,130665,0
VOO.US,5,20210922,205500,403.78,403.91,403.23,403.6,94469,0
VOO.US,5,20210922,210000,403.62,403.82,403.17,403.57,84508,0
VOO.US,5,20210922,210500,403.55,403.87,403.17,403.87,68947,0
VOO.US,5,20210922,211000,403.87,404.76,403.68,404.73,65111,0
VOO.US,5,20210922,211500,404.77,405.29,404.63,405.29,60024,0
VOO.US,5,20210922,212000,405.24,405.57,405.06,405.15,50431,0
VOO.US,5,20210922,212500,405.19,405.23,404.78,404.91,39392,0
VOO.US,5,20210922,213000,404.915,404.947,404.2,404.44,44551,0
VOO.US,5,20210922,213500,404.42,405.11,404.34,405.11,36007,0
VOO.US,5,20210922,214000,405.09,405.13,404.25,404.38,52897,0
VOO.US,5,20210922,214500,404.35,404.56,404.072,404.107,57990,0
VOO.US,5,20210922,215000,404.08,404.41,403.7,404.13,105120,0
VOO.US,5,20210922,215500,404.13,404.18,403.57,403.89,561387,0
VOO.US,5,20210923,153000,405.71,406.27,405.47,405.96,214089,0
VOO.US,5,20210923,153500,405.95,407.29,405.89,407.29,54688,0
VOO.US,5,20210923,154000,407.28,407.74,406.99,407.49,70136,0
VOO.US,5,20210923,154500,407.59,408.08,407.45,408.05,96911,0
VOO.US,5,20210923,155000,408.07,408.17,407.74,407.95,78744,0
VOO.US,5,20210923,155500,407.98,408.42,407.84,407.86,81821,0
VOO.US,5,20210923,160000,407.86,408.82,407.86,408.55,75150,0
VOO.US,5,20210923,160500,408.55,408.76,408.44,408.52,51247,0
VOO.US,5,20210923,161000,408.53,408.8,408.42,408.8,53452,0
VOO.US,5,20210923,161500,408.81,409.11,408.58,408.77,93076,0
VOO.US,5,20210923,162000,408.75,409.05,408.71,408.94,47809,0
VOO.US,5,20210923,162500,408.95,409.17,408.86,408.86,45083,0
VOO.US,5,20210923,163000,408.84,408.93,408.52,408.87,57771,0
VOO.US,5,20210923,163500,408.85,408.97,408.46,408.67,38198,0
VOO.US,5,20210923,164000,408.72,408.75,408.556,408.57,20617,0
VOO.US,5,20210923,164500,408.54,409.23,408.54,409.12,62500,0
VOO.US,5,20210923,165000,409.13,409.45,409.06,409.42,33001,0
VOO.US,5,20210923,165500,409.41,409.41,409.13,409.28,54213,0
VOO.US,5,20210923,170000,409.21,409.23,408.91,408.91,34871,0
VOO.US,5,20210923,170500,408.91,409.21,408.78,408.89,27130,0
VOO.US,5,20210923,171000,408.87,409.1,408.79,409.01,22800,0
VOO.US,5,20210923,171500,409.03,409.05,408.69,408.69,15527,0
VOO.US,5,20210923,172000,408.66,408.7,408.46,408.66,27162,0
VOO.US,5,20210923,172500,408.62,408.99,408.62,408.92,30931,0
VOO.US,5,20210923,173000,408.94,409.17,408.87,409.06,30333,0
VOO.US,5,20210923,173500,409.01,409.306,408.95,409.23,25848,0
VOO.US,5,20210923,174000,409.23,409.23,408.77,408.91,34224,0
VOO.US,5,20210923,174500,408.915,409.01,408.74,408.88,24467,0
VOO.US,5,20210923,175000,408.9,409.16,408.78,409.15,25952,0
VOO.US,5,20210923,175500,409.17,409.3,409.16,409.27,23353,0
VOO.US,5,20210923,180000,409.29,409.29,408.87,408.99,25729,0
VOO.US,5,20210923,180500,409.08,409.183,408.94,408.95,17521,0
VOO.US,5,20210923,181000,409,409.28,408.94,409.18,16970,0
VOO.US,5,20210923,181500,409.15,409.25,408.98,409.14,26129,0
VOO.US,5,20210923,182000,409.13,409.25,409.03,409.03,15835,0
VOO.US,5,20210923,182500,409,409.26,408.87,409.25,42728,0
VOO.US,5,20210923,183000,409.249,409.419,409.24,409.38,15815,0
VOO.US,5,20210923,183500,409.38,409.55,409.35,409.44,29605,0
VOO.US,5,20210923,184000,409.46,409.54,409.38,409.5,17182,0
VOO.US,5,20210923,184500,409.51,409.63,409.36,409.49,25259,0
VOO.US,5,20210923,185000,409.49,409.57,409.44,409.49,22262,0
VOO.US,5,20210923,185500,409.53,409.57,409.21,409.3,24793,0
VOO.US,5,20210923,190000,409.29,409.58,409.28,409.58,31744,0
VOO.US,5,20210923,190500,409.57,409.879,409.54,409.879,27812,0
VOO.US,5,20210923,191000,409.84,409.84,409.59,409.692,12616,0
VOO.US,5,20210923,191500,409.72,409.84,409.7,409.839,11737,0
VOO.US,5,20210923,192000,409.825,409.89,409.76,409.83,12553,0
VOO.US,5,20210923,192500,409.832,409.95,409.79,409.91,18603,0
VOO.US,5,20210923,193000,409.93,410.082,409.91,410.05,20998,0
VOO.US,5,20210923,193500,410.1,410.15,409.97,410.15,13445,0
VOO.US,5,20210923,194000,410.15,410.219,409.998,410.15,18586,0
VOO.US,5,20210923,194500,410.15,410.18,410.07,410.13,12755,0
VOO.US,5,20210923,195000,410.16,410.27,410.12,410.264,21449,0
VOO.US,5,20210923,195500,410.27,410.32,410.16,410.3,19325,0
VOO.US,5,20210923,200000,410.31,410.32,410.16,410.18,18074,0
VOO.US,5,20210923,200500,410.22,410.275,409.96,409.97,26994,0
VOO.US,5,20210923,201000,409.93,409.97,409.834,409.92,25609,0
VOO.US,5,20210923,201500,409.95,409.97,409.809,409.855,7706,0
VOO.US,5,20210923,202000,409.87,409.939,409.8,409.83,27487,0
VOO.US,5,20210923,202500,409.82,409.86,409.74,409.798,10809,0
VOO.US,5,20210923,203000,409.81,410.07,409.81,409.83,20434,0
VOO.US,5,20210923,203500,409.83,409.83,409.65,409.73,35325,0
VOO.US,5,20210923,204000,409.73,409.75,409.52,409.55,22319,0
VOO.US,5,20210923,204500,409.51,409.65,409.46,409.5,16041,0
VOO.US,5,20210923,205000,409.5,409.68,409.48,409.59,18267,0
VOO.US,5,20210923,205500,409.6,409.77,409.59,409.66,21961,0
VOO.US,5,20210923,210000,409.711,409.756,409.56,409.756,16689,0
VOO.US,5,20210923,210500,409.76,409.76,409.43,409.46,20751,0
VOO.US,5,20210923,211000,409.47,409.48,409.21,409.21,20206,0
VOO.US,5,20210923,211500,409.23,409.37,409.17,409.291,17454,0
VOO.US,5,20210923,212000,409.3,409.45,409.25,409.43,13645,0
VOO.US,5,20210923,212500,409.47,409.472,409.29,409.29,13009,0
VOO.US,5,20210923,213000,409.31,409.45,409.09,409.45,28326,0
VOO.US,5,20210923,213500,409.45,409.52,409.23,409.305,35357,0
VOO.US,5,20210923,214000,409.33,409.51,409.18,409.39,41788,0
VOO.US,5,20210923,214500,409.36,409.36,409.03,409.12,36499,0
VOO.US,5,20210923,215000,409.12,409.17,408.78,409.09,82930,0
VOO.US,5,20210923,215500,409.05,409.07,408.63,408.78,272035,0
VOO.US,5,20210924,153000,407.17,408.14,406.95,408.135,153077,0
VOO.US,5,20210924,153500,408.18,408.39,407.96,408.18,61980,0
VOO.US,5,20210924,154000,408.25,408.75,408.19,408.619,45255,0
VOO.US,5,20210924,154500,408.62,408.66,407.55,407.82,41846,0
VOO.US,5,20210924,155000,407.77,408.51,407.77,408.305,26552,0
VOO.US,5,20210924,155500,408.26,409.19,408.222,409.15,43732,0
VOO.US,5,20210924,160000,409.16,409.44,409.146,409.387,49473,0
VOO.US,5,20210924,160500,409.36,409.37,408.94,409.03,33653,0
VOO.US,5,20210924,161000,409,409.05,408.56,408.68,36018,0
VOO.US,5,20210924,161500,408.67,409,408.4,408.72,27613,0
VOO.US,5,20210924,162000,408.78,409.22,408.63,409.08,25965,0
VOO.US,5,20210924,162500,409.14,409.22,408.67,408.72,31403,0
VOO.US,5,20210924,163000,408.69,408.83,408.45,408.45,19534,0
VOO.US,5,20210924,163500,408.46,408.72,408.45,408.51,22908,0
VOO.US,5,20210924,164000,408.55,408.8,408.37,408.4,21531,0
VOO.US,5,20210924,164500,408.48,408.66,408.04,408.53,28903,0
VOO.US,5,20210924,165000,408.46,408.51,407.88,408.04,24873,0
VOO.US,5,20210924,165500,408.05,408.39,408.05,408.29,21465,0
VOO.US,5,20210924,170000,408.3,408.81,408.2,408.78,27474,0
VOO.US,5,20210924,170500,408.74,408.8,408.57,408.8,17483,0
VOO.US,5,20210924,171000,408.791,408.792,408.57,408.605,15440,0
VOO.US,5,20210924,171500,408.57,408.67,408.44,408.58,13498,0
VOO.US,5,20210924,172000,408.55,408.6,408.302,408.302,18825,0
VOO.US,5,20210924,172500,408.3,408.3,407.92,407.97,22282,0
VOO.US,5,20210924,173000,407.96,408.23,407.96,408.19,12917,0
VOO.US,5,20210924,173500,408.16,408.28,407.82,408.17,35094,0
VOO.US,5,20210924,174000,408.21,408.33,408.11,408.17,22245,0
VOO.US,5,20210924,174500,408.22,408.48,408.17,408.44,9311,0
VOO.US,5,20210924,175000,408.45,408.94,408.44,408.91,23193,0
VOO.US,5,20210924,175500,408.89,408.92,408.735,408.791,16494,0
VOO.US,5,20210924,180000,408.81,408.82,408.58,408.66,13193,0
VOO.US,5,20210924,180500,408.67,408.84,408.65,408.77,14495,0
VOO.US,5,20210924,181000,408.8,409.039,408.75,408.932,14069,0
VOO.US,5,20210924,181500,408.95,409.12,408.83,409.11,13669,0
VOO.US,5,20210924,182000,409.1,409.16,408.99,409.07,14487,0
VOO.US,5,20210924,182500,409.103,409.18,408.95,408.96,10740,0
