<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XBI.US,5,20210922,153000,130.89,130.97,130.28,130.56,82013,0
XBI.US,5,20210922,153500,130.49,130.66,130.38,130.48,19395,0
XBI.US,5,20210922,154000,130.51,130.61,130.01,130.11,32039,0
XBI.US,5,20210922,154500,130.06,130.54,130.06,130.248,25106,0
XBI.US,5,20210922,155000,130.2,130.56,130.18,130.42,15462,0
XBI.US,5,20210922,155500,130.41,130.43,130.15,130.17,17756,0
XBI.US,5,20210922,160000,130.17,130.2,129.46,129.81,61214,0
XBI.US,5,20210922,160500,129.78,130.08,129.68,129.991,25928,0
XBI.US,5,20210922,161000,129.95,130.05,129.73,129.945,24357,0
XBI.US,5,20210922,161500,129.92,130.21,129.91,130.21,23709,0
XBI.US,5,20210922,162000,130.23,130.23,129.91,130.03,11839,0
XBI.US,5,20210922,162500,130.03,130.09,129.81,129.91,5418,0
XBI.US,5,20210922,163000,129.9,130.22,129.9,130.1,31726,0
XBI.US,5,20210922,163500,130.06,130.25,130,130.165,23300,0
XBI.US,5,20210922,164000,130.12,130.33,130.065,130.26,22475,0
XBI.US,5,20210922,164500,130.25,130.29,130.03,130.279,7240,0
XBI.US,5,20210922,165000,130.32,130.32,130.08,130.15,11032,0
XBI.US,5,20210922,165500,130.15,130.22,129.935,130,8313,0
XBI.US,5,20210922,170000,130.02,130.08,129.83,130.07,9735,0
XBI.US,5,20210922,170500,130.05,130.15,130.01,130.1,14694,0
XBI.US,5,20210922,171000,130.14,130.19,130.05,130.16,13688,0
XBI.US,5,20210922,171500,130.17,130.19,130.04,130.07,3849,0
XBI.US,5,20210922,172000,130.08,130.13,130.03,130.04,2300,0
XBI.US,5,20210922,172500,130.1,130.28,130.06,130.28,57031,0
XBI.US,5,20210922,173000,130.29,130.6,130.24,130.58,57003,0
XBI.US,5,20210922,173500,130.58,130.69,130.58,130.65,10655,0
XBI.US,5,20210922,174000,130.65,130.83,130.65,130.8,13803,0
XBI.US,5,20210922,174500,130.79,130.82,130.58,130.622,8710,0
XBI.US,5,20210922,175000,130.66,130.88,130.58,130.73,10275,0
XBI.US,5,20210922,175500,130.76,130.8,130.65,130.73,3535,0
